"Smarter Balanced Growth Report, 2024-25"
"All Districts, ELA and Math, All Grades Combined, All Students"

"District Code","District","Subject","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0640011""","Hartford School District","Math",5106,"33.7%","52.6%"
"=""0650011""","Hartland School District","ELA",69,"39.1%","63.4%"
"=""0650011""","Hartland School District","Math",68,"58.8%","76.8%"
"=""0670011""","Hebron School District","ELA",252,"43.3%","66.8%"
"=""0670011""","Hebron School District","Math",252,"60.3%","80.4%"
"=""2860013""","Highville Charter School District","ELA",173,"35.8%","59.8%"
"=""2860013""","Highville Charter School District","Math",173,"33.5%","57.9%"
"=""2640013""","Integrated Day Charter School District","ELA",193,"39.9%","60.9%"
"=""2640013""","Integrated Day Charter School District","Math",193,"34.7%","47.9%"
"=""2650013""","Interdistrict School for Arts and Comm District","ELA",303,"44.6%","63.5%"
"=""2650013""","Interdistrict School for Arts and Comm District","Math",303,"50.8%","69.3%"
"=""2610013""","Jumoke Academy District","ELA",234,"28.2%","51.4%"
"=""2610013""","Jumoke Academy District","Math",231,"22.1%","37.8%"
"=""0680011""","Kent School District","ELA",75,"49.3%","71.1%"
"=""0680011""","Kent School District","Math",75,"56.0%","74.1%"
"=""0690011""","Killingly School District","ELA",799,"40.6%","65.1%"
"=""0690011""","Killingly School District","Math",795,"29.1%","48.2%"
"=""2450014""","Learn","ELA",143,"51.7%","75.9%"
"=""2450014""","Learn","Math",142,"43.7%","71.8%"
"=""0710011""","Lebanon School District","ELA",289,"45.7%","64.5%"
"=""0710011""","Lebanon School District","Math",287,"47.7%","68.0%"
"=""0720011""","Ledyard School District","ELA",836,"39.4%","59.2%"
"=""0720011""","Ledyard School District","Math",833,"37.9%","56.0%"
"=""0730011""","Lisbon School District","ELA",213,"40.8%","63.9%"
"=""0730011""","Lisbon School District","Math",212,"33.0%","59.8%"
"=""0760011""","Madison School District","ELA",856,"53.0%","70.2%"
"=""0760011""","Madison School District","Math",855,"59.9%","77.5%"
"=""0770011""","Manchester School District","ELA",1946,"35.3%","56.4%"
