district,district_code,fiscal_year,expenditure_category,amount,source_format,cpi_u,deflator,amount_real
Hartford School District,0640011,2018,Teacher Salaries,20571877,current_long,251.1,1.282206292313819,26377390.134105932
Hartford School District,0640011,2018,Instructional Aide Salaries,648633,current_long,251.1,1.282206292313819,831681.3140023894
Hartford School District,0640011,2018,Other Salaries,17964763,current_long,251.1,1.282206292313819,23034532.15852648
Hartford School District,0640011,2018,Employee Benefits,11583381,current_long,251.1,1.282206292313819,14852284.004468339
Hartford School District,0640011,2018,Purchased Services Other Than Transportation,1835911,current_long,251.1,1.282206292313819,2354016.636328156
Hartford School District,0640011,2018,Special Education Tuition,61856148,current_long,251.1,1.282206292313819,79312342.18389486
Hartford School District,0640011,2018,Supplies,63407,current_long,251.1,1.282206292313819,81300.85437674233
Hartford School District,0640011,2018,Property Services,13707,current_long,251.1,1.282206292313819,17575.20164874552
Hartford School District,0640011,2018,Purchased Services For Transportation,13176858,current_long,251.1,1.282206292313819,16895450.240525685
Hartford School District,0640011,2018,Equipment,33737,current_long,251.1,1.282206292313819,43257.793683791315
Hartford School District,0640011,2018,All Other Expenditures,596,current_long,251.1,1.282206292313819,764.1949502190362
Hartford School District,0640011,2018,Total,127749017,current_long,251.1,1.282206292313819,163800593.43430504
Hartland School District,0650011,2018,Teacher Salaries,0,current_long,251.1,1.282206292313819,0.0
Hartland School District,0650011,2018,Instructional Aide Salaries,22684,current_long,251.1,1.282206292313819,29085.567534846672
Hartland School District,0650011,2018,Other Salaries,0,current_long,251.1,1.282206292313819,0.0
Hartland School District,0650011,2018,Employee Benefits,1735,current_long,251.1,1.282206292313819,2224.627917164476
Hartland School District,0650011,2018,Purchased Services Other Than Transportation,437767,current_long,251.1,1.282206292313819,561307.6019673436
Hartland School District,0650011,2018,Special Education Tuition,304939,current_long,251.1,1.282206292313819,390994.70457188366
Hartland School District,0650011,2018,Supplies,3238,current_long,251.1,1.282206292313819,4151.783974512146
Hartland School District,0650011,2018,Property Services,0,current_long,251.1,1.282206292313819,0.0
Hartland School District,0650011,2018,Purchased Services For Transportation,53601,current_long,251.1,1.282206292313819,68727.53947431302
Hartland School District,0650011,2018,Equipment,0,current_long,251.1,1.282206292313819,0.0
Hartland School District,0650011,2018,All Other Expenditures,0,current_long,251.1,1.282206292313819,0.0
Hartland School District,0650011,2018,Total,823964,current_long,251.1,1.282206292313819,1056491.8254400636
Hebron School District,0670011,2018,Teacher Salaries,895147,current_long,251.1,1.282206292313819,1147763.1159458382
Hebron School District,0670011,2018,Instructional Aide Salaries,415466,current_long,251.1,1.282206292313819,532713.1194424531
Hebron School District,0670011,2018,Other Salaries,319961,current_long,251.1,1.282206292313819,410256.00749502185
Hebron School District,0670011,2018,Employee Benefits,584405,current_long,251.1,1.282206292313819,749327.7682596574
Hebron School District,0670011,2018,Purchased Services Other Than Transportation,278688,current_long,251.1,1.282206292313819,357335.5071923536
Hebron School District,0670011,2018,Special Education Tuition,126428,current_long,251.1,1.282206292313819,162106.77712465153
Hebron School District,0670011,2018,Supplies,15667,current_long,251.1,1.282206292313819,20088.325981680606
Hebron School District,0670011,2018,Property Services,0,current_long,251.1,1.282206292313819,0.0
Hebron School District,0670011,2018,Purchased Services For Transportation,66340,current_long,251.1,1.282206292313819,85061.56543209875
Hebron School District,0670011,2018,Equipment,7895,current_long,251.1,1.282206292313819,10123.018677817601
Hebron School District,0670011,2018,All Other Expenditures,0,current_long,251.1,1.282206292313819,0.0
Hebron School District,0670011,2018,Total,2709997,current_long,251.1,1.282206292313819,3474775.2055515726
Highville Charter School District,2860013,2018,Teacher Salaries,76863,current_long,251.1,1.282206292313819,98554.22224611707
Highville Charter School District,2860013,2018,Instructional Aide Salaries,0,current_long,251.1,1.282206292313819,0.0
Highville Charter School District,2860013,2018,Other Salaries,0,current_long,251.1,1.282206292313819,0.0
Highville Charter School District,2860013,2018,Employee Benefits,0,current_long,251.1,1.282206292313819,0.0
Highville Charter School District,2860013,2018,Purchased Services Other Than Transportation,0,current_long,251.1,1.282206292313819,0.0
Highville Charter School District,2860013,2018,Special Education Tuition,0,current_long,251.1,1.282206292313819,0.0
Highville Charter School District,2860013,2018,Supplies,0,current_long,251.1,1.282206292313819,0.0
Highville Charter School District,2860013,2018,Property Services,0,current_long,251.1,1.282206292313819,0.0
Highville Charter School District,2860013,2018,Purchased Services For Transportation,0,current_long,251.1,1.282206292313819,0.0
Highville Charter School District,2860013,2018,Equipment,0,current_long,251.1,1.282206292313819,0.0
Highville Charter School District,2860013,2018,All Other Expenditures,0,current_long,251.1,1.282206292313819,0.0
Highville Charter School District,2860013,2018,Total,76863,current_long,251.1,1.282206292313819,98554.22224611707
Integrated Day Charter School District,2640013,2018,Teacher Salaries,149737,current_long,251.1,1.282206292313819,191993.72359219432
Integrated Day Charter School District,2640013,2018,Instructional Aide Salaries,89659,current_long,251.1,1.282206292313819,114961.3339625647
Integrated Day Charter School District,2640013,2018,Other Salaries,58894,current_long,251.1,1.282206292313819,75514.25737953006
Integrated Day Charter School District,2640013,2018,Employee Benefits,43419,current_long,251.1,1.282206292313819,55672.11500597371
Integrated Day Charter School District,2640013,2018,Purchased Services Other Than Transportation,36720,current_long,251.1,1.282206292313819,47082.61505376344
Integrated Day Charter School District,2640013,2018,Special Education Tuition,0,current_long,251.1,1.282206292313819,0.0
Integrated Day Charter School District,2640013,2018,Supplies,40,current_long,251.1,1.282206292313819,51.28825169255276
Integrated Day Charter School District,2640013,2018,Property Services,0,current_long,251.1,1.282206292313819,0.0
Integrated Day Charter School District,2640013,2018,Purchased Services For Transportation,0,current_long,251.1,1.282206292313819,0.0
Integrated Day Charter School District,2640013,2018,Equipment,0,current_long,251.1,1.282206292313819,0.0
Integrated Day Charter School District,2640013,2018,All Other Expenditures,0,current_long,251.1,1.282206292313819,0.0
Integrated Day Charter School District,2640013,2018,Total,378469,current_long,251.1,1.282206292313819,485275.3332457188
Interdistrict School for Arts and Comm District,2650013,2018,Teacher Salaries,275668,current_long,251.1,1.282206292313819,353463.2441895659
Interdistrict School for Arts and Comm District,2650013,2018,Instructional Aide Salaries,17911,current_long,251.1,1.282206292313819,22965.596901632813
Interdistrict School for Arts and Comm District,2650013,2018,Other Salaries,122720,current_long,251.1,1.282206292313819,157352.35619275187
Interdistrict School for Arts and Comm District,2650013,2018,Employee Benefits,68078,current_long,251.1,1.282206292313819,87290.03996814018
Interdistrict School for Arts and Comm District,2650013,2018,Purchased Services Other Than Transportation,5189,current_long,251.1,1.282206292313819,6653.368450816407
Interdistrict School for Arts and Comm District,2650013,2018,Special Education Tuition,0,current_long,251.1,1.282206292313819,0.0
Interdistrict School for Arts and Comm District,2650013,2018,Supplies,7395,current_long,251.1,1.282206292313819,9481.915531660692
Interdistrict School for Arts and Comm District,2650013,2018,Property Services,0,current_long,251.1,1.282206292313819,0.0
Interdistrict School for Arts and Comm District,2650013,2018,Purchased Services For Transportation,0,current_long,251.1,1.282206292313819,0.0
Interdistrict School for Arts and Comm District,2650013,2018,Equipment,5000,current_long,251.1,1.282206292313819,6411.031461569096
Interdistrict School for Arts and Comm District,2650013,2018,All Other Expenditures,40,current_long,251.1,1.282206292313819,51.28825169255276
Interdistrict School for Arts and Comm District,2650013,2018,Total,502001,current_long,251.1,1.282206292313819,643668.8409478295
Jumoke Academy District,2610013,2018,Teacher Salaries,183209,current_long,251.1,1.282206292313819,234911.7326085225
Jumoke Academy District,2610013,2018,Instructional Aide Salaries,61361,current_long,251.1,1.282206292313819,78677.46030266826
Jumoke Academy District,2610013,2018,Other Salaries,80576,current_long,251.1,1.282206292313819,103315.05420947829
Jumoke Academy District,2610013,2018,Employee Benefits,68900,current_long,251.1,1.282206292313819,88344.01354042214
Jumoke Academy District,2610013,2018,Purchased Services Other Than Transportation,189114,current_long,251.1,1.282206292313819,242483.1607646356
Jumoke Academy District,2610013,2018,Special Education Tuition,0,current_long,251.1,1.282206292313819,0.0
Jumoke Academy District,2610013,2018,Supplies,1277,current_long,251.1,1.282206292313819,1637.377435284747
Jumoke Academy District,2610013,2018,Property Services,0,current_long,251.1,1.282206292313819,0.0
Jumoke Academy District,2610013,2018,Purchased Services For Transportation,0,current_long,251.1,1.282206292313819,0.0
Jumoke Academy District,2610013,2018,Equipment,76,current_long,251.1,1.282206292313819,97.44767821585025
Jumoke Academy District,2610013,2018,All Other Expenditures,0,current_long,251.1,1.282206292313819,0.0
Jumoke Academy District,2610013,2018,Total,584513,current_long,251.1,1.282206292313819,749466.2465392273
Kent School District,0680011,2018,Teacher Salaries,475924,current_long,251.1,1.282206292313819,610232.747463162
Kent School District,0680011,2018,Instructional Aide Salaries,5361,current_long,251.1,1.282206292313819,6873.907933094384
Kent School District,0680011,2018,Other Salaries,185275,current_long,251.1,1.282206292313819,237560.77080844285
Kent School District,0680011,2018,Employee Benefits,230505,current_long,251.1,1.282206292313819,295554.96140979684
Kent School District,0680011,2018,Purchased Services Other Than Transportation,13784,current_long,251.1,1.282206292313819,17673.931533253683
Kent School District,0680011,2018,Special Education Tuition,103775,current_long,251.1,1.282206292313819,133060.95798486657
Kent School District,0680011,2018,Supplies,3499,current_long,251.1,1.282206292313819,4486.439816806053
Kent School District,0680011,2018,Property Services,0,current_long,251.1,1.282206292313819,0.0
Kent School District,0680011,2018,Purchased Services For Transportation,94353,current_long,251.1,1.282206292313819,120980.01029868577
Kent School District,0680011,2018,Equipment,4045,current_long,251.1,1.282206292313819,5186.524452409399
Kent School District,0680011,2018,All Other Expenditures,0,current_long,251.1,1.282206292313819,0.0
Kent School District,0680011,2018,Total,1116521,current_long,251.1,1.282206292313819,1431610.2517005177
Killingly School District,0690011,2018,Teacher Salaries,2637062,current_long,251.1,1.282206292313819,3381257.4896216644
Killingly School District,0690011,2018,Instructional Aide Salaries,1518941,current_long,251.1,1.282206292313819,1947595.7078534446
Killingly School District,0690011,2018,Other Salaries,888514,current_long,251.1,1.282206292313819,1139258.2416089207
Killingly School District,0690011,2018,Employee Benefits,1751692,current_long,251.1,1.282206292313819,2246030.5045957784
Killingly School District,0690011,2018,Purchased Services Other Than Transportation,476562,current_long,251.1,1.282206292313819,611050.7950776583
Killingly School District,0690011,2018,Special Education Tuition,6110904,current_long,251.1,1.282206292313819,7835439.5605256865
Killingly School District,0690011,2018,Supplies,91873,current_long,251.1,1.282206292313819,117800.1386937475
Killingly School District,0690011,2018,Property Services,62021,current_long,251.1,1.282206292313819,79523.71645559538
Killingly School District,0690011,2018,Purchased Services For Transportation,597019,current_long,251.1,1.282206292313819,765501.518430904
Killingly School District,0690011,2018,Equipment,254466,current_long,251.1,1.282206292313819,326277.9063799283
Killingly School District,0690011,2018,All Other Expenditures,468,current_long,251.1,1.282206292313819,600.0725448028674
Killingly School District,0690011,2018,Total,14389521,current_long,251.1,1.282206292313819,18450334.369581837
Learn,2450014,2018,Teacher Salaries,1825233,current_long,251.1,1.282206292313819,2340325.237538829
Learn,2450014,2018,Instructional Aide Salaries,1316001,current_long,251.1,1.282206292313819,1687384.7628912784
Learn,2450014,2018,Other Salaries,4554252,current_long,251.1,1.282206292313819,5839490.571182795
Learn,2450014,2018,Employee Benefits,2356306,current_long,251.1,1.282206292313819,3021270.379816806
Learn,2450014,2018,Purchased Services Other Than Transportation,1280247,current_long,251.1,1.282206292313819,1641540.75911589
Learn,2450014,2018,Special Education Tuition,0,current_long,251.1,1.282206292313819,0.0
Learn,2450014,2018,Supplies,-8462,current_long,251.1,1.282206292313819,-10850.029645559538
Learn,2450014,2018,Property Services,332971,current_long,251.1,1.282206292313819,426937.51135802467
Learn,2450014,2018,Purchased Services For Transportation,52777,current_long,251.1,1.282206292313819,67671.00148944643
Learn,2450014,2018,Equipment,63958,current_long,251.1,1.282206292313819,82007.35004380724
Learn,2450014,2018,All Other Expenditures,84963,current_long,251.1,1.282206292313819,108940.09321385901
Learn,2450014,2018,Total,11858246,current_long,251.1,1.282206292313819,15204717.637005176
Lebanon School District,0710011,2018,Teacher Salaries,1019393,current_long,251.1,1.282206292313819,1307072.118940661
Lebanon School District,0710011,2018,Instructional Aide Salaries,750641,current_long,251.1,1.282206292313819,962476.6134687375
Lebanon School District,0710011,2018,Other Salaries,715384,current_long,251.1,1.282206292313819,917269.8662206292
Lebanon School District,0710011,2018,Employee Benefits,659933,current_long,251.1,1.282206292313819,846170.2451055356
Lebanon School District,0710011,2018,Purchased Services Other Than Transportation,335347,current_long,251.1,1.282206292313819,429984.0335085623
Lebanon School District,0710011,2018,Special Education Tuition,1804994,current_long,251.1,1.282206292313819,2314374.6643886897
Lebanon School District,0710011,2018,Supplies,27561,current_long,251.1,1.282206292313819,35338.88762246117
Lebanon School District,0710011,2018,Property Services,7946,current_long,251.1,1.282206292313819,10188.411198725607
Lebanon School District,0710011,2018,Purchased Services For Transportation,648335,current_long,251.1,1.282206292313819,831299.2165272799
Lebanon School District,0710011,2018,Equipment,8179,current_long,251.1,1.282206292313819,10487.165264834726
Lebanon School District,0710011,2018,All Other Expenditures,10,current_long,251.1,1.282206292313819,12.82206292313819
Lebanon School District,0710011,2018,Total,5977724,current_long,251.1,1.282206292313819,7664675.326515332
Ledyard School District,0720011,2018,Teacher Salaries,4050573,current_long,251.1,1.282206292313819,5193670.1880764635
Ledyard School District,0720011,2018,Instructional Aide Salaries,738282,current_long,251.1,1.282206292313819,946629.825902031
Ledyard School District,0720011,2018,Other Salaries,251600,current_long,251.1,1.282206292313819,322603.1031461569
Ledyard School District,0720011,2018,Employee Benefits,628756,current_long,251.1,1.282206292313819,806194.8995300677
Ledyard School District,0720011,2018,Purchased Services Other Than Transportation,649925,current_long,251.1,1.282206292313819,833337.9245320589
Ledyard School District,0720011,2018,Special Education Tuition,2574314,current_long,251.1,1.282206292313819,3300801.609191557
Ledyard School District,0720011,2018,Supplies,59285,current_long,251.1,1.282206292313819,76015.60003982477
Ledyard School District,0720011,2018,Property Services,2369,current_long,251.1,1.282206292313819,3037.5467064914374
Ledyard School District,0720011,2018,Purchased Services For Transportation,902071,current_long,251.1,1.282206292313819,1156641.1123138191
Ledyard School District,0720011,2018,Equipment,8086,current_long,251.1,1.282206292313819,10367.92007964954
Ledyard School District,0720011,2018,All Other Expenditures,845,current_long,251.1,1.282206292313819,1083.4643170051772
Ledyard School District,0720011,2018,Total,9866106,current_long,251.1,1.282206292313819,12650383.193835124
Lisbon School District,0730011,2018,Teacher Salaries,867021,current_long,251.1,1.282206292313819,1111699.7817682198
Lisbon School District,0730011,2018,Instructional Aide Salaries,0,current_long,251.1,1.282206292313819,0.0
Lisbon School District,0730011,2018,Other Salaries,106534,current_long,251.1,1.282206292313819,136598.5651453604
Lisbon School District,0730011,2018,Employee Benefits,191199,current_long,251.1,1.282206292313819,245156.5608841099
Lisbon School District,0730011,2018,Purchased Services Other Than Transportation,229215,current_long,251.1,1.282206292313819,293900.91529271204
Lisbon School District,0730011,2018,Special Education Tuition,1205123,current_long,251.1,1.282206292313819,1545216.2936121067
Lisbon School District,0730011,2018,Supplies,3068,current_long,251.1,1.282206292313819,3933.808904818797
Lisbon School District,0730011,2018,Property Services,0,current_long,251.1,1.282206292313819,0.0
Lisbon School District,0730011,2018,Purchased Services For Transportation,320349,current_long,251.1,1.282206292313819,410753.5035364396
Lisbon School District,0730011,2018,Equipment,3264,current_long,251.1,1.282206292313819,4185.121338112305
Lisbon School District,0730011,2018,All Other Expenditures,500,current_long,251.1,1.282206292313819,641.1031461569096
Lisbon School District,0730011,2018,Total,2926273,current_long,251.1,1.282206292313819,3752085.6536280364
Litchfield School District,0740011,2018,Teacher Salaries,979795,current_long,251.1,1.282206292313819,1256299.3141776184
Litchfield School District,0740011,2018,Instructional Aide Salaries,716862,current_long,251.1,1.282206292313819,919164.967120669
Litchfield School District,0740011,2018,Other Salaries,77056,current_long,251.1,1.282206292313819,98801.68806053365
Litchfield School District,0740011,2018,Employee Benefits,530347,current_long,251.1,1.282206292313819,680014.260509757
Litchfield School District,0740011,2018,Purchased Services Other Than Transportation,145256,current_long,251.1,1.282206292313819,186248.1571963361
Litchfield School District,0740011,2018,Special Education Tuition,651479,current_long,251.1,1.282206292313819,835330.4731103146
Litchfield School District,0740011,2018,Supplies,32317,current_long,251.1,1.282206292313819,41437.06074870569
Litchfield School District,0740011,2018,Property Services,0,current_long,251.1,1.282206292313819,0.0
Litchfield School District,0740011,2018,Purchased Services For Transportation,177879,current_long,251.1,1.282206292313819,228077.57307048983
Litchfield School District,0740011,2018,Equipment,2904,current_long,251.1,1.282206292313819,3723.5270728793307
Litchfield School District,0740011,2018,All Other Expenditures,1223,current_long,251.1,1.282206292313819,1568.1382954998007
Litchfield School District,0740011,2018,Total,3315118,current_long,251.1,1.282206292313819,4250665.159362803
Madison School District,0760011,2018,Teacher Salaries,4675388,current_long,251.1,1.282206292313819,5994811.912608522
Madison School District,0760011,2018,Instructional Aide Salaries,0,current_long,251.1,1.282206292313819,0.0
Madison School District,0760011,2018,Other Salaries,1807836,current_long,251.1,1.282206292313819,2318018.6946714455
Madison School District,0760011,2018,Employee Benefits,1875229,current_long,251.1,1.282206292313819,2404430.4233293505
Madison School District,0760011,2018,Purchased Services Other Than Transportation,684872,current_long,251.1,1.282206292313819,878147.1878295499
Madison School District,0760011,2018,Special Education Tuition,2264365,current_long,251.1,1.282206292313819,2903383.051095181
Madison School District,0760011,2018,Supplies,71197,current_long,251.1,1.282206292313819,91289.24139386698
Madison School District,0760011,2018,Property Services,0,current_long,251.1,1.282206292313819,0.0
Madison School District,0760011,2018,Purchased Services For Transportation,1384871,current_long,251.1,1.282206292313819,1775690.310242931
Madison School District,0760011,2018,Equipment,15055,current_long,251.1,1.282206292313819,19303.615730784546
Madison School District,0760011,2018,All Other Expenditures,0,current_long,251.1,1.282206292313819,0.0
Madison School District,0760011,2018,Total,12778813,current_long,251.1,1.282206292313819,16385074.43690163
Manchester School District,0770011,2018,Teacher Salaries,9703049,current_long,251.1,1.282206292313819,12441310.48242931
Manchester School District,0770011,2018,Instructional Aide Salaries,3340662,current_long,251.1,1.282206292313819,4283417.8368936675
Manchester School District,0770011,2018,Other Salaries,2534767,current_long,251.1,1.282206292313819,3250094.1969494224
Manchester School District,0770011,2018,Employee Benefits,4047185,current_long,251.1,1.282206292313819,5189326.073158104
Manchester School District,0770011,2018,Purchased Services Other Than Transportation,1029976,current_long,251.1,1.282206292313819,1320641.708132218
Manchester School District,0770011,2018,Special Education Tuition,6386166,current_long,251.1,1.282206292313819,8188382.228960573
Manchester School District,0770011,2018,Supplies,369644,current_long,251.1,1.282206292313819,473959.86271604936
Manchester School District,0770011,2018,Property Services,33116,current_long,251.1,1.282206292313819,42461.543576264434
Manchester School District,0770011,2018,Purchased Services For Transportation,2611482,current_long,251.1,1.282206292313819,3348458.652664277
Manchester School District,0770011,2018,Equipment,10808,current_long,251.1,1.282206292313819,13858.085607327757
Manchester School District,0770011,2018,All Other Expenditures,4154,current_long,251.1,1.282206292313819,5326.284938271605
Manchester School District,0770011,2018,Total,30071008,current_long,251.1,1.282206292313819,38557235.67381919
Mansfield School District,0780011,2018,Teacher Salaries,1458769,current_long,251.1,1.282206292313819,1870442.7908323377
Mansfield School District,0780011,2018,Instructional Aide Salaries,616999,current_long,251.1,1.282206292313819,791120.0001513341
Mansfield School District,0780011,2018,Other Salaries,247719,current_long,251.1,1.282206292313819,317626.86052568693
Mansfield School District,0780011,2018,Employee Benefits,811597,current_long,251.1,1.282206292313819,1040634.7802230186
Mansfield School District,0780011,2018,Purchased Services Other Than Transportation,328501,current_long,251.1,1.282206292313819,421206.0492313819
Mansfield School District,0780011,2018,Special Education Tuition,524552,current_long,251.1,1.282206292313819,672583.8750457985
Mansfield School District,0780011,2018,Supplies,30983,current_long,251.1,1.282206292313819,39726.59755475906
Mansfield School District,0780011,2018,Property Services,0,current_long,251.1,1.282206292313819,0.0
Mansfield School District,0780011,2018,Purchased Services For Transportation,177052,current_long,251.1,1.282206292313819,227017.1884667463
Mansfield School District,0780011,2018,Equipment,105,current_long,251.1,1.282206292313819,134.63166069295102
Mansfield School District,0780011,2018,All Other Expenditures,0,current_long,251.1,1.282206292313819,0.0
Mansfield School District,0780011,2018,Total,4196277,current_long,251.1,1.282206292313819,5380492.773691756
Marlborough School District,0790011,2018,Teacher Salaries,624251,current_long,251.1,1.282206292313819,800418.5601831939
Marlborough School District,0790011,2018,Instructional Aide Salaries,199265,current_long,251.1,1.282206292313819,255498.83683791317
Marlborough School District,0790011,2018,Other Salaries,34605,current_long,251.1,1.282206292313819,44370.74874551971
Marlborough School District,0790011,2018,Employee Benefits,162535,current_long,251.1,1.282206292313819,208403.3997212266
Marlborough School District,0790011,2018,Purchased Services Other Than Transportation,91568,current_long,251.1,1.282206292313819,117409.06577459179
Marlborough School District,0790011,2018,Special Education Tuition,87499,current_long,251.1,1.282206292313819,112191.76837116687
Marlborough School District,0790011,2018,Supplies,8756,current_long,251.1,1.282206292313819,11226.9982954998
Marlborough School District,0790011,2018,Property Services,0,current_long,251.1,1.282206292313819,0.0
Marlborough School District,0790011,2018,Purchased Services For Transportation,72484,current_long,251.1,1.282206292313819,92939.44089207487
Marlborough School District,0790011,2018,Equipment,8459,current_long,251.1,1.282206292313819,10846.183026682596
Marlborough School District,0790011,2018,All Other Expenditures,3540,current_long,251.1,1.282206292313819,4539.0102747909195
Marlborough School District,0790011,2018,Total,1292962,current_long,251.1,1.282206292313819,1657844.0121226602
Meriden School District,0800011,2018,Teacher Salaries,6978841,current_long,251.1,1.282206292313819,8948313.843257666
Meriden School District,0800011,2018,Instructional Aide Salaries,2624552,current_long,251.1,1.282206292313819,3365217.0889048185
Meriden School District,0800011,2018,Other Salaries,5901428,current_long,251.1,1.282206292313819,7566848.115236957
Meriden School District,0800011,2018,Employee Benefits,3161534,current_long,251.1,1.282206292313819,4053738.788164078
Meriden School District,0800011,2018,Purchased Services Other Than Transportation,527836,current_long,251.1,1.282206292313819,676794.640509757
Meriden School District,0800011,2018,Special Education Tuition,7340105,current_long,251.1,1.282206292313819,9411528.817244126
Meriden School District,0800011,2018,Supplies,143145,current_long,251.1,1.282206292313819,183541.41971326162
Meriden School District,0800011,2018,Property Services,180840,current_long,251.1,1.282206292313819,231874.18590203105
Meriden School District,0800011,2018,Purchased Services For Transportation,3122132,current_long,251.1,1.282206292313819,4003217.2958343285
Meriden School District,0800011,2018,Equipment,0,current_long,251.1,1.282206292313819,0.0
Meriden School District,0800011,2018,All Other Expenditures,450,current_long,251.1,1.282206292313819,576.9928315412186
Meriden School District,0800011,2018,Total,29980863,current_long,251.1,1.282206292313819,38441651.187598564
Middletown School District,0830011,2018,Teacher Salaries,5468072,current_long,251.1,1.282206292313819,7011196.32522501
Middletown School District,0830011,2018,Instructional Aide Salaries,3445046,current_long,251.1,1.282206292313819,4417259.658510554
Middletown School District,0830011,2018,Other Salaries,1519768,current_long,251.1,1.282206292313819,1948656.0924571883
Middletown School District,0830011,2018,Employee Benefits,1947656,current_long,251.1,1.282206292313819,2497296.778462764
Middletown School District,0830011,2018,Purchased Services Other Than Transportation,1189312,current_long,251.1,1.282206292313819,1524943.329924333
Middletown School District,0830011,2018,Special Education Tuition,5470549,current_long,251.1,1.282206292313819,7014372.350211071
Middletown School District,0830011,2018,Supplies,59592,current_long,251.1,1.282206292313819,76409.2373715651
Middletown School District,0830011,2018,Property Services,34500,current_long,251.1,1.282206292313819,44236.11708482676
Middletown School District,0830011,2018,Purchased Services For Transportation,2613813,current_long,251.1,1.282206292313819,3351447.4755316605
Middletown School District,0830011,2018,Equipment,4511,current_long,251.1,1.282206292313819,5784.032584627638
Middletown School District,0830011,2018,All Other Expenditures,0,current_long,251.1,1.282206292313819,0.0
Middletown School District,0830011,2018,Total,21752820,current_long,251.1,1.282206292313819,27891602.67956989
Milford School District,0840011,2018,Teacher Salaries,10042337,current_long,251.1,1.282206292313819,12876347.690935882
Milford School District,0840011,2018,Instructional Aide Salaries,3008329,current_long,251.1,1.282206292313819,3857298.373150139
Milford School District,0840011,2018,Other Salaries,1854865,current_long,251.1,1.282206292313819,2378319.574392672
Milford School District,0840011,2018,Employee Benefits,5303589,current_long,251.1,1.282206292313819,6800295.1876463555
Milford School District,0840011,2018,Purchased Services Other Than Transportation,438451,current_long,251.1,1.282206292313819,562184.6310712863
Milford School District,0840011,2018,Special Education Tuition,4801004,current_long,251.1,1.282206292313819,6155877.538223815
Milford School District,0840011,2018,Supplies,100728,current_long,251.1,1.282206292313819,129154.07541218637
Milford School District,0840011,2018,Property Services,10060,current_long,251.1,1.282206292313819,12898.995300677021
Milford School District,0840011,2018,Purchased Services For Transportation,2101881,current_long,251.1,1.282206292313819,2695045.0438948623
Milford School District,0840011,2018,Equipment,91068,current_long,251.1,1.282206292313819,116767.96262843488
Milford School District,0840011,2018,All Other Expenditures,46052,current_long,251.1,1.282206292313819,59048.164173635996
Milford School District,0840011,2018,Total,27798364,current_long,251.1,1.282206292313819,35643237.236829944
Monroe School District,0850011,2018,Teacher Salaries,4599162,current_long,251.1,1.282206292313819,5897074.455770609
Monroe School District,0850011,2018,Instructional Aide Salaries,36329,current_long,251.1,1.282206292313819,46581.27239346873
Monroe School District,0850011,2018,Other Salaries,1724714,current_long,251.1,1.282206292313819,2211439.143241736
Monroe School District,0850011,2018,Employee Benefits,1535100,current_long,251.1,1.282206292313819,1968314.8793309438
Monroe School District,0850011,2018,Purchased Services Other Than Transportation,1141988,current_long,251.1,1.282206292313819,1464264.1993468737
Monroe School District,0850011,2018,Special Education Tuition,2149548,current_long,251.1,1.282206292313819,2756163.971230585
Monroe School District,0850011,2018,Supplies,5048,current_long,251.1,1.282206292313819,6472.577363600159
Monroe School District,0850011,2018,Property Services,4114,current_long,251.1,1.282206292313819,5274.996686579052
Monroe School District,0850011,2018,Purchased Services For Transportation,1304926,current_long,251.1,1.282206292313819,1673184.3282039028
Monroe School District,0850011,2018,Equipment,3850,current_long,251.1,1.282206292313819,4936.494225408203
Monroe School District,0850011,2018,All Other Expenditures,1548,current_long,251.1,1.282206292313819,1984.855340501792
Monroe School District,0850011,2018,Total,12506326,current_long,251.1,1.282206292313819,16035689.890927916
Montville School District,0860011,2018,Teacher Salaries,3666530,current_long,251.1,1.282206292313819,4701247.836957388
Montville School District,0860011,2018,Instructional Aide Salaries,1370620,current_long,251.1,1.282206292313819,1757417.5883711667
Montville School District,0860011,2018,Other Salaries,858454,current_long,251.1,1.282206292313819,1100715.1204619673
Montville School District,0860011,2018,Employee Benefits,1096741,current_long,251.1,1.282206292313819,1406248.2112385503
Montville School District,0860011,2018,Purchased Services Other Than Transportation,346248,current_long,251.1,1.282206292313819,443961.3643010752
Montville School District,0860011,2018,Special Education Tuition,1553525,current_long,251.1,1.282206292313819,1991939.5302668258
Montville School District,0860011,2018,Supplies,79128,current_long,251.1,1.282206292313819,101458.41949820788
Montville School District,0860011,2018,Property Services,5182,current_long,251.1,1.282206292313819,6644.39300677021
Montville School District,0860011,2018,Purchased Services For Transportation,383117,current_long,251.1,1.282206292313819,491235.0280923934
Montville School District,0860011,2018,Equipment,14688,current_long,251.1,1.282206292313819,18833.046021505375
Montville School District,0860011,2018,All Other Expenditures,0,current_long,251.1,1.282206292313819,0.0
Montville School District,0860011,2018,Total,9374234,current_long,251.1,1.282206292313819,12019701.82042214
Naugatuck School District,0880011,2018,Teacher Salaries,6621843,current_long,251.1,1.282206292313819,8490568.761314217
Naugatuck School District,0880011,2018,Instructional Aide Salaries,1907291,current_long,251.1,1.282206292313819,2445540.5214735162
Naugatuck School District,0880011,2018,Other Salaries,202224,current_long,251.1,1.282206292313819,259292.88525686975
Naugatuck School District,0880011,2018,Employee Benefits,3341367,current_long,251.1,1.282206292313819,4284321.792329749
