"","Local",,"State",,"Federal",,"Tuition & Other",,"Total",
"District","Amount","Percent","Amount","Percent","Amount","Percent","Amount","Percent","Amount","Percent"
"Farmington School District",N/A,N/A,N/A,N/A
"Franklin School District",N/A,N/A,N/A,N/A
"Glastonbury School District",N/A,N/A,N/A,N/A
"Goodwin University Educational Services (GUES)",N/A,N/A,N/A,N/A
"Granby School District",N/A,N/A,N/A,N/A
"Great Oaks Charter School District",N/A,N/A,N/A,N/A
"Greenwich School District",N/A,N/A,N/A,N/A
"Griswold School District",N/A,N/A,N/A,N/A
"Groton School District",N/A,N/A,N/A,N/A
"Guilford School District",N/A,N/A,N/A,N/A
"Hamden School District",N/A,N/A,N/A,N/A
"Hampton School District",N/A,N/A,N/A,N/A
"Hartford School District",N/A,N/A,N/A,N/A
"Hartland School District",N/A,N/A,N/A,N/A
"Hebron School District",N/A,N/A,N/A,N/A
"Highville Charter School District",N/A,N/A,N/A,N/A
"Integrated Day Charter School District",N/A,N/A,N/A,N/A
"Interdistrict School for Arts and Comm District",N/A,N/A,N/A,N/A
"Jumoke Academy District",N/A,N/A,N/A,N/A
"Kent School District",N/A,N/A,N/A,N/A
"Killingly School District",N/A,N/A,N/A,N/A
"Learn",N/A,N/A,N/A,N/A
"Lebanon School District",N/A,N/A,N/A,N/A
"Ledyard School District",N/A,N/A,N/A,N/A
"Lisbon School District",N/A,N/A,N/A,N/A
"Madison School District",N/A,N/A,N/A,N/A
"Manchester School District",N/A,N/A,N/A,N/A
"Mansfield School District",N/A,N/A,N/A,N/A
"Marlborough School District",N/A,N/A,N/A,N/A
"Meriden School District",N/A,N/A,N/A,N/A
"Middletown School District",N/A,N/A,N/A,N/A
"Milford School District",N/A,N/A,N/A,N/A
"Monroe School District",N/A,N/A,N/A,N/A
"Montville School District",N/A,N/A,N/A,N/A
"Naugatuck School District",N/A,N/A,N/A,N/A
"New Beginnings Inc Family Academy District",N/A,N/A,N/A,N/A
"New Britain School District",N/A,N/A,N/A,N/A
"New Canaan School District",N/A,N/A,N/A,N/A
"New Fairfield School District",N/A,N/A,N/A,N/A
"New Hartford School District",N/A,N/A,N/A,N/A
