district,fiscal_year,school_year,placement_type,count,percent
Canton School District,2023,2022-23,Private Schools or Other Settings,20.0,7.7
Cheshire School District,2023,2022-23,Private Schools or Other Settings,13.0,2.4
Chester School District,2023,2022-23,Private Schools or Other Settings,0.0,0.0
Clinton School District,2023,2022-23,Private Schools or Other Settings,,
Colchester School District,2023,2022-23,Private Schools or Other Settings,7.0,2.1
Columbia School District,2023,2022-23,Private Schools or Other Settings,,
Connecticut Technical Education and Career System,2023,2022-23,Private Schools or Other Settings,0.0,0.0
Cornwall School District,2023,2022-23,Private Schools or Other Settings,0.0,0.0
Coventry School District,2023,2022-23,Private Schools or Other Settings,,
Cromwell School District,2023,2022-23,Private Schools or Other Settings,24.0,9.5
Danbury School District,2023,2022-23,Private Schools or Other Settings,76.0,4.8
Darien School District,2023,2022-23,Private Schools or Other Settings,21.0,2.5
Deep River School District,2023,2022-23,Private Schools or Other Settings,0.0,0.0
Department of Mental Health and Addiction Services,2023,2022-23,Private Schools or Other Settings,,
Derby School District,2023,2022-23,Private Schools or Other Settings,9.0,3.0
East Granby School District,2023,2022-23,Private Schools or Other Settings,8.0,7.4
East Haddam School District,2023,2022-23,Private Schools or Other Settings,6.0,4.5
East Hampton School District,2023,2022-23,Private Schools or Other Settings,8.0,2.9
East Hartford School District,2023,2022-23,Private Schools or Other Settings,25.0,1.6
East Haven School District,2023,2022-23,Private Schools or Other Settings,22.0,4.1
East Lyme School District,2023,2022-23,Private Schools or Other Settings,6.0,1.3
East Windsor School District,2023,2022-23,Private Schools or Other Settings,9.0,4.2
Eastford School District,2023,2022-23,Private Schools or Other Settings,,
Easton School District,2023,2022-23,Private Schools or Other Settings,,
Ellington School District,2023,2022-23,Private Schools or Other Settings,,
Enfield School District,2023,2022-23,Private Schools or Other Settings,25.0,2.7
Essex School District,2023,2022-23,Private Schools or Other Settings,,
Fairfield School District,2023,2022-23,Private Schools or Other Settings,72.0,4.6
Farmington School District,2023,2022-23,Private Schools or Other Settings,17.0,3.3
Franklin School District,2023,2022-23,Private Schools or Other Settings,,
Glastonbury School District,2023,2022-23,Private Schools or Other Settings,17.0,2.7
Granby School District,2023,2022-23,Private Schools or Other Settings,13.0,4.9
Greenwich School District,2023,2022-23,Private Schools or Other Settings,44.0,3.7
Griswold School District,2023,2022-23,Private Schools or Other Settings,7.0,2.5
Groton School District,2023,2022-23,Private Schools or Other Settings,20.0,2.7
Guilford School District,2023,2022-23,Private Schools or Other Settings,22.0,5.3
Hamden School District,2023,2022-23,Private Schools or Other Settings,88.0,7.7
Hampton School District,2023,2022-23,Private Schools or Other Settings,,
Hartford School District,2023,2022-23,Private Schools or Other Settings,366.0,9.3
Hartland School District,2023,2022-23,Private Schools or Other Settings,0.0,0.0
Hebron School District,2023,2022-23,Private Schools or Other Settings,0.0,0.0
Kent School District,2023,2022-23,Private Schools or Other Settings,0.0,0.0
Killingly School District,2023,2022-23,Private Schools or Other Settings,24.0,5.2
Lebanon School District,2023,2022-23,Private Schools or Other Settings,,
Ledyard School District,2023,2022-23,Private Schools or Other Settings,13.0,3.1
Lisbon School District,2023,2022-23,Private Schools or Other Settings,18.0,17.0
Litchfield School District,2023,2022-23,Private Schools or Other Settings,,
Madison School District,2023,2022-23,Private Schools or Other Settings,22.0,5.9
Manchester School District,2023,2022-23,Private Schools or Other Settings,77.0,6.5
Mansfield School District,2023,2022-23,Private Schools or Other Settings,,
Marlborough School District,2023,2022-23,Private Schools or Other Settings,0.0,0.0
Meriden School District,2023,2022-23,Private Schools or Other Settings,57.0,3.3
Middletown School District,2023,2022-23,Private Schools or Other Settings,71.0,10.3
Milford School District,2023,2022-23,Private Schools or Other Settings,65.0,7.4
Monroe School District,2023,2022-23,Private Schools or Other Settings,9.0,1.9
Montville School District,2023,2022-23,Private Schools or Other Settings,39.0,9.5
Naugatuck School District,2023,2022-23,Private Schools or Other Settings,18.0,2.2
New Britain School District,2023,2022-23,Private Schools or Other Settings,99.0,4.3
New Canaan School District,2023,2022-23,Private Schools or Other Settings,12.0,2.4
New Fairfield School District,2023,2022-23,Private Schools or Other Settings,10.0,2.9
New Hartford School District,2023,2022-23,Private Schools or Other Settings,,
New Haven School District,2023,2022-23,Private Schools or Other Settings,115.0,3.7
New London School District,2023,2022-23,Private Schools or Other Settings,44.0,6.8
New Milford School District,2023,2022-23,Private Schools or Other Settings,33.0,5.4
Newington School District,2023,2022-23,Private Schools or Other Settings,33.0,5.5
Newtown School District,2023,2022-23,Private Schools or Other Settings,17.0,2.7
North Branford School District,2023,2022-23,Private Schools or Other Settings,8.0,3.4
North Canaan School District,2023,2022-23,Private Schools or Other Settings,0.0,0.0
North Haven School District,2023,2022-23,Private Schools or Other Settings,10.0,2.4
North Stonington School District,2023,2022-23,Private Schools or Other Settings,6.0,7.1
Norwalk School District,2023,2022-23,Private Schools or Other Settings,63.0,3.5
Norwich School District,2023,2022-23,Private Schools or Other Settings,86.0,9.1
Old Saybrook School District,2023,2022-23,Private Schools or Other Settings,8.0,4.7
Orange School District,2023,2022-23,Private Schools or Other Settings,,
Oxford School District,2023,2022-23,Private Schools or Other Settings,11.0,4.2
Plainfield School District,2023,2022-23,Private Schools or Other Settings,11.0,3.2
Plainville School District,2023,2022-23,Private Schools or Other Settings,13.0,4.1
Plymouth School District,2023,2022-23,Private Schools or Other Settings,8.0,2.9
Pomfret School District,2023,2022-23,Private Schools or Other Settings,6.0,7.8
Portland School District,2023,2022-23,Private Schools or Other Settings,8.0,3.5
Preston School District,2023,2022-23,Private Schools or Other Settings,,
Putnam School District,2023,2022-23,Private Schools or Other Settings,19.0,8.7
Redding School District,2023,2022-23,Private Schools or Other Settings,,
Regional School District 01,2023,2022-23,Private Schools or Other Settings,6.0,9.8
Regional School District 04,2023,2022-23,Private Schools or Other Settings,11.0,7.1
Regional School District 05,2023,2022-23,Private Schools or Other Settings,10.0,3.6
Regional School District 06,2023,2022-23,Private Schools or Other Settings,,
Regional School District 07,2023,2022-23,Private Schools or Other Settings,9.0,4.9
Regional School District 08,2023,2022-23,Private Schools or Other Settings,12.0,5.9
Regional School District 09,2023,2022-23,Private Schools or Other Settings,9.0,7.0
Regional School District 10,2023,2022-23,Private Schools or Other Settings,15.0,5.0
Regional School District 11,2023,2022-23,Private Schools or Other Settings,,
Regional School District 12,2023,2022-23,Private Schools or Other Settings,22.0,20.8
Regional School District 13,2023,2022-23,Private Schools or Other Settings,6.0,2.0
Regional School District 14,2023,2022-23,Private Schools or Other Settings,7.0,2.9
Regional School District 15,2023,2022-23,Private Schools or Other Settings,28.0,4.5
Regional School District 16,2023,2022-23,Private Schools or Other Settings,9.0,3.1
Regional School District 17,2023,2022-23,Private Schools or Other Settings,12.0,4.0
Regional School District 18,2023,2022-23,Private Schools or Other Settings,,
Regional School District 19,2023,2022-23,Private Schools or Other Settings,7.0,4.2
Ridgefield School District,2023,2022-23,Private Schools or Other Settings,38.0,5.0
Rocky Hill School District,2023,2022-23,Private Schools or Other Settings,6.0,1.7
Salem School District,2023,2022-23,Private Schools or Other Settings,,
Scotland School District,2023,2022-23,Private Schools or Other Settings,,
Seymour School District,2023,2022-23,Private Schools or Other Settings,10.0,3.0
Shelton School District,2023,2022-23,Private Schools or Other Settings,21.0,2.9
Sherman School District,2023,2022-23,Private Schools or Other Settings,,
Simsbury School District,2023,2022-23,Private Schools or Other Settings,78.0,11.3
Somers School District,2023,2022-23,Private Schools or Other Settings,8.0,4.2
South Windsor School District,2023,2022-23,Private Schools or Other Settings,24.0,3.9
Southington School District,2023,2022-23,Private Schools or Other Settings,43.0,4.5
Sprague School District,2023,2022-23,Private Schools or Other Settings,8.0,10.8
Stafford School District,2023,2022-23,Private Schools or Other Settings,11.0,4.2
Stamford School District,2023,2022-23,Private Schools or Other Settings,118.0,4.9
State Total,2023,2022-23,Private Schools or Other Settings,3852.0,4.7
Sterling School District,2023,2022-23,Private Schools or Other Settings,,
Stonington School District,2023,2022-23,Private Schools or Other Settings,33.0,11.3
Stratford School District,2023,2022-23,Private Schools or Other Settings,65.0,5.8
Suffield School District,2023,2022-23,Private Schools or Other Settings,13.0,4.7
Thomaston School District,2023,2022-23,Private Schools or Other Settings,,
Thompson School District,2023,2022-23,Private Schools or Other Settings,21.0,11.1
Tolland School District,2023,2022-23,Private Schools or Other Settings,15.0,4.3
Torrington School District,2023,2022-23,Private Schools or Other Settings,51.0,6.9
Trumbull School District,2023,2022-23,Private Schools or Other Settings,32.0,3.4
Unified School District #2,2023,2022-23,Private Schools or Other Settings,15.0,23.8
Union School District,2023,2022-23,Private Schools or Other Settings,0.0,0.0
Vernon School District,2023,2022-23,Private Schools or Other Settings,13.0,2.2
Voluntown School District,2023,2022-23,Private Schools or Other Settings,,
Wallingford School District,2023,2022-23,Private Schools or Other Settings,35.0,3.8
Waterbury School District,2023,2022-23,Private Schools or Other Settings,134.0,3.7
Waterford School District,2023,2022-23,Private Schools or Other Settings,22.0,5.8
Watertown School District,2023,2022-23,Private Schools or Other Settings,35.0,8.2
West Hartford School District,2023,2022-23,Private Schools or Other Settings,175.0,11.2
West Haven School District,2023,2022-23,Private Schools or Other Settings,60.0,5.1
Westbrook School District,2023,2022-23,Private Schools or Other Settings,,
Weston School District,2023,2022-23,Private Schools or Other Settings,15.0,5.2
Westport School District,2023,2022-23,Private Schools or Other Settings,25.0,3.4
Wethersfield School District,2023,2022-23,Private Schools or Other Settings,25.0,4.6
Willington School District,2023,2022-23,Private Schools or Other Settings,0.0,0.0
Wilton School District,2023,2022-23,Private Schools or Other Settings,21.0,3.3
Winchester School District,2023,2022-23,Private Schools or Other Settings,11.0,6.1
Windham School District,2023,2022-23,Private Schools or Other Settings,16.0,2.6
Windsor Locks School District,2023,2022-23,Private Schools or Other Settings,12.0,4.4
Windsor School District,2023,2022-23,Private Schools or Other Settings,40.0,5.6
Wolcott School District,2023,2022-23,Private Schools or Other Settings,11.0,3.4
Woodbridge School District,2023,2022-23,Private Schools or Other Settings,,
Woodstock School District,2023,2022-23,Private Schools or Other Settings,,
Andover School District,2023,2022-23,Public Schools in Other Districts,,
Ansonia School District,2023,2022-23,Public Schools in Other Districts,47.0,11.7
Ashford School District,2023,2022-23,Public Schools in Other Districts,,
Avon School District,2023,2022-23,Public Schools in Other Districts,17.0,4.8
Barkhamsted School District,2023,2022-23,Public Schools in Other Districts,0.0,0.0
Berlin School District,2023,2022-23,Public Schools in Other Districts,10.0,2.5
Bethel School District,2023,2022-23,Public Schools in Other Districts,10.0,2.1
Bloomfield School District,2023,2022-23,Public Schools in Other Districts,114.0,26.0
Bolton School District,2023,2022-23,Public Schools in Other Districts,,
Bozrah School District,2023,2022-23,Public Schools in Other Districts,21.0,44.7
Branford School District,2023,2022-23,Public Schools in Other Districts,14.0,4.3
Bridgeport School District,2023,2022-23,Public Schools in Other Districts,610.0,15.1
Bristol School District,2023,2022-23,Public Schools in Other Districts,70.0,4.4
Brookfield School District,2023,2022-23,Public Schools in Other Districts,16.0,4.1
Brooklyn School District,2023,2022-23,Public Schools in Other Districts,45.0,23.6
Canterbury School District,2023,2022-23,Public Schools in Other Districts,23.0,34.3
Canton School District,2023,2022-23,Public Schools in Other Districts,9.0,3.4
Cheshire School District,2023,2022-23,Public Schools in Other Districts,8.0,1.5
Chester School District,2023,2022-23,Public Schools in Other Districts,,
Clinton School District,2023,2022-23,Public Schools in Other Districts,16.0,7.1
Colchester School District,2023,2022-23,Public Schools in Other Districts,16.0,4.8
Columbia School District,2023,2022-23,Public Schools in Other Districts,20.0,29.0
Connecticut Technical Education and Career System,2023,2022-23,Public Schools in Other Districts,,
Cornwall School District,2023,2022-23,Public Schools in Other Districts,,
Coventry School District,2023,2022-23,Public Schools in Other Districts,13.0,6.0
Cromwell School District,2023,2022-23,Public Schools in Other Districts,12.0,4.8
Danbury School District,2023,2022-23,Public Schools in Other Districts,23.0,1.4
Darien School District,2023,2022-23,Public Schools in Other Districts,,
Deep River School District,2023,2022-23,Public Schools in Other Districts,,
Department of Mental Health and Addiction Services,2023,2022-23,Public Schools in Other Districts,0.0,0.0
Derby School District,2023,2022-23,Public Schools in Other Districts,28.0,9.4
East Granby School District,2023,2022-23,Public Schools in Other Districts,,
East Haddam School District,2023,2022-23,Public Schools in Other Districts,,
East Hampton School District,2023,2022-23,Public Schools in Other Districts,6.0,2.1
East Hartford School District,2023,2022-23,Public Schools in Other Districts,321.0,20.2
East Haven School District,2023,2022-23,Public Schools in Other Districts,58.0,10.9
East Lyme School District,2023,2022-23,Public Schools in Other Districts,11.0,2.4
East Windsor School District,2023,2022-23,Public Schools in Other Districts,15.0,7.0
Eastford School District,2023,2022-23,Public Schools in Other Districts,9.0,32.1
Easton School District,2023,2022-23,Public Schools in Other Districts,0.0,0.0
Ellington School District,2023,2022-23,Public Schools in Other Districts,16.0,4.1
Enfield School District,2023,2022-23,Public Schools in Other Districts,39.0,4.3
Essex School District,2023,2022-23,Public Schools in Other Districts,,
Fairfield School District,2023,2022-23,Public Schools in Other Districts,13.0,0.8
Farmington School District,2023,2022-23,Public Schools in Other Districts,8.0,1.6
Franklin School District,2023,2022-23,Public Schools in Other Districts,8.0,36.4
Glastonbury School District,2023,2022-23,Public Schools in Other Districts,23.0,3.7
Granby School District,2023,2022-23,Public Schools in Other Districts,9.0,3.4
Greenwich School District,2023,2022-23,Public Schools in Other Districts,6.0,0.5
Griswold School District,2023,2022-23,Public Schools in Other Districts,17.0,6.0
Groton School District,2023,2022-23,Public Schools in Other Districts,50.0,6.6
Guilford School District,2023,2022-23,Public Schools in Other Districts,13.0,3.1
Hamden School District,2023,2022-23,Public Schools in Other Districts,188.0,16.4
Hampton School District,2023,2022-23,Public Schools in Other Districts,,
Hartford School District,2023,2022-23,Public Schools in Other Districts,1098.0,28.0
Hartland School District,2023,2022-23,Public Schools in Other Districts,11.0,26.8
Hebron School District,2023,2022-23,Public Schools in Other Districts,,
Kent School District,2023,2022-23,Public Schools in Other Districts,,
Killingly School District,2023,2022-23,Public Schools in Other Districts,35.0,7.6
Lebanon School District,2023,2022-23,Public Schools in Other Districts,6.0,4.6
Ledyard School District,2023,2022-23,Public Schools in Other Districts,13.0,3.1
Lisbon School District,2023,2022-23,Public Schools in Other Districts,32.0,30.2
Litchfield School District,2023,2022-23,Public Schools in Other Districts,7.0,4.7
Madison School District,2023,2022-23,Public Schools in Other Districts,13.0,3.5
Manchester School District,2023,2022-23,Public Schools in Other Districts,172.0,14.6
Mansfield School District,2023,2022-23,Public Schools in Other Districts,,
Marlborough School District,2023,2022-23,Public Schools in Other Districts,,
Meriden School District,2023,2022-23,Public Schools in Other Districts,80.0,4.6
Middletown School District,2023,2022-23,Public Schools in Other Districts,24.0,3.5
Milford School District,2023,2022-23,Public Schools in Other Districts,31.0,3.5
Monroe School District,2023,2022-23,Public Schools in Other Districts,17.0,3.6
Montville School District,2023,2022-23,Public Schools in Other Districts,26.0,6.4
Naugatuck School District,2023,2022-23,Public Schools in Other Districts,48.0,5.9
New Britain School District,2023,2022-23,Public Schools in Other Districts,301.0,13.1
New Canaan School District,2023,2022-23,Public Schools in Other Districts,,
New Fairfield School District,2023,2022-23,Public Schools in Other Districts,6.0,1.7
New Hartford School District,2023,2022-23,Public Schools in Other Districts,,
New Haven School District,2023,2022-23,Public Schools in Other Districts,497.0,16.1
New London School District,2023,2022-23,Public Schools in Other Districts,114.0,17.7
New Milford School District,2023,2022-23,Public Schools in Other Districts,18.0,3.0
Newington School District,2023,2022-23,Public Schools in Other Districts,27.0,4.5
Newtown School District,2023,2022-23,Public Schools in Other Districts,28.0,4.5
North Branford School District,2023,2022-23,Public Schools in Other Districts,12.0,5.0
North Canaan School District,2023,2022-23,Public Schools in Other Districts,,
North Haven School District,2023,2022-23,Public Schools in Other Districts,19.0,4.5
North Stonington School District,2023,2022-23,Public Schools in Other Districts,7.0,8.3
Norwalk School District,2023,2022-23,Public Schools in Other Districts,84.0,4.7
Norwich School District,2023,2022-23,Public Schools in Other Districts,339.0,35.8
Old Saybrook School District,2023,2022-23,Public Schools in Other Districts,,
Orange School District,2023,2022-23,Public Schools in Other Districts,,
Oxford School District,2023,2022-23,Public Schools in Other Districts,14.0,5.4
Plainfield School District,2023,2022-23,Public Schools in Other Districts,26.0,7.6
Plainville School District,2023,2022-23,Public Schools in Other Districts,10.0,3.1
Plymouth School District,2023,2022-23,Public Schools in Other Districts,13.0,4.7
Pomfret School District,2023,2022-23,Public Schools in Other Districts,22.0,28.6
Portland School District,2023,2022-23,Public Schools in Other Districts,,
Preston School District,2023,2022-23,Public Schools in Other Districts,26.0,32.1
Putnam School District,2023,2022-23,Public Schools in Other Districts,8.0,3.7
Redding School District,2023,2022-23,Public Schools in Other Districts,,
Regional School District 01,2023,2022-23,Public Schools in Other Districts,,
Regional School District 04,2023,2022-23,Public Schools in Other Districts,,
Regional School District 05,2023,2022-23,Public Schools in Other Districts,19.0,6.9
Regional School District 06,2023,2022-23,Public Schools in Other Districts,,
Regional School District 07,2023,2022-23,Public Schools in Other Districts,6.0,3.2
Regional School District 08,2023,2022-23,Public Schools in Other Districts,12.0,5.9
Regional School District 09,2023,2022-23,Public Schools in Other Districts,9.0,7.0
Regional School District 10,2023,2022-23,Public Schools in Other Districts,26.0,8.6
Regional School District 11,2023,2022-23,Public Schools in Other Districts,14.0,23.0
Regional School District 12,2023,2022-23,Public Schools in Other Districts,0.0,0.0
Regional School District 13,2023,2022-23,Public Schools in Other Districts,,
Regional School District 14,2023,2022-23,Public Schools in Other Districts,,
Regional School District 15,2023,2022-23,Public Schools in Other Districts,28.0,4.5
Regional School District 16,2023,2022-23,Public Schools in Other Districts,13.0,4.5
Regional School District 17,2023,2022-23,Public Schools in Other Districts,,
Regional School District 18,2023,2022-23,Public Schools in Other Districts,,
Regional School District 19,2023,2022-23,Public Schools in Other Districts,8.0,4.8
Ridgefield School District,2023,2022-23,Public Schools in Other Districts,6.0,0.8
Rocky Hill School District,2023,2022-23,Public Schools in Other Districts,17.0,4.8
Salem School District,2023,2022-23,Public Schools in Other Districts,21.0,23.6
Scotland School District,2023,2022-23,Public Schools in Other Districts,,
Seymour School District,2023,2022-23,Public Schools in Other Districts,13.0,4.0
Shelton School District,2023,2022-23,Public Schools in Other Districts,33.0,4.6
Sherman School District,2023,2022-23,Public Schools in Other Districts,16.0,34.0
Simsbury School District,2023,2022-23,Public Schools in Other Districts,16.0,2.3
Somers School District,2023,2022-23,Public Schools in Other Districts,,
South Windsor School District,2023,2022-23,Public Schools in Other Districts,18.0,2.9
Southington School District,2023,2022-23,Public Schools in Other Districts,20.0,2.1
Sprague School District,2023,2022-23,Public Schools in Other Districts,28.0,37.8
Stafford School District,2023,2022-23,Public Schools in Other Districts,9.0,3.4
Stamford School District,2023,2022-23,Public Schools in Other Districts,95.0,3.9
State Total,2023,2022-23,Public Schools in Other Districts,6714.0,8.1
Sterling School District,2023,2022-23,Public Schools in Other Districts,29.0,37.7
Stonington School District,2023,2022-23,Public Schools in Other Districts,19.0,6.5
Stratford School District,2023,2022-23,Public Schools in Other Districts,61.0,5.4
Suffield School District,2023,2022-23,Public Schools in Other Districts,9.0,3.2
Thomaston School District,2023,2022-23,Public Schools in Other Districts,15.0,12.6
Thompson School District,2023,2022-23,Public Schools in Other Districts,8.0,4.2
Tolland School District,2023,2022-23,Public Schools in Other Districts,14.0,4.1
Torrington School District,2023,2022-23,Public Schools in Other Districts,82.0,11.1
Trumbull School District,2023,2022-23,Public Schools in Other Districts,32.0,3.4
Unified School District #2,2023,2022-23,Public Schools in Other Districts,,
Union School District,2023,2022-23,Public Schools in Other Districts,,
Vernon School District,2023,2022-23,Public Schools in Other Districts,51.0,8.8
Voluntown School District,2023,2022-23,Public Schools in Other Districts,15.0,29.4
Wallingford School District,2023,2022-23,Public Schools in Other Districts,32.0,3.5
Waterbury School District,2023,2022-23,Public Schools in Other Districts,161.0,4.5
Waterford School District,2023,2022-23,Public Schools in Other Districts,17.0,4.5
Watertown School District,2023,2022-23,Public Schools in Other Districts,24.0,5.6
West Hartford School District,2023,2022-23,Public Schools in Other Districts,40.0,2.6
West Haven School District,2023,2022-23,Public Schools in Other Districts,124.0,10.6
Westbrook School District,2023,2022-23,Public Schools in Other Districts,,
Weston School District,2023,2022-23,Public Schools in Other Districts,8.0,2.8
Westport School District,2023,2022-23,Public Schools in Other Districts,,
Wethersfield School District,2023,2022-23,Public Schools in Other Districts,42.0,7.8
Willington School District,2023,2022-23,Public Schools in Other Districts,6.0,8.8
Wilton School District,2023,2022-23,Public Schools in Other Districts,,
Winchester School District,2023,2022-23,Public Schools in Other Districts,70.0,39.1
Windham School District,2023,2022-23,Public Schools in Other Districts,33.0,5.4
Windsor Locks School District,2023,2022-23,Public Schools in Other Districts,18.0,6.7
Windsor School District,2023,2022-23,Public Schools in Other Districts,88.0,12.2
Wolcott School District,2023,2022-23,Public Schools in Other Districts,11.0,3.4
Woodbridge School District,2023,2022-23,Public Schools in Other Districts,0.0,0.0
Woodstock School District,2023,2022-23,Public Schools in Other Districts,42.0,28.4
Andover School District,2022,2021-22,Private Schools or Other Settings,,
Ansonia School District,2022,2021-22,Private Schools or Other Settings,19.0,4.4
Ashford School District,2022,2021-22,Private Schools or Other Settings,0.0,0.0
Avon School District,2022,2021-22,Private Schools or Other Settings,12.0,3.6
Barkhamsted School District,2022,2021-22,Private Schools or Other Settings,,
Berlin School District,2022,2021-22,Private Schools or Other Settings,28.0,6.8
Bethany School District,2022,2021-22,Private Schools or Other Settings,,
Bethel School District,2022,2021-22,Private Schools or Other Settings,8.0,1.9
Bloomfield School District,2022,2021-22,Private Schools or Other Settings,13.0,3.0
Bolton School District,2022,2021-22,Private Schools or Other Settings,,
Bozrah School District,2022,2021-22,Private Schools or Other Settings,,
Branford School District,2022,2021-22,Private Schools or Other Settings,12.0,3.4
Bridgeport School District,2022,2021-22,Private Schools or Other Settings,126.0,3.2
Bristol School District,2022,2021-22,Private Schools or Other Settings,100.0,6.5
Brookfield School District,2022,2021-22,Private Schools or Other Settings,13.0,3.4
Brooklyn School District,2022,2021-22,Private Schools or Other Settings,8.0,4.4
Canaan School District,2022,2021-22,Private Schools or Other Settings,0.0,0.0
Canterbury School District,2022,2021-22,Private Schools or Other Settings,,
Canton School District,2022,2021-22,Private Schools or Other Settings,15.0,6.5
Chaplin School District,2022,2021-22,Private Schools or Other Settings,,
Cheshire School District,2022,2021-22,Private Schools or Other Settings,11.0,2.0
Chester School District,2022,2021-22,Private Schools or Other Settings,0.0,0.0
Clinton School District,2022,2021-22,Private Schools or Other Settings,,
Colchester School District,2022,2021-22,Private Schools or Other Settings,,
Columbia School District,2022,2021-22,Private Schools or Other Settings,,
Cornwall School District,2022,2021-22,Private Schools or Other Settings,,
Coventry School District,2022,2021-22,Private Schools or Other Settings,,
Cromwell School District,2022,2021-22,Private Schools or Other Settings,14.0,5.8
Danbury School District,2022,2021-22,Private Schools or Other Settings,67.0,4.3
Darien School District,2022,2021-22,Private Schools or Other Settings,27.0,3.3
Deep River School District,2022,2021-22,Private Schools or Other Settings,0.0,0.0
Department of Mental Health and Addiction Services,2022,2021-22,Private Schools or Other Settings,,
Derby School District,2022,2021-22,Private Schools or Other Settings,6.0,2.1
East Granby School District,2022,2021-22,Private Schools or Other Settings,9.0,7.2
East Haddam School District,2022,2021-22,Private Schools or Other Settings,,
East Hampton School District,2022,2021-22,Private Schools or Other Settings,6.0,2.1
East Hartford School District,2022,2021-22,Private Schools or Other Settings,32.0,2.1
East Haven School District,2022,2021-22,Private Schools or Other Settings,25.0,5.0
East Lyme School District,2022,2021-22,Private Schools or Other Settings,8.0,1.9
East Windsor School District,2022,2021-22,Private Schools or Other Settings,,
Eastford School District,2022,2021-22,Private Schools or Other Settings,,
Easton School District,2022,2021-22,Private Schools or Other Settings,,
Ellington School District,2022,2021-22,Private Schools or Other Settings,,
Enfield School District,2022,2021-22,Private Schools or Other Settings,31.0,3.5
Essex School District,2022,2021-22,Private Schools or Other Settings,0.0,0.0
Fairfield School District,2022,2021-22,Private Schools or Other Settings,72.0,4.9
Farmington School District,2022,2021-22,Private Schools or Other Settings,18.0,3.5
Franklin School District,2022,2021-22,Private Schools or Other Settings,,
Glastonbury School District,2022,2021-22,Private Schools or Other Settings,19.0,3.0
Granby School District,2022,2021-22,Private Schools or Other Settings,12.0,4.4
Greenwich School District,2022,2021-22,Private Schools or Other Settings,22.0,2.0
Griswold School District,2022,2021-22,Private Schools or Other Settings,,
Groton School District,2022,2021-22,Private Schools or Other Settings,23.0,3.0
Guilford School District,2022,2021-22,Private Schools or Other Settings,23.0,5.8
Hamden School District,2022,2021-22,Private Schools or Other Settings,82.0,7.4
Hampton School District,2022,2021-22,Private Schools or Other Settings,,
Hartford School District,2022,2021-22,Private Schools or Other Settings,369.0,9.2
Hartland School District,2022,2021-22,Private Schools or Other Settings,0.0,0.0
Killingly School District,2022,2021-22,Private Schools or Other Settings,22.0,5.2
Lebanon School District,2022,2021-22,Private Schools or Other Settings,,
Ledyard School District,2022,2021-22,Private Schools or Other Settings,12.0,3.0
Lisbon School District,2022,2021-22,Private Schools or Other Settings,,
Litchfield School District,2022,2021-22,Private Schools or Other Settings,,
Madison School District,2022,2021-22,Private Schools or Other Settings,14.0,3.9
Manchester School District,2022,2021-22,Private Schools or Other Settings,67.0,5.9
Mansfield School District,2022,2021-22,Private Schools or Other Settings,,
Marlborough School District,2022,2021-22,Private Schools or Other Settings,,
Meriden School District,2022,2021-22,Private Schools or Other Settings,49.0,2.8
Middletown School District,2022,2021-22,Private Schools or Other Settings,76.0,11.4
Milford School District,2022,2021-22,Private Schools or Other Settings,58.0,6.8
Monroe School District,2022,2021-22,Private Schools or Other Settings,13.0,2.8
Montville School District,2022,2021-22,Private Schools or Other Settings,20.0,5.1
Naugatuck School District,2022,2021-22,Private Schools or Other Settings,14.0,1.8
New Britain School District,2022,2021-22,Private Schools or Other Settings,75.0,3.3
New Canaan School District,2022,2021-22,Private Schools or Other Settings,12.0,2.4
New Fairfield School District,2022,2021-22,Private Schools or Other Settings,10.0,3.1
New Hartford School District,2022,2021-22,Private Schools or Other Settings,,
New Haven School District,2022,2021-22,Private Schools or Other Settings,112.0,3.7
New London School District,2022,2021-22,Private Schools or Other Settings,46.0,7.0
New Milford School District,2022,2021-22,Private Schools or Other Settings,28.0,4.9
Newington School District,2022,2021-22,Private Schools or Other Settings,32.0,5.3
Newtown School District,2022,2021-22,Private Schools or Other Settings,17.0,2.8
North Branford School District,2022,2021-22,Private Schools or Other Settings,8.0,3.3
North Canaan School District,2022,2021-22,Private Schools or Other Settings,0.0,0.0
North Haven School District,2022,2021-22,Private Schools or Other Settings,12.0,3.1
North Stonington School District,2022,2021-22,Private Schools or Other Settings,6.0,7.7
Norwalk School District,2022,2021-22,Private Schools or Other Settings,51.0,3.0
Norwich School District,2022,2021-22,Private Schools or Other Settings,79.0,8.6
Old Saybrook School District,2022,2021-22,Private Schools or Other Settings,9.0,5.3
Orange School District,2022,2021-22,Private Schools or Other Settings,,
Oxford School District,2022,2021-22,Private Schools or Other Settings,12.0,5.0
Plainfield School District,2022,2021-22,Private Schools or Other Settings,10.0,2.9
Plainville School District,2022,2021-22,Private Schools or Other Settings,17.0,5.3
Plymouth School District,2022,2021-22,Private Schools or Other Settings,8.0,3.0
Pomfret School District,2022,2021-22,Private Schools or Other Settings,7.0,9.1
Portland School District,2022,2021-22,Private Schools or Other Settings,6.0,3.0
Preston School District,2022,2021-22,Private Schools or Other Settings,,
Putnam School District,2022,2021-22,Private Schools or Other Settings,14.0,6.3
Redding School District,2022,2021-22,Private Schools or Other Settings,,
Regional School District 01,2022,2021-22,Private Schools or Other Settings,7.0,10.3
