District,fiscal_year,exp_instructional_staff,exp_instructional_supplies,exp_instruction_media,exp_student_support,exp_admin_support,exp_plant,exp_transportation,exp_tuitioned_out,exp_other,total_expenditures
Hartford School District,2007,183451322.0,10591219.0,15698413.0,30089571.0,37073528.0,37776301.0,22469615.0,22903107.0,0.0,360053076.0
Hartland School District,2007,1406185.0,60202.0,144061.0,379808.0,371942.0,250080.0,243902.0,93994.0,102436.0,3052610.0
Hebron School District,2007,7232338.0,323060.0,345442.0,463373.0,926440.0,1022367.0,569182.0,114934.0,0.0,10997136.0
Highville Mustard Seed Charter School District,2007,990580.0,50383.0,100249.0,429105.0,819112.0,545075.0,0.0,0.0,136228.0,3070732.0
Integrated Day Charter School District,2007,1592184.0,69779.0,213156.0,72256.0,459374.0,319704.0,3574.0,0.0,71792.0,2801819.0
Interdistrict School for Arts and Comm District,2007,1017881.0,35477.0,39696.0,55880.0,319440.0,179337.0,1570.0,0.0,17636.0,1666917.0
Jumoke Academy District,2007,1234103.0,112750.0,85885.0,455453.0,718672.0,329455.0,0.0,0.0,272.0,2936590.0
Kent School District,2007,2446220.0,94582.0,91971.0,217989.0,451473.0,443063.0,286918.0,0.0,26700.0,4058916.0
Killingly School District,2007,19326613.0,664059.0,1602303.0,1740389.0,3994010.0,3423998.0,1732339.0,1984310.0,18567.0,34486588.0
Lebanon School District,2007,8308661.0,454359.0,414533.0,1119455.0,1741426.0,1803287.0,1026169.0,567645.0,188958.0,15624493.0
Ledyard School District,2007,19076183.0,661228.0,496382.0,1821939.0,3890778.0,2684474.0,2043453.0,1355932.0,421944.0,32452313.0
Lisbon School District,2007,4511214.0,158228.0,17064.0,123372.0,438367.0,721203.0,597105.0,276797.0,11726.0,6855076.0
Litchfield School District,2007,8438274.0,370238.0,781985.0,1308145.0,1527279.0,1673356.0,922564.0,466049.0,349697.0,15837587.0
Madison School District,2007,22868146.0,1050617.0,1414148.0,2662670.0,3234543.0,4188626.0,2526839.0,1731458.0,1231951.0,40908998.0
Manchester School District,2007,54302563.0,1430267.0,2242139.0,5994940.0,9461534.0,9973344.0,3433830.0,6060195.0,1293642.0,94192454.0
Mansfield School District,2007,11961581.0,612691.0,666213.0,1160437.0,2258060.0,1807158.0,875415.0,449661.0,78853.0,19870069.0
Marlborough School District,2007,4484455.0,174950.0,222117.0,182520.0,714935.0,629525.0,322738.0,105902.0,0.0,6837142.0
