"Per Pupil Expenditures, 2015-16"
"All Districts"

"","_","_","_","_","_","_","_","_","_"
="Jumoke Academy District",6429,344,85,1339,2573,1394,N/A,3,12172
="Kent School District",14200,742,500,1668,2555,2429,1311,121,24046
="Killingly School District",8010,253,974,941,1897,1771,1246,2,17108
="Lebanon School District",9096,797,470,1417,1603,2351,1293,287,17736
="Ledyard School District",8664,266,575,954,2057,1171,995,142,15183
="Lisbon School District",10497,688,220,1537,1635,1413,1224,90,19897
="Litchfield School District",10021,234,933,1838,1954,2018,1177,482,19626
="Madison School District",9586,399,891,1522,1374,1785,1139,475,17746
="Manchester School District",10417,227,1482,1231,2156,2162,661,181,16995
="Mansfield School District",11285,488,426,1101,2528,1356,541,81,18308
="Marlborough School District",9248,342,573,357,1473,1161,295,0,13483
="Meriden School District",8883,360,113,1103,1324,1694,710,133,14229
="Middletown School District",10351,270,423,935,1430,2003,1521,323,17289
="Milford School District",11859,514,401,572,1969,2000,713,351,18864
="Monroe School District",9149,173,1743,1217,1708,1705,900,181,17109
="Montville School District",10217,413,326,997,1416,1676,1070,317,16154
="Naugatuck School District",9307,231,200,1291,2613,1557,733,223,15679
="New Beginnings Inc Family Academy District",7346,385,16,906,3002,1167,N/A,1082,13911
="New Britain School District",9600,202,361,325,1230,1046,1104,21,13738
="New Canaan School District",10770,422,681,1878,2062,2272,1162,451,20603
="New Fairfield School District",9089,277,526,1177,1615,1371,766,222,15553
="New Hartford School District",10603,193,141,686,1886,2618,605,10,16887
="New Haven School District",10750,535,289,243,1718,1395,1353,155,17057
="New London School District",8772,628,560,1191,3007,2348,995,170,16103
="New Milford School District",8433,258,293,1035,1537,1436,1176,257,14990
="Newington School District",9708,416,535,954,1910,2525,791,207,16849
="Newtown School District",8545,276,343,1705,1780,2161,920,197,16685
="Norfolk School District",11144,210,1782,463,5599,3870,657,0,23863
="North Branford School District",7940,206,998,1343,1832,2007,1132,432,16020
="North Canaan School District",13702,498,130,1809,2422,1984,951,75,22124
="North Haven School District",8674,141,368,1167,2173,1239,1077,191,15804
="North Stonington School District",9466,1117,276,1006,2869,1632,1144,0,17089
="Norwalk School District",10813,187,108,1233,2290,1353,722,148,17548
="Norwich School District",10623,468,96,1396,1061,1346,1219,0,17850
="Odyssey Community School District",6819,153,222,167,1984,1562,N/A,0,10908
="Old Saybrook School District",9853,573,924,1233,1844,2935,919,485,19582
="Orange School District",9084,889,652,1761,2401,1621,462,126,17741
="Oxford School District",8639,270,141,1140,1753,1002,902,312,14536
="Park City Prep Charter School District",4146,350,593,703,2376,2224,N/A,524,10917
="Path Academy District",5387,396,563,2737,2372,1284,N/A,800,13572
="Plainfield School District",8246,278,342,1195,1615,1694,1214,192,15210
="Plainville School District",9902,380,524,720,1656,1332,765,0,15357
="Plymouth School District",8823,502,338,1160,1411,1237,1035,922,14895
="Pomfret School District",11107,358,546,354,1963,1559,1162,42,19059
="Portland School District",8267,470,439,954,1533,2114,670,316,14716
="Preston School District",12332,239,239,633,1846,1576,1572,77,20295
="Putnam School District",8794,282,191,2087,1898,1578,1103,216,17950
="Redding School District",15931,291,582,232,1955,2352,852,6,23439
="Regional School District 01",11978,686,1572,1969,2635,2964,308,1013,24914
="Regional School District 04",9237,209,391,1143,2407,2057,797,1007,18073
="Regional School District 05",9208,263,527,1222,2620,1685,1058,452,18133
="Regional School District 06",9860,415,785,1400,2389,1961,1157,377,18488
="Regional School District 07",9671,337,229,765,1955,1813,1633,467,17496
="Regional School District 08",8337,183,567,1197,1910,1743,857,405,15261
="Regional School District 09",13747,329,453,140,1650,1944,1194,0,20546
="Regional School District 10",8451,424,989,923,1478,1664,923,0,15179
="Regional School District 11",11275,332,475,1650,4140,2521,1583,936,22595
="Regional School District 12",13381,708,1587,2400,3004,4737,2163,608,29737
="Regional School District 13",10836,209,644,1838,2696,2261,1001,370,20089
="Regional School District 14",9221,260,1090,1743,1840,2245,1145,451,18737
="Regional School District 15",9779,128,355,1673,1658,1688,1119,372,17285
="Regional School District 16",8178,244,909,948,1985,2003,1076,265,15885
="Regional School District 17",9802,268,243,998,2138,2458,1453,403,18347
="Regional School District 18",10419,330,1093,1441,2513,2991,1012,446,20619
="Regional School District 19",10018,376,231,1091,2255,1561,1372,704,17968
="Ridgefield School District",10169,191,1122,996,1439,1801,912,283,17653
="Rocky Hill School District",9073,244,937,1048,1231,1837,602,0,14880
="Salem School District",8076,155,186,2957,3170,2533,1362,0,20688
="Salisbury School District",14228,358,740,1011,2326,3086,1304,9,24610
="Scotland School District",11060,335,1632,2057,3210,2270,775,71,21931
="Seymour School District",8157,254,439,1091,1995,1695,821,241,15055
="Sharon School District",17125,491,430,2532,3994,3901,1492,135,30904
="Shelton School District",8875,221,415,556,1396,1608,801,168,13973
="Sherman School District",12990,400,1289,158,1716,1696,1040,187,20567
="Side By Side Charter School District",6895,342,18,1213,2585,3359,N/A,0,14412
="Simsbury School District",9705,306,949,1183,1461,1752,713,179,16174
="Somers School District",8982,539,419,1060,1391,1714,683,221,15367
="South Windsor School District",9642,259,1138,1399,1828,1634,796,439,17195
="Southington School District",8667,225,171,1052,1566,1324,597,139,14086
="Sprague School District",8093,438,25,797,2285,1078,805,80,14128
="Stafford School District",10324,334,454,1114,2228,1982,1263,155,17932
="Stamford Academy District",6741,194,0,3654,9280,199,N/A,553,21038
="Stamford Charter School for Excellence District",6747,7636,1845,222,1659,0,N/A,144,18254
="Stamford School District",10387,211,1105,1089,2141,1598,856,0,18305
="Sterling School District",8014,439,525,353,1520,1149,846,69,14577
="Stonington School District",8861,199,847,1071,2024,2028,975,207,16865
="Stratford School District",8835,165,408,1650,1547,1424,696,251,15172
="Suffield School District",9268,501,275,1079,1790,1486,669,204,15898
="The Bridge Academy District",7934,395,113,1465,1521,802,N/A,517,12760
="Thomaston School District",9108,473,32,782,2429,2150,1069,222,15464
="Thompson School District",8958,285,252,1292,2486,1888,991,198,17516
="Tolland School District",8801,279,606,588,1755,1520,865,58,15130
="Torrington School District",9892,167,367,1967,1513,1163,1016,125,17018
="Trailblazers Academy District",7816,270,0,4487,16148,2244,N/A,799,31797
="Trumbull School District",9019,232,769,1281,1796,1233,710,186,15600
="Union School District",10651,752,320,1177,3646,1676,1071,0,20388
="Vernon School District",9769,296,693,1058,1893,1885,734,169,15858
="Voluntown School District",9550,516,461,1530,2732,4304,1148,194,21038
="Wallingford School District",9581,161,637,1068,2348,1926,1131,297,17520
="Waterbury School District",9360,229,1146,481,1300,1152,711,571,15248
="Waterford School District",10812,516,202,1271,1798,2032,857,360,16562
="Watertown School District",8007,160,946,516,1859,1795,806,19,14814
="West Hartford School District",8982,245,763,1075,1934,1421,724,145,15482
="West Haven School District",8804,323,542,900,1199,2725,764,307,14416
="Westbrook School District",14562,697,521,446,2238,2664,702,948,23089
="Weston School District",10578,147,1803,1867,2143,2515,702,502,21253
="Westport School District",11655,660,516,1800,2043,2218,919,310,20541
="Wethersfield School District",9294,412,292,1252,1370,1669,798,176,15442
="Willington School District",10803,338,678,1081,2754,1647,925,3,19059
="Wilton School District",11591,260,952,1977,2059,1612,929,0,20040
="Winchester School District",12132,250,920,1988,2877,826,1169,0,20541
="Windham School District",10127,625,434,1654,2031,1928,1021,0,18668
="Windsor Locks School District",11800,488,711,1252,2008,2602,738,320,19049
="Windsor School District",11164,391,922,1633,2567,1702,1181,231,18314
="Wolcott School District",9043,351,495,636,1584,1540,765,299,14251
="Woodbridge School District",11311,397,111,546,2986,1989,455,0,18558
="Woodstock School District",8173,311,154,827,1198,1989,683,22,14358

