"Per Pupil Expenditures, 2008-09"
"All Districts"

"","_","_","_","_","_","_","_","_","_"
="Hamden School District",9244,195,84,917,1518,1719,835,204,14612
="Hampton School District",8784,483,471,1165,2129,1763,601,184,18135
="Hartford School District",8295,433,412,1245,2056,1819,1341,0,15951
="Hartland School District",6465,301,608,1699,1613,1226,752,496,10709
="Hebron School District",6512,223,363,735,933,1076,260,0,10311
="Highville Charter School District",4726,257,178,511,1857,1713,N/A,527,9830
="Integrated Day Charter School District",5585,193,492,250,1549,1228,N/A,246,9548
="Interdistrict School for Arts and Comm District",6904,230,489,318,2332,1050,N/A,0,11357
="Jumoke Academy District",5142,627,302,1111,2120,1283,N/A,1,10586
="Kent School District",9050,509,370,913,1591,1752,778,112,15929
="Killingly School District",7529,197,711,720,1486,1296,802,0,13533
="Lebanon School District",6111,221,260,757,1149,1229,803,180,11350
="Ledyard School District",7379,273,353,712,1394,1040,843,160,12429
="Lisbon School District",7477,270,74,1063,1421,898,673,0,12590
="Litchfield School District",7245,308,861,1020,1281,1640,657,296,13511
="Madison School District",6737,329,481,931,985,1357,754,354,12376
="Manchester School District",8321,237,519,941,1556,1624,495,196,13783
="Mansfield School District",10113,635,463,1018,2088,1535,441,56,16725
="Marlborough School District",7252,131,307,288,1180,991,272,0,10870
="Meriden School District",7219,209,158,945,1336,1259,506,83,12221
="Middletown School District",8102,251,355,666,1047,1744,1143,259,14115
="Milford School District",9050,463,274,448,1235,1625,466,121,14127
="Monroe School District",7386,227,502,885,1075,1422,636,121,12423
="Montville School District",7614,410,299,763,1152,1582,727,183,12807
="Naugatuck School District",8443,176,122,887,1447,1524,605,134,13259
="New Beginnings Inc Family Academy District",5502,795,140,661,2016,972,N/A,715,10829
="New Britain School District",7966,244,302,432,1086,1138,963,49,12642
="New Canaan School District",9602,163,310,1536,2004,2267,966,266,17639
="New Fairfield School District",6807,283,322,835,1110,1129,428,161,11312
="New Hartford School District",7725,209,67,430,1182,1893,490,19,12455
="New Haven School District",9449,244,566,477,1863,1735,1025,228,16015
="New London School District",8449,348,566,1012,1746,1762,743,130,13624
="New Milford School District",6952,189,242,836,1185,1267,943,205,12193
="Newington School District",7030,528,411,756,1232,1765,563,172,12862
="Newtown School District",6790,286,324,759,1123,1655,878,153,12235
="Norfolk School District",8383,244,674,324,2652,2240,664,100,15856
="North Branford School District",5941,243,671,965,1213,1442,800,247,11561
="North Canaan School District",9719,457,38,818,1994,1731,670,4,15880
="North Haven School District",6233,125,308,1094,1421,1092,726,121,11449
="North Stonington School District",9271,483,187,734,1900,1315,934,27,14921
="Norwalk School District",9306,178,192,1394,2024,1423,506,135,15503
="Norwich School District",7987,181,99,1294,974,1422,899,0,14430
="Odyssey Community School District",5504,551,1102,181,1339,1320,N/A,0,9997
="Old Saybrook School District",7121,143,736,765,1262,1574,477,261,12723
="Orange School District",8462,248,343,1083,1365,1115,389,72,13752
="Oxford School District",6551,202,171,617,1648,1419,656,225,11923
="Park City Prep Charter School District",3790,321,24,1044,2405,1508,N/A,0,9093
="Plainfield School District",6857,214,340,893,1330,1232,782,107,12581
="Plainville School District",7927,229,450,642,1384,1471,684,0,13357
="Plymouth School District",6729,336,225,602,1047,1607,1117,166,11741
="Pomfret School District",7591,289,285,222,1042,1090,784,11,12501
="Portland School District",7099,319,428,814,1444,1605,569,199,12671
="Preston School District",9182,726,170,845,1231,1465,1222,105,16747
="Putnam School District",7467,391,243,1520,1833,1407,556,228,14550
="Redding School District",10511,256,294,171,1365,1611,741,124,16153
="Regional School District 01",9386,398,792,1416,1814,2520,223,576,18399
="Regional School District 04",7825,338,352,832,2791,1908,591,54,15462
="Regional School District 05",7686,250,483,707,2106,1452,809,345,14314
="Regional School District 06",7956,413,622,1006,1677,2063,771,220,14818
="Regional School District 07",7712,433,196,672,1339,1506,1198,346,13906
="Regional School District 08",7276,125,498,586,1095,1139,663,205,12076
="Regional School District 09",11701,406,437,169,1654,2170,855,125,18534
="Regional School District 10",6424,239,785,684,995,1265,896,0,11761
="Regional School District 11",8929,488,341,963,2916,2030,953,681,18077
="Regional School District 12",10544,589,853,1458,1852,2412,1239,395,19546
="Regional School District 13",7242,216,516,1655,1379,1711,847,238,14164
="Regional School District 14",6997,266,592,1132,1214,1628,793,290,13696
="Regional School District 15",7114,202,305,1126,1161,1438,772,261,12562
="Regional School District 16",6353,289,809,833,1341,1406,802,195,12285
="Regional School District 17",7309,375,228,755,1484,1876,627,227,13192
="Regional School District 18",8630,352,1013,1378,1886,2801,930,349,17981
="Regional School District 19",8743,355,253,947,1769,1310,1058,698,15613
="Ridgefield School District",7984,182,563,692,1049,1635,802,275,13906
="Rocky Hill School District",7187,230,623,764,1045,1369,435,0,11965
="Salem School District",8578,411,19,265,2136,1454,887,0,14731
="Salisbury School District",10819,284,499,798,1684,2954,730,4,18395
="Scotland School District",8555,672,201,790,1312,1216,522,121,13627
="Seymour School District",6241,316,309,767,1600,1420,545,149,11443
="Sharon School District",11959,455,791,1553,3029,2507,865,55,22591
="Shelton School District",6761,323,486,941,1180,1422,605,124,12036
="Sherman School District",8781,327,676,106,1525,1215,631,80,12613
="Side By Side Charter School District",6076,428,120,1119,1828,1603,N/A,0,11174
="Simsbury School District",7300,293,757,810,1087,1306,516,130,12414
="Somers School District",7035,173,232,671,1084,1155,656,134,11646
="South Windsor School District",7411,271,355,862,1283,1107,734,265,12527
="Southington School District",7429,148,140,822,1240,1066,441,101,11833
="Sprague School District",6849,540,112,508,2114,1963,846,70,13698
="Stafford School District",7607,227,251,1006,1383,1343,1012,28,13467
="Stamford Academy District",9844,130,0,3707,5701,1471,N/A,444,21622
="Stamford School District",9331,273,1051,1059,1831,1500,743,0,16283
="Sterling School District",7588,287,206,311,993,1076,776,39,12473
="Stonington School District",7003,123,692,777,1085,1407,763,182,12623
="Stratford School District",7129,213,388,1106,1153,1341,545,226,12432
="Suffield School District",7134,286,92,722,1494,1251,555,40,12045
="The Bridge Academy District",7617,454,34,804,885,548,N/A,333,10729
="Thomaston School District",7042,247,17,566,1455,1336,700,215,11312
="Thompson School District",6003,292,158,742,1736,1351,680,183,12242
="Tolland School District",6640,209,416,430,1003,1177,685,7,11057
="Torrington School District",8263,104,261,761,1159,1252,776,126,13521
="Trailblazers Academy District",11368,65,0,3711,5305,543,N/A,731,21924
="Trumbull School District",6799,204,564,962,1408,1310,640,103,12487
="Union School District",8500,531,224,660,1619,727,1702,0,13151
="Vernon School District",7726,310,433,908,1040,1512,668,148,13105
="Voluntown School District",8275,451,249,1562,1856,1338,989,150,16573
="Wallingford School District",7014,138,440,836,1704,1305,744,209,12755
="Waterbury School District",6919,319,1239,644,1267,1196,608,420,12904
="Waterford School District",8138,549,168,922,1278,1533,736,281,12916
="Watertown School District",6175,190,177,449,1397,1373,522,12,10696
="West Hartford School District",7105,235,644,827,1479,1371,508,118,12591
="West Haven School District",7505,235,470,753,969,2288,519,176,12012
="Westbrook School District",7924,389,196,1163,1580,1680,384,455,13903
="Weston School District",9529,235,1520,992,1408,2374,727,370,17569
="Westport School District",9108,526,817,1269,1603,2230,747,235,16959
="Wethersfield School District",7897,209,232,702,1059,1382,631,447,13024
="Willington School District",8546,365,341,696,1618,1190,556,0,13690
="Wilton School District",9119,182,733,1447,1624,1639,679,0,15978
="Winchester School District",7451,120,211,980,1668,1247,713,41,13535
="Windham School District",8770,264,354,921,1220,1254,680,142,13993
="Windsor Locks School District",8634,271,658,950,1406,2000,546,257,14433
="Windsor School District",8199,254,583,1202,1811,1518,758,155,14119
="Wolcott School District",7014,287,225,404,1142,1486,570,281,10924
="Woodbridge School District",10290,617,107,203,2175,1449,310,30,15627
="Woodstock School District",7021,351,178,715,887,1097,594,21,11401

