"Per Pupil Expenditures, 2007-08"
"All Districts"

"","_","_","_","_","_","_","_","_","_"
="Glastonbury School District",6477,267,597,653,1182,1321,606,169,11391
="Granby School District",6397,397,355,820,1118,1340,544,250,11270
="Greenwich School District",11045,342,372,1096,1672,1902,468,0,17328
="Griswold School District",6204,280,167,423,1529,1361,738,231,11098
="Groton School District",7734,428,571,1169,1379,1586,738,0,13724
="Guilford School District",7015,206,302,746,1564,1170,706,175,12468
="Hamden School District",8151,124,253,1107,1317,1410,775,110,13460
="Hampton School District",7834,473,559,989,1903,1332,595,95,15484
="Hartford School District",8371,368,494,1235,1856,1689,1017,0,15492
="Hartland School District",6549,340,714,1570,1595,1053,765,495,10347
="Hebron School District",5987,250,323,712,862,940,258,0,9585
="Highville Charter School District",4150,121,89,228,2356,2116,N/A,57,9116
="Integrated Day Charter School District",5447,204,650,235,1442,1046,N/A,167,9205
="Interdistrict School for Arts and Comm District",6288,162,323,272,1782,1083,N/A,58,9991
="Jumoke Academy District",4277,554,161,1418,2502,1289,N/A,1,10201
="Kent School District",9686,452,424,943,1857,1746,820,121,16989
="Killingly School District",7471,291,607,715,1458,1209,700,16,13115
="Lebanon School District",5867,234,290,806,1206,1243,697,125,10915
="Ledyard School District",6724,252,304,666,1465,923,745,142,11441
="Lisbon School District",7533,195,60,252,700,1278,748,30,11607
="Litchfield School District",7077,210,825,1028,1296,1693,726,274,13461
="Madison School District",6234,324,481,874,949,1199,675,296,11392
="Manchester School District",8093,307,414,906,1501,1571,504,193,13547
="Mansfield School District",9523,446,536,978,1941,1444,445,59,15771
="Marlborough School District",7019,192,339,283,1136,862,318,0,10679
="Meriden School District",6931,212,164,926,1345,1406,470,89,11977
="Middletown School District",8191,217,263,648,1064,1469,1154,255,13755
="Milford School District",8765,434,268,418,1179,1440,399,114,13444
="Monroe School District",6806,136,440,809,1100,1318,551,115,11373
="Montville School District",7278,484,323,749,1124,1362,630,191,12178
="Naugatuck School District",7842,200,111,861,1317,1328,513,177,12286
="New Beginnings Inc Family Academy District",4946,613,642,895,1495,1020,N/A,737,10371
="New Britain School District",7761,318,312,405,1085,1306,910,36,12534
="New Canaan School District",8852,195,307,1435,2380,2121,872,271,16942
="New Fairfield School District",6671,220,233,832,1170,1136,460,140,11110
="New Hartford School District",7283,151,80,456,1094,1437,528,7,11771
="New Haven School District",9149,262,506,420,1861,1701,956,160,15413
="New London School District",8669,311,695,1078,1821,1895,723,166,13816
="New Milford School District",6726,155,246,743,1078,1141,802,185,11429
="Newington School District",6745,400,373,731,1263,1675,604,162,12285
="Newtown School District",6498,255,305,757,1106,1542,790,141,11591
="Norfolk School District",7928,280,619,287,2306,2239,688,4,14880
="North Branford School District",5652,263,645,936,1236,1256,776,241,11096
="North Canaan School District",8837,339,32,729,1855,1414,614,4,14144
="North Haven School District",5916,121,253,1063,1374,910,700,114,10861
="North Stonington School District",8809,522,167,862,2017,1288,969,41,14574
="Norwalk School District",9372,285,372,809,1645,1409,530,132,14853
="Norwich School District",7450,218,74,1285,1006,1364,866,0,13797
="Odyssey Community School District",5677,339,463,177,1170,1172,N/A,0,8998
="Old Saybrook School District",6707,160,906,708,1254,1586,398,244,12297
="Orange School District",7789,297,42,886,1325,1161,341,22,12295
="Oxford School District",6331,285,27,588,1811,1236,637,132,11226
="Park City Prep Charter School District",3323,411,10,423,2234,1468,N/A,224,8113
="Plainfield School District",6550,216,367,887,1148,1124,833,100,12095
="Plainville School District",7509,315,391,604,1245,1337,656,0,12665
="Plymouth School District",6454,274,211,640,994,1193,1090,200,11025
="Pomfret School District",7194,288,237,200,1068,956,748,0,11817
="Portland School District",6762,498,492,764,1408,1614,531,166,12488
="Preston School District",9024,512,172,781,1179,1516,820,50,15329
="Putnam School District",7127,275,220,1260,1449,1396,619,189,13387
="Redding School District",9937,245,278,183,1338,1448,655,4,14918
="Regional School District 01",8884,389,683,1250,1729,2015,233,640,17223
="Regional School District 04",7542,299,381,797,2636,1654,521,51,14396
="Regional School District 05",7339,225,467,610,2042,1451,739,385,13591
="Regional School District 06",7526,420,481,949,1635,1750,726,189,13767
="Regional School District 07",7598,515,224,666,1381,1606,1189,337,13796
="Regional School District 08",7156,226,511,575,1144,1175,660,198,12310
="Regional School District 09",11231,318,304,170,1424,2099,869,0,17672
="Regional School District 10",6032,305,795,647,957,1259,745,0,11246
="Regional School District 11",9059,422,351,1354,3484,2450,1006,577,18864
="Regional School District 12",9445,585,764,1311,1715,2578,1208,352,18198
="Regional School District 13",7195,172,643,1190,1086,1461,815,172,13020
="Regional School District 14",6956,213,680,1006,1278,1302,711,299,12953
="Regional School District 15",6705,245,290,1048,1063,1434,731,257,11886
="Regional School District 16",5926,240,831,752,1286,1181,679,162,11230
="Regional School District 17",6814,247,489,683,1246,2034,804,201,12834
="Regional School District 18",7814,297,913,1234,1851,2452,698,333,16144
="Regional School District 19",8107,450,292,934,1767,1231,998,616,14768
="Ridgefield School District",7711,179,762,657,1015,1736,798,60,13457
="Rocky Hill School District",6970,190,515,716,982,1450,427,16,11678
="Salem School District",8510,687,93,253,1965,1303,860,0,14457
="Salisbury School District",10770,399,584,803,1698,2177,750,17,17815
="Scotland School District",7939,482,207,695,1291,889,560,67,12435
="Seymour School District",6087,293,275,682,1493,1324,475,175,10911
="Sharon School District",10367,346,693,1288,2524,2136,788,177,19427
="Shelton School District",6406,324,443,896,1059,1366,553,128,11346
="Sherman School District",8856,245,570,98,1252,1102,691,76,11888
="Side By Side Charter School District",5062,652,199,1738,1753,1410,N/A,0,10813
="Simsbury School District",7134,258,778,789,964,1191,472,122,11917
="Somers School District",6677,205,226,608,1026,1110,601,168,11049
="South Windsor School District",6828,356,345,806,1214,1045,676,243,11704
="Southington School District",7024,199,142,783,1175,1021,446,96,11332
="Sprague School District",6818,340,122,564,1624,1153,995,34,13267
="Stafford School District",7166,328,231,933,1382,1239,911,39,12904
="Stamford Academy District",6367,87,0,3489,6286,1370,N/A,461,18408
="Stamford School District",9088,241,959,983,1754,1422,711,0,15591
="Sterling School District",7400,255,164,341,1012,987,770,85,12386
="Stonington School District",6772,159,634,751,1072,1490,743,176,12227
="Stratford School District",6797,160,401,1031,1091,1223,544,197,11827
="Suffield School District",6837,220,80,722,1416,899,431,34,11140
="The Bridge Academy District",6536,398,38,766,1018,864,N/A,346,10057
="Thomaston School District",6694,309,17,545,1348,1205,596,219,10685
="Thompson School District",5372,278,216,715,1658,1280,637,203,11169
="Tolland School District",6050,238,331,804,1057,989,590,92,10563
="Torrington School District",7283,113,406,715,1103,1313,683,152,12520
="Trailblazers Academy District",9047,49,0,3319,5629,728,N/A,767,19700
="Trumbull School District",6650,223,543,869,1415,1225,539,144,11847
="Union School District",7966,615,272,731,1870,1172,1625,0,12968
="Vernon School District",7408,224,392,834,1021,1282,645,133,12555
="Voluntown School District",7558,683,264,1425,1847,1363,1044,185,15877
="Wallingford School District",6766,156,420,811,1723,1140,691,188,12243
="Waterbury School District",6915,347,1086,714,1169,1134,550,441,12650
="Waterford School District",7664,461,240,883,1256,1551,719,274,12393
="Watertown School District",5965,153,146,425,1334,1268,464,13,10151
="West Hartford School District",6788,161,574,791,1506,1492,418,112,12130
="West Haven School District",7501,269,416,700,935,1518,511,151,11531
="Westbrook School District",7505,220,252,1068,1431,1508,342,458,12990
="Weston School District",9212,225,1330,913,1299,2244,701,336,16658
="Westport School District",9031,314,830,1115,1623,1972,728,218,16336
="Wethersfield School District",7751,238,253,519,1084,1291,516,197,12209
="Willington School District",7965,355,343,637,1518,1187,498,21,12874
="Wilton School District",8680,217,731,1324,1530,1589,636,0,15129
="Winchester School District",6888,213,243,1393,1589,1167,632,505,13745
="Windham School District",8722,278,213,784,1148,1177,626,165,13500
="Windsor Locks School District",8394,268,584,939,1280,1701,522,329,13719
="Windsor School District",7796,253,600,1162,1765,1277,640,143,13192
="Wolcott School District",6615,281,205,426,1114,1262,499,253,10216
="Woodbridge School District",9349,439,97,177,1959,1479,311,33,14615
="Woodstock School District",6540,383,168,673,856,1096,660,21,11039

