"Per Pupil Expenditures, 2012-13"
"All Districts"

"","_","_","_","_","_","_","_","_","_"
="Elm City College Preparatory School District",6302,380,733,1336,3985,591,N/A,614,14029
="Enfield School District",9043,117,151,185,1648,1292,725,171,13310
="Essex School District",8416,269,139,1881,1787,1274,343,65,15547
="Explorations District",8613,76,436,1212,3361,2301,N/A,90,16881
="Fairfield School District",8378,169,987,1132,1720,1588,772,197,15381
="Farmington School District",9699,258,489,954,1021,1208,634,51,14785
="Franklin School District",8027,120,132,751,1776,1860,904,0,14816
="Glastonbury School District",7904,239,748,824,1513,1542,742,209,13841
="Granby School District",7495,399,461,937,1426,1594,646,275,13205
="Greenwich School District",12250,405,388,1228,1697,1468,515,0,18494
="Griswold School District",7609,88,118,537,2027,1410,806,152,13067
="Groton School District",9089,475,481,1155,1669,1521,933,0,15184
="Guilford School District",8617,258,490,926,1600,1407,878,205,15312
="Hamden School District",10542,163,246,1425,1655,1760,972,175,16270
="Hampton School District",11335,417,684,1751,2947,1967,715,171,22542
="Hartford School District",9019,500,325,1351,2269,1635,1254,8,16735
="Hartland School District",8089,269,823,1849,2034,1369,830,644,15210
="Hebron School District",8443,127,645,974,1399,1065,272,0,13011
="Highville Charter School District",5979,529,219,334,1897,1890,N/A,836,11898
="Integrated Day Charter School District",5888,192,428,319,1974,1131,N/A,344,10305
="Interdistrict School for Arts and Comm District",8137,256,827,353,2555,1220,N/A,0,13371
="Jumoke Academy District",5687,361,776,1709,2047,1579,N/A,12,12172
="Kent School District",11344,450,371,1239,2000,2199,1076,50,19672
="Killingly School District",7738,128,821,871,1562,1505,974,0,14953
="Lebanon School District",7633,402,343,1099,1524,1730,974,171,14628
="Ledyard School District",7622,234,343,813,1623,1058,1044,155,13264
="Lisbon School District",9687,141,61,1648,1481,1254,1017,0,17489
="Litchfield School District",8794,256,871,1426,1623,1811,962,390,16794
="Madison School District",8125,387,570,1222,1262,1481,933,384,14873
="Manchester School District",9730,212,740,1147,1718,1684,676,237,15326
="Mansfield School District",10259,404,551,890,2188,1310,490,68,16669
="Marlborough School District",7705,196,371,343,1149,1044,307,70,11244
="Meriden School District",7706,248,114,971,1278,1528,655,105,12754
="Middletown School District",8913,178,378,850,1213,1703,1203,323,14870
="Milford School District",10714,444,287,504,1587,1682,647,168,16365
="Monroe School District",9153,166,651,1181,1293,1701,693,149,15255
="Montville School District",8928,350,338,965,1337,1675,913,232,14661
="Naugatuck School District",9044,194,190,1003,1704,1320,667,166,14053
="New Beginnings Inc Family Academy District",5848,459,68,880,1506,1265,N/A,823,10971
="New Britain School District",8654,171,128,438,1203,900,1074,0,12616
="New Canaan School District",10075,193,585,1983,2131,1890,915,333,18758
="New Fairfield School District",8101,253,435,934,1477,1137,584,184,13420
="New Hartford School District",9110,166,105,583,1347,1738,595,0,14294
="New Haven School District",9498,356,339,254,1671,1469,1265,92,15520
="New London School District",7378,561,490,1153,2103,1743,931,127,13353
="New Milford School District",7358,219,240,871,1464,1226,968,230,12970
="Newington School District",8430,509,486,822,1462,2126,738,189,14962
="Newtown School District",7616,204,324,1150,1429,1971,793,171,13995
="Norfolk School District",11337,335,778,456,3956,3088,783,16,21364
="North Branford School District",7371,229,783,1124,1454,1661,1003,402,13897
="North Canaan School District",10685,326,117,1282,1863,1719,758,53,17381
="North Haven School District",7139,318,298,1325,1891,1180,737,151,13445
="North Stonington School District",9259,909,217,705,1796,1821,1073,23,15647
="Norwalk School District",10122,99,66,1089,2114,1396,498,103,15878
="Norwich School District",9366,352,244,1369,879,1197,1109,0,16212
="Odyssey Community School District",5849,162,289,167,1754,1318,N/A,0,9539
="Old Saybrook School District",8458,377,765,995,1507,1898,617,343,15855
="Orange School District",9265,229,531,1350,1278,1429,395,114,15041
="Oxford School District",7729,285,48,784,1683,1248,685,465,13262
="Park City Prep Charter School District",4213,317,328,1139,2985,2148,N/A,0,11130
="Plainfield School District",7371,176,241,1038,1369,1247,1008,132,13293
="Plainville School District",8968,208,476,670,1783,1426,573,0,14605
="Plymouth School District",8656,486,286,354,1301,1850,1171,277,13618
="Pomfret School District",9136,354,269,242,1265,1320,994,32,15526
="Portland School District",7727,336,388,830,1582,1793,590,235,13485
="Preston School District",11220,134,302,897,2074,2658,1526,99,20860
="Putnam School District",8016,406,198,1714,1623,1387,803,184,16262
="Redding School District",13835,240,433,184,1670,2037,764,2,20322
="Regional School District 01",12695,569,1222,1804,2447,3010,341,806,23117
="Regional School District 04",8331,218,290,966,2136,1904,627,761,15485
="Regional School District 05",8304,208,477,1046,2253,1646,836,402,15992
="Regional School District 06",9223,637,657,1101,1905,1820,985,282,16734
="Regional School District 07",8501,345,212,677,1677,1885,1347,429,15444
="Regional School District 08",7758,106,576,680,1108,1211,668,205,12574
="Regional School District 09",12394,352,463,130,1691,2302,1124,1,19522
="Regional School District 10",7510,225,824,899,1224,1390,837,0,13341
="Regional School District 11",9341,275,391,1461,3703,2256,1335,767,19865
="Regional School District 12",12407,963,1069,2125,2454,2794,1661,486,24481
="Regional School District 13",9446,174,483,1581,1964,1804,851,307,16832
="Regional School District 14",8256,263,745,1298,1353,1765,982,436,16021
="Regional School District 15",8429,116,359,1299,1491,1546,953,344,14824
="Regional School District 16",7531,204,783,917,1667,1338,953,221,13921
="Regional School District 17",8428,266,264,762,1789,2059,1405,282,15619
="Regional School District 18",9234,308,954,1437,2157,2687,811,419,18297
="Regional School District 19",8916,355,297,942,1901,1286,1237,610,16000
="Ridgefield School District",9514,188,858,799,1221,1596,937,174,16004
="Rocky Hill School District",8470,206,902,922,1102,1630,554,0,13713
="Salem School District",9609,443,95,382,2412,1961,1198,0,17751
="Salisbury School District",12150,206,533,971,1875,2312,1105,7,20212
="Scotland School District",11617,439,320,1160,2976,2299,678,189,20333
="Seymour School District",7366,318,425,945,1970,1429,635,197,13377
="Sharon School District",13383,396,432,1889,3041,3377,1313,114,24424
="Shelton School District",7676,204,215,867,1416,1560,760,151,12969
="Sherman School District",11536,226,715,140,1513,1327,789,101,17169
="Side By Side Charter School District",6759,175,57,1640,1954,1154,N/A,0,11739
="Simsbury School District",8633,202,909,1012,1256,1484,566,164,14256
="Somers School District",7689,352,301,849,1251,1290,633,187,13151
="South Windsor School District",8608,369,653,1133,1559,1558,733,431,15462
="Southington School District",7794,207,204,902,1408,1115,537,119,12763
="Sprague School District",7646,583,152,548,2087,1252,950,0,13772
="Stafford School District",8845,275,386,1110,1715,1735,1271,39,15741
="Stamford Academy District",8392,176,0,3879,9051,230,N/A,513,22761
="Stamford School District",9482,282,942,1028,1967,1454,794,0,16566
="Sterling School District",7775,188,528,334,1117,1071,760,89,12912
="Stonington School District",8141,109,616,864,1311,1597,1009,190,14455
="Stratford School District",7982,119,345,1372,1314,1228,641,221,13744
="Suffield School District",8575,349,113,865,1372,876,615,195,13495
="The Bridge Academy District",7389,431,121,1078,1369,909,N/A,420,11745
="Thomaston School District",8573,372,24,787,1943,1466,835,306,13402
="Thompson School District",7172,121,156,1209,2097,1678,595,240,14623
="Tolland School District",7696,158,546,548,1272,1190,758,38,12900
="Torrington School District",9251,139,607,873,1258,1368,825,119,15159
="Trailblazers Academy District",8859,104,0,2968,11765,1337,N/A,789,25859
="Trumbull School District",8003,241,564,1067,1552,1314,685,155,14138
="Union School District",9687,387,77,710,3443,1985,1343,0,15556
="Vernon School District",8567,107,731,1047,1245,1259,658,157,13664
="Voluntown School District",8530,330,242,1653,1956,1298,985,141,16250
="Wallingford School District",8311,620,464,960,2178,1328,990,240,15361
="Waterbury School District",7935,231,1614,739,1286,1132,621,537,14349
="Waterford School District",10382,322,177,1136,1685,1839,855,332,15571
="Watertown School District",7750,116,220,600,1616,1517,730,2,13234
="West Hartford School District",8214,172,736,953,1688,1332,593,127,13996
="West Haven School District",8065,248,425,718,977,2468,630,275,12689
="Westbrook School District",11535,596,311,327,1782,1861,642,541,18081
="Weston School District",10729,154,1605,1358,1558,2394,671,504,19452
="Westport School District",10916,488,610,1518,1829,1800,746,246,18619
="Wethersfield School District",7281,408,296,2355,1135,1343,569,176,13961
="Willington School District",10278,484,569,903,2087,1483,624,3,16912
="Wilton School District",10456,208,721,1642,1777,1546,766,0,17699
="Winchester School District",12151,53,249,1964,2175,1029,1037,0,18619
="Windham School District",9746,292,192,937,1769,1260,809,186,16097
="Windsor Locks School District",9794,269,646,956,1631,2501,674,268,16661
="Windsor School District",9937,297,787,1493,2064,1725,1040,188,16569
="Wolcott School District",7925,243,250,489,1351,1597,749,270,12381
="Woodbridge School District",11283,476,98,207,2587,1707,362,0,17244
="Woodstock School District",7941,164,181,805,913,1267,584,17,12389

