"Per Pupil Expenditures, 2010-11"
"All Districts"

"","_","_","_","_","_","_","_","_","_"
="Colebrook School District",9946,92,271,326,2327,1518,380,106,16310
="Columbia School District",7463,471,276,3217,1669,783,950,758,16755
="Common Ground High School District",6245,933,1204,528,3008,1005,N/A,1150,14129
="Cornwall School District",13897,736,958,1404,3066,2767,1441,0,24268
="Coventry School District",8373,223,80,776,1253,1416,868,226,13673
="Cromwell School District",8321,249,164,663,1436,1986,447,161,13572
="Danbury School District",8221,333,354,641,1025,874,588,83,12099
="Darien School District",10339,248,661,575,1331,1465,544,297,15952
="Deep River School District",8037,162,157,1896,1900,1465,397,0,14819
="Derby School District",7385,162,123,895,1725,1422,543,159,12715
="East Granby School District",8964,508,843,866,1901,1573,562,224,15055
="East Haddam School District",8042,439,296,748,1481,1736,887,19,14246
="East Hampton School District",8388,272,411,928,1483,1480,754,9,13909
="East Hartford School District",9043,276,219,437,1537,1364,625,96,12509
="East Haven School District",7442,116,79,1222,2032,1417,672,296,13378
="East Lyme School District",8110,127,550,577,1144,1608,572,240,13354
="East Windsor School District",9046,377,258,539,2377,1465,867,66,15095
="Eastford School District",9739,371,316,1508,1578,1570,772,0,16369
="Easton School District",9234,167,324,173,1615,1489,710,6,14359
="Ellington School District",6774,151,306,871,844,1137,656,140,11172
="Elm City College Preparatory School District",5361,972,2090,1238,2747,301,N/A,653,13398
="Enfield School District",7874,191,118,902,1439,1008,558,168,12381
="Essex School District",7389,271,192,1393,1610,1043,296,2,12974
="Explorations District",7481,160,235,640,2873,2363,N/A,128,14056
="Fairfield School District",8021,209,1025,1074,1656,1502,748,208,14815
="Farmington School District",8470,184,396,903,1053,1342,587,60,13534
="Franklin School District",7768,21,19,710,1505,1461,659,136,13713
="Glastonbury School District",7384,269,685,733,1454,1386,675,161,13011
="Granby School District",7062,481,382,748,1358,1450,644,249,12263
="Greenwich School District",12187,358,299,1225,1718,1865,507,0,18698
="Griswold School District",8538,199,101,444,1815,1210,796,196,13507
="Groton School District",8842,350,540,1188,1595,1619,787,0,14850
="Guilford School District",8182,240,427,904,1444,1217,814,192,14081
="Hamden School District",10237,139,208,1218,1538,1738,878,150,15662
="Hampton School District",10215,300,525,1261,2397,1346,686,195,19402
="Hartford School District",9103,613,351,1202,2123,2055,1222,14,16999
="Hartland School District",7464,281,905,1736,1844,1234,836,576,13760
="Hebron School District",6981,163,399,804,1003,1107,242,0,10828
="Highville Charter School District",5275,199,184,404,1989,1884,N/A,793,10810
="Integrated Day Charter School District",5911,128,314,267,1681,1256,N/A,339,9913
="Interdistrict School for Arts and Comm District",8088,189,49,327,2085,1299,N/A,0,12075
="Jumoke Academy District",5794,260,613,759,2037,1414,N/A,0,10877
="Kent School District",10056,471,427,1056,1696,1736,911,26,16807
="Killingly School District",7649,229,718,683,1422,1538,919,0,14449
="Lebanon School District",8125,284,201,442,1349,1257,919,50,13260
="Ledyard School District",7256,353,385,736,1492,1052,904,146,12703
="Lisbon School District",8502,498,55,1174,1359,1388,788,0,14685
="Litchfield School District",7741,211,902,1157,1362,1608,760,295,14373
="Madison School District",7630,358,540,1111,1097,1416,826,357,13749
="Manchester School District",8917,337,576,981,1541,1588,532,200,14307
="Mansfield School District",10222,390,467,714,2141,1335,491,61,16285
="Marlborough School District",7215,140,319,432,1006,1062,264,0,10579
="Meriden School District",7670,98,150,1011,1196,1298,599,86,12732
="Middletown School District",8411,151,282,757,1020,1675,1087,191,13984
="Milford School District",10126,381,270,441,1256,1632,562,134,15161
="Monroe School District",8570,310,536,1018,1255,1576,596,83,14127
="Montville School District",8484,495,290,821,1222,1547,750,216,13762
="Naugatuck School District",8622,141,163,883,1576,1226,582,202,13259
="New Beginnings Inc Family Academy District",5879,349,232,541,1688,1267,N/A,850,10827
="New Britain School District",8774,327,276,416,1161,1044,1024,19,13338
="New Canaan School District",9822,193,331,1700,2095,2120,955,292,18132
="New Fairfield School District",7723,314,342,990,1437,1159,532,184,12974
="New Hartford School District",9234,121,52,480,1254,1460,554,28,13875
="New Haven School District",10196,260,351,471,1985,1726,1119,330,16996
="New London School District",8133,316,555,1082,1765,1793,897,152,13505
="New Milford School District",7699,349,240,867,1115,1196,912,211,12956
="Newington School District",8531,406,429,726,1400,1780,603,168,14393
="Newtown School District",7152,206,302,914,1222,1726,877,154,12856
="Norfolk School District",10273,174,192,361,3078,2980,642,17,17869
="North Branford School District",6874,256,670,1018,1326,1540,860,323,12893
="North Canaan School District",9679,420,30,962,2996,1730,711,0,17059
="North Haven School District",6861,182,293,1168,2041,1175,556,136,12771
="North Stonington School District",9375,664,201,787,1641,1563,990,0,15153
="Norwalk School District",9933,167,131,994,2061,1393,455,116,15644
="Norwich School District",8685,95,122,1376,1109,1137,1013,0,15135
="Odyssey Community School District",6136,225,107,203,2351,1269,N/A,0,10290
="Old Saybrook School District",7878,163,812,846,1389,1736,542,300,14268
="Orange School District",8951,209,568,1155,1400,1219,388,0,14464
="Oxford School District",7102,280,12,871,1543,1289,632,224,12267
="Park City Prep Charter School District",4495,772,216,820,2174,1455,N/A,0,9932
="Plainfield School District",7921,163,189,1000,1298,1163,1009,84,13637
="Plainville School District",8364,282,386,589,1492,1455,648,0,13814
="Plymouth School District",7786,396,256,493,1135,1957,1106,240,12757
="Pomfret School District",9306,261,198,216,1077,1261,945,0,14963
="Portland School District",7476,212,404,798,1452,1898,555,211,13068
="Preston School District",11205,325,72,746,2091,1789,1261,0,20326
="Putnam School District",8257,292,250,1287,1426,1362,658,192,14619
="Redding School District",11945,240,367,172,1517,1688,784,2,17532
="Regional School District 01",10653,468,968,1548,1939,2514,283,848,20855
="Regional School District 04",8278,234,272,834,2834,2397,492,79,15990
="Regional School District 05",7682,210,472,887,2122,1372,693,384,14501
="Regional School District 06",8854,204,754,1012,1794,1709,827,266,15582
="Regional School District 07",7920,338,197,636,1458,1886,1217,385,14608
="Regional School District 08",7436,83,530,647,1044,1166,695,185,12321
="Regional School District 09",12716,411,414,136,1609,2133,833,6,19538
="Regional School District 10",6799,218,734,777,1041,1227,803,0,12010
="Regional School District 11",10436,527,402,1294,3322,2339,1158,816,20166
="Regional School District 12",11887,558,875,1775,1989,2195,1525,428,21720
="Regional School District 13",8284,194,476,1942,1620,1692,820,307,15605
="Regional School District 14",7143,282,584,1346,1316,1521,907,369,14350
="Regional School District 15",7715,147,409,1230,1293,1496,791,298,13587
="Regional School District 16",7840,232,756,923,1512,1361,896,187,13939
="Regional School District 17",8163,269,247,740,1488,1823,1209,243,14492
="Regional School District 18",8806,321,964,1363,1939,2728,771,350,17768
="Regional School District 19",8928,217,254,991,1790,1267,1097,598,15980
="Ridgefield School District",8984,202,757,732,1164,1621,823,163,15065
="Rocky Hill School District",7888,230,786,808,1015,1524,489,0,12984
="Salem School District",9418,603,77,304,2419,1710,984,0,16436
="Salisbury School District",12025,277,688,758,1699,2992,983,0,20277
="Scotland School District",10653,515,438,1193,2030,1541,551,221,17578
="Seymour School District",6781,215,303,804,1751,1645,522,148,12179
="Sharon School District",12946,455,275,1679,2796,2794,950,63,22966
="Shelton School District",7043,285,400,1068,1294,1348,665,78,12379
="Sherman School District",10707,375,699,130,1384,1323,736,93,14473
="Side By Side Charter School District",6496,107,29,1503,1721,1183,N/A,0,11040
="Simsbury School District",7941,242,831,989,1105,1417,490,145,13221
="Somers School District",7700,227,270,782,1214,1116,648,162,12689
="South Windsor School District",8148,342,484,1014,1450,1412,707,250,14144
="Southington School District",7580,262,134,848,1308,1067,486,113,12284
="Sprague School District",8547,544,138,577,1939,1284,824,65,14015
="Stafford School District",7922,213,221,985,1440,1567,1055,43,14051
="Stamford Academy District",10096,613,0,4522,7014,1217,N/A,584,24521
="Stamford School District",9371,297,1066,1051,1889,1461,787,0,16448
="Sterling School District",7702,238,547,361,1044,1096,979,50,15238
="Stonington School District",7426,139,568,772,1081,1563,816,172,13192
="Stratford School District",7830,203,411,1310,1212,1224,602,197,13522
="Suffield School District",7900,249,90,744,1611,862,504,54,12681
="The Bridge Academy District",7092,527,133,880,912,713,N/A,441,10815
="Thomaston School District",7855,255,21,544,1633,1466,740,228,12140
="Thompson School District",6442,175,163,936,1983,1613,627,260,13236
="Tolland School District",7028,113,467,486,1100,1137,630,9,11525
="Torrington School District",8767,164,245,792,1201,1300,845,110,14296
="Trailblazers Academy District",9274,448,0,2859,12312,1509,N/A,712,27331
="Trumbull School District",7654,115,400,931,1464,1313,649,111,12989
="Union School District",8384,545,33,781,2577,1658,1788,0,14708
="Vernon School District",8073,383,761,919,1127,1557,620,154,13803
="Voluntown School District",8344,321,245,1485,1990,1294,841,141,16004
="Wallingford School District",7802,91,394,890,1815,1316,882,201,13744
="Waterbury School District",7743,236,1945,682,1290,1232,628,455,14483
="Waterford School District",9012,451,183,961,1464,1650,821,270,14132
="Watertown School District",6623,160,132,788,1374,1351,603,144,11691
="West Hartford School District",7693,219,672,890,1555,1195,538,117,13140
="West Haven School District",8095,235,435,778,1105,2534,541,263,12938
="Westbrook School District",9326,570,290,831,1576,1717,397,426,15325
="Weston School District",10185,143,1441,1107,1465,2323,678,393,18299
="Westport School District",9962,453,702,1298,1765,2164,701,253,17826
="Wethersfield School District",8198,182,273,836,1153,1741,586,169,13610
="Willington School District",9555,213,488,840,1998,1252,556,0,15619
="Wilton School District",9689,210,687,1457,1592,1508,740,0,16428
="Winchester School District",8076,19,167,1542,1485,1132,674,3,14496
="Windham School District",9585,242,248,942,943,1266,778,164,14934
="Windsor Locks School District",9445,256,572,982,1566,1985,619,252,15502
="Windsor School District",9116,348,657,1433,1999,1709,973,157,15778
="Wolcott School District",7694,210,193,402,1187,1401,619,275,11512
="Woodbridge School District",10884,698,89,213,2332,1314,333,0,16399
="Woodstock School District",7169,279,191,808,891,1062,557,61,11563

