"Per Pupil Expenditures, 2009-10"
"All Districts"

"","_","_","_","_","_","_","_","_","_"
="Willington School District",9108,270,443,765,1881,1112,588,0,14675
="Wilton School District",9703,191,737,1503,1663,1431,727,0,16411
="Winchester School District",8287,82,276,936,1940,1185,716,4,14958
="Windham School District",9235,239,313,1009,808,1256,699,158,14116
="Windsor Locks School District",9627,262,580,809,1602,1839,600,262,15241
="Windsor School District",8915,271,647,1359,1908,1541,764,153,15186
="Wolcott School District",7676,206,146,457,1208,1328,579,266,11300
="Woodbridge School District",11100,653,92,211,2239,945,331,10,16196
="Woodstock School District",7399,271,188,774,895,907,553,6,11524

