"Student Counts by District and Year"
"All Districts"
"2019-20"

"District","District Code","Count"
"Regional School District 04","=""2040012""",858
"Regional School District 05","=""2050012""",2185
"Regional School District 06","=""2060012""",917
"Regional School District 07","=""2070012""",1036
"Regional School District 08","=""2080012""",1412
"Regional School District 09","=""2090012""",867
"Regional School District 10","=""2100012""",2242
"Regional School District 11","=""2110012""",207
"Regional School District 12","=""2120012""",706
"Regional School District 13","=""2130012""",1517
"Regional School District 14","=""2140012""",1592
"Regional School District 15","=""2150012""",3677
"Regional School District 16","=""2160012""",2084
"Regional School District 17","=""2170012""",1958
"Regional School District 18","=""2180012""",1290
"Regional School District 19","=""2190012""",1102
"Ridgefield School District","=""1180011""",4707
"Rocky Hill School District","=""1190011""",2701
"Salem School District","=""1210011""",422
"Salisbury School District","=""1220011""",284
"Scotland School District","=""1230011""",106
"Seymour School District","=""1240011""",2179
"Sharon School District","=""1250011""",103
"Shelton School District","=""1260011""",4674
"Sherman School District","=""1270011""",275
"Side By Side Charter School District","=""2700013""",236
"Simsbury School District","=""1280011""",4091
"Somers School District","=""1290011""",1353
"South Windsor School District","=""1320011""",4554
"Southington School District","=""1310011""",6336
"Sprague School District","=""1330011""",280
"Stafford School District","=""1340011""",1459
"Stamford Academy District","=""2820013""",147
"Stamford Charter School for Excellence District","=""2960013""",395
"Stamford School District","=""1350011""",16600
"Sterling School District","=""1360011""",365
"Stonington School District","=""1370011""",1981
"Stratford School District","=""1380011""",6862
"Suffield School District","=""1390011""",2127
"The Bridge Academy District","=""2690013""",281
"The Gilbert School District","=""9020022""",467
"The Woodstock Academy District","=""9030022""",1107
"Thomaston School District","=""1400011""",857
"Thompson School District","=""1410011""",995
"Tolland School District","=""1420011""",2354
"Torrington School District","=""1430011""",3857
"Trumbull School District","=""1440011""",6808
"Unified School District #1","=""3360015""",158
"Unified School District #2","=""3470015""",95
"Union School District","=""1450011""",46
"Vernon School District","=""1460011""",3151
"Voluntown School District","=""1470011""",264
"Wallingford School District","=""1480011""",5693
"Waterbury School District","=""1510011""",18807
"Waterford School District","=""1520011""",2469
"Watertown School District","=""1530011""",2724
"West Hartford School District","=""1550011""",9502
"West Haven School District","=""1560011""",5865
"Westbrook School District","=""1540011""",669
"Weston School District","=""1570011""",2290
"Westport School District","=""1580011""",5344
"Wethersfield School District","=""1590011""",3610
"Willington School District","=""1600011""",439
"Wilton School District","=""1610011""",3870
"Winchester School District","=""1620011""",575
"Windham School District","=""1630011""",3345
"Windsor Locks School District","=""1650011""",1599
"Windsor School District","=""1640011""",3345
"Wolcott School District","=""1660011""",2196
"Woodbridge School District","=""1670011""",841
"Woodstock School District","=""1690011""",824
"Total","=""""",527829

