"Student Counts by District and Year"
"All Districts"
"2021-22"

"District","District Code","Count"
"Hartland School District","=""0650011""",140
"Hebron School District","=""0670011""",679
"Highville Charter School District","=""2860013""",501
"Integrated Day Charter School District","=""2640013""",353
"Interdistrict School for Arts and Comm District","=""2650013""",279
"Jumoke Academy District","=""2610013""",686
"Kent School District","=""0680011""",212
"Killingly School District","=""0690011""",2387
"Learn","=""2450014""",1413
"Lebanon School District","=""0710011""",936
"Ledyard School District","=""0720011""",2450
"Lisbon School District","=""0730011""",429
"Litchfield School District","=""0740011""",842
"Madison School District","=""0760011""",2461
"Manchester School District","=""0770011""",6199
"Mansfield School District","=""0780011""",998
"Marlborough School District","=""0790011""",448
"Meriden School District","=""0800011""",8521
"Middletown School District","=""0830011""",4430
"Milford School District","=""0840011""",5416
"Monroe School District","=""0850011""",3345
"Montville School District","=""0860011""",1999
"Naugatuck School District","=""0880011""",4311
"New Beginnings Inc Family Academy District","=""2800013""",484
"New Britain School District","=""0890011""",9738
"New Canaan School District","=""0900011""",4137
"New Fairfield School District","=""0910011""",2132
"New Hartford School District","=""0920011""",430
"New Haven School District","=""0930011""",19420
"New London School District","=""0950011""",3122
"New Milford School District","=""0960011""",3694
"Newington School District","=""0940011""",3922
"Newtown School District","=""0970011""",4051
"Norfolk School District","=""0980011""",70
"North Branford School District","=""0990011""",1585
"North Canaan School District","=""1000011""",234
"North Haven School District","=""1010011""",3160
"North Stonington School District","=""1020011""",773
"Norwalk School District","=""1030011""",11458
"Norwich Free Academy District","=""9010022""",2079
"Norwich School District","=""1040011""",3287
"Odyssey Community School District","=""2630013""",328
"Old Saybrook School District","=""1060011""",1088
"Orange School District","=""1070011""",1258
"Oxford School District","=""1080011""",1703
"Park City Prep Charter School District","=""2830013""",361
"Plainfield School District","=""1090011""",1991
"Plainville School District","=""1100011""",2295
"Plymouth School District","=""1110011""",1308
"Pomfret School District","=""1120011""",361
"Portland School District","=""1130011""",1239
"Preston School District","=""1140011""",427
"Putnam School District","=""1160011""",1138
"Redding School District","=""1170011""",832
"Regional School District 01","=""2010012""",346
"Regional School District 04","=""2040012""",816
"Regional School District 05","=""2050012""",2145
"Regional School District 06","=""2060012""",887
"Regional School District 07","=""2070012""",911
"Regional School District 08","=""2080012""",1221
"Regional School District 09","=""2090012""",822
"Regional School District 10","=""2100012""",2175
"Regional School District 11","=""2110012""",209
"Regional School District 12","=""2120012""",763
"Regional School District 13","=""2130012""",1366
"Regional School District 14","=""2140012""",1594
"Regional School District 15","=""2150012""",3539
"Regional School District 16","=""2160012""",1973
"Regional School District 17","=""2170012""",1788
"Regional School District 18","=""2180012""",1297
"Regional School District 19","=""2190012""",1138
"Ridgefield School District","=""1180011""",4578
"Rocky Hill School District","=""1190011""",2537
"Salem School District","=""1210011""",390
"Salisbury School District","=""1220011""",305
"Scotland School District","=""1230011""",101
"Seymour School District","=""1240011""",2072
"Sharon School District","=""1250011""",96
"Shelton School District","=""1260011""",4423
"Sherman School District","=""1270011""",263
"Side By Side Charter School District","=""2700013""",236
"Simsbury School District","=""1280011""",4089
"Somers School District","=""1290011""",1347
"South Windsor School District","=""1320011""",4778
"Southington School District","=""1310011""",6266
"Sprague School District","=""1330011""",285
"Stafford School District","=""1340011""",1386
"Stamford Charter School for Excellence District","=""2960013""",506
"Stamford School District","=""1350011""",16079
"Sterling School District","=""1360011""",335
"Stonington School District","=""1370011""",1831
"Stratford School District","=""1380011""",6860
"Suffield School District","=""1390011""",2051
"The Bridge Academy District","=""2690013""",279
"The Gilbert School District","=""9020022""",438
"The Woodstock Academy District","=""9030022""",1060
"Thomaston School District","=""1400011""",844
"Thompson School District","=""1410011""",961
"Tolland School District","=""1420011""",2233
"Torrington School District","=""1430011""",3886
"Trumbull School District","=""1440011""",6896
"Unified School District #1","=""3360015""",156
"Unified School District #2","=""3470015""",78
"Union School District","=""1450011""","*"
"Vernon School District","=""1460011""",3183
"Voluntown School District","=""1470011""",248
"Wallingford School District","=""1480011""",5342
"Waterbury School District","=""1510011""",18660
"Waterford School District","=""1520011""",2348
"Watertown School District","=""1530011""",2604
"West Hartford School District","=""1550011""",9200
"West Haven School District","=""1560011""",5839
"Westbrook School District","=""1540011""",635
"Weston School District","=""1570011""",2239
"Westport School District","=""1580011""",5336
"Wethersfield School District","=""1590011""",3622
"Willington School District","=""1600011""",387
"Wilton School District","=""1610011""",3758
"Winchester School District","=""1620011""",578
"Windham School District","=""1630011""",3206
"Windsor Locks School District","=""1650011""",1523
"Windsor School District","=""1640011""",3288
"Wolcott School District","=""1660011""",2160
"Woodbridge School District","=""1670011""",847
"Woodstock School District","=""1690011""",794
"Total","=""""",513615

