"Student Counts by District and Free/Reduced Lunch Eligibility"
"All Districts"
"2022-23"

"",,"Free/Reduced Lunch Eligibility",,,
"Litchfield School District","=""0740011""",107,663,43,813
"Madison School District","=""0760011""",64,2352,28,2444
"Manchester School District","=""0770011""",2795,2969,428,6192
"Mansfield School District","=""0780011""",257,729,41,1027
"Marlborough School District","=""0790011""",55,383,18,456
"Meriden School District","=""0800011""",5470,1974,1186,8630
"Middletown School District","=""0830011""",1838,2218,358,4414
"Milford School District","=""0840011""",1202,3871,309,5382
"Monroe School District","=""0850011""",315,3006,77,3398
"Montville School District","=""0860011""",694,1159,164,2017
"Naugatuck School District","=""0880011""",2079,1915,343,4337
"New Beginnings Inc Family Academy District","=""2800013""",406,0,0,406
"New Britain School District","=""0890011""",6642,2322,753,9717
"New Canaan School District","=""0900011""",0,4168,0,4168
"New Fairfield School District","=""0910011""",262,1783,98,2143
"New Hartford School District","=""0920011""",71,357,15,443
"New Haven School District","=""0930011""",12827,4852,1471,19150
"New London School District","=""0950011""",2244,349,355,2948
"New Milford School District","=""0960011""",1025,2353,305,3683
"Newington School District","=""0940011""",1060,2608,269,3937
"Newtown School District","=""0970011""",398,3463,142,4003
"Norfolk School District","=""0980011""","*",40,"*",66
"North Branford School District","=""0990011""",292,1189,57,1538
"North Canaan School District","=""1000011""",65,155,18,238
"North Haven School District","=""1010011""",560,2433,194,3187
"North Stonington School District","=""1020011""",110,603,46,759
"Norwalk School District","=""1030011""",4751,5707,1056,11514
"Norwich Free Academy District","=""9010022""",965,984,157,2106
"Norwich School District","=""1040011""",2091,958,299,3348
"Odyssey Community School District","=""2630013""",130,219,25,374
"Old Saybrook School District","=""1060011""",208,813,49,1070
"Orange School District","=""1070011""",124,1124,33,1281
"Oxford School District","=""1080011""",211,1470,36,1717
"Park City Prep Charter School District","=""2830013""",248,98,37,383
"Plainfield School District","=""1090011""",922,856,166,1944
"Plainville School District","=""1100011""",760,1323,208,2291
"Plymouth School District","=""1110011""",482,701,123,1306
"Pomfret School District","=""1120011""",79,275,16,370
"Portland School District","=""1130011""",265,907,68,1240
"Preston School District","=""1140011""",80,336,24,440
"Putnam School District","=""1160011""",552,554,79,1185
"Redding School District","=""1170011""",60,759,13,832
"Regional School District 01","=""2010012""",77,219,30,326
"Regional School District 04","=""2040012""",146,550,55,751
"Regional School District 05","=""2050012""",229,1779,67,2075
"Regional School District 06","=""2060012""",152,648,53,853
"Regional School District 07","=""2070012""",161,677,52,890
"Regional School District 08","=""2080012""",142,1033,31,1206
"Regional School District 09","=""2090012""",76,689,14,779
"Regional School District 10","=""2100012""",237,1845,65,2147
"Regional School District 11","=""2110012""",62,141,22,225
"Regional School District 12","=""2120012""",136,633,35,804
"Regional School District 13","=""2130012""",178,1148,39,1365
"Regional School District 14","=""2140012""",282,1233,102,1617
"Regional School District 15","=""2150012""",378,2997,94,3469
"Regional School District 16","=""2160012""",316,1528,114,1958
"Regional School District 17","=""2170012""",195,1567,52,1814
"Regional School District 18","=""2180012""",137,1118,33,1288
"Regional School District 19","=""2190012""",228,843,55,1126
"Ridgefield School District","=""1180011""",251,4247,70,4568
"Rocky Hill School District","=""1190011""",408,2049,93,2550
"Salem School District","=""1210011""",67,322,12,401
"Salisbury School District","=""1220011""",41,244,11,296
"Scotland School District","=""1230011""","*",68,"*",97
"Seymour School District","=""1240011""",710,1203,220,2133
"Sharon School District","=""1250011""",31,57,9,97
"Shelton School District","=""1260011""",1149,3052,311,4512
"Sherman School District","=""1270011""","*",258,"*",265
"Side By Side Charter School District","=""2700013""",114,97,25,236
"Simsbury School District","=""1280011""",542,3482,101,4125
"Somers School District","=""1290011""",77,1262,6,1345
"South Windsor School District","=""1320011""",619,4052,206,4877
"Southington School District","=""1310011""",1225,4782,277,6284
"Sprague School District","=""1330011""",134,116,26,276
"Stafford School District","=""1340011""",387,924,90,1401
"Stamford Charter School for Excellence District","=""2960013""",230,277,54,561
"Stamford School District","=""1350011""",6791,7741,1626,16158
"Sterling School District","=""1360011""",115,192,16,323
"Stonington School District","=""1370011""",374,1362,64,1800
"Stratford School District","=""1380011""",2519,3610,633,6762
"Suffield School District","=""1390011""",250,1706,85,2041
"The Bridge Academy District","=""2690013""",173,75,32,280
"The Gilbert School District","=""9020022""",154,201,55,410
"The Woodstock Academy District","=""9030022""","*",990,"*",1041
"Thomaston School District","=""1400011""",237,526,57,820
"Thompson School District","=""1410011""",312,527,88,927
"Tolland School District","=""1420011""",273,1938,91,2302
"Torrington School District","=""1430011""",2002,1512,369,3883
"Trumbull School District","=""1440011""",916,5698,306,6920
"Unified School District #1","=""3360015""",124,0,0,124
"Unified School District #2","=""3470015""",72,0,0,72
"Union School District","=""1450011""","*",47,0,"*"
"Vernon School District","=""1460011""",1460,1505,183,3148
"Voluntown School District","=""1470011""",62,160,28,250
"Wallingford School District","=""1480011""",1456,3596,283,5335
"Waterbury School District","=""1510011""",14172,4289,240,18701
"Waterford School District","=""1520011""",551,1645,142,2338
"Watertown School District","=""1530011""",696,1668,234,2598
"West Hartford School District","=""1550011""",1939,6821,471,9231
"West Haven School District","=""1560011""",2938,2557,481,5976
"Westbrook School District","=""1540011""",131,443,43,617
"Weston School District","=""1570011""","*",2171,"*",2197
"Westport School District","=""1580011""",80,5260,47,5387
"Wethersfield School District","=""1590011""",789,2615,242,3646
"Willington School District","=""1600011""",147,229,22,398
"Wilton School District","=""1610011""","*",3529,"*",3788
"Winchester School District","=""1620011""",308,235,63,606
"Windham School District","=""1630011""",2159,832,233,3224
"Windsor Locks School District","=""1650011""",608,865,76,1549
"Windsor School District","=""1640011""",1113,1968,256,3337
"Wolcott School District","=""1660011""",490,1507,142,2139
"Woodbridge School District","=""1670011""",98,731,19,848
"Woodstock School District","=""1690011""",130,616,28,774
"Total","=""""",187521,295661,30331,513513

