"Student Counts by District and Free/Reduced Lunch Eligibility"
"All Districts"
"2018-19"

"",,"Free/Reduced Lunch Eligibility",,,
"Griswold School District","=""0580011""",659,938,179,1776
"Groton School District","=""0590011""",1583,2175,566,4324
"Guilford School District","=""0600011""",305,2900,106,3311
"Hamden School District","=""0620011""",2029,2878,505,5412
"Hampton School District","=""0630011""",23,61,9,93
"Hartford School District","=""0640011""",14885,4354,528,19767
"Hartland School District","=""0650011""",23,131,8,162
"Hebron School District","=""0670011""",73,561,30,664
"Highville Charter School District","=""2860013""",269,138,95,502
"Integrated Day Charter School District","=""2640013""",96,221,20,337
"Interdistrict School for Arts and Comm District","=""2650013""",156,91,31,278
"Jumoke Academy District","=""2610013""",281,405,31,717
"Kent School District","=""0680011""",51,153,9,213
"Killingly School District","=""0690011""",1004,1257,240,2501
"Learn","=""2450014""",1257,979,273,2509
"Lebanon School District","=""0710011""",215,734,56,1005
"Ledyard School District","=""0720011""",537,1749,145,2431
"Lisbon School District","=""0730011""",120,265,23,408
"Litchfield School District","=""0740011""",138,690,67,895
"Madison School District","=""0760011""",69,2630,38,2737
"Manchester School District","=""0770011""",3183,2519,549,6251
"Mansfield School District","=""0780011""",256,833,56,1145
"Marlborough School District","=""0790011""",53,370,26,449
"Meriden School District","=""0800011""",5068,1856,1049,7973
"Middletown School District","=""0830011""",1713,2631,296,4640
"Milford School District","=""0840011""",1035,4317,283,5635
"Monroe School District","=""0850011""",211,2806,101,3118
"Montville School District","=""0860011""",645,1200,232,2077
"Naugatuck School District","=""0880011""",1900,2000,420,4320
"New Beginnings Inc Family Academy District","=""2800013""",342,106,34,482
"New Britain School District","=""0890011""",6898,2502,779,10179
"New Canaan School District","=""0900011""","*",4169,"*",4173
"New Fairfield School District","=""0910011""",251,1916,79,2246
"New Hartford School District","=""0920011""",65,366,15,446
"New Haven School District","=""0930011""",11454,6345,3465,21264
"New London School District","=""0950011""",2641,649,265,3555
"New Milford School District","=""0960011""",943,2718,330,3991
"Newington School District","=""0940011""",916,2830,305,4051
"Newtown School District","=""0970011""",406,3773,127,4306
"Norfolk School District","=""0980011""","*",64,"*",96
"North Branford School District","=""0990011""",283,1357,101,1741
"North Canaan School District","=""1000011""",87,133,35,255
"North Haven School District","=""1010011""",451,2545,169,3165
"North Stonington School District","=""1020011""",58,636,33,727
"Norwalk School District","=""1030011""",5491,4718,1292,11501
"Norwich Free Academy District","=""9010022""",1008,1089,159,2256
"Norwich School District","=""1040011""",2212,1089,320,3621
"Odyssey Community School District","=""2630013""",97,197,35,329
"Old Saybrook School District","=""1060011""",251,875,93,1219
"Orange School District","=""1070011""",97,1039,45,1181
"Oxford School District","=""1080011""",181,1553,65,1799
"Park City Prep Charter School District","=""2830013""",251,56,53,360
"Plainfield School District","=""1090011""",987,961,257,2205
"Plainville School District","=""1100011""",664,1468,221,2353
"Plymouth School District","=""1110011""",473,808,148,1429
"Pomfret School District","=""1120011""",62,285,34,381
"Portland School District","=""1130011""",299,981,43,1323
"Preston School District","=""1140011""",100,311,35,446
"Putnam School District","=""1160011""",663,435,117,1215
"Redding School District","=""1170011""",44,800,14,858
"Regional School District 01","=""2010012""",100,254,37,391
"Regional School District 04","=""2040012""",147,692,58,897
"Regional School District 05","=""2050012""",170,1959,57,2186
"Regional School District 06","=""2060012""",116,754,42,912
"Regional School District 07","=""2070012""",134,896,45,1075
"Regional School District 08","=""2080012""",148,1253,55,1456
"Regional School District 09","=""2090012""",58,814,17,889
"Regional School District 10","=""2100012""",203,2006,64,2273
"Regional School District 11","=""2110012""",71,147,14,232
"Regional School District 12","=""2120012""",90,563,32,685
"Regional School District 13","=""2130012""",182,1365,70,1617
"Regional School District 14","=""2140012""",225,1332,99,1656
"Regional School District 15","=""2150012""",353,3165,110,3628
"Regional School District 16","=""2160012""",321,1700,113,2134
"Regional School District 17","=""2170012""",189,1769,68,2026
"Regional School District 18","=""2180012""",166,1036,61,1263
"Regional School District 19","=""2190012""",256,831,63,1150
"Ridgefield School District","=""1180011""",160,4635,65,4860
"Rocky Hill School District","=""1190011""",446,2163,139,2748
"Salem School District","=""1210011""",59,346,13,418
"Salisbury School District","=""1220011""",47,210,30,287
"Scotland School District","=""1230011""","*",79,"*",105
"Seymour School District","=""1240011""",586,1369,223,2178
"Sharon School District","=""1250011""",29,69,17,115
"Shelton School District","=""1260011""",1032,3326,355,4713
"Sherman School District","=""1270011""","*",267,"*",279
"Side By Side Charter School District","=""2700013""",110,96,30,236
"Simsbury School District","=""1280011""",408,3526,146,4080
"Somers School District","=""1290011""",120,1245,14,1379
"South Windsor School District","=""1320011""",551,3610,209,4370
"Southington School District","=""1310011""",1082,4919,384,6385
"Sprague School District","=""1330011""",142,144,34,320
"Stafford School District","=""1340011""",488,893,130,1511
"Stamford Academy District","=""2820013""",105,"*","*",152
"Stamford Charter School for Excellence District","=""2960013""",142,183,14,339
"Stamford School District","=""1350011""",7826,6842,1385,16053
"Sterling School District","=""1360011""",127,218,23,368
"Stonington School District","=""1370011""",455,1500,95,2050
"Stratford School District","=""1380011""",2684,3237,895,6816
"Suffield School District","=""1390011""",281,1846,21,2148
"The Bridge Academy District","=""2690013""",158,80,43,281
"The Gilbert School District","=""9020022""",198,275,38,511
"The Woodstock Academy District","=""9030022""",0,1080,18,1098
"Thomaston School District","=""1400011""",189,585,79,853
"Thompson School District","=""1410011""",355,539,100,994
"Tolland School District","=""1420011""",206,2081,105,2392
"Torrington School District","=""1430011""",2138,1379,395,3912
"Trailblazers Academy District","=""2780013""",90,"*","*",127
"Trumbull School District","=""1440011""",782,5604,358,6744
"Unified School District #1","=""3360015""",156,0,0,156
"Unified School District #2","=""3470015""",109,0,0,109
"Union School District","=""1450011""","*",46,0,"*"
"Vernon School District","=""1460011""",1362,1514,261,3137
"Voluntown School District","=""1470011""",56,184,28,268
"Wallingford School District","=""1480011""",1362,3984,424,5770
"Waterbury School District","=""1510011""",12716,5106,1025,18847
"Waterford School District","=""1520011""",540,1785,194,2519
"Watertown School District","=""1530011""",703,1823,228,2754
"West Hartford School District","=""1550011""",2023,7159,472,9654
"West Haven School District","=""1560011""",2730,2694,492,5916
"Westbrook School District","=""1540011""",190,479,9,678
"Weston School District","=""1570011""",33,2280,9,2322
"Westport School District","=""1580011""",159,5345,35,5539
"Wethersfield School District","=""1590011""",699,2675,246,3620
"Willington School District","=""1600011""",89,321,20,430
"Wilton School District","=""1610011""",234,3721,0,3955
"Winchester School District","=""1620011""",298,193,63,554
"Windham School District","=""1630011""",2202,915,260,3377
"Windsor Locks School District","=""1650011""",636,774,160,1570
"Windsor School District","=""1640011""",1122,2022,153,3297
"Wolcott School District","=""1660011""",475,1615,154,2244
"Woodbridge School District","=""1670011""",78,741,28,847
"Woodstock School District","=""1690011""",112,671,58,841
"Total","=""""",186635,307114,36863,530612

