"Student Counts by District and Free/Reduced Lunch Eligibility"
"All Districts"
"2025-26"

"",,"Free/Reduced Lunch Eligibility",,,
"District","District Code","Free","Non-Subsidized","Reduced","Total"
"Old Saybrook School District","=""1060011""",197,737,56,990
"Orange School District","=""1070011""",138,1103,33,1274
"Oxford School District","=""1080011""",228,1309,60,1597
"Park City Prep Charter School District","=""2830013""",257,133,47,437
"Plainfield School District","=""1090011""",849,782,184,1815
"Plainville School District","=""1100011""",741,1223,177,2141
"Plymouth School District","=""1110011""",469,664,111,1244
"Pomfret School District","=""1120011""",72,234,22,328
"Portland School District","=""1130011""",320,843,69,1232
"Preston School District","=""1140011""",98,284,32,414
"Putnam School District","=""1160011""",512,539,110,1161
"Redding School District","=""1170011""",53,782,15,850
"Regional School District 01","=""2010012""",77,222,28,327
"Regional School District 04","=""2040012""",126,426,43,595
"Regional School District 05","=""2050012""",293,1773,70,2136
"Regional School District 07","=""2070012""",168,554,45,767
"Regional School District 08","=""2080012""",141,842,48,1031
"Regional School District 09","=""2090012""",65,614,17,696
"Regional School District 10","=""2100012""",253,1722,80,2055
"Regional School District 11","=""2110012""",64,115,13,192
"Regional School District 12","=""2120012""",142,635,33,810
"Regional School District 13","=""2130012""",176,1079,39,1294
"Regional School District 14","=""2140012""",250,1228,58,1536
"Regional School District 15","=""2150012""",385,2873,92,3350
"Regional School District 16","=""2160012""",385,1418,87,1890
"Regional School District 17","=""2170012""",216,1409,43,1668
"Regional School District 18","=""2180012""",151,1065,33,1249
"Regional School District 19","=""2190012""",229,728,47,1004
"Regional School District 20","=""2200012""",318,1173,107,1598
"Ridgefield School District","=""1180011""",251,4059,79,4389
"Rocky Hill School District","=""1190011""",446,1990,125,2561
"Salem School District","=""1210011""",78,299,22,399
"Salisbury School District","=""1220011""",55,209,12,276
"Scotland School District","=""1230011""",23,56,8,87
"Seymour School District","=""1240011""",746,1048,237,2031
"Sharon School District","=""1250011""",31,56,7,94
"Shelton School District","=""1260011""",1219,2824,366,4409
"Sherman School District","=""1270011""","*",223,"*",234
"Side By Side Charter School District","=""2700013""",128,83,25,236
"Simsbury School District","=""1280011""",537,3345,154,4036
"Somers School District","=""1290011""",94,1204,6,1304
"South Windsor School District","=""1320011""",753,4190,210,5153
"Southington School District","=""1310011""",1355,4438,322,6115
"Sprague School District","=""1330011""",130,117,7,254
"Stafford School District","=""1340011""",391,817,61,1269
"Stamford Big Picture Learning Academy District","=""""","*",0,0,"*"
"Stamford Charter School for Excellence District","=""2960013""",261,217,63,541
"Stamford School District","=""1350011""",6645,7103,1594,15342
"Sterling School District","=""1360011""",103,181,16,300
"Stonington School District","=""1370011""",322,1282,64,1668
"Stratford School District","=""1380011""",2638,3107,662,6407
"Suffield School District","=""1390011""",309,1667,59,2035
"The Bridge Academy District","=""2690013""",166,64,51,281
"The Gilbert School District","=""9020022""",199,175,41,415
"The Woodstock Academy District","=""9030022""","*",974,"*",998
"Thomaston School District","=""1400011""",216,499,50,765
"Thompson School District","=""1410011""",291,407,96,794
"Tolland School District","=""1420011""",281,1759,74,2114
"Torrington School District","=""1430011""",2067,1399,402,3868
"Trumbull School District","=""1440011""",1141,5406,332,6879
"Unified School District #1","=""3360015""",143,0,0,143
"Unified School District #2","=""3470015""",90,0,0,90
"Union School District","=""1450011""",7,34,0,41
"Vernon School District","=""1460011""",1510,1448,288,3246
"Voluntown School District","=""1470011""",59,128,22,209
"Wallingford School District","=""1480011""",1363,3408,320,5091
"Waterbury School District","=""1510011""",13299,4968,114,18381
"Waterford School District","=""1520011""",489,1555,161,2205
"Watertown School District","=""1530011""",821,1499,224,2544
"West Hartford School District","=""1550011""",2087,6466,516,9069
"West Haven School District","=""1560011""",2865,2494,504,5863
"Westbrook School District","=""1540011""",159,351,43,553
"Weston School District","=""1570011""",24,2001,9,2034
"Westport School District","=""1580011""",155,5075,36,5266
"Wethersfield School District","=""1590011""",781,2435,196,3412
"Willington School District","=""1600011""",91,264,21,376
"Wilton School District","=""1610011""","*",3495,"*",3702
