"Student Counts by District and Free/Reduced Lunch Eligibility"
"All Districts"
"2021-22"

"",,"Free/Reduced Lunch Eligibility",,,
"Cornwall School District","=""0310011""",16,78,17,111
"Coventry School District","=""0320011""",284,1275,99,1658
"Cromwell School District","=""0330011""",412,1430,106,1948
"Danbury School District","=""0340011""",4979,5621,1243,11843
"Darien School District","=""0350011""",53,4668,33,4754
"Deep River School District","=""0360011""",57,131,16,204
"Department of Mental Health and Addiction Services","=""""","*",0,0,"*"
"Derby School District","=""0370011""",503,711,71,1285
"East Granby School District","=""0400011""",175,652,0,827
"East Haddam School District","=""0410011""",202,719,50,971
"East Hampton School District","=""0420011""",301,1408,77,1786
"East Hartford School District","=""0430011""",3561,2156,609,6326
"East Haven School District","=""0440011""",861,1964,44,2869
"East Lyme School District","=""0450011""",447,2074,123,2644
"East Windsor School District","=""0470011""",437,488,106,1031
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",161,239,17,417
"Eastford School District","=""0390011""",33,111,0,144
"Easton School District","=""0460011""",78,795,22,895
"EdAdvance","=""2420014""",180,66,8,254
"Ellington School District","=""0480011""",359,2182,80,2621
"Elm City College Preparatory School District","=""2890013""",458,273,45,776
"Elm City Montessori School District","=""2910013""",105,162,15,282
"Enfield School District","=""0490011""",1834,2670,391,4895
"Essex School District","=""0500011""",51,233,17,301
"Explorations District","=""2720013""",49,"*","*",89
"Fairfield School District","=""0510011""",1105,7932,341,9378
"Farmington School District","=""0520011""",556,3398,162,4116
"Franklin School District","=""0530011""",27,153,0,180
"Glastonbury School District","=""0540011""",522,5057,121,5700
"Goodwin University Educational Services (GUES)","=""2310018""",606,318,141,1065
"Granby School District","=""0560011""",222,1503,40,1765
"Great Oaks Charter School District","=""2940013""",341,256,53,650
"Greenwich School District","=""0570011""",1141,7119,370,8630
"Griswold School District","=""0580011""",668,890,161,1719
"Groton School District","=""0590011""",1420,2206,487,4113
"Guilford School District","=""0600011""",265,2760,111,3136
"Hamden School District","=""0620011""",1806,3255,401,5462
"Hampton School District","=""0630011""",17,51,6,74
"Hartford School District","=""0640011""",12636,4070,477,17183
"Hartland School District","=""0650011""",15,113,12,140
"Hebron School District","=""0670011""",74,574,31,679
"Highville Charter School District","=""2860013""",305,145,51,501
"Integrated Day Charter School District","=""2640013""",152,160,41,353
"Interdistrict School for Arts and Comm District","=""2650013""",168,81,30,279
"Jumoke Academy District","=""2610013""",101,574,11,686
"Kent School District","=""0680011""",36,161,15,212
"Killingly School District","=""0690011""",955,1270,162,2387
"Learn","=""2450014""",640,657,116,1413
"Lebanon School District","=""0710011""",232,648,56,936
"Ledyard School District","=""0720011""",387,1947,116,2450
"Lisbon School District","=""0730011""",125,278,26,429
"Litchfield School District","=""0740011""",116,692,34,842
"Madison School District","=""0760011""",63,2376,22,2461
"Manchester School District","=""0770011""",3114,2571,514,6199
"Mansfield School District","=""0780011""",250,717,31,998
"Marlborough School District","=""0790011""",58,378,12,448
"Meriden School District","=""0800011""",5247,2082,1192,8521
"Middletown School District","=""0830011""",1395,2814,221,4430
"Milford School District","=""0840011""",1172,3933,311,5416
"Monroe School District","=""0850011""",263,3011,71,3345
"Montville School District","=""0860011""",665,1155,179,1999
"Naugatuck School District","=""0880011""",1981,1938,392,4311
"New Beginnings Inc Family Academy District","=""2800013""",423,54,7,484
"New Britain School District","=""0890011""",6528,2394,816,9738
"New Canaan School District","=""0900011""",0,4137,0,4137
"New Fairfield School District","=""0910011""",233,1815,84,2132
"New Hartford School District","=""0920011""",70,348,12,430
"New Haven School District","=""0930011""",11519,6375,1526,19420
"New London School District","=""0950011""",2491,430,201,3122
"New Milford School District","=""0960011""",920,2519,255,3694
"Newington School District","=""0940011""",1016,2611,295,3922
"Newtown School District","=""0970011""",392,3543,116,4051
"Norfolk School District","=""0980011""","*",47,"*",70
"North Branford School District","=""0990011""",275,1254,56,1585
"North Canaan School District","=""1000011""",74,144,16,234
"North Haven School District","=""1010011""",518,2488,154,3160
"North Stonington School District","=""1020011""",110,620,43,773
"Norwalk School District","=""1030011""",5144,5206,1108,11458
"Norwich Free Academy District","=""9010022""",876,1011,192,2079
"Norwich School District","=""1040011""",1635,1378,274,3287
"Odyssey Community School District","=""2630013""",109,187,32,328
"Old Saybrook School District","=""1060011""",215,805,68,1088
"Orange School District","=""1070011""",127,1092,39,1258
"Oxford School District","=""1080011""",194,1477,32,1703
"Park City Prep Charter School District","=""2830013""",235,90,36,361
"Plainfield School District","=""1090011""",941,843,207,1991
"Plainville School District","=""1100011""",708,1373,214,2295
"Plymouth School District","=""1110011""",440,750,118,1308
"Pomfret School District","=""1120011""",64,284,13,361
"Portland School District","=""1130011""",249,940,50,1239
"Preston School District","=""1140011""",59,343,25,427
"Putnam School District","=""1160011""",479,566,93,1138
"Redding School District","=""1170011""",67,750,15,832
"Regional School District 01","=""2010012""",108,222,16,346
"Regional School District 04","=""2040012""",141,631,44,816
"Regional School District 05","=""2050012""",245,1832,68,2145
"Regional School District 06","=""2060012""",159,686,42,887
"Regional School District 07","=""2070012""",152,716,43,911
"Regional School District 08","=""2080012""",162,1019,40,1221
"Regional School District 09","=""2090012""",70,737,15,822
"Regional School District 10","=""2100012""",252,1872,51,2175
"Regional School District 11","=""2110012""",85,107,17,209
"Regional School District 12","=""2120012""",129,592,42,763
"Regional School District 13","=""2130012""",174,1138,54,1366
"Regional School District 14","=""2140012""",248,1256,90,1594
"Regional School District 15","=""2150012""",334,3130,75,3539
"Regional School District 16","=""2160012""",293,1568,112,1973
"Regional School District 17","=""2170012""",168,1573,47,1788
"Regional School District 18","=""2180012""",158,1110,29,1297
"Regional School District 19","=""2190012""",244,834,60,1138
"Ridgefield School District","=""1180011""",287,4213,78,4578
"Rocky Hill School District","=""1190011""",404,2064,69,2537
"Salem School District","=""1210011""",55,318,17,390
"Salisbury School District","=""1220011""",40,254,11,305
"Scotland School District","=""1230011""",25,64,12,101
"Seymour School District","=""1240011""",589,1305,178,2072
"Sharon School District","=""1250011""",26,56,14,96
"Shelton School District","=""1260011""",1027,3125,271,4423
"Sherman School District","=""1270011""","*",255,"*",263
"Side By Side Charter School District","=""2700013""",110,102,24,236
"Simsbury School District","=""1280011""",492,3511,86,4089
"Somers School District","=""1290011""","*",1276,"*",1347
"South Windsor School District","=""1320011""",609,3968,201,4778
"Southington School District","=""1310011""",1154,4807,305,6266
"Sprague School District","=""1330011""",163,108,14,285
"Stafford School District","=""1340011""",341,976,69,1386
"Stamford Charter School for Excellence District","=""2960013""",201,260,45,506
"Stamford School District","=""1350011""",7318,7333,1428,16079
"Sterling School District","=""1360011""",105,215,15,335
"Stonington School District","=""1370011""",356,1401,74,1831
"Stratford School District","=""1380011""",2879,3438,543,6860
"Suffield School District","=""1390011""",235,1735,81,2051
"The Bridge Academy District","=""2690013""",180,61,38,279
"The Gilbert School District","=""9020022""",155,227,56,438
"The Woodstock Academy District","=""9030022""",25,1035,0,1060
"Thomaston School District","=""1400011""",231,558,55,844
"Thompson School District","=""1410011""",337,553,71,961
"Tolland School District","=""1420011""",246,1907,80,2233
"Torrington School District","=""1430011""",1960,1433,493,3886
"Trumbull School District","=""1440011""",865,5715,316,6896
"Unified School District #1","=""3360015""",156,0,0,156
"Unified School District #2","=""3470015""",78,0,0,78
"Union School District","=""1450011""","*","*",0,"*"
"Vernon School District","=""1460011""",1413,1497,273,3183
"Voluntown School District","=""1470011""",59,167,22,248
"Wallingford School District","=""1480011""",1328,3656,358,5342
"Waterbury School District","=""1510011""",12851,5457,352,18660
"Waterford School District","=""1520011""",492,1709,147,2348
"Watertown School District","=""1530011""",695,1697,212,2604
"West Hartford School District","=""1550011""",1837,6917,446,9200
"West Haven School District","=""1560011""",2787,2580,472,5839
"Westbrook School District","=""1540011""",175,403,57,635
"Weston School District","=""1570011""",24,2207,8,2239
"Westport School District","=""1580011""",118,5184,34,5336
"Wethersfield School District","=""1590011""",812,2590,220,3622
"Willington School District","=""1600011""",138,229,20,387
"Wilton School District","=""1610011""","*",3487,"*",3758
"Winchester School District","=""1620011""",275,241,62,578
"Windham School District","=""1630011""",2097,864,245,3206
"Windsor Locks School District","=""1650011""",568,842,113,1523
"Windsor School District","=""1640011""",1076,1952,260,3288
"Wolcott School District","=""1660011""",465,1553,142,2160
"Woodbridge School District","=""1670011""",89,742,16,847
"Woodstock School District","=""1690011""",123,639,32,794
"Total","=""""",177230,305233,31152,513615

