"Student Counts by District and Free/Reduced Lunch Eligibility"
"All Districts"
"2019-20"

"",,"Free/Reduced Lunch Eligibility",,,
"Darien School District","=""0350011""",78,4636,51,4765
"Deep River School District","=""0360011""",65,149,21,235
"Department of Mental Health and Addiction Services","=""""",7,0,0,7
"Derby School District","=""0370011""",635,565,95,1295
"East Granby School District","=""0400011""",134,702,0,836
"East Haddam School District","=""0410011""",199,740,58,997
"East Hampton School District","=""0420011""",297,1478,67,1842
"East Hartford School District","=""0430011""",3786,2538,469,6793
"East Haven School District","=""0440011""",1292,1244,358,2894
"East Lyme School District","=""0450011""",488,2079,126,2693
"East Windsor School District","=""0470011""",475,494,110,1079
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",237,208,29,474
"Eastford School District","=""0390011""",47,104,0,151
"Easton School District","=""0460011""",66,791,28,885
"EdAdvance","=""2420014""",210,49,6,265
"Ellington School District","=""0480011""",375,2209,97,2681
"Elm City College Preparatory School District","=""2890013""",512,213,42,767
"Elm City Montessori School District","=""2910013""",89,140,0,229
"Enfield School District","=""0490011""",2063,2593,389,5045
"Essex School District","=""0500011""",58,256,17,331
"Explorations District","=""2720013""",55,27,11,93
"Fairfield School District","=""0510011""",1233,8090,348,9671
"Farmington School District","=""0520011""",551,3441,167,4159
"Franklin School District","=""0530011""",26,128,6,160
"Glastonbury School District","=""0540011""",639,5031,165,5835
"Granby School District","=""0560011""",195,1555,49,1799
"Great Oaks Charter School District","=""2940013""",367,138,50,555
"Greenwich School District","=""0570011""",1382,7194,472,9048
"Griswold School District","=""0580011""",698,879,195,1772
"Groton School District","=""0590011""",1574,2154,544,4272
"Guilford School District","=""0600011""",317,2824,118,3259
"Hamden School District","=""0620011""",2185,2806,504,5495
"Hampton School District","=""0630011""",26,57,7,90
"Hartford School District","=""0640011""",14444,3908,528,18880
"Hartland School District","=""0650011""",26,123,8,157
"Hebron School District","=""0670011""",75,555,28,658
"Highville Charter School District","=""2860013""",274,124,62,460
"Integrated Day Charter School District","=""2640013""",102,209,41,352
"Interdistrict School for Arts and Comm District","=""2650013""",156,97,26,279
"Jumoke Academy District","=""2610013""",410,261,35,706
"Kent School District","=""0680011""","*",163,"*",205
"Killingly School District","=""0690011""",1047,1233,210,2490
"Learn","=""2450014""",1310,941,267,2518
"Lebanon School District","=""0710011""",228,695,68,991
"Ledyard School District","=""0720011""",508,1792,126,2426
"Lisbon School District","=""0730011""",117,266,38,421
"Litchfield School District","=""0740011""",162,676,51,889
"Madison School District","=""0760011""",67,2528,31,2626
"Manchester School District","=""0770011""",3407,2326,576,6309
"Mansfield School District","=""0780011""",283,795,55,1133
"Marlborough School District","=""0790011""",48,375,25,448
"Meriden School District","=""0800011""",5345,1922,896,8163
"Middletown School District","=""0830011""",2007,2324,289,4620
"Milford School District","=""0840011""",1312,3970,339,5621
"Monroe School District","=""0850011""",289,2742,105,3136
"Montville School District","=""0860011""",772,1124,168,2064
"Naugatuck School District","=""0880011""",2419,1625,328,4372
"New Beginnings Inc Family Academy District","=""2800013""",388,71,46,505
"New Britain School District","=""0890011""",6810,2661,622,10093
"New Canaan School District","=""0900011""",0,4221,0,4221
"New Fairfield School District","=""0910011""",227,1886,73,2186
"New Hartford School District","=""0920011""",66,360,11,437
"New Haven School District","=""0930011""",12496,7047,1132,20675
"New London School District","=""0950011""",2476,650,314,3440
"New Milford School District","=""0960011""",1052,2599,297,3948
"Newington School District","=""0940011""",997,2701,317,4015
"Newtown School District","=""0970011""",414,3605,169,4188
"Norfolk School District","=""0980011""","*",52,"*",74
"North Branford School District","=""0990011""",301,1292,107,1700
"North Canaan School District","=""1000011""",90,133,30,253
"North Haven School District","=""1010011""",508,2515,158,3181
"North Stonington School District","=""1020011""",120,587,40,747
"Norwalk School District","=""1030011""",5917,4525,1274,11716
"Norwich Free Academy District","=""9010022""",988,1088,190,2266
"Norwich School District","=""1040011""",2207,1172,209,3588
"Odyssey Community School District","=""2630013""",108,188,33,329
"Old Saybrook School District","=""1060011""",227,866,102,1195
"Orange School District","=""1070011""",118,1074,44,1236
"Oxford School District","=""1080011""",187,1490,45,1722
"Park City Prep Charter School District","=""2830013""",249,62,50,361
"Plainfield School District","=""1090011""",1009,966,205,2180
"Plainville School District","=""1100011""",721,1427,208,2356
"Plymouth School District","=""1110011""",463,779,126,1368
"Pomfret School District","=""1120011""",72,287,26,385
"Portland School District","=""1130011""",292,962,56,1310
"Preston School District","=""1140011""",98,304,36,438
"Putnam School District","=""1160011""",538,535,102,1175
"Redding School District","=""1170011""",46,774,16,836
"Regional School District 01","=""2010012""",121,203,38,362
"Regional School District 04","=""2040012""",152,664,42,858
"Regional School District 05","=""2050012""",163,1977,45,2185
"Regional School District 06","=""2060012""",168,697,52,917
"Regional School District 07","=""2070012""",132,841,63,1036
"Regional School District 08","=""2080012""",169,1198,45,1412
"Regional School District 09","=""2090012""",71,773,23,867
"Regional School District 10","=""2100012""",250,1943,49,2242
"Regional School District 11","=""2110012""",80,116,11,207
"Regional School District 12","=""2120012""",109,567,30,706
"Regional School District 13","=""2130012""",172,1273,72,1517
"Regional School District 14","=""2140012""",224,1316,52,1592
"Regional School District 15","=""2150012""",370,3200,107,3677
"Regional School District 16","=""2160012""",370,1590,124,2084
"Regional School District 17","=""2170012""",196,1707,55,1958
"Regional School District 18","=""2180012""",175,1069,46,1290
"Regional School District 19","=""2190012""",246,791,65,1102
"Ridgefield School District","=""1180011""",192,4463,52,4707
"Rocky Hill School District","=""1190011""",446,2107,148,2701
"Salem School District","=""1210011""",63,349,10,422
"Salisbury School District","=""1220011""",54,212,18,284
"Scotland School District","=""1230011""",36,61,9,106
"Seymour School District","=""1240011""",667,1293,219,2179
"Sharon School District","=""1250011""",27,62,14,103
"Shelton School District","=""1260011""",1081,3229,364,4674
"Sherman School District","=""1270011""","*",266,"*",275
"Side By Side Charter School District","=""2700013""",103,99,34,236
"Simsbury School District","=""1280011""",439,3488,164,4091
"Somers School District","=""1290011""",117,1214,22,1353
"South Windsor School District","=""1320011""",598,3741,215,4554
"Southington School District","=""1310011""",1157,4815,364,6336
"Sprague School District","=""1330011""",120,122,38,280
"Stafford School District","=""1340011""",455,855,149,1459
"Stamford Academy District","=""2820013""",81,48,18,147
"Stamford Charter School for Excellence District","=""2960013""",145,235,15,395
"Stamford School District","=""1350011""",8524,6788,1288,16600
"Sterling School District","=""1360011""",127,212,26,365
"Stonington School District","=""1370011""",445,1446,90,1981
"Stratford School District","=""1380011""",2717,3334,811,6862
"Suffield School District","=""1390011""",305,1750,72,2127
"The Bridge Academy District","=""2690013""",170,70,41,281
"The Gilbert School District","=""9020022""",141,278,48,467
"The Woodstock Academy District","=""9030022""",28,1079,0,1107
"Thomaston School District","=""1400011""",230,555,72,857
"Thompson School District","=""1410011""",364,521,110,995
"Tolland School District","=""1420011""",216,2026,112,2354
"Torrington School District","=""1430011""",2188,1212,457,3857
"Trumbull School District","=""1440011""",884,5631,293,6808
"Unified School District #1","=""3360015""",158,0,0,158
"Unified School District #2","=""3470015""",95,0,0,95
"Union School District","=""1450011""",6,40,0,46
"Vernon School District","=""1460011""",1434,1449,268,3151
"Voluntown School District","=""1470011""",65,178,21,264
"Wallingford School District","=""1480011""",1461,3828,404,5693
"Waterbury School District","=""1510011""",14620,3614,573,18807
"Waterford School District","=""1520011""",579,1700,190,2469
"Watertown School District","=""1530011""",756,1710,258,2724
"West Hartford School District","=""1550011""",2056,6940,506,9502
"West Haven School District","=""1560011""",3317,2026,522,5865
"Westbrook School District","=""1540011""",202,423,44,669
"Weston School District","=""1570011""",42,2233,15,2290
"Westport School District","=""1580011""",154,5145,45,5344
"Wethersfield School District","=""1590011""",722,2721,167,3610
"Willington School District","=""1600011""",128,280,31,439
"Wilton School District","=""1610011""",187,3683,0,3870
"Winchester School District","=""1620011""",307,208,60,575
"Windham School District","=""1630011""",2238,900,207,3345
"Windsor Locks School District","=""1650011""",605,876,118,1599
"Windsor School District","=""1640011""",1118,1980,247,3345
"Wolcott School District","=""1660011""",487,1535,174,2196
"Woodbridge School District","=""1670011""",78,727,36,841
"Woodstock School District","=""1690011""",125,658,41,824
"Total","=""""",196121,299294,32414,527829

