"Student Counts by District and Free/Reduced Lunch Eligibility"
"All Districts"
"2016-17"

"",,"Free/Reduced Lunch Eligibility",,,
"Newington School District","=""0940011""",690,3183,196,4069
"Newtown School District","=""0970011""",278,4090,102,4470
"Norfolk School District","=""0980011""",21,73,8,102
"North Branford School District","=""0990011""",258,1496,88,1842
"North Canaan School District","=""1000011""",56,210,12,278
"North Haven School District","=""1010011""",331,2716,115,3162
"North Stonington School District","=""1020011""",85,634,12,731
"Norwalk School District","=""1030011""",4999,5573,926,11498
"Norwich Free Academy District","=""9010022""",997,1212,129,2338
"Norwich School District","=""1040011""",2433,889,330,3652
"Odyssey Community School District","=""2630013""","*",249,"*",328
"Old Saybrook School District","=""1060011""",187,1071,59,1317
"Orange School District","=""1070011""",53,1106,8,1167
"Oxford School District","=""1080011""",141,1773,38,1952
"Park City Prep Charter School District","=""2830013""",229,81,50,360
"Path Academy District","=""2930013""",148,9,0,157
"Plainfield School District","=""1090011""",901,1163,228,2292
"Plainville School District","=""1100011""",599,1634,133,2366
"Plymouth School District","=""1110011""",386,1009,109,1504
"Pomfret School District","=""1120011""",45,322,10,377
"Portland School District","=""1130011""",247,1059,31,1337
"Preston School District","=""1140011""",84,321,25,430
"Putnam School District","=""1160011""",565,491,132,1188
"Redding School District","=""1170011""",26,911,0,937
"Regional School District 01","=""2010012""",74,333,19,426
"Regional School District 04","=""2040012""",79,840,33,952
"Regional School District 05","=""2050012""",102,2129,17,2248
"Regional School District 06","=""2060012""",83,865,27,975
"Regional School District 07","=""2070012""",85,997,22,1104
"Regional School District 08","=""2080012""",92,1421,45,1558
"Regional School District 09","=""2090012""",34,927,9,970
"Regional School District 10","=""2100012""",107,2244,15,2366
"Regional School District 11","=""2110012""",62,176,13,251
"Regional School District 12","=""2120012""",54,646,10,710
"Regional School District 13","=""2130012""",122,1589,34,1745
"Regional School District 14","=""2140012""",184,1536,48,1768
"Regional School District 15","=""2150012""",210,3469,50,3729
"Regional School District 16","=""2160012""",229,1888,94,2211
"Regional School District 17","=""2170012""",123,1942,52,2117
"Regional School District 18","=""2180012""",94,1192,22,1308
"Regional School District 19","=""2190012""",207,942,55,1204
"Ridgefield School District","=""1180011""",83,4876,25,4984
"Rocky Hill School District","=""1190011""",331,2216,74,2621
"Salem School District","=""1210011""","*",365,"*",409
"Salisbury School District","=""1220011""",27,239,14,280
"Scotland School District","=""1230011""",28,81,7,116
"Seymour School District","=""1240011""",407,1594,157,2158
"Sharon School District","=""1250011""","*",107,"*",150
"Shelton School District","=""1260011""",809,3778,228,4815
"Sherman School District","=""1270011""",11,293,11,315
"Side By Side Charter School District","=""2700013""",92,123,21,236
"Simsbury School District","=""1280011""",324,3764,73,4161
"Somers School District","=""1290011""",63,1360,8,1431
"South Windsor School District","=""1320011""",412,3648,128,4188
"Southington School District","=""1310011""",824,5583,175,6582
"Sprague School District","=""1330011""",134,178,27,339
"Stafford School District","=""1340011""",418,961,147,1526
"Stamford Academy District","=""2820013""",121,17,10,148
"Stamford Charter School for Excellence District","=""2960013""",110,87,20,217
"Stamford School District","=""1350011""",7281,7673,1146,16100
"Sterling School District","=""1360011""",115,274,42,431
"Stonington School District","=""1370011""",302,1746,60,2108
"Stratford School District","=""1380011""",2359,3708,789,6856
"Suffield School District","=""1390011""",222,2022,37,2281
"The Bridge Academy District","=""2690013""",191,44,46,281
"The Gilbert School District","=""9020022""",180,345,37,562
"The Woodstock Academy District","=""9030022""",0,1038,27,1065
"Thomaston School District","=""1400011""",157,676,65,898
"Thompson School District","=""1410011""",286,653,79,1018
"Tolland School District","=""1420011""",134,2292,58,2484
"Torrington School District","=""1430011""",1857,1990,354,4201
"Trailblazers Academy District","=""2780013""",123,"*","*",129
"Trumbull School District","=""1440011""",483,6047,155,6685
"Unified School District #1","=""3360015""",363,0,0,363
"Unified School District #2","=""3470015""",156,0,0,156
"Union School District","=""1450011""","*","*",0,"*"
"Vernon School District","=""1460011""",1250,1803,171,3224
"Voluntown School District","=""1470011""",63,211,11,285
"Wallingford School District","=""1480011""",1059,4594,255,5908
"Waterbury School District","=""1510011""",11660,6029,1312,19001
"Waterford School District","=""1520011""",406,2026,103,2535
"Watertown School District","=""1530011""",557,2066,159,2782
"West Hartford School District","=""1550011""",1734,7695,336,9765
"West Haven School District","=""1560011""",3287,1967,532,5786
"Westbrook School District","=""1540011""",124,627,16,767
"Weston School District","=""1570011""",36,2321,17,2374
"Westport School District","=""1580011""",176,5411,36,5623
"Wethersfield School District","=""1590011""",597,2883,116,3596
"Willington School District","=""1600011""",75,329,24,428
"Wilton School District","=""1610011""","*",4010,"*",4078
"Winchester School District","=""1620011""",265,251,49,565
"Windham School District","=""1630011""",2572,584,181,3337
"Windsor Locks School District","=""1650011""",586,867,119,1572
"Windsor School District","=""1640011""",860,2202,150,3212
"Wolcott School District","=""1660011""",366,1791,128,2285
"Woodbridge School District","=""1670011""",46,716,18,780
"Woodstock School District","=""1690011""",69,734,39,842
"Total","=""""",169054,345658,24187,538899

