"Student Counts by District and Free/Reduced Lunch Eligibility"
"All Districts"
"2009-10"

"",,"Free/Reduced Lunch Eligibility",,,
"Monroe School District","=""0850011""",104,3695,100,3899
"Montville School District","=""0860011""",458,2030,210,2698
"Naugatuck School District","=""0880011""",1438,3036,419,4893
"New Beginnings Inc Family Academy District","=""2800013""",232,82,46,360
"New Britain School District","=""0890011""",6728,2440,1150,10318
"New Canaan School District","=""0900011""",0,4091,0,4091
"New Fairfield School District","=""0910011""",141,2821,69,3031
"New Hartford School District","=""0920011""",32,581,19,632
"New Haven School District","=""0930011""",14171,3907,1869,19947
"New London School District","=""0950011""",2833,156,31,3020
"New Milford School District","=""0960011""",432,4205,246,4883
"Newington School District","=""0940011""",484,3682,326,4492
"Newtown School District","=""0970011""",179,5256,75,5510
"Norfolk School District","=""0980011""","*",131,"*",144
"North Branford School District","=""0990011""",179,2058,105,2342
"North Canaan School District","=""1000011""",40,278,10,328
"North Haven School District","=""1010011""",184,3411,117,3712
"North Stonington School District","=""1020011""",83,644,65,792
"Norwalk School District","=""1030011""",3413,6643,906,10962
"Norwich Free Academy District","=""9010022""",364,1989,68,2421
"Norwich School District","=""1040011""",2117,1379,450,3946
"Odyssey Community School District","=""2630013""",56,108,16,180
"Old Saybrook School District","=""1060011""",124,1414,61,1599
"Orange School District","=""1070011""",31,1254,16,1301
"Oxford School District","=""1080011""",101,2000,62,2163
"Park City Prep Charter School District","=""2830013""",105,105,32,242
"Plainfield School District","=""1090011""",656,1845,236,2737
"Plainville School District","=""1100011""",561,1916,77,2554
"Plymouth School District","=""1110011""",280,1407,112,1799
"Pomfret School District","=""1120011""",43,483,13,539
"Portland School District","=""1130011""",123,1291,25,1439
"Preston School District","=""1140011""",38,380,20,438
"Putnam School District","=""1160011""",527,579,133,1239
"Redding School District","=""1170011""","*",1250,"*",1269
"Regional School District 01","=""2010012""",42,442,32,516
"Regional School District 04","=""2040012""",53,903,25,981
"Regional School District 05","=""2050012""",13,2474,11,2498
"Regional School District 06","=""2060012""",60,981,35,1076
"Regional School District 07","=""2070012""",60,1084,28,1172
"Regional School District 08","=""2080012""",63,1635,45,1743
"Regional School District 09","=""2090012""","*",966,"*",973
"Regional School District 10","=""2100012""",75,2726,30,2831
"Regional School District 11","=""2110012""",34,252,14,300
"Regional School District 12","=""2120012""",35,926,12,973
"Regional School District 13","=""2130012""",56,1999,39,2094
"Regional School District 14","=""2140012""",109,1972,48,2129
"Regional School District 15","=""2150012""",91,4418,49,4558
"Regional School District 16","=""2160012""",180,2301,113,2594
"Regional School District 17","=""2170012""",104,2341,58,2503
"Regional School District 18","=""2180012""",81,1378,31,1490
"Regional School District 19","=""2190012""",105,1057,39,1201
"Ridgefield School District","=""1180011""",72,5348,36,5456
"Rocky Hill School District","=""1190011""",167,2411,71,2649
"Salem School District","=""1210011""",11,471,12,494
"Salisbury School District","=""1220011""",17,283,11,311
"Scotland School District","=""1230011""",18,130,13,161
"Seymour School District","=""1240011""",331,1897,214,2442
"Sharon School District","=""1250011""",19,171,15,205
"Shelton School District","=""1260011""",591,4631,258,5480
"Sherman School District","=""1270011""",13,433,0,446
"Side By Side Charter School District","=""2700013""",89,120,23,232
"Simsbury School District","=""1280011""",207,4571,108,4886
"Somers School District","=""1290011""",44,1564,52,1660
"South Windsor School District","=""1320011""",267,4295,134,4696
"Southington School District","=""1310011""",482,6179,178,6839
"Sprague School District","=""1330011""",88,225,39,352
"Stafford School District","=""1340011""",296,1385,173,1854
"Stamford Academy District","=""2820013""",80,20,31,131
"Stamford School District","=""1350011""",4696,9114,1324,15134
"Sterling School District","=""1360011""",112,348,48,508
"Stonington School District","=""1370011""",188,2283,67,2538
"Stratford School District","=""1380011""",1458,5188,735,7381
"Suffield School District","=""1390011""",123,2396,51,2570
"The Bridge Academy District","=""2690013""",156,58,49,263
"The Gilbert School District","=""9020022""",85,259,37,381
"The Woodstock Academy District","=""9030022""",0,1067,86,1153
"Thomaston School District","=""1400011""",132,966,80,1178
"Thompson School District","=""1410011""",272,959,111,1342
"Tolland School District","=""1420011""",77,3050,41,3168
"Torrington School District","=""1430011""",1298,2974,474,4746
"Trailblazers Academy District","=""2780013""",114,23,28,165
"Trumbull School District","=""1440011""",274,6634,131,7039
"Unified School District #1","=""3360015""",990,0,0,990
"Unified School District #2","=""3470015""",330,0,0,330
"Union School District","=""1450011""","*","*",0,"*"
"Vernon School District","=""1460011""",814,2670,217,3701
"Voluntown School District","=""1470011""",50,242,11,303
"Wallingford School District","=""1480011""",541,5974,186,6701
"Waterbury School District","=""1510011""",12567,3682,2011,18260
"Waterford School District","=""1520011""",267,2525,98,2890
"Watertown School District","=""1530011""",329,2751,170,3250
"West Hartford School District","=""1550011""",1306,8418,513,10237
"West Haven School District","=""1560011""",2213,3457,633,6303
"Westbrook School District","=""1540011""",71,870,35,976
"Weston School District","=""1570011""",26,2538,8,2572
"Westport School District","=""1580011""",109,5585,44,5738
"Wethersfield School District","=""1590011""",395,3218,220,3833
"Willington School District","=""1600011""",59,472,14,545
"Wilton School District","=""1610011""",34,4312,12,4358
"Winchester School District","=""1620011""",333,534,105,972
"Windham School District","=""1630011""",2213,935,345,3493
"Windsor Locks School District","=""1650011""",399,1261,155,1815
"Windsor School District","=""1640011""",729,2724,344,3797
"Wolcott School District","=""1660011""",279,2277,207,2763
"Woodbridge School District","=""1670011""",20,705,8,733
"Woodstock School District","=""1690011""",62,817,44,923
"Total","=""""",153011,382867,31914,567792

