"Student Counts by District and Free/Reduced Lunch Eligibility"
"All Districts"
"2015-16"

"",,"Free/Reduced Lunch Eligibility",,,
"Naugatuck School District","=""0880011""",1712,2178,356,4246
"New Beginnings Inc Family Academy District","=""2800013""",335,102,62,499
"New Britain School District","=""0890011""",7312,2242,517,10071
"New Canaan School District","=""0900011""",0,4227,0,4227
"New Fairfield School District","=""0910011""",134,2315,48,2497
"New Hartford School District","=""0920011""",36,419,15,470
"New Haven School District","=""0930011""",11870,9292,563,21725
"New London School District","=""0950011""",2321,922,138,3381
"New Milford School District","=""0960011""",598,3468,179,4245
"Newington School District","=""0940011""",701,3133,226,4060
"Newtown School District","=""0970011""",238,4260,90,4588
"Norfolk School District","=""0980011""",20,90,6,116
"North Branford School District","=""0990011""",256,1540,93,1889
"North Canaan School District","=""1000011""",49,196,15,260
"North Haven School District","=""1010011""",339,2709,140,3188
"North Stonington School District","=""1020011""",108,602,18,728
"Norwalk School District","=""1030011""",4864,5657,888,11409
"Norwich Free Academy District","=""9010022""",1071,1082,129,2282
"Norwich School District","=""1040011""",2451,915,339,3705
"Odyssey Community School District","=""2630013""",70,242,16,328
"Old Saybrook School District","=""1060011""",198,1096,52,1346
"Orange School District","=""1070011""",48,1121,10,1179
"Oxford School District","=""1080011""",140,1783,51,1974
"Park City Prep Charter School District","=""2830013""",246,82,32,360
"Path Academy District","=""2930013""",127,"*","*",143
"Plainfield School District","=""1090011""",929,1175,226,2330
"Plainville School District","=""1100011""",613,1618,178,2409
"Plymouth School District","=""1110011""",382,1036,104,1522
"Pomfret School District","=""1120011""",57,327,18,402
"Portland School District","=""1130011""",242,1071,47,1360
"Preston School District","=""1140011""",82,338,25,445
"Putnam School District","=""1160011""",596,470,129,1195
"Redding School District","=""1170011""","*",924,"*",954
"Regional School District 01","=""2010012""",74,345,27,446
"Regional School District 04","=""2040012""",75,839,14,928
"Regional School District 05","=""2050012""",84,2165,21,2270
"Regional School District 06","=""2060012""",104,844,38,986
"Regional School District 07","=""2070012""",78,1002,20,1100
"Regional School District 08","=""2080012""",83,1483,35,1601
"Regional School District 09","=""2090012""",32,977,19,1028
"Regional School District 10","=""2100012""",150,2236,30,2416
"Regional School District 11","=""2110012""",63,181,9,253
"Regional School District 12","=""2120012""","*",670,"*",732
"Regional School District 13","=""2130012""",99,1617,35,1751
"Regional School District 14","=""2140012""",124,1605,39,1768
"Regional School District 15","=""2150012""",190,3557,46,3793
"Regional School District 16","=""2160012""",251,1933,86,2270
"Regional School District 17","=""2170012""",126,1944,63,2133
"Regional School District 18","=""2180012""",79,1239,21,1339
"Regional School District 19","=""2190012""",164,1009,40,1213
"Ridgefield School District","=""1180011""",91,4934,27,5052
"Rocky Hill School District","=""1190011""",296,2247,67,2610
"Salem School District","=""1210011""","*",342,"*",384
"Salisbury School District","=""1220011""",24,240,10,274
"Scotland School District","=""1230011""","*",82,"*",119
"Seymour School District","=""1240011""",468,1561,186,2215
"Sharon School District","=""1250011""",28,123,9,160
"Shelton School District","=""1260011""",845,3835,245,4925
"Sherman School District","=""1270011""","*",322,"*",337
"Side By Side Charter School District","=""2700013""",85,136,15,236
"Simsbury School District","=""1280011""",345,3793,52,4190
"Somers School District","=""1290011""","*",1339,"*",1435
"South Windsor School District","=""1320011""",421,3596,139,4156
"Southington School District","=""1310011""",854,5530,199,6583
"Sprague School District","=""1330011""",152,192,18,362
"Stafford School District","=""1340011""",435,979,130,1544
"Stamford Academy District","=""2820013""",142,"*","*",150
"Stamford Charter School for Excellence District","=""2960013""",96,53,15,164
"Stamford School District","=""1350011""",7188,7618,1140,15946
"Sterling School District","=""1360011""",114,309,31,454
"Stonington School District","=""1370011""",360,1746,68,2174
"Stratford School District","=""1380011""",2325,3849,727,6901
"Suffield School District","=""1390011""",258,2069,31,2358
"The Bridge Academy District","=""2690013""",196,41,42,279
"The Gilbert School District","=""9020022""",215,305,33,553
"The Woodstock Academy District","=""9030022""","*",1003,"*",1022
"Thomaston School District","=""1400011""",140,698,62,900
"Thompson School District","=""1410011""",281,650,76,1007
"Tolland School District","=""1420011""",169,2374,57,2600
"Torrington School District","=""1430011""",1831,2051,384,4266
"Trailblazers Academy District","=""2780013""",117,"*","*",125
"Trumbull School District","=""1440011""",434,6054,199,6687
"Unified School District #1","=""3360015""",390,0,0,390
"Unified School District #2","=""3470015""",149,24,0,173
"Union School District","=""1450011""","*","*",0,80
"Vernon School District","=""1460011""",1234,1800,170,3204
"Voluntown School District","=""1470011""",58,237,8,303
"Wallingford School District","=""1480011""",1056,4767,197,6020
"Waterbury School District","=""1510011""",12459,5108,1295,18862
"Waterford School District","=""1520011""",397,2036,95,2528
"Watertown School District","=""1530011""",554,2108,166,2828
"West Hartford School District","=""1550011""",1757,7686,314,9757
"West Haven School District","=""1560011""",3349,2010,483,5842
"Westbrook School District","=""1540011""",98,664,20,782
"Weston School District","=""1570011""",42,2357,9,2408
"Westport School District","=""1580011""",184,5488,42,5714
"Wethersfield School District","=""1590011""",579,2917,155,3651
"Willington School District","=""1600011""",68,348,19,435
"Wilton School District","=""1610011""","*",4120,"*",4173
"Winchester School District","=""1620011""",266,276,47,589
"Windham School District","=""1630011""",2480,631,185,3296
"Windsor Locks School District","=""1650011""",505,1039,94,1638
"Windsor School District","=""1640011""",984,2036,194,3214
"Wolcott School District","=""1660011""",385,1836,125,2346
"Woodbridge School District","=""1670011""",42,718,15,775
"Woodstock School District","=""1690011""",104,718,40,862
"Total","=""""",181524,335740,24551,541815

