"Student Counts by District and Free/Reduced Lunch Eligibility"
"All Districts"
"2012-13"

"",,"Free/Reduced Lunch Eligibility",,,
"Regional School District 15","=""2150012""",165,3878,50,4093
"Regional School District 16","=""2160012""",213,2090,126,2429
"Regional School District 17","=""2170012""",143,2137,40,2320
"Regional School District 18","=""2180012""",83,1354,13,1450
"Regional School District 19","=""2190012""",156,1043,36,1235
"Ridgefield School District","=""1180011""",128,5138,30,5296
"Rocky Hill School District","=""1190011""",228,2175,67,2470
"Salem School District","=""1210011""",33,380,15,428
"Salisbury School District","=""1220011""",25,271,14,310
"Scotland School District","=""1230011""","*",102,"*",127
"Seymour School District","=""1240011""",437,1697,160,2294
"Sharon School District","=""1250011""",30,148,10,188
"Shelton School District","=""1260011""",804,4067,259,5130
"Sherman School District","=""1270011""","*",357,"*",384
"Side By Side Charter School District","=""2700013""",63,149,21,233
"Simsbury School District","=""1280011""",295,4176,82,4553
"Somers School District","=""1290011""",42,1486,58,1586
"South Windsor School District","=""1320011""",360,3848,113,4321
"Southington School District","=""1310011""",739,5780,221,6740
"Sprague School District","=""1330011""",125,220,28,373
"Stafford School District","=""1340011""",390,1226,111,1727
"Stamford Academy District","=""2820013""",124,"*","*",138
"Stamford School District","=""1350011""",6543,7952,1339,15834
"Sterling School District","=""1360011""",137,343,22,502
"Stonington School District","=""1370011""",353,1913,103,2369
"Stratford School District","=""1380011""",2211,4154,874,7239
"Suffield School District","=""1390011""",192,2190,75,2457
"The Bridge Academy District","=""2690013""",162,53,61,276
"The Gilbert School District","=""9020022""",159,287,59,505
"The Woodstock Academy District","=""9030022""",0,1014,41,1055
"Thomaston School District","=""1400011""",144,809,64,1017
"Thompson School District","=""1410011""",301,773,93,1167
"Tolland School District","=""1420011""",115,2699,43,2857
"Torrington School District","=""1430011""",1694,2386,366,4446
"Trailblazers Academy District","=""2780013""",130,21,17,168
"Trumbull School District","=""1440011""",407,6322,208,6937
"Unified School District #1","=""3360015""",641,0,0,641
"Unified School District #2","=""3470015""",192,35,0,227
"Union School District","=""1450011""",0,"*","*","*"
"Vernon School District","=""1460011""",1106,2205,166,3477
"Voluntown School District","=""1470011""",52,241,28,321
"Wallingford School District","=""1480011""",893,5193,206,6292
"Waterbury School District","=""1510011""",13504,3503,1478,18485
"Waterford School District","=""1520011""",306,2223,113,2642
"Watertown School District","=""1530011""",446,2412,178,3036
"West Hartford School District","=""1550011""",1560,8060,458,10078
"West Haven School District","=""1560011""",2661,2960,458,6079
"Westbrook School District","=""1540011""",96,765,16,877
"Weston School District","=""1570011""",20,2391,17,2428
"Westport School District","=""1580011""",174,5605,39,5818
"Wethersfield School District","=""1590011""",513,2986,204,3703
"Willington School District","=""1600011""",61,409,10,480
"Wilton School District","=""1610011""",61,4235,16,4312
"Winchester School District","=""1620011""",355,279,64,698
"Windham School District","=""1630011""",2198,790,235,3223
"Windsor Locks School District","=""1650011""",496,1130,135,1761
"Windsor School District","=""1640011""",868,2254,293,3415
"Wolcott School District","=""1660011""",380,2018,182,2580
"Woodbridge School District","=""1670011""",25,704,16,745
"Woodstock School District","=""1690011""",84,790,23,897
"Total","=""""",175767,350453,28584,554804

