"Student Counts by District and Free/Reduced Lunch Eligibility"
"All Districts"
"2011-12"

"",,"Free/Reduced Lunch Eligibility",,,
"Easton School District","=""0460011""",11,1040,8,1059
"EdAdvance","=""2420014""",197,24,0,221
"Ellington School District","=""0480011""",210,2495,50,2755
"Elm City College Preparatory School District","=""2890013""",364,145,91,600
"Enfield School District","=""0490011""",1552,3743,378,5673
"Essex School District","=""0500011""",30,511,18,559
"Explorations District","=""2720013""",27,47,0,74
"Fairfield School District","=""0510011""",691,9374,270,10335
"Farmington School District","=""0520011""",257,3748,64,4069
"Franklin School District","=""0530011""","*",175,"*",206
"Glastonbury School District","=""0540011""",394,6190,137,6721
"Granby School District","=""0560011""",152,1987,32,2171
"Greenwich School District","=""0570011""",923,7586,313,8822
"Griswold School District","=""0580011""",515,1307,152,1974
"Groton School District","=""0590011""",1338,3235,417,4990
"Guilford School District","=""0600011""",167,3405,112,3684
"Hamden School District","=""0620011""",1903,3653,341,5897
"Hampton School District","=""0630011""","*",100,"*",126
"Hartford School District","=""0640011""",18674,2121,502,21297
"Hartland School District","=""0650011""",15,212,0,227
"Hebron School District","=""0670011""",35,988,25,1048
"Highville Charter School District","=""2860013""",135,163,39,337
"Integrated Day Charter School District","=""2640013""",69,237,24,330
"Interdistrict School for Arts and Comm District","=""2650013""",103,60,28,191
"Jumoke Academy District","=""2610013""",208,207,73,488
"Kent School District","=""0680011""",32,236,10,278
"Killingly School District","=""0690011""",903,1557,244,2704
"Learn","=""2450014""",610,777,127,1514
"Lebanon School District","=""0710011""",112,1142,39,1293
"Ledyard School District","=""0720011""",311,2201,92,2604
"Lisbon School District","=""0730011""",70,388,23,481
"Litchfield School District","=""0740011""",97,998,38,1133
"Madison School District","=""0760011""",103,3310,52,3465
"Manchester School District","=""0770011""",2953,2841,660,6454
"Mansfield School District","=""0780011""",254,1016,59,1329
"Marlborough School District","=""0790011""",37,624,11,672
"Meriden School District","=""0800011""",4788,2771,783,8342
"Middletown School District","=""0830011""",1859,2873,374,5106
"Milford School District","=""0840011""",1048,5429,359,6836
"Monroe School District","=""0850011""",187,3308,94,3589
"Montville School District","=""0860011""",559,1766,250,2575
"Naugatuck School District","=""0880011""",1409,2685,441,4535
"New Beginnings Inc Family Academy District","=""2800013""",260,55,46,361
"New Britain School District","=""0890011""",7237,2135,896,10268
"New Canaan School District","=""0900011""",0,4173,0,4173
"New Fairfield School District","=""0910011""",196,2596,86,2878
"New Hartford School District","=""0920011""",30,538,15,583
"New Haven School District","=""0930011""",12881,6393,1375,20649
"New London School District","=""0950011""",2550,389,59,2998
"New Milford School District","=""0960011""",574,3868,246,4688
"Newington School District","=""0940011""",534,3594,250,4378
"Newtown School District","=""0970011""",257,4967,92,5316
"Norfolk School District","=""0980011""",7,110,7,124
"North Branford School District","=""0990011""",233,1869,85,2187
"North Canaan School District","=""1000011""",56,239,13,308
"North Haven School District","=""1010011""",229,3238,113,3580
"North Stonington School District","=""1020011""",85,660,36,781
"Norwalk School District","=""1030011""",4117,6181,885,11183
"Norwich Free Academy District","=""9010022""",351,1909,55,2315
"Norwich School District","=""1040011""",2403,1109,371,3883
"Odyssey Community School District","=""2630013""",91,195,28,314
"Old Saybrook School District","=""1060011""",171,1337,63,1571
"Orange School District","=""1070011""",18,1239,16,1273
"Oxford School District","=""1080011""",134,1980,33,2147
"Park City Prep Charter School District","=""2830013""",144,81,32,257
"Plainfield School District","=""1090011""",914,1476,203,2593
"Plainville School District","=""1100011""",515,1732,177,2424
"Plymouth School District","=""1110011""",353,1198,114,1665
"Pomfret School District","=""1120011""",55,409,11,475
"Portland School District","=""1130011""",179,1155,38,1372
"Preston School District","=""1140011""",47,339,18,404
"Putnam School District","=""1160011""",638,550,76,1264
"Redding School District","=""1170011""",23,1179,8,1210
"Regional School District 01","=""2010012""",67,373,27,467
"Regional School District 04","=""2040012""",61,873,29,963
"Regional School District 05","=""2050012""",75,2330,39,2444
"Regional School District 06","=""2060012""",110,897,38,1045
"Regional School District 07","=""2070012""",71,1065,27,1163
"Regional School District 08","=""2080012""",73,1663,56,1792
"Regional School District 09","=""2090012""","*",997,"*",1022
"Regional School District 10","=""2100012""",99,2545,35,2679
"Regional School District 11","=""2110012""",53,223,24,300
"Regional School District 12","=""2120012""",42,832,15,889
"Regional School District 13","=""2130012""",79,1875,47,2001
"Regional School District 14","=""2140012""",96,1891,31,2018
"Regional School District 15","=""2150012""",106,4088,47,4241
"Regional School District 16","=""2160012""",233,2146,108,2487
"Regional School District 17","=""2170012""",119,2241,35,2395
"Regional School District 18","=""2180012""",74,1359,23,1456
"Regional School District 19","=""2190012""",121,1079,38,1238
"Ridgefield School District","=""1180011""",99,5244,36,5379
"Rocky Hill School District","=""1190011""",226,2232,81,2539
"Salem School District","=""1210011""",28,406,11,445
"Salisbury School District","=""1220011""",28,273,10,311
"Scotland School District","=""1230011""","*",116,"*",132
"Seymour School District","=""1240011""",390,1753,167,2310
"Sharon School District","=""1250011""",38,143,10,191
"Shelton School District","=""1260011""",725,4252,268,5245
"Sherman School District","=""1270011""",26,372,0,398
"Side By Side Charter School District","=""2700013""",91,120,21,232
"Simsbury School District","=""1280011""",266,4349,75,4690
"Somers School District","=""1290011""",49,1532,41,1622
"South Windsor School District","=""1320011""",336,3951,108,4395
"Southington School District","=""1310011""",686,5872,187,6745
"Sprague School District","=""1330011""",119,223,38,380
"Stafford School District","=""1340011""",395,1294,141,1830
"Stamford Academy District","=""2820013""",97,20,21,138
"Stamford School District","=""1350011""",6244,8091,1236,15571
"Sterling School District","=""1360011""",128,335,31,494
"Stonington School District","=""1370011""",146,2234,50,2430
"Stratford School District","=""1380011""",2213,4130,957,7300
"Suffield School District","=""1390011""",168,2240,95,2503
"The Bridge Academy District","=""2690013""",160,66,50,276
"The Gilbert School District","=""9020022""",180,313,49,542
"The Woodstock Academy District","=""9030022""","*",1056,"*",1098
"Thomaston School District","=""1400011""",157,829,78,1064
"Thompson School District","=""1410011""",289,808,105,1202
"Tolland School District","=""1420011""",136,2789,51,2976
"Torrington School District","=""1430011""",1655,2508,402,4565
"Trailblazers Academy District","=""2780013""",121,31,18,170
"Trumbull School District","=""1440011""",286,6508,165,6959
"Unified School District #1","=""3360015""",744,0,0,744
"Unified School District #2","=""3470015""",262,0,0,262
"Union School District","=""1450011""",0,"*","*",74
"Vernon School District","=""1460011""",1102,2288,200,3590
"Voluntown School District","=""1470011""",51,255,17,323
"Wallingford School District","=""1480011""",733,5554,148,6435
"Waterbury School District","=""1510011""",12972,3750,1453,18175
"Waterford School District","=""1520011""",291,2310,110,2711
"Watertown School District","=""1530011""",355,2594,157,3106
"West Hartford School District","=""1550011""",1498,8198,451,10147
"West Haven School District","=""1560011""",2716,2845,570,6131
"Westbrook School District","=""1540011""",108,796,24,928
"Weston School District","=""1570011""",22,2447,21,2490
"Westport School District","=""1580011""",138,5590,29,5757
"Wethersfield School District","=""1590011""",467,3061,183,3711
"Willington School District","=""1600011""",62,417,16,495
"Wilton School District","=""1610011""",50,4265,21,4336
"Winchester School District","=""1620011""",199,468,42,709
"Windham School District","=""1630011""",2266,703,302,3271
"Windsor Locks School District","=""1650011""",434,1183,146,1763
"Windsor School District","=""1640011""",805,2436,279,3520
"Wolcott School District","=""1660011""",355,2114,195,2664
"Woodbridge School District","=""1670011""","*",712,"*",738
"Woodstock School District","=""1690011""",85,794,15,894
"Total","=""""",168115,361802,28461,558378

