"Student Counts by District and Free/Reduced Lunch Eligibility"
"All Districts"
"2014-15"

"",,"Free/Reduced Lunch Eligibility",,,
"Plainfield School District","=""1090011""",913,1227,211,2351
"Plainville School District","=""1100011""",579,1642,191,2412
"Plymouth School District","=""1110011""",349,1140,67,1556
"Pomfret School District","=""1120011""",45,340,25,410
"Portland School District","=""1130011""",246,1051,37,1334
"Preston School District","=""1140011""",73,329,24,426
"Putnam School District","=""1160011""",652,477,123,1252
"Redding School District","=""1170011""",27,965,9,1001
"Regional School District 01","=""2010012""",62,312,32,406
"Regional School District 04","=""2040012""",65,881,28,974
"Regional School District 05","=""2050012""",82,2225,21,2328
"Regional School District 06","=""2060012""",99,822,50,971
"Regional School District 07","=""2070012""",74,981,21,1076
"Regional School District 08","=""2080012""",70,1551,40,1661
"Regional School District 09","=""2090012""",33,1020,12,1065
"Regional School District 10","=""2100012""",153,2280,51,2484
"Regional School District 11","=""2110012""",67,195,16,278
"Regional School District 12","=""2120012""",64,675,13,752
"Regional School District 13","=""2130012""",94,1714,24,1832
"Regional School District 14","=""2140012""",149,1610,44,1803
"Regional School District 15","=""2150012""",178,3644,46,3868
"Regional School District 16","=""2160012""",262,1983,84,2329
"Regional School District 17","=""2170012""",157,1970,59,2186
"Regional School District 18","=""2180012""",95,1245,14,1354
"Regional School District 19","=""2190012""",162,994,48,1204
"Ridgefield School District","=""1180011""",121,5020,37,5178
"Rocky Hill School District","=""1190011""",291,2120,76,2487
"Salem School District","=""1210011""",53,335,11,399
"Salisbury School District","=""1220011""",21,236,16,273
"Scotland School District","=""1230011""","*",86,"*",129
"Seymour School District","=""1240011""",477,1653,156,2286
"Sharon School District","=""1250011""",32,138,7,177
"Shelton School District","=""1260011""",838,3842,267,4947
"Sherman School District","=""1270011""",19,330,0,349
"Side By Side Charter School District","=""2700013""",96,120,19,235
"Simsbury School District","=""1280011""",350,3897,60,4307
"Somers School District","=""1290011""",77,1379,24,1480
"South Windsor School District","=""1320011""",415,3646,155,4216
"Southington School District","=""1310011""",854,5542,230,6626
"Sprague School District","=""1330011""",140,196,30,366
"Stafford School District","=""1340011""",428,1058,100,1586
"Stamford Academy District","=""2820013""",130,"*","*",141
"Stamford School District","=""1350011""",7105,7744,1236,16085
"Sterling School District","=""1360011""",128,313,26,467
"Stonington School District","=""1370011""",353,1823,91,2267
"Stratford School District","=""1380011""",2518,3788,754,7060
"Suffield School District","=""1390011""",210,2151,36,2397
"The Bridge Academy District","=""2690013""",189,42,44,275
"The Gilbert School District","=""9020022""",209,293,50,552
"The Woodstock Academy District","=""9030022""","*",987,"*",1012
"Thomaston School District","=""1400011""",148,705,59,912
"Thompson School District","=""1410011""",277,666,73,1016
"Tolland School District","=""1420011""",162,2454,61,2677
"Torrington School District","=""1430011""",1751,2141,411,4303
"Trailblazers Academy District","=""2780013""",93,13,13,119
"Trumbull School District","=""1440011""",416,6099,201,6716
"Unified School District #1","=""3360015""",410,0,0,410
"Unified School District #2","=""3470015""",187,28,0,215
"Union School District","=""1450011""","*","*",0,80
"Vernon School District","=""1460011""",1207,1893,182,3282
"Voluntown School District","=""1470011""",54,251,12,317
"Wallingford School District","=""1480011""",1057,4848,200,6105
"Waterbury School District","=""1510011""",12518,5183,1177,18878
"Waterford School District","=""1520011""",377,2091,84,2552
"Watertown School District","=""1530011""",564,2142,142,2848
"West Hartford School District","=""1550011""",1667,7720,407,9794
"West Haven School District","=""1560011""",3006,2519,415,5940
"Westbrook School District","=""1540011""",102,692,13,807
"Weston School District","=""1570011""",40,2347,26,2413
"Westport School District","=""1580011""",159,5560,53,5772
"Wethersfield School District","=""1590011""",560,2916,171,3647
"Willington School District","=""1600011""",63,352,15,430
"Wilton School District","=""1610011""",51,4210,11,4272
"Winchester School District","=""1620011""",199,370,40,609
"Windham School District","=""1630011""",2315,691,184,3190
"Windsor Locks School District","=""1650011""",538,1019,107,1664
"Windsor School District","=""1640011""",910,2021,237,3168
"Wolcott School District","=""1660011""",358,1891,116,2365
"Woodbridge School District","=""1670011""",35,752,10,797
"Woodstock School District","=""1690011""",95,738,40,873
"Total","=""""",179881,340426,26042,546349

