school_year,fiscal_year,lea_id,lea_name,isp
2025-26,2026,07700,Manchester School District,0.4996
2025-26,2026,07800,Mansfield School District,0.18760000000000002
2025-26,2026,07900,Marlborough School District,0.1457
2025-26,2026,08000,Meriden School District,0.5961
2025-26,2026,08300,Middletown School District,0.4879
2025-26,2026,08400,Milford School District,0.17620000000000002
2025-26,2026,08500,Monroe School District,0.12359999999999999
2025-26,2026,08600,Montville School District,0.35359999999999997
2025-26,2026,08800,Naugatuck School District,0.4671
2025-26,2026,08900,New Britain School District,0.7056999999999999
2025-26,2026,09300,New Haven School District,0.7291
2025-26,2026,09316,Yeshiva Gedolah Rabbinical Institute of New England,0.46490000000000004
2025-26,2026,09400,Newington School District,0.2862
2025-26,2026,09500,New London School District,0.6990000000000001
2025-26,2026,09600,New Milford School District,0.29059999999999997
2025-26,2026,09700,Newtown School District,0.15869999999999998
2025-26,2026,09900,North Branford School District,0.19649999999999998
2025-26,2026,10000,North Canaan School District,0.3496
2025-26,2026,10100,North Haven School District,0.1765
2025-26,2026,10200,North Stonington School District,0.16079999999999997
2025-26,2026,10300,Norwalk School District,0.4213
2025-26,2026,10400,Norwich School District,0.6668999999999999
2025-26,2026,10600,Old Saybrook School District,0.19039999999999999
2025-26,2026,10700,Orange School District,0.1245
2025-26,2026,10701,Southern Connecticut Hebrew Academy,0.3933
2025-26,2026,10800,Oxford School District,0.1512
2025-26,2026,10900,Plainfield School District,0.4567
2025-26,2026,11000,Plainville School District,0.3383
2025-26,2026,11100,Plymouth School District,0.3728
2025-26,2026,11300,Portland School District,0.3322
2025-26,2026,11400,Preston School District,0.3014
2025-26,2026,11600,Putnam School District,0.4685
2025-26,2026,11800,Ridgefield School District,0.055
2025-26,2026,11900,Rocky Hill School District,0.2291
2025-26,2026,12100,Salem School District,0.19440000000000002
2025-26,2026,12200,Salisbury School District,0.1745
2025-26,2026,12400,Seymour School District,0.3381
2025-26,2026,12500,Sharon School District,0.2755
2025-26,2026,12600,Shelton School District,0.2609
2025-26,2026,12800,Simsbury School District,0.1288
2025-26,2026,13100,Southington School District,0.2113
2025-26,2026,13200,South Windsor School District,0.131
2025-26,2026,13300,Sprague School District,0.5720000000000001
2025-26,2026,13400,Stafford School District,0.3281
2025-26,2026,13500,Stamford School District,0.4152
2025-26,2026,13700,Stonington School District,0.2084
2025-26,2026,13800,Stratford School District,0.4129
2025-26,2026,13900,Suffield School District,0.0596
2025-26,2026,14000,Thomaston School District,0.2793
2025-26,2026,14100,Thompson School District,0.3284
2025-26,2026,14200,Tolland School District,0.1367
2025-26,2026,14300,Torrington School District,0.5378000000000001
2025-26,2026,14400,Trumbull School District,0.2107
2025-26,2026,14600,Vernon School District,0.46909999999999996
2025-26,2026,14700,Voluntown School District,0.2639
2025-26,2026,14800,Wallingford School District,0.2536
2025-26,2026,15100,Waterbury School District,0.6711
2025-26,2026,15114,Children's Community School,0.75
2025-26,2026,15118,Congregation K'Tana of Waterbury,0.4214
2025-26,2026,15200,Waterford School District,0.2438
2025-26,2026,15300,Watertown School District,0.3097
2025-26,2026,15400,Westbrook School District,0.22769999999999999
2025-26,2026,15500,West Hartford School District,0.2159
2025-26,2026,15600,West Haven School District,0.5107
2025-26,2026,15900,Wethersfield School District,0.2297
2025-26,2026,16000,Willington School District,0.2903
2025-26,2026,16200,Winchester School District,0.5033
2025-26,2026,16300,Windham School District,0.6866
2025-26,2026,16400,Windsor School District,0.30329999999999996
2025-26,2026,16500,Windsor Locks School District,0.4512
2025-26,2026,16600,Wolcott School District,0.25329999999999997
2025-26,2026,16700,Woodbridge School District,0.1284
2025-26,2026,16900,Woodstock School District,0.1953
2025-26,2026,20100,Regional School District 01,0.2266
2025-26,2026,20400,Regional School District 04,0.1868
2025-26,2026,20500,Regional School District 05,0.1322
2025-26,2026,20700,Regional School District 07,0.184
2025-26,2026,20800,Regional School District 08,0.1435
2025-26,2026,20900,Regional School District 09,0.0795
2025-26,2026,21000,Regional School District 10,0.1618
2025-26,2026,21300,Regional School District 13,0.1389
2025-26,2026,21400,Regional School District 14,0.1744
2025-26,2026,21500,Regional School District 15,0.1201
2025-26,2026,21600,Regional School District 16,0.1821
2025-26,2026,21700,Regional School District 17,0.1318
2025-26,2026,21800,Regional School District 18,0.1655
2025-26,2026,23100,Goodwin University Educational Services (GUES),0.5239
2025-26,2026,24100,Capitol Region Education Council (CREC),0.5559000000000001
2025-26,2026,24200,EdAdvance,0.2041
