district,fiscal_year,needs_group,cohort_count,graduation_count,graduation_rate
"Four-Year Graduation Rates, 2011-12 All Districts, All Students Export .csv file Notes:Four-Year Graduation Rate is the percentage of students who received a standard diploma within four years, including early and summer graduates from the cohort.  Graduates District Four-Year Cohort Count  Graduation Count  Graduation Rate Amistad Academy District  21  15  71.4 Ansonia School District  205  156  76.1 Avon School District  285  274  96.1 Berlin School District  263  249  94.7 Bethel School District  239  225  94.1 Bloomfield School District  196  153  78.1 Bolton School District  73  66  90.4 Branford School District  258  240  93.0 Bridgeport School District  1,273  844  66.3 Bristol School District  631  537  85.1 Brookfield School District  254  247  97.2 Canton School District  119  116  97.5 Capitol Region Education Council  335  266  79.4 Cheshire School District  411  394  95.9 Clinton School District  123  114  92.7 Colchester School District  246  233  94.7 Common Ground High School District  31  28  90.3 Connecticut Technical Education and Career System  2,531  2,428  95.9 Coventry School District  153  132  86.3 Cromwell School District  152  139  91.4 Danbury School District  757  581  76.8 Darien School District  311  300  96.5 Derby School District  106  80  75.5 East Granby School District  61  58  95.1 East Haddam School District  102  94  92.2 East Hampton School District  165  156  94.5 East Hartford School District  591  453  76.6 East Haven School District  230  166  72.2 East Lyme School District  303  286  94.4 East Windsor School District  89  77  86.5 Eastern Connecticut Regional Educational Service Center (EASTCONN)  86  68  79.1 Ellington School District  203  183  90.1 Elm City College Preparatory School District  19  15 * Enfield School District  512  436  85.2 Explorations District  28  16  57.1 Fairfield School District  690  650  94.2 Farmington School District  304  286  94.1 Glastonbury School District  512  491  95.9 Granby School District  189  184  97.4 Greenwich School District  646  596  92.3 Griswold School District  184  161  87.5 Groton School District  345  282  81.7 Guilford School District  287  280  97.6 Hamden School District  523  441  84.3 Hartford School District  1,396  902  64.6 Killingly School District  191  147  77.0 Lebanon School District  132  116  87.9 Ledyard School District  212  194  91.5 Lisbon School District * * * Litchfield School District  103  100  97.1 Madison School District  335  324  96.7 Manchester School District  518  379  73.2 Meriden School District  627  436  69.5 Middletown School District  347  264  76.1 Milford School District  515  443  86.0 Monroe School District  339  334  98.5 Montville School District  223  193  86.5 Naugatuck School District  368  310  84.2 New Britain School District  664  402  60.5 New Canaan School District  329  319  97.0 New Fairfield School District  232  227  97.8 New Haven School District  1,332  944  70.9 New London School District  239  148  61.9 New Milford School District  390  352  90.3 Newington School District  338  301  89.1 Newtown School District  406  385  94.8 North Branford School District  162  148  91.4 North Haven School District  292  270  92.5 North Stonington School District  54  47  87.0 Norwalk School District  873  741  84.9 Norwich Free Academy District  645  555  86.0 Norwich School District  67  15  22.4 Old Saybrook School District  144  138  95.8 Oxford School District  146  134  91.8 Plainfield School District  203  173  85.2 Plainville School District  207  192  92.8 Plymouth School District  139  117  84.2 Portland School District  92  84  91.3 Putnam School District  65  53  81.5 Regional School District 01  140  132  94.3 Regional School District 04  160  147  91.9 Regional School District 05  434  418  96.3 Regional School District 06  87  84  96.6 Regional School District 07  205  191  93.2 Regional School District 08  296  268  90.5 Regional School District 09  238  231  97.1 Regional School District 10  230  221  96.1 Regional School District 11  42  40  95.2 Regional School District 12  74  63  85.1 Regional School District 13  142  138  97.2 Regional School District 14  195  189  96.9 Regional School District 15  329  308  93.6 Regional School District 16  197  181  91.9 Regional School District 17  190  178  93.7 Regional School District 18  104  101  97.1 Regional School District 19  298  260  87.2 Ridgefield School District  443  435  98.2 Rocky Hill School District  208  191  91.8 Seymour School District  154  134  87.0 Shelton School District  428  391  91.4 Simsbury School District  407  389  95.6 Somers School District  142  136  95.8 South Windsor School District  386  362  93.8 Southington School District  498  456  91.6 Stafford School District  142  125  88.0 Stamford Academy District  36  16  44.4 Stamford School District  1,186  1,011  85.2 Stonington School District  182  168  92.3 Stratford School District  585  506  86.5 Suffield School District  207  188  90.8 The Bridge Academy District  42  32  76.2 The Gilbert School District  91  83  91.2 The Woodstock Academy District  285  272  95.4 Thomaston School District  92  84  91.3 Thompson School District  101  86  85.1 Tolland School District  230  222  96.5 Torrington School District  301  240  79.7 Trumbull School District  543  528  97.2 Unified School District #1  531  6  1.1 Unified School District #2  59  12  20.3 Vernon School District  266  218  82.0 Wallingford School District  537  496  92.4 Waterbury School District  1,276  799  62.6 Waterford School District  241  221  91.7 Watertown School District  232  211  90.9 West Hartford School District  753  698  92.7 West Haven School District  391  282  72.1 Westbrook School District  82  75  91.5 Weston School District  191  190  99.5 Westport School District  429  420  97.9 Wethersfield School District  292  264  90.4 Wilton School District  313  307  98.1 Windham School District  181  127  70.2 Windsor Locks School District  148  135  91.2 Windsor School District  321  273  85.0 Wolcott School District  219  205  93.6 * The data are suppressed to ensure confidentiality. * N/A is displayed when a category is not applicable for a district or school.",2012,All Students,,,
Amistad Academy District,2013,All Students,23.0,16.0,69.6
Ansonia School District,2013,All Students,212.0,160.0,75.5
Avon School District,2013,All Students,263.0,252.0,95.8
Berlin School District,2013,All Students,262.0,252.0,96.2
Bethel School District,2013,All Students,234.0,217.0,92.7
Bloomfield School District,2013,All Students,165.0,146.0,88.5
Bolton School District,2013,All Students,81.0,79.0,97.5
Branford School District,2013,All Students,271.0,250.0,92.3
Bridgeport School District,2013,All Students,1229.0,827.0,67.3
Bristol School District,2013,All Students,635.0,507.0,79.8
Brookfield School District,2013,All Students,242.0,232.0,95.9
Canton School District,2013,All Students,124.0,117.0,94.4
Capitol Region Education Council,2013,All Students,246.0,209.0,85.0
Cheshire School District,2013,All Students,384.0,362.0,94.3
Clinton School District,2013,All Students,145.0,128.0,88.3
