"Per Pupil Expenditures, 2006-07"
"All Districts"

"","_","_","_","_","_","_","_","_","_"
="Hamden School District",7868,255,262,1104,1294,1357,741,122,13014
="Hampton School District",7792,266,335,1116,2059,1100,588,0,13632
="Hartford School District",8227,475,704,1349,1663,1694,918,0,15428
="Hartland School District",6222,266,637,1681,1646,1107,691,453,9691
="Hebron School District",6007,268,287,385,769,849,269,0,9119
="Highville Mustard Seed Charter School District",3313,169,335,1435,2740,1823,N/A,456,10270
="Integrated Day Charter School District",4991,219,668,227,1440,1002,N/A,225,8783
="Interdistrict School for Arts and Comm District",5624,196,219,309,1765,991,N/A,97,9209
="Jumoke Academy District",3797,347,264,1401,2211,1014,N/A,1,9036
="Kent School District",9060,350,341,807,1672,1641,753,99,14922
="Killingly School District",6982,240,579,629,1443,1237,634,7,12339
="Lebanon School District",5395,295,269,727,1131,1171,694,123,10080
="Ledyard School District",6542,227,170,625,1334,921,708,145,10945
="Lisbon School District",7395,259,28,202,719,1182,664,19,11183
="Litchfield School District",6692,294,620,1037,1211,1327,701,277,12335
="Madison School District",5960,274,369,694,843,1092,626,321,10525
="Manchester School District",7663,202,316,846,1335,1407,443,183,12469
="Mansfield School District",8980,460,500,871,1695,1357,437,59,14806
="Marlborough School District",6889,269,341,280,1098,967,278,0,10438
="Meriden School District",6673,229,165,889,1254,1410,465,91,11497
="Middletown School District",7752,179,284,589,1013,1350,1010,240,12768
="Milford School District",8229,403,256,393,1100,1306,360,106,12354
="Monroe School District",6193,130,442,782,983,1265,516,100,10503
="Montville School District",6908,386,325,694,1057,1253,611,162,11398
="Naugatuck School District",7318,192,102,646,1007,1091,476,111,10997
="New Beginnings Inc Family Academy District",5439,244,972,405,2335,1036,N/A,470,11019
="New Britain School District",7275,227,301,405,943,1000,832,22,11476
="New Canaan School District",8201,157,285,1294,2234,2059,791,255,15711
="New Fairfield School District",6421,275,199,741,1057,1060,432,91,10522
="New Hartford School District",6720,255,79,608,1178,1552,486,0,11488
="New Haven School District",8601,262,441,504,1663,1603,857,215,14516
="New London School District",8558,414,507,943,1642,1681,584,173,13070
="New Milford School District",6306,189,223,705,1035,1230,759,154,10928
="Newington School District",6407,422,460,633,1254,1410,523,147,11644
="Newtown School District",6079,244,308,750,1027,1461,768,140,10969
="Norfolk School District",7580,225,446,267,2203,1707,620,0,13352
="North Branford School District",5439,235,593,914,1134,1234,715,226,10612
="North Canaan School District",8456,521,30,624,1693,1442,607,4,13722
="North Haven School District",5642,104,281,950,1374,837,633,108,10278
="North Stonington School District",8387,696,164,809,1806,1388,968,0,14375
="Norwalk School District",8822,386,215,808,1445,1337,495,130,13944
="Norwich School District",7045,149,84,1181,926,986,803,0,12497
="Odyssey Community School District",4975,265,437,156,1122,1139,N/A,0,8094
="Old Saybrook School District",6426,168,792,738,1235,1391,485,237,11855
="Orange School District",7436,191,162,952,1148,985,324,29,11586
="Oxford School District",6167,333,264,452,1725,1210,679,41,11481
="Park City Prep Charter School District",3008,815,3,465,2543,1491,N/A,230,8586
="Plainfield School District",6184,200,365,793,1104,1190,752,100,11481
="Plainville School District",6923,254,450,566,1240,1159,639,149,12071
="Plymouth School District",6055,325,200,797,921,1298,1010,159,10771
="Pomfret School District",6996,310,170,214,860,1000,646,9,11234
="Portland School District",6356,262,409,814,1274,1596,559,187,11753
="Preston School District",9275,715,0,778,1280,1279,790,13,15681
="Putnam School District",6697,327,223,1212,1352,1348,512,232,12723
="Redding School District",9515,258,256,167,1314,1539,650,2,14468
="Regional School District 01",8639,365,685,1140,1754,2051,210,610,16530
="Regional School District 04",7031,287,396,761,2588,1757,465,37,13804
="Regional School District 05",7074,231,448,618,1872,1370,705,359,13036
="Regional School District 06",7259,239,511,901,1489,1924,706,166,13283
="Regional School District 07",7314,359,271,617,1332,1563,1049,312,13073
="Regional School District 08",6715,285,518,523,1108,1207,654,230,11755
="Regional School District 09",10580,407,216,163,1337,1870,776,0,16539
="Regional School District 10",5762,371,733,617,951,1235,736,0,10762
="Regional School District 11",8606,402,292,1096,2831,3828,808,496,18872
="Regional School District 12",8948,546,725,1245,1796,1973,1139,327,16920
="Regional School District 13",6672,161,587,1034,1037,1451,845,167,12256
="Regional School District 14",6364,342,645,893,1094,1217,649,255,11887
="Regional School District 15",6533,183,348,1058,971,1322,679,223,11349
="Regional School District 16",5652,211,673,701,1151,1141,638,160,10503
="Regional School District 17",6814,234,422,734,1191,1765,797,197,12433
="Regional School District 18",7701,267,670,1008,2233,2427,645,302,15753
="Regional School District 19",7505,586,301,892,1525,1114,920,524,13711
="Ridgefield School District",7135,199,719,596,980,1645,738,185,12660
="Rocky Hill School District",6501,216,541,650,853,1410,431,23,11046
="Salem School District",7685,661,53,247,1923,1254,741,0,13162
="Salisbury School District",10218,450,568,638,1652,1992,756,27,16461
="Scotland School District",7220,509,370,575,1314,719,540,93,11955
="Seymour School District",5644,257,235,691,1430,1175,464,146,10153
="Sharon School District",9468,397,537,1175,1873,1997,727,138,16970
="Shelton School District",6121,317,544,826,1018,1202,502,115,10816
="Sherman School District",7824,318,613,82,858,1004,667,71,10669
="Side By Side Charter School District",4777,241,205,1295,1438,1840,N/A,0,9795
="Simsbury School District",6857,353,578,765,956,1175,458,119,11426
="Somers School District",6364,192,236,536,1001,1007,503,123,10312
="South Windsor School District",6494,292,285,753,1154,969,594,226,10986
="Southington School District",6774,193,158,774,1092,1007,426,87,10894
="Sprague School District",6901,338,119,901,1506,1024,1073,77,13742
="Stafford School District",6680,347,169,789,1275,1043,799,42,11615
="Stamford Academy District",7278,218,0,2650,6864,1636,N/A,482,19370
="Stamford School District",8799,263,744,937,1751,1356,663,0,14856
="Sterling School District",7089,304,56,362,998,784,811,66,11488
="Stonington School District",6287,145,581,797,1041,1403,691,143,11439
="Stratford School District",6590,224,321,901,1071,1211,524,183,11353
="Suffield School District",6361,219,73,635,1273,980,400,47,10334
="The Bridge Academy District",5972,412,15,663,1132,842,N/A,335,9452
="Thomaston School District",6577,277,16,575,1288,1426,597,200,10609
="Thompson School District",5234,264,142,595,1565,977,581,181,10429
="Tolland School District",5882,159,326,751,906,1031,576,104,10166
="Torrington School District",6668,144,367,678,1053,1284,656,140,11585
="Trailblazers Academy District",8534,88,0,2622,5526,589,N/A,797,18239
="Trumbull School District",6260,188,608,781,1319,1230,514,144,11270
="Union School District",7183,498,31,510,1808,1003,1528,0,11628
="Vernon School District",7170,205,378,760,984,1196,564,124,11949
="Voluntown School District",7023,339,96,1325,1521,1085,902,144,13984
="Wallingford School District",6415,150,372,764,1563,1042,685,176,11484
="Waterbury School District",6581,225,1177,611,1049,1150,553,394,12035
="Waterford School District",7231,409,229,876,1229,1617,625,269,11925
="Watertown School District",5455,147,163,365,1195,1176,462,11,9255
="West Hartford School District",6654,158,846,689,1215,1331,391,120,11652
="West Haven School District",7264,204,195,394,1036,1367,493,169,10777
="Westbrook School District",6756,395,211,987,1291,1446,324,474,12068
="Weston School District",8899,308,645,893,1434,2166,655,402,15694
="Westport School District",8321,370,766,1084,1617,1920,714,203,15409
="Wethersfield School District",7086,235,271,493,1023,1380,527,178,11551
="Willington School District",7834,252,326,620,1611,1063,447,2,12352
="Wilton School District",8000,215,664,1236,1391,1562,617,0,14013
="Winchester School District",7862,314,137,253,1451,1157,572,37,12773
="Windham School District",7980,252,280,822,1060,1149,509,149,12630
="Windsor Locks School District",7971,317,462,779,1097,1870,499,219,12948
="Windsor School District",7515,226,548,1080,1694,1265,568,133,12540
="Wolcott School District",6413,235,183,391,1121,1197,501,206,9797
="Woodbridge School District",8822,256,51,172,1805,1278,279,15,13503
="Woodstock School District",6263,261,173,639,773,898,517,15,10106

