"Per Pupil Expenditures, 2011-12"
"All Districts"

"","_","_","_","_","_","_","_","_","_"
="East Windsor School District",9335,416,278,558,2466,1339,936,68,15439
="Eastford School District",9313,365,330,1610,2091,1487,876,0,17584
="Easton School District",9947,181,411,181,1739,1371,700,0,15287
="Ellington School District",6949,200,327,882,913,1084,649,164,11436
="Elm City College Preparatory School District",7621,331,539,825,3789,414,N/A,653,14287
="Enfield School District",7981,195,136,901,1515,1208,665,200,12754
="Essex School District",7902,233,201,1735,1741,1228,315,28,14227
="Explorations District",8157,134,193,749,3287,2464,N/A,137,15382
="Fairfield School District",8211,184,924,1108,1677,1559,743,189,14981
="Farmington School District",8891,279,443,962,1148,1523,617,61,14459
="Franklin School District",8408,239,69,767,1754,1816,874,82,15020
="Glastonbury School District",7587,405,749,770,1454,1443,729,178,13538
="Granby School District",7373,448,451,842,1328,1428,716,257,12710
="Greenwich School District",11989,357,322,1242,1657,1495,522,0,18196
="Griswold School District",7863,134,185,497,1816,1233,862,202,13082
="Groton School District",8586,277,541,1165,1933,1618,812,0,14902
="Guilford School District",8291,251,486,923,1454,1283,801,196,14458
="Hamden School District",10147,127,245,1384,1617,1791,917,161,15839
="Hampton School District",11428,265,656,1450,2894,3424,738,141,24487
="Hartford School District",9197,335,321,1297,2325,1935,1258,12,16961
="Hartland School District",7475,311,809,1802,1810,1141,783,577,14044
="Hebron School District",7700,288,512,932,961,947,241,0,11621
="Highville Charter School District",4886,555,116,315,1773,1640,N/A,783,10223
="Integrated Day Charter School District",5977,116,469,245,1745,1258,N/A,343,10171
="Interdistrict School for Arts and Comm District",8146,259,246,492,2490,1126,N/A,0,12808
="Jumoke Academy District",5088,260,633,1455,2020,1176,N/A,8,10639
="Kent School District",10758,471,379,1139,1899,1770,988,38,18318
="Killingly School District",7711,186,686,806,1519,1505,961,0,14570
="Lebanon School District",7830,225,312,893,1546,1528,962,185,14095
="Ledyard School District",7432,402,375,778,1641,1043,1027,158,13162
="Lisbon School District",9544,179,55,1375,1514,1394,965,0,16289
="Litchfield School District",7869,180,1022,1324,1417,1696,900,343,15332
="Madison School District",7981,395,595,1180,1160,1491,890,397,14497
="Manchester School District",9752,250,569,1069,1638,1664,495,248,14994
="Mansfield School District",9935,493,446,981,2154,1345,548,70,16483
="Marlborough School District",7376,233,315,376,1002,962,270,0,10711
="Meriden School District",7619,213,131,958,1230,1446,632,91,12854
="Middletown School District",8042,154,251,987,1258,1654,1115,343,14060
="Milford School District",10318,424,280,480,1357,1725,596,152,15653
="Monroe School District",9025,195,553,1108,1305,1566,651,126,14691
="Montville School District",8666,617,299,856,1263,1603,890,198,14348
="Naugatuck School District",9110,200,182,930,1583,1371,582,171,13869
="New Beginnings Inc Family Academy District",5435,458,78,610,1666,1309,N/A,793,10473
="New Britain School District",8249,157,129,400,1177,928,1058,23,12333
="New Canaan School District",10039,202,420,1675,2168,2132,941,260,18468
="New Fairfield School District",8033,292,368,1030,1361,1161,562,173,13242
="New Hartford School District",8882,192,59,475,1387,1327,563,31,13529
="New Haven School District",9711,289,282,564,1782,1618,1218,215,16221
="New London School District",8514,233,537,1199,1950,1723,920,146,13946
="New Milford School District",7365,227,253,869,1301,1196,946,200,12750
="Newington School District",8560,315,508,787,1420,2077,663,181,14784
="Newtown School District",7392,232,309,971,1273,1828,940,162,13374
="Norfolk School District",11432,301,724,426,3372,2927,692,60,20465
="North Branford School District",7187,224,755,1109,1356,1494,948,292,13424
="North Canaan School District",10844,300,119,1309,1779,1839,754,55,17762
="North Haven School District",6947,171,253,1255,1955,1121,735,134,12990
="North Stonington School District",9109,788,215,850,2071,1567,1055,0,15511
="Norwalk School District",10019,122,106,1035,2157,1383,470,123,15834
="Norwich School District",7781,97,125,1466,1089,1032,1066,0,14590
="Odyssey Community School District",5566,346,49,164,1595,987,N/A,0,8706
="Old Saybrook School District",7827,332,680,907,1442,1689,598,324,14670
="Orange School District",9048,244,475,1227,1328,1153,418,0,14600
="Oxford School District",7290,277,39,796,1634,1254,647,161,12332
="Park City Prep Charter School District",4322,299,270,1083,2652,1443,N/A,0,10069
="Plainfield School District",7300,152,196,1017,1282,1165,942,102,12973
="Plainville School District",8597,396,417,607,1615,1454,681,0,14297
="Plymouth School District",8725,600,131,461,1165,1689,1170,235,13512
="Pomfret School District",8960,243,209,238,1218,1096,1091,0,15013
="Portland School District",7583,355,432,844,1540,1777,577,225,13329
="Preston School District",11532,253,269,1050,2162,1844,1488,126,21334
="Putnam School District",8053,491,249,1654,1678,1354,759,206,15354
="Redding School District",12902,236,349,183,1599,1751,712,7,18844
="Regional School District 01",11780,668,1065,1746,2319,2688,303,916,22389
="Regional School District 04",8508,243,305,873,2906,1927,550,91,15814
="Regional School District 05",8247,200,472,934,2262,1630,775,376,15523
="Regional School District 06",8966,414,562,994,1819,1895,921,266,15902
="Regional School District 07",8297,341,207,651,1536,1852,1379,380,15209
="Regional School District 08",7725,108,531,677,1039,1148,664,195,12399
="Regional School District 09",12642,416,391,135,1624,2048,918,2,19277
="Regional School District 10",7369,241,783,847,1133,1306,842,0,12939
="Regional School District 11",8620,349,372,1374,3659,2720,1070,751,19565
="Regional School District 12",12201,648,993,1850,2145,2630,1586,470,22820
="Regional School District 13",9106,175,457,1462,1850,1562,841,297,15861
="Regional School District 14",7799,225,725,1407,1334,1400,973,387,15135
="Regional School District 15",8047,146,286,1262,1360,1597,884,324,14190
="Regional School District 16",7461,195,719,903,1655,1267,912,200,13592
="Regional School District 17",8344,162,252,793,1629,1963,1274,276,15254
="Regional School District 18",9141,276,929,1410,2078,2742,842,388,18323
="Regional School District 19",8808,394,263,949,1800,1259,1198,629,15840
="Ridgefield School District",9164,221,822,749,1298,1477,891,116,15243
="Rocky Hill School District",8187,200,764,916,1041,1504,517,0,13231
="Salem School District",8673,981,101,421,2413,1862,1052,0,16839
="Salisbury School District",11895,242,531,961,1796,2931,1024,10,20483
="Scotland School District",11122,901,420,1250,2383,1518,615,219,19055
="Seymour School District",7214,305,388,903,1928,1699,605,186,13216
="Sharon School District",13508,380,472,1767,2990,2490,1171,65,23521
="Shelton School District",7181,230,325,1110,1311,1404,777,103,12617
="Sherman School District",10975,95,674,132,1432,1371,765,100,14068
="Side By Side Charter School District",6544,447,47,1679,1855,1151,N/A,0,11722
="Simsbury School District",8384,224,771,924,1186,1491,571,125,13769
="Somers School District",7621,258,284,780,1238,1227,643,170,12788
="South Windsor School District",8639,349,617,1099,1578,1459,730,362,15168
="Southington School District",7752,153,140,911,1310,1091,530,118,12500
="Sprague School District",7978,529,99,578,1988,1181,1026,0,14299
="Stafford School District",8219,209,340,1035,1521,1537,1110,39,14518
="Stamford Academy District",8565,179,0,4269,8025,237,N/A,559,22103
="Stamford School District",9573,239,886,1065,1907,1395,815,0,16472
="Sterling School District",7667,402,390,350,1095,1035,921,63,14943
="Stonington School District",7887,114,567,848,1101,1540,884,185,13776
="Stratford School District",7747,134,426,1356,1261,1258,647,215,13570
="Suffield School District",7853,248,99,831,1730,1065,601,7,13068
="The Bridge Academy District",7136,248,73,866,1132,874,N/A,340,10712
="Thomaston School District",8500,291,26,681,1750,1479,757,284,12867
="Thompson School District",6914,128,156,1084,2053,1636,807,255,14166
="Tolland School District",7422,138,505,510,1184,1100,732,24,12273
="Torrington School District",8960,138,421,807,1152,1358,868,115,14515
="Trailblazers Academy District",9321,106,0,3119,10833,1066,N/A,815,25341
="Trumbull School District",7583,222,443,1007,1503,1293,708,117,13403
="Union School District",8666,609,60,908,2712,2029,2112,0,15854
="Vernon School District",8117,169,681,934,1157,1282,650,152,13224
="Voluntown School District",7975,438,321,1265,2003,1280,839,140,15560
="Wallingford School District",8316,91,366,938,1762,2039,959,215,15013
="Waterbury School District",7979,237,1776,743,1231,1156,628,516,14535
="Waterford School District",9864,380,176,1049,1566,1705,811,307,14937
="Watertown School District",7228,240,223,694,1577,1361,687,15,12441
="West Hartford School District",7848,170,714,916,1629,1267,575,122,13494
="West Haven School District",7840,241,391,654,934,2320,599,269,12291
="Westbrook School District",10233,344,332,558,1537,1624,593,438,15984
="Weston School District",10669,173,1454,1211,1474,2136,674,444,18728
="Westport School District",10417,492,560,1461,1866,1801,730,265,18097
="Wethersfield School District",8295,593,284,867,1234,1271,630,177,13759
="Willington School District",9711,446,514,903,2032,1338,608,0,16246
="Wilton School District",10199,273,731,1597,1684,1456,819,0,17297
="Winchester School District",9749,82,348,2076,2421,1489,900,0,17277
="Windham School District",9638,450,411,1021,1552,1297,798,183,16053
="Windsor Locks School District",9423,250,670,929,1541,1865,679,247,15594
="Windsor School District",9800,381,698,1460,2109,1754,978,185,16456
="Wolcott School District",7924,223,250,448,1272,1446,692,275,11955
="Woodbridge School District",11208,401,55,201,2354,1779,357,0,16980
="Woodstock School District",7762,225,196,840,1002,1178,693,6,12530

