"Student Counts by District and Race"
"All Districts"
"2018-19"

"",,"Race",,,,,,,
"Department of Mental Health and Addiction Services","=""""",0,0,0,0,0,0,"*","*"
"Derby School District","=""0370011""","*",25,244,447,"*",73,514,1308
"East Granby School District","=""0400011""","*",60,63,55,"*",25,647,855
"East Haddam School District","=""0410011""","*",13,9,45,"*",16,922,1009
"East Hampton School District","=""0420011""","*",29,24,112,"*",54,1645,1869
"East Hartford School District","=""0430011""","*",320,2083,3303,"*",288,825,6836
"East Haven School District","=""0440011""","*",117,136,830,"*",74,1733,2896
"East Lyme School District","=""0450011""","*",243,51,203,"*",140,2055,2699
"East Windsor School District","=""0470011""","*",54,148,249,0,"*",604,1107
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","*","*",21,95,0,18,290,429
"Eastford School District","=""0390011""",0,0,0,13,0,11,142,166
"Easton School District","=""0460011""","*",51,10,61,"*",25,752,901
"EdAdvance","=""2420014""","*",6,18,52,7,"*",190,278
"Ellington School District","=""0480011""","*",310,113,145,"*",78,2084,2735
"Elm City College Preparatory School District","=""2890013""","*","*",529,197,0,12,15,756
"Elm City Montessori School District","=""2910013""",0,"*",83,52,0,"*",51,199
"Enfield School District","=""0490011""",12,171,345,825,8,203,3536,5100
"Essex School District","=""0500011""",0,"*","*",24,0,19,284,335
"Explorations District","=""2720013""",0,0,"*",9,0,"*",75,88
"Fairfield School District","=""0510011""",7,595,223,1133,0,444,7448,9850
"Farmington School District","=""0520011""","*",904,210,339,0,"*",2492,4094
"Franklin School District","=""0530011""",0,"*",8,9,0,"*",125,154
"Glastonbury School District","=""0540011""","*",663,187,595,"*",315,4125,5898
"Granby School District","=""0560011""",7,31,98,74,0,62,1605,1877
"Great Oaks Charter School District","=""2940013""","*",0,224,209,"*",7,22,465
"Greenwich School District","=""0570011""","*",778,235,2003,"*",445,5625,9099
"Griswold School District","=""0580011""",18,32,49,152,6,115,1404,1776
"Groton School District","=""0590011""",43,270,313,932,23,424,2319,4324
"Guilford School District","=""0600011""","*",136,37,239,"*",132,2761,3311
"Hamden School District","=""0620011""","*",397,1623,1141,"*",296,1941,5412
"Hampton School District","=""0630011""","*","*",0,"*",0,6,82,93
"Hartford School District","=""0640011""",64,812,5860,10648,38,419,1926,19767
"Hartland School District","=""0650011""","*",0,"*",6,"*",6,144,162
"Hebron School District","=""0670011""",0,6,7,32,0,13,606,664
"Highville Charter School District","=""2860013""",0,0,477,17,0,"*","*",502
"Integrated Day Charter School District","=""2640013""","*",47,"*",52,0,39,165,337
"Interdistrict School for Arts and Comm District","=""2650013""","*","*",49,160,"*","*",54,278
"Jumoke Academy District","=""2610013""",0,"*",666,38,0,"*","*",717
"Kent School District","=""0680011""",0,7,0,19,0,10,177,213
"Killingly School District","=""0690011""","*",51,50,219,"*",154,2009,2501
"Learn","=""2450014""",7,64,381,986,8,215,848,2509
"Lebanon School District","=""0710011""",11,19,13,53,"*","*",897,1005
"Ledyard School District","=""0720011""",75,85,125,257,10,131,1748,2431
"Lisbon School District","=""0730011""",0,"*","*",42,"*",32,324,408
"Litchfield School District","=""0740011""",0,19,7,41,10,9,809,895
"Madison School District","=""0760011""","*",107,12,145,"*",99,2367,2737
"Manchester School District","=""0770011""",27,504,1510,1809,7,186,2208,6251
"Mansfield School District","=""0780011""","*",146,"*",142,0,49,770,1145
"Marlborough School District","=""0790011""",0,10,7,28,0,18,386,449
"Meriden School District","=""0800011""","*",170,807,4459,"*",309,2216,7973
"Middletown School District","=""0830011""","*",228,924,958,"*",377,2143,4640
"Milford School District","=""0840011""","*",545,265,579,"*",97,4135,5635
"Monroe School District","=""0850011""","*",166,"*",276,0,96,2507,3118
"Montville School District","=""0860011""","*",170,55,250,"*",256,1321,2077
"Naugatuck School District","=""0880011""","*",122,356,1151,"*",237,2441,4320
"New Beginnings Inc Family Academy District","=""2800013""",0,"*",298,166,"*","*",10,482
"New Britain School District","=""0890011""","*",241,1135,6698,"*",305,1787,10179
"New Canaan School District","=""0900011""","*",288,62,198,"*",139,3475,4173
"New Fairfield School District","=""0910011""","*",35,36,249,"*",49,1866,2246
"New Hartford School District","=""0920011""",0,"*","*",9,0,14,415,446
"New Haven School District","=""0930011""",41,520,7861,9838,10,258,2736,21264
"New London School District","=""0950011""","*",45,649,1813,"*",386,631,3555
"New Milford School District","=""0960011""","*",143,"*",568,0,151,3021,3991
"Newington School District","=""0940011""","*",361,247,817,"*",214,2404,4051
"Newtown School District","=""0970011""","*",152,"*",310,0,78,3700,4306
"Norfolk School District","=""0980011""",0,0,0,"*",0,"*",83,96
"North Branford School District","=""0990011""","*",48,"*",122,0,0,1526,1741
"North Canaan School District","=""1000011""",0,"*","*",28,0,9,213,255
"North Haven School District","=""1010011""","*",221,118,260,"*",85,2474,3165
"North Stonington School District","=""1020011""",10,17,"*",29,"*",19,639,727
"Norwalk School District","=""1030011""",12,546,1839,5629,10,280,3185,11501
"Norwich Free Academy District","=""9010022""",22,174,337,372,22,197,1132,2256
"Norwich School District","=""1040011""",13,251,678,1202,14,362,1101,3621
"Odyssey Community School District","=""2630013""",0,54,66,63,0,25,121,329
"Old Saybrook School District","=""1060011""",0,45,"*",129,"*",39,990,1219
"Orange School District","=""1070011""","*",159,20,75,"*",50,873,1181
"Oxford School District","=""1080011""","*",35,23,139,"*",29,1569,1799
"Park City Prep Charter School District","=""2830013""","*","*",160,175,"*","*",15,360
"Plainfield School District","=""1090011""",21,40,87,129,14,18,1896,2205
"Plainville School District","=""1100011""","*",59,110,441,"*",90,1642,2353
"Plymouth School District","=""1110011""","*",23,"*",145,0,44,1202,1429
"Pomfret School District","=""1120011""",0,15,"*",19,"*","*",339,381
"Portland School District","=""1130011""","*","*",38,171,0,79,1016,1323
"Preston School District","=""1140011""","*",12,13,33,"*",16,363,446
"Putnam School District","=""1160011""",0,"*",26,144,"*",54,975,1215
"Redding School District","=""1170011""","*",23,14,71,"*",32,716,858
"Regional School District 01","=""2010012""",0,"*","*",49,0,19,311,391
"Regional School District 04","=""2040012""","*",19,"*",35,0,25,811,897
"Regional School District 05","=""2050012""","*",311,66,29,"*",95,1676,2186
"Regional School District 06","=""2060012""","*",6,12,36,"*",25,827,912
"Regional School District 07","=""2070012""",0,"*",11,25,"*",20,1006,1075
"Regional School District 08","=""2080012""","*",33,15,50,"*",7,1349,1456
"Regional School District 09","=""2090012""",0,36,"*",54,"*",45,745,889
"Regional School District 10","=""2100012""","*",36,23,70,"*",13,2119,2273
"Regional School District 11","=""2110012""",0,"*",7,18,"*",10,195,232
"Regional School District 12","=""2120012""",0,7,6,48,0,9,615,685
"Regional School District 13","=""2130012""","*",25,"*",99,0,44,1436,1617
"Regional School District 14","=""2140012""",6,37,13,87,0,29,1484,1656
"Regional School District 15","=""2150012""",6,176,64,211,10,76,3085,3628
"Regional School District 16","=""2160012""","*",29,73,135,"*",29,1865,2134
"Regional School District 17","=""2170012""",0,39,13,62,0,50,1862,2026
"Regional School District 18","=""2180012""","*",35,"*",71,0,40,1105,1263
"Regional School District 19","=""2190012""",0,47,"*",101,"*",149,828,1150
"Ridgefield School District","=""1180011""","*",331,35,343,"*",177,3966,4860
"Rocky Hill School District","=""1190011""","*",853,88,281,0,"*",1441,2748
"Salem School District","=""1210011""",7,7,10,25,0,16,353,418
"Salisbury School District","=""1220011""","*","*",9,17,0,22,231,287
"Scotland School District","=""1230011""",0,0,0,"*",0,"*",99,105
"Seymour School District","=""1240011""","*",77,101,337,0,"*",1614,2178
"Sharon School District","=""1250011""",0,"*",0,10,"*","*",98,115
"Shelton School District","=""1260011""","*",281,290,739,"*",144,3252,4713
"Sherman School District","=""1270011""","*","*","*",10,0,"*",254,279
"Side By Side Charter School District","=""2700013""",0,7,65,119,0,15,30,236
"Simsbury School District","=""1280011""","*",286,237,367,"*",146,3041,4080
"Somers School District","=""1290011""","*",24,38,59,"*",18,1237,1379
"South Windsor School District","=""1320011""","*",955,264,392,"*",228,2521,4370
"Southington School District","=""1310011""","*",229,154,597,"*",251,5143,6385
"Sprague School District","=""1330011""","*","*",6,47,"*",35,224,320
"Stafford School District","=""1340011""","*","*",20,117,0,48,1306,1511
"Stamford Academy District","=""2820013""",0,"*",70,66,0,"*",9,152
"Stamford Charter School for Excellence District","=""2960013""","*",97,163,72,"*","*","*",339
"Stamford School District","=""1350011""",22,1254,2457,6359,22,545,5394,16053
"Sterling School District","=""1360011""","*","*",8,20,0,23,309,368
"Stonington School District","=""1370011""","*",52,23,128,"*",78,1755,2050
"Stratford School District","=""1380011""","*",204,1539,2298,"*",248,2520,6816
"Suffield School District","=""1390011""","*",84,74,127,"*",29,1825,2148
"The Bridge Academy District","=""2690013""","*","*",160,113,0,0,"*",281
"The Gilbert School District","=""9020022""",0,50,8,82,0,23,348,511
"The Woodstock Academy District","=""9030022""","*",124,"*",26,0,11,925,1098
"Thomaston School District","=""1400011""","*",9,12,36,"*",16,777,853
"Thompson School District","=""1410011""","*","*",11,69,0,30,877,994
"Tolland School District","=""1420011""","*",81,60,97,"*",24,2123,2392
"Torrington School District","=""1430011""","*",172,155,1096,"*",132,2347,3912
"Trailblazers Academy District","=""2780013""",0,"*",63,58,0,"*","*",127
"Trumbull School District","=""1440011""",11,633,364,864,6,115,4751,6744
"Unified School District #1","=""3360015""",0,0,71,64,0,"*","*",156
"Unified School District #2","=""3470015""",0,"*",22,43,0,"*",34,109
"Union School District","=""1450011""",0,0,0,"*",0,0,"*","*"
"Vernon School District","=""1460011""","*",201,343,600,"*",210,1777,3137
"Voluntown School District","=""1470011""","*","*",6,12,"*",12,232,268
"Wallingford School District","=""1480011""",6,273,127,1034,9,95,4226,5770
"Waterbury School District","=""1510011""","*",303,4059,10541,"*",679,3147,18847
"Waterford School District","=""1520011""",7,129,61,268,8,98,1948,2519
"Watertown School District","=""1530011""",6,53,85,212,0,73,2325,2754
"West Hartford School District","=""1550011""",11,1051,778,1875,11,472,5456,9654
"West Haven School District","=""1560011""",14,229,1327,2230,7,219,1890,5916
"Westbrook School District","=""1540011""","*",14,"*",125,0,15,518,678
"Weston School District","=""1570011""",0,117,45,140,0,122,1898,2322
"Westport School District","=""1580011""","*",357,"*",346,0,258,4446,5539
"Wethersfield School District","=""1590011""","*",162,139,641,"*",117,2549,3620
"Willington School District","=""1600011""",0,"*","*",27,0,15,376,430
"Wilton School District","=""1610011""","*",393,"*",245,0,223,3052,3955
"Winchester School District","=""1620011""",0,19,10,62,0,13,450,554
"Windham School District","=""1630011""","*",21,112,2380,"*",67,784,3377
"Windsor Locks School District","=""1650011""","*",129,195,230,"*",80,933,1570
"Windsor School District","=""1640011""","*",146,1442,648,"*",212,842,3297
"Wolcott School District","=""1660011""","*","*",70,181,0,70,1878,2244
"Woodbridge School District","=""1670011""","*",118,"*",62,0,38,591,847
"Woodstock School District","=""1690011""",0,6,6,27,0,43,759,841
"Total","=""""",1360,27366,67745,136756,554,18872,277959,530612

