"Student Counts by District and Race"
"All Districts"
"2023-24"

"",,"Race",,,,,,,
"Regional School District 10","=""2100012""",0,18,10,159,467,1467,2121,0
"Regional School District 11","=""2110012""",0,"*",6,17,"*",183,212,0
"Regional School District 12","=""2120012""","*","*","*",84,32,673,797,0
"Regional School District 13","=""2130012""","*",18,"*",102,43,1177,1350,0
"Regional School District 14","=""2140012""","*",19,23,173,53,1309,1581,"*"
"Regional School District 15","=""2150012""","*",165,80,327,120,2738,3435,"*"
"Regional School District 16","=""2160012""","*","*",76,211,51,1566,1931,0
"Regional School District 17","=""2170012""","*",33,"*",85,52,1578,1770,0
"Regional School District 18","=""2180012""",0,37,6,89,55,1105,1292,0
"Regional School District 19","=""2190012""","*",75,39,160,"*",788,1084,0
"Ridgefield School District","=""1180011""","*",281,36,415,203,3530,4474,"*"
"Rocky Hill School District","=""1190011""","*",770,98,286,108,1264,2530,"*"
"Salem School District","=""1210011""","*","*","*",36,27,314,386,0
"Salisbury School District","=""1220011""",0,"*",7,31,21,239,303,"*"
"Scotland School District","=""1230011""",0,0,0,10,0,93,103,0
"Seymour School District","=""1240011""","*",76,161,489,"*",1330,2101,0
"Sharon School District","=""1250011""",0,0,"*",13,"*",88,106,0
"Shelton School District","=""1260011""","*",243,421,1084,190,2568,4513,"*"
"Sherman School District","=""1270011""",0,"*","*",23,17,203,246,0
"Side By Side Charter School District","=""2700013""",0,"*",55,138,"*",27,236,0
"Simsbury School District","=""1280011""","*",265,257,460,234,2946,4165,"*"
"Somers School District","=""1290011""","*","*",32,84,32,1191,1357,0
"South Windsor School District","=""1320011""","*",1623,295,542,232,2317,5022,"*"
"Southington School District","=""1310011""","*",303,155,814,330,4632,6242,"*"
"Sprague School District","=""1330011""","*","*","*",49,43,187,291,"*"
"Stafford School District","=""1340011""","*",12,"*",119,41,1133,1318,0
"Stamford Charter School for Excellence District","=""2960013""","*",120,228,154,16,17,540,"*"
"Stamford School District","=""1350011""",24,962,2087,8426,568,4257,16339,15
"Sterling School District","=""1360011""","*","*",7,31,28,259,328,0
"Stonington School District","=""1370011""","*",29,13,139,106,1471,1762,"*"
"Stratford School District","=""1380011""",10,145,1757,2837,231,1753,6743,10
"Suffield School District","=""1390011""","*",91,73,182,31,1654,2038,"*"
"The Bridge Academy District","=""2690013""",0,"*",139,129,6,"*",281,"*"
"The Gilbert School District","=""9020022""","*",16,"*",92,25,304,447,0
"The Woodstock Academy District","=""9030022""","*",57,20,71,24,797,974,"*"
"Thomaston School District","=""1400011""",0,15,14,82,27,638,776,0
"Thompson School District","=""1410011""",0,11,8,69,27,770,885,0
"Tolland School District","=""1420011""","*",71,68,212,83,1773,2210,"*"
"Torrington School District","=""1430011""","*",163,244,1625,91,1808,3945,"*"
"Trumbull School District","=""1440011""",10,698,477,1409,211,4129,6940,6
"Unified School District #1","=""3360015""",0,0,70,58,7,9,144,0
"Unified School District #2","=""3470015""",0,0,16,19,6,28,69,0
"Union School District","=""1450011""",0,"*",0,"*","*",47,"*",0
"Vernon School District","=""1460011""","*",233,325,769,283,1614,3226,"*"
"Voluntown School District","=""1470011""","*","*","*",13,11,203,236,"*"
"Wallingford School District","=""1480011""","*",239,104,1144,199,3594,5292,"*"
"Waterbury School District","=""1510011""",92,300,3993,11853,799,1919,18956,0
"Waterford School District","=""1520011""","*",116,61,352,130,1669,2341,"*"
"Watertown School District","=""1530011""","*",32,111,300,106,2018,2578,"*"
"West Hartford School District","=""1550011""",22,960,751,1974,570,4967,9261,17
"West Haven School District","=""1560011""",13,321,1431,2452,276,1499,5998,6
"Westbrook School District","=""1540011""",0,"*","*",154,12,417,597,0
"Weston School District","=""1570011""","*",130,"*",210,170,1625,2168,0
"Westport School District","=""1580011""","*",347,114,439,380,4049,5333,"*"
"Wethersfield School District","=""1590011""",10,178,167,771,149,2302,3584,7
"Willington School District","=""1600011""","*",6,6,40,16,322,394,"*"
"Wilton School District","=""1610011""","*",425,43,249,252,2836,3809,"*"
"Winchester School District","=""1620011""","*",12,13,93,22,477,619,"*"
"Windham School District","=""1630011""",7,28,105,2331,70,685,3226,0
"Windsor Locks School District","=""1650011""","*",83,174,276,105,846,1487,"*"
"Windsor School District","=""1640011""","*",118,1368,843,305,701,3342,"*"
"Wolcott School District","=""1660011""","*",61,87,369,67,1542,2132,"*"
"Woodbridge School District","=""1670011""","*",141,"*",74,79,570,882,0
"Woodstock School District","=""1690011""","*","*","*",42,45,676,775,0
"Total","=""""",1256,26611,64011,159378,23915,236989,512652,492

