"Student Counts by District and Race"
"All Districts"
"2019-20"

"",,"Race",,,,,,,
"East Hartford School District","=""0430011""",14,301,2039,3362,6,287,784,6793
"East Haven School District","=""0440011""","*",119,153,862,"*",80,1675,2894
"East Lyme School District","=""0450011""","*",239,44,206,"*",143,2055,2693
"East Windsor School District","=""0470011""","*",61,138,231,0,"*",591,1079
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","*","*",21,100,0,28,321,474
"Eastford School District","=""0390011""",0,0,0,10,0,12,129,151
"Easton School District","=""0460011""",0,62,19,66,"*","*",719,885
"EdAdvance","=""2420014""",7,9,17,82,"*","*",140,265
"Ellington School District","=""0480011""","*",298,110,151,"*",82,2035,2681
"Elm City College Preparatory School District","=""2890013""","*","*",522,213,0,9,21,767
"Elm City Montessori School District","=""2910013""",0,"*",92,53,0,"*",68,229
"Enfield School District","=""0490011""",11,162,342,868,7,235,3420,5045
"Essex School District","=""0500011""",0,"*","*",25,0,17,281,331
"Explorations District","=""2720013""",0,0,"*",10,0,"*",76,93
"Fairfield School District","=""0510011""","*",585,235,1129,"*",455,7260,9671
"Farmington School District","=""0520011""",6,933,195,357,0,173,2495,4159
"Franklin School District","=""0530011""","*","*","*",12,0,7,135,160
"Glastonbury School District","=""0540011""","*",711,190,617,"*",310,3996,5835
"Granby School District","=""0560011""","*",34,101,70,"*",60,1526,1799
"Great Oaks Charter School District","=""2940013""","*",0,266,250,"*","*",32,555
"Greenwich School District","=""0570011""","*",763,215,2022,"*",471,5558,9048
"Griswold School District","=""0580011""","*",27,46,166,"*",133,1378,1772
"Groton School District","=""0590011""",36,261,334,945,19,427,2250,4272
"Guilford School District","=""0600011""",0,139,"*",247,"*",133,2700,3259
"Hamden School District","=""0620011""","*",409,1685,1224,"*",296,1866,5495
"Hampton School District","=""0630011""","*",0,0,"*",0,"*",79,90
"Hartford School District","=""0640011""",67,824,5559,10270,32,395,1733,18880
"Hartland School District","=""0650011""",0,0,"*",7,"*",11,135,157
"Hebron School District","=""0670011""",0,10,7,25,0,12,604,658
"Highville Charter School District","=""2860013""","*",0,426,20,"*","*",6,460
"Integrated Day Charter School District","=""2640013""","*",49,"*",63,0,37,166,352
"Interdistrict School for Arts and Comm District","=""2650013""","*",6,42,174,"*",0,49,279
"Jumoke Academy District","=""2610013""","*","*",650,39,0,8,"*",706
"Kent School District","=""0680011""",0,"*","*",15,0,7,173,205
"Killingly School District","=""0690011""","*",59,47,237,"*",153,1974,2490
"Learn","=""2450014""","*",67,392,1008,"*",225,814,2518
"Lebanon School District","=""0710011""",8,17,14,58,6,9,879,991
"Ledyard School District","=""0720011""",71,86,118,263,10,119,1759,2426
"Lisbon School District","=""0730011""",0,6,"*",48,"*",32,327,421
"Litchfield School District","=""0740011""",0,17,7,45,9,11,800,889
"Madison School District","=""0760011""","*",101,15,130,"*",104,2270,2626
"Manchester School District","=""0770011""",21,541,1561,1887,12,161,2126,6309
"Mansfield School District","=""0780011""","*",154,"*",149,0,54,740,1133
"Marlborough School District","=""0790011""","*",8,"*",28,0,15,388,448
"Meriden School District","=""0800011""","*",188,830,4636,"*",337,2158,8163
"Middletown School District","=""0830011""",9,234,916,925,10,424,2102,4620
"Milford School District","=""0840011""",7,521,252,683,7,155,3996,5621
"Monroe School District","=""0850011""","*",157,66,341,"*",111,2458,3136
"Montville School District","=""0860011""","*",158,62,292,"*",243,1287,2064
"Naugatuck School District","=""0880011""","*",126,406,1274,"*",239,2312,4372
"New Beginnings Inc Family Academy District","=""2800013""","*","*",298,175,"*",6,21,505
"New Britain School District","=""0890011""","*",234,1117,6731,"*",343,1655,10093
"New Canaan School District","=""0900011""","*",295,66,216,"*",165,3468,4221
"New Fairfield School District","=""0910011""","*",34,34,287,"*",45,1778,2186
"New Hartford School District","=""0920011""",0,"*","*",8,0,15,410,437
"New Haven School District","=""0930011""",40,522,7529,9649,11,367,2557,20675
"New London School District","=""0950011""","*",40,605,1791,"*",395,578,3440
"New Milford School District","=""0960011""","*",130,"*",621,0,163,2921,3948
"Newington School District","=""0940011""","*",365,240,888,"*",224,2290,4015
"Newtown School District","=""0970011""","*",133,"*",334,0,73,3577,4188
"Norfolk School District","=""0980011""",0,0,0,"*",0,"*",62,74
"North Branford School District","=""0990011""","*",32,35,134,0,"*",1473,1700
"North Canaan School District","=""1000011""",0,"*","*",32,0,12,206,253
"North Haven School District","=""1010011""",6,224,138,302,0,112,2399,3181
"North Stonington School District","=""1020011""",11,17,"*",33,"*",19,652,747
"Norwalk School District","=""1030011""",18,539,1768,6027,9,325,3030,11716
"Norwich Free Academy District","=""9010022""",26,180,333,394,11,136,1186,2266
"Norwich School District","=""1040011""",18,230,663,1238,13,363,1063,3588
"Odyssey Community School District","=""2630013""","*",61,70,63,0,"*",111,329
"Old Saybrook School District","=""1060011""",0,43,"*",150,"*",33,954,1195
"Orange School District","=""1070011""","*",171,22,85,"*",58,898,1236
"Oxford School District","=""1080011""","*",40,25,153,"*",25,1474,1722
"Park City Prep Charter School District","=""2830013""","*","*",157,175,"*","*",19,361
"Plainfield School District","=""1090011""",20,32,92,137,15,27,1857,2180
"Plainville School District","=""1100011""","*",60,106,470,"*",109,1603,2356
"Plymouth School District","=""1110011""","*",23,"*",164,0,55,1112,1368
"Pomfret School District","=""1120011""",0,9,"*",6,"*",6,360,385
"Portland School District","=""1130011""","*",20,43,191,"*",67,986,1310
"Preston School District","=""1140011""","*",12,6,33,"*",16,368,438
"Putnam School District","=""1160011""",0,"*",22,156,"*",65,918,1175
"Redding School District","=""1170011""","*",20,15,82,"*",31,686,836
"Regional School District 01","=""2010012""",0,"*","*",53,0,15,285,362
"Regional School District 04","=""2040012""","*",17,"*",43,0,24,765,858
"Regional School District 05","=""2050012""","*",325,73,64,"*",90,1627,2185
"Regional School District 06","=""2060012""","*",7,11,36,"*",28,829,917
"Regional School District 07","=""2070012""",0,9,"*",25,"*",19,972,1036
"Regional School District 08","=""2080012""","*",29,18,72,"*",9,1282,1412
"Regional School District 09","=""2090012""",0,34,7,59,0,44,723,867
"Regional School District 10","=""2100012""","*",23,"*",101,0,191,1907,2242
"Regional School District 11","=""2110012""",0,0,"*",14,0,"*",179,207
"Regional School District 12","=""2120012""",0,8,7,55,0,13,623,706
"Regional School District 13","=""2130012""","*",24,"*",100,0,46,1337,1517
"Regional School District 14","=""2140012""",7,27,14,95,0,29,1420,1592
"Regional School District 15","=""2150012""",6,191,63,218,7,90,3102,3677
"Regional School District 16","=""2160012""","*","*",71,139,0,40,1807,2084
"Regional School District 17","=""2170012""",0,34,18,66,0,55,1785,1958
"Regional School District 18","=""2180012""",0,35,"*",77,"*",37,1130,1290
"Regional School District 19","=""2190012""","*",49,12,106,"*",113,817,1102
"Ridgefield School District","=""1180011""","*",320,30,363,"*",179,3806,4707
"Rocky Hill School District","=""1190011""","*",850,78,264,"*",86,1415,2701
"Salem School District","=""1210011""","*","*",7,32,0,15,357,422
"Salisbury School District","=""1220011""","*","*",10,20,0,22,228,284
"Scotland School District","=""1230011""",0,0,0,"*",0,0,"*",106
"Seymour School District","=""1240011""","*",79,114,368,"*",47,1567,2179
"Sharon School District","=""1250011""",0,"*",0,10,0,"*",88,103
"Shelton School District","=""1260011""","*",259,323,789,"*",150,3144,4674
"Sherman School District","=""1270011""","*",7,"*",17,0,"*",240,275
"Side By Side Charter School District","=""2700013""",0,"*",68,127,0,"*",25,236
"Simsbury School District","=""1280011""","*",290,239,389,"*",176,2993,4091
"Somers School District","=""1290011""","*",21,39,67,"*",18,1205,1353
"South Windsor School District","=""1320011""","*",1144,278,405,"*",229,2489,4554
"Southington School District","=""1310011""","*",227,151,619,"*",276,5053,6336
"Sprague School District","=""1330011""","*","*",14,38,"*",25,195,280
"Stafford School District","=""1340011""","*",16,"*",115,0,46,1263,1459
"Stamford Academy District","=""2820013""",0,0,65,64,0,7,11,147
"Stamford Charter School for Excellence District","=""2960013""",0,112,179,91,"*",6,"*",395
"Stamford School District","=""1350011""",19,1183,2410,7391,19,566,5012,16600
"Sterling School District","=""1360011""","*","*",7,28,0,23,300,365
"Stonington School District","=""1370011""","*",41,26,118,"*",84,1702,1981
"Stratford School District","=""1380011""","*","*",1575,2492,0,261,2345,6862
"Suffield School District","=""1390011""","*",84,71,148,"*",30,1787,2127
"The Bridge Academy District","=""2690013""",0,"*",129,122,24,0,"*",281
"The Gilbert School District","=""9020022""",0,36,9,73,0,22,327,467
"The Woodstock Academy District","=""9030022""","*",107,"*",49,0,11,928,1107
"Thomaston School District","=""1400011""","*",10,12,52,"*",11,769,857
"Thompson School District","=""1410011""",0,"*","*",58,0,34,899,995
"Tolland School District","=""1420011""","*",83,59,152,"*",34,2019,2354
"Torrington School District","=""1430011""","*",162,169,1156,"*",125,2233,3857
"Trumbull School District","=""1440011""",9,645,388,989,8,123,4646,6808
"Unified School District #1","=""3360015""",0,0,82,55,0,6,15,158
"Unified School District #2","=""3470015""",0,"*",20,30,0,"*",42,95
"Union School District","=""1450011""",0,0,0,"*",0,0,"*",46
"Vernon School District","=""1460011""","*",205,344,641,"*",232,1721,3151
"Voluntown School District","=""1470011""","*","*",6,11,"*",13,227,264
"Wallingford School District","=""1480011""",9,285,122,1034,7,97,4139,5693
"Waterbury School District","=""1510011""","*",301,4052,10814,"*",656,2875,18807
"Waterford School District","=""1520011""",7,117,70,285,7,115,1868,2469
"Watertown School District","=""1530011""","*",44,85,225,"*",80,2282,2724
"West Hartford School District","=""1550011""",12,1042,824,1813,12,439,5360,9502
"West Haven School District","=""1560011""","*",242,1328,2268,"*",240,1772,5865
"Westbrook School District","=""1540011""","*",13,"*",136,0,19,495,669
"Weston School District","=""1570011""",0,117,42,159,0,130,1842,2290
"Westport School District","=""1580011""","*",354,"*",366,0,281,4221,5344
"Wethersfield School District","=""1590011""","*",168,132,687,"*",124,2491,3610
"Willington School District","=""1600011""",0,"*",8,36,0,"*",385,439
"Wilton School District","=""1610011""","*",407,"*",271,0,220,2931,3870
"Winchester School District","=""1620011""","*",12,12,56,"*",20,473,575
"Windham School District","=""1630011""","*",29,105,2400,"*",69,732,3345
"Windsor Locks School District","=""1650011""","*",116,194,262,"*",90,931,1599
"Windsor School District","=""1640011""","*",148,1425,714,"*",232,818,3345
"Wolcott School District","=""1660011""",6,45,75,192,0,63,1815,2196
"Woodbridge School District","=""1670011""","*",122,"*",63,0,51,571,841
"Woodstock School District","=""1690011""",0,7,6,24,0,41,746,824
"Total","=""""",1322,27365,67067,141981,533,19806,269755,527829

