"Student Counts by District and Race"
"All Districts"
"2007-08"

"",,"Race",,,,,,
"Columbia School District","=""0300011""","*",14,570,593,"*","*",0
"Common Ground High School District","=""2680013""",82,47,"*",152,0,"*",0
"Connecticut Technical Education and Career System","=""9000016""",1482,2575,5774,9973,61,81,0
"Cooperative Educational Services","=""2430014""",229,168,254,675,"*","*",0
"Cornwall School District","=""0310011""","*",6,116,129,0,"*",0
"Coventry School District","=""0320011""",34,48,1912,2016,"*","*",0
"Cromwell School District","=""0330011""",163,109,1652,2000,"*","*",0
"Danbury School District","=""0340011""",1017,3211,5139,10178,6,805,0
"Darien School District","=""0350011""",36,86,4399,4662,15,126,0
"Deep River School District","=""0360011""",11,27,346,389,"*","*",0
"Department of Mental Health and Addiction Services","=""""","*","*",6,11,0,"*",0
"Derby School District","=""0370011""",220,290,909,1472,"*","*",0
"East Granby School District","=""0400011""",35,30,817,914,"*","*",0
"East Haddam School District","=""0410011""",18,36,1360,1433,"*","*",0
"East Hampton School District","=""0420011""","*",50,1969,2087,"*",37,0
"East Hartford School District","=""0430011""",2651,2680,1675,7474,22,446,0
"East Haven School District","=""0440011""",101,446,2988,3699,9,155,0
"East Lyme School District","=""0450011""",65,105,2803,3269,31,265,0
"East Windsor School District","=""0470011""",205,143,1077,1494,"*","*",0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","*","*",56,64,"*",0,0
"Eastford School District","=""0390011""","*",6,174,189,"*","*",0
"Easton School District","=""0460011""",13,39,1085,1180,0,43,0
"EdAdvance","=""2420014""","*",46,115,179,0,"*",0
"Ellington School District","=""0480011""",82,49,2396,2612,8,77,0
"Elm City College Preparatory School","=""2810013""",373,94,"*",476,0,"*",0
"Enfield School District","=""0490011""",525,339,5344,6373,21,144,0
"Essex School District","=""0500011""","*",17,509,551,"*",14,0
"Explorations District","=""2720013""",0,"*",81,86,"*",0,0
"Fairfield School District","=""0510011""","*",542,8518,9797,"*",496,0
"Farmington School District","=""0520011""",231,169,3422,4209,6,381,0
"Franklin School District","=""0530011""","*",7,222,235,"*","*",0
"Glastonbury School District","=""0540011""",240,303,5800,6882,17,522,0
"Granby School District","=""0560011""",101,46,2157,2339,8,27,0
"Greenwich School District","=""0570011""",241,1294,6701,9014,10,768,0
"Griswold School District","=""0580011""",48,60,1966,2146,35,37,0
"Groton School District","=""0590011""",731,530,3459,5198,92,386,0
"Guilford School District","=""0600011""","*",169,3477,3839,"*",142,0
"Hamden School District","=""0620011""",2096,832,2971,6306,10,397,0
"Hampton School District","=""0630011""",0,9,154,166,"*","*",0
"Hartford School District","=""0640011""",9118,11836,1415,22679,"*",253,"*"
"Hartland School District","=""0650011""","*","*",219,236,"*",8,0
"Hebron School District","=""0670011""",6,18,1167,1206,0,15,0
"Highville Charter School District","=""2860013""",251,19,"*",277,0,"*",0
"Integrated Day Charter School District","=""2640013""",53,26,229,330,"*","*",0
"Interdistrict School for Arts and Comm District","=""2650013""",34,76,64,181,"*","*",0
"Jumoke Academy District","=""2610013""",361,8,0,369,0,0,0
"Kent School District","=""0680011""",6,18,221,257,0,12,0
"Killingly School District","=""0690011""",89,99,2458,2735,26,63,0
"Learn","=""2450014""",178,282,546,1077,23,48,0
"Lebanon School District","=""0710011""",22,31,1453,1530,13,11,0
"Ledyard School District","=""0720011""",156,164,2313,2905,123,149,0
"Lisbon School District","=""0730011""",13,12,525,579,6,23,0
"Litchfield School District","=""0740011""",8,32,1140,1215,8,27,0
"Madison School District","=""0760011""",34,45,3570,3796,10,137,0
"Manchester School District","=""0770011""",1526,1365,3551,6913,31,440,0
"Mansfield School District","=""0780011""",37,78,1045,1307,6,141,0
"Marlborough School District","=""0790011""",11,21,606,663,0,25,0
"Meriden School District","=""0800011""",1172,3796,3730,8908,18,192,0
"Middletown School District","=""0830011""",1295,631,2864,5088,20,278,0
"Milford School District","=""0840011""",323,423,6127,7400,16,511,0
"Monroe School District","=""0850011""",89,174,3819,4226,15,129,0
"Montville School District","=""0860011""",146,178,2244,2871,"*",207,"*"
"Naugatuck School District","=""0880011""",398,572,3766,4931,"*",177,"*"
"New Beginnings Inc Family Academy District","=""2800013""",300,53,9,362,0,0,0
"New Britain School District","=""0890011""",1945,6078,2428,10719,12,256,0
"New Canaan School District","=""0900011""","*",78,3896,4130,"*",115,0
"New Fairfield School District","=""0910011""","*",103,2877,3048,"*",50,0
"New Hartford School District","=""0920011""","*","*",610,618,0,"*",0
"New Haven School District","=""0930011""",10157,7094,2397,19981,"*",297,"*"
"New London School District","=""0950011""",983,1318,516,2933,"*",59,"*"
"New Milford School District","=""0960011""","*",327,4418,5034,"*",182,0
"Newington School District","=""0940011""",267,426,3503,4566,12,358,0
"Newtown School District","=""0970011""","*",192,5241,5663,"*",158,0
"Norfolk School District","=""0980011""","*","*",157,168,0,"*",0
"North Branford School District","=""0990011""",45,61,2288,2434,8,32,0
"North Canaan School District","=""1000011""","*","*",339,359,0,0,0
"North Haven School District","=""1010011""",198,"*",3270,3897,"*",264,0
"North Stonington School District","=""1020011""",18,19,731,805,19,18,0
"Norwalk School District","=""1030011""",2535,3306,4374,10729,21,493,0
"Norwich Free Academy District","=""9010022""",296,238,1742,2449,35,138,0
"Norwich School District","=""1040011""",946,838,1893,4070,104,289,0
"Odyssey Community School District","=""2630013""",43,32,97,177,"*","*",0
"Old Saybrook School District","=""1060011""","*",53,1434,1621,"*",93,0
"Orange School District","=""1070011""","*",45,1146,1377,"*",148,0
"Oxford School District","=""1080011""","*",61,1738,1861,"*",37,0
"Park City Prep Charter School District","=""2830013""",136,64,"*",206,0,"*",0
"Plainfield School District","=""1090011""",85,127,2478,2784,42,52,0
"Plainville School District","=""1100011""",168,186,2208,2629,"*","*",0
"Plymouth School District","=""1110011""",41,46,1805,1913,"*","*",0
"Pomfret School District","=""1120011""",10,11,509,543,0,13,0
"Portland School District","=""1130011""",61,42,1302,1433,6,22,0
"Preston School District","=""1140011""",11,15,452,509,15,16,0
"Putnam School District","=""1160011""",46,44,1211,1319,8,10,0
"Redding School District","=""1170011""","*",20,1222,1309,"*",55,0
"Regional School District 01","=""2010012""",8,8,551,570,"*","*",0
"Regional School District 04","=""2040012""","*",28,903,961,"*",18,0
"Regional School District 05","=""2050012""","*",73,2140,2483,"*",208,0
"Regional School District 06","=""2060012""",11,17,1094,1130,0,8,0
"Regional School District 07","=""2070012""","*",9,1135,1155,0,"*",0
"Regional School District 08","=""2080012""","*",20,1618,1676,"*",22,0
"Regional School District 09","=""2090012""","*",23,917,979,"*",31,0
"Regional School District 10","=""2100012""","*",65,2715,2855,"*",55,0
"Regional School District 11","=""2110012""",7,9,280,299,"*","*",0
"Regional School District 12","=""2120012""","*",28,1003,1062,"*",16,0
"Regional School District 13","=""2130012""","*",52,2050,2156,"*",32,0
"Regional School District 14","=""2140012""","*",60,2105,2215,"*",27,0
"Regional School District 15","=""2150012""",46,110,4258,4583,22,147,0
"Regional School District 16","=""2160012""",54,76,2540,2691,"*","*",0
"Regional School District 17","=""2170012""","*",26,2465,2562,"*",48,0
"Regional School District 18","=""2180012""","*",25,1450,1538,"*",45,0
"Regional School District 19","=""2190012""",36,47,1047,1191,10,51,0
"Ridgefield School District","=""1180011""","*",162,5170,5560,"*",187,0
"Rocky Hill School District","=""1190011""","*",161,2065,2622,"*",284,0
"Salem School District","=""1210011""",14,"*",471,506,"*",17,0
"Salisbury School District","=""1220011""",11,"*",283,307,0,"*",0
"Scotland School District","=""1230011""","*","*",184,190,"*",0,0
"Seymour School District","=""1240011""",95,162,2277,2619,12,73,0
"Sharon School District","=""1250011""",6,"*",207,219,0,"*",0
"Shelton School District","=""1260011""",158,375,4869,5670,20,248,0
"Sherman School District","=""1270011""",6,"*",436,459,"*",11,0
"Side By Side Charter School District","=""2700013""",76,72,59,230,0,23,0
"Simsbury School District","=""1280011""",182,145,4399,4973,7,240,0
"Somers School District","=""1290011""",40,31,1640,1734,0,23,0
"South Windsor School District","=""1320011""",278,238,4062,4972,16,378,0
"Southington School District","=""1310011""",156,281,6269,6947,15,226,0
"Sprague School District","=""1330011""",27,23,295,356,"*","*",0
"Stafford School District","=""1340011""","*",61,1796,1917,"*",31,0
"Stamford Academy District","=""2820013""",89,32,10,131,0,0,0
"Stamford School District","=""1350011""",3268,4522,6167,14982,8,1017,0
"Sterling School District","=""1360011""","*","*",486,504,"*",6,0
"Stonington School District","=""1370011""",66,71,2293,2549,30,89,0
"Stratford School District","=""1380011""",1688,1349,4142,7440,36,225,0
"Suffield School District","=""1390011""",54,52,2443,2594,"*","*",0
"The Bridge Academy District","=""2690013""",177,77,6,260,0,0,0
"The Gilbert School District","=""9020022""",14,33,354,408,"*","*",0
"The Woodstock Academy District","=""9030022""","*",27,1102,1153,"*",12,0
"Thomaston School District","=""1400011""",8,19,1236,1272,0,9,0
"Thompson School District","=""1410011""",20,38,1393,1488,22,15,0
"Tolland School District","=""1420011""",63,43,2921,3143,10,106,0
"Torrington School District","=""1430011""",307,601,3795,4868,16,149,0
"Trailblazers Academy District","=""2780013""",102,"*","*",150,0,0,0
"Trumbull School District","=""1440011""",282,393,5871,6918,8,364,0
"Unified School District #1","=""3360015""",593,416,179,1195,"*","*",0
"Unified School District #2","=""3470015""",160,110,"*",375,0,"*",0
"Union School District","=""1450011""","*",0,"*",73,0,0,0
"Vernon School District","=""1460011""",409,328,2766,3722,21,198,0
"Voluntown School District","=""1470011""","*",16,276,315,14,"*",0
"Wallingford School District","=""1480011""",188,662,5715,6855,"*",272,"*"
"Waterbury School District","=""1510011""",5201,7927,4882,18401,55,336,0
"Waterford School District","=""1520011""",147,161,2459,2954,26,161,0
"Watertown School District","=""1530011""",61,122,3127,3412,23,79,0
"West Hartford School District","=""1550011""",1017,1432,6555,10045,"*",1009,"*"
"West Haven School District","=""1560011""",1646,1463,3085,6490,34,262,0
"Westbrook School District","=""1540011""","*",35,923,985,"*",13,0
"Weston School District","=""1570011""","*",47,2412,2591,"*",87,0
"Westport School District","=""1580011""",84,150,5241,5700,9,216,0
"Wethersfield School District","=""1590011""",200,463,3028,3838,14,133,0
"Willington School District","=""1600011""",7,26,549,601,0,19,0
"Wilton School District","=""1610011""","*",89,4010,4384,"*",242,0
"Winchester School District","=""1620011""",45,84,913,1073,15,16,0
"Windham School District","=""1630011""",217,2160,1216,3675,30,52,0
"Windsor Locks School District","=""1650011""",155,"*",1452,1843,"*",128,0
"Windsor School District","=""1640011""",2097,456,1358,4128,15,202,0
"Wolcott School District","=""1660011""",56,108,2711,2928,"*","*",0
"Woodbridge School District","=""1670011""","*",29,651,788,"*",83,0
"Woodstock School District","=""1690011""",6,38,878,951,14,15,0
"Total","=""""",80235,96127,373818,574848,2109,22547,12

