"Student Counts by District and Race"
"All Districts"
"2011-12"

"",,"Race",,,,,,,
"Cromwell School District","=""0330011""","*",103,175,150,"*",1557,2000,0
"Danbury School District","=""0340011""","*",814,953,4221,173,4651,10822,"*"
"Darien School District","=""0350011""",9,168,17,162,15,4462,4833,0
"Deep River School District","=""0360011""",0,"*","*",24,"*",328,359,0
"Department of Mental Health and Addiction Services","=""""",0,"*","*","*",0,"*",6,0
"Derby School District","=""0370011""",0,32,214,360,24,816,1453,7
"East Granby School District","=""0400011""","*",28,46,43,"*",711,847,0
"East Haddam School District","=""0410011""",0,"*",10,24,"*",1240,1287,0
"East Hampton School District","=""0420011""","*",42,15,75,25,1792,1952,"*"
"East Hartford School District","=""0430011""",27,396,2468,2959,"*",1308,7176,"*"
"East Haven School District","=""0440011""","*",164,108,601,46,2375,3297,"*"
"East Lyme School District","=""0450011""","*",287,66,119,24,2481,2985,"*"
"East Windsor School District","=""0470011""","*",73,144,156,63,857,1298,"*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","*","*",12,35,11,232,295,0
"Eastford School District","=""0390011""","*","*","*","*","*",165,176,0
"Easton School District","=""0460011""","*",52,9,52,18,924,1059,"*"
"EdAdvance","=""2420014""",7,"*",12,51,"*",144,221,"*"
"Ellington School District","=""0480011""","*",145,"*",123,87,2311,2755,0
"Elm City College Preparatory School District","=""2890013""","*","*",469,115,7,"*",600,0
"Enfield School District","=""0490011""",21,118,349,531,243,4401,5673,10
"Essex School District","=""0500011""",0,17,"*",15,"*",509,559,0
"Explorations District","=""2720013""",0,"*","*",6,0,66,74,0
"Fairfield School District","=""0510011""","*",524,233,877,280,8394,10335,"*"
"Farmington School District","=""0520011""",8,554,206,205,12,3084,4069,0
"Franklin School District","=""0530011""","*","*",0,14,"*",181,206,"*"
"Glastonbury School District","=""0540011""","*",569,191,457,197,5290,6721,"*"
"Granby School District","=""0560011""",6,22,82,68,54,1939,2171,0
"Greenwich School District","=""0570011""","*",709,274,1513,221,6095,8822,"*"
"Griswold School District","=""0580011""","*",42,72,100,63,1668,1974,"*"
"Groton School District","=""0590011""",81,330,589,776,214,2992,4990,8
"Guilford School District","=""0600011""","*",125,42,203,76,3234,3684,"*"
"Hamden School District","=""0620011""",7,439,1820,924,158,2549,5897,0
"Hampton School District","=""0630011""",0,"*",0,9,"*",113,126,0
"Hartford School District","=""0640011""",58,533,7018,10796,855,2023,21297,14
"Hartland School District","=""0650011""","*","*","*","*","*",213,227,0
"Hebron School District","=""0670011""",0,"*","*",37,21,977,1048,0
"Highville Charter School District","=""2860013""",0,"*",309,15,10,"*",337,0
"Integrated Day Charter School District","=""2640013""",0,27,28,43,31,201,330,0
"Interdistrict School for Arts and Comm District","=""2650013""","*","*",44,86,9,48,191,0
"Jumoke Academy District","=""2610013""","*",0,469,6,"*","*",488,7
"Kent School District","=""0680011""",0,"*","*",24,17,229,278,0
"Killingly School District","=""0690011""",42,58,65,91,132,2316,2704,0
"Learn","=""2450014""","*",62,226,466,108,642,1514,"*"
"Lebanon School District","=""0710011""",24,23,9,46,"*",1187,1293,"*"
"Ledyard School District","=""0720011""",139,116,165,205,"*",1942,2604,"*"
"Lisbon School District","=""0730011""","*",9,"*",22,34,412,481,"*"
"Litchfield School District","=""0740011""","*",19,11,38,"*",1046,1133,10
"Madison School District","=""0760011""","*",121,25,79,59,3174,3465,"*"
"Manchester School District","=""0770011""","*",495,1381,1532,268,2747,6454,"*"
"Mansfield School District","=""0780011""",0,119,"*",147,59,974,1329,"*"
"Marlborough School District","=""0790011""",0,20,"*",32,"*",598,672,0
"Meriden School District","=""0800011""",36,246,1016,3954,137,2908,8342,45
"Middletown School District","=""0830011""","*",267,1105,783,180,2758,5106,"*"
"Milford School District","=""0840011""",11,552,336,408,"*",5519,6836,"*"
"Monroe School District","=""0850011""",12,115,50,213,67,3132,3589,0
"Montville School District","=""0860011""","*",217,95,206,210,1792,2575,"*"
"Naugatuck School District","=""0880011""",6,170,318,855,192,2988,4535,6
"New Beginnings Inc Family Academy District","=""2800013""",0,0,269,83,0,9,361,0
"New Britain School District","=""0890011""",16,249,1540,6033,134,2290,10268,6
"New Canaan School District","=""0900011""","*",180,43,135,59,3733,4173,"*"
"New Fairfield School District","=""0910011""","*",55,"*",187,39,2559,2878,0
"New Hartford School District","=""0920011""",0,"*","*",20,10,546,583,0
"New Haven School District","=""0930011""",36,445,9200,7833,31,3104,20649,0
"New London School District","=""0950011""",32,44,813,1474,135,494,2998,6
"New Milford School District","=""0960011""","*",186,87,418,"*",3915,4688,0
"Newington School District","=""0940011""",6,377,229,652,177,2937,4378,0
"Newtown School District","=""0970011""","*",194,66,250,"*",4739,5316,0
"Norfolk School District","=""0980011""",0,"*","*","*","*",119,124,0
"North Branford School District","=""0990011""","*",47,52,96,"*",1986,2187,0
"North Canaan School District","=""1000011""","*","*","*",31,9,262,308,0
"North Haven School District","=""1010011""","*",247,137,223,81,2885,3580,"*"
"North Stonington School District","=""1020011""",6,10,18,21,14,712,781,0
"Norwalk School District","=""1030011""",15,546,2344,4087,110,4081,11183,0
"Norwich Free Academy District","=""9010022""",54,117,235,312,141,1403,2315,53
"Norwich School District","=""1040011""",36,284,694,1012,352,1492,3883,13
"Odyssey Community School District","=""2630013""","*",26,64,51,17,152,314,"*"
"Old Saybrook School District","=""1060011""",0,93,31,76,"*",1347,1571,"*"
"Orange School District","=""1070011""","*",141,32,56,"*",1032,1273,0
"Oxford School District","=""1080011""","*",46,"*",117,38,1907,2147,0
"Park City Prep Charter School District","=""2830013""",0,"*",154,89,7,"*",257,0
"Plainfield School District","=""1090011""",33,56,106,60,"*",2332,2593,"*"
"Plainville School District","=""1100011""","*",55,110,300,84,1865,2424,"*"
"Plymouth School District","=""1110011""",8,22,36,61,"*",1530,1665,"*"
"Pomfret School District","=""1120011""","*",16,7,10,"*",440,475,0
"Portland School District","=""1130011""","*",23,33,82,50,1182,1372,"*"
"Preston School District","=""1140011""",8,10,"*",11,9,354,404,"*"
"Putnam School District","=""1160011""","*",11,14,78,55,1096,1264,"*"
"Redding School District","=""1170011""","*",31,6,46,73,1048,1210,"*"
"Regional School District 01","=""2010012""",0,"*",8,22,"*",426,467,0
"Regional School District 04","=""2040012""","*",9,12,44,"*",887,963,0
"Regional School District 05","=""2050012""",6,247,69,99,11,2012,2444,0
"Regional School District 06","=""2060012""","*",11,12,31,10,975,1045,"*"
"Regional School District 07","=""2070012""","*",16,8,25,"*",1112,1163,0
"Regional School District 08","=""2080012""","*",27,12,27,"*",1714,1792,0
"Regional School District 09","=""2090012""","*",25,"*",30,14,945,1022,0
"Regional School District 10","=""2100012""","*",48,12,96,10,2510,2679,"*"
"Regional School District 11","=""2110012""","*","*",6,17,"*",273,300,0
"Regional School District 12","=""2120012""",0,9,14,36,7,816,889,7
"Regional School District 13","=""2130012""","*",37,"*",69,54,1834,2001,0
"Regional School District 14","=""2140012""","*",37,12,48,"*",1913,2018,"*"
"Regional School District 15","=""2150012""","*",224,52,184,21,3751,4241,"*"
"Regional School District 16","=""2160012""","*",28,53,116,"*",2277,2487,0
"Regional School District 17","=""2170012""","*",50,32,31,"*",2253,2395,0
"Regional School District 18","=""2180012""","*",50,"*",52,20,1329,1456,"*"
"Regional School District 19","=""2190012""","*",66,25,59,7,1077,1238,"*"
"Ridgefield School District","=""1180011""","*",254,33,248,70,4769,5379,"*"
"Rocky Hill School District","=""1190011""","*",360,92,180,"*",1874,2539,0
"Salem School District","=""1210011""","*",22,12,16,"*",391,445,"*"
"Salisbury School District","=""1220011""",0,6,6,17,26,256,311,0
"Scotland School District","=""1230011""",0,0,"*","*",0,125,132,0
"Seymour School District","=""1240011""","*",77,93,209,"*",1920,2310,0
"Sharon School District","=""1250011""","*","*","*","*","*",176,191,0
"Shelton School District","=""1260011""","*",301,178,448,25,4274,5245,"*"
"Sherman School District","=""1270011""","*","*","*",7,12,373,398,0
"Side By Side Charter School District","=""2700013""",0,24,67,76,11,54,232,0
"Simsbury School District","=""1280011""",0,265,194,226,28,3977,4690,0
"Somers School District","=""1290011""","*",26,30,49,24,1489,1622,"*"
"South Windsor School District","=""1320011""","*",452,224,314,118,3268,4395,"*"
"Southington School District","=""1310011""","*",222,122,353,157,5878,6745,"*"
"Sprague School District","=""1330011""","*","*","*",39,40,293,380,0
"Stafford School District","=""1340011""","*",24,15,81,46,1654,1830,"*"
"Stamford Academy District","=""2820013""",0,"*",99,31,"*","*",138,0
"Stamford School District","=""1350011""",6,1289,3149,5439,131,5557,15571,0
"Sterling School District","=""1360011""","*","*","*",17,18,452,494,0
"Stonington School District","=""1370011""","*",73,54,82,"*",2201,2430,0
"Stratford School District","=""1380011""","*",214,1596,1888,163,3422,7300,"*"
"Suffield School District","=""1390011""","*",55,76,91,"*",2271,2503,0
"The Bridge Academy District","=""2690013""","*","*",148,99,22,"*",276,"*"
"The Gilbert School District","=""9020022""","*","*",15,63,21,433,542,0
"The Woodstock Academy District","=""9030022""","*",52,"*",37,7,996,1098,0
"Thomaston School District","=""1400011""","*",14,10,25,"*",1005,1064,0
"Thompson School District","=""1410011""","*","*","*",40,26,1126,1202,0
"Tolland School District","=""1420011""",7,99,45,66,0,2759,2976,0
"Torrington School District","=""1430011""","*",153,213,818,121,3244,4565,"*"
"Trailblazers Academy District","=""2780013""",0,"*",92,70,0,"*",170,0
"Trumbull School District","=""1440011""","*",447,294,492,17,5692,6959,"*"
"Unified School District #1","=""3360015""",0,"*",401,233,"*",106,744,0
"Unified School District #2","=""3470015""","*","*",105,82,8,61,262,0
"Union School District","=""1450011""",0,0,"*",0,0,"*",74,0
"Vernon School District","=""1460011""",13,190,488,427,37,2435,3590,0
"Voluntown School District","=""1470011""","*","*","*",11,19,284,323,0
"Wallingford School District","=""1480011""","*",294,151,885,11,5085,6435,"*"
"Waterbury School District","=""1510011""",80,313,4634,8558,468,4105,18175,17
"Waterford School District","=""1520011""",28,162,114,191,26,2190,2711,0
"Watertown School District","=""1530011""",10,77,49,190,65,2715,3106,0
"West Hartford School District","=""1550011""","*",1099,905,1561,270,6282,10147,"*"
"West Haven School District","=""1560011""","*",213,1333,1873,230,2474,6131,"*"
"Westbrook School District","=""1540011""","*",15,"*",61,8,837,928,0
"Weston School District","=""1570011""","*",87,27,76,57,2240,2490,"*"
"Westport School District","=""1580011""","*",281,88,200,"*",5118,5757,0
"Wethersfield School District","=""1590011""","*",178,164,514,48,2798,3711,"*"
"Willington School District","=""1600011""",0,6,"*",30,12,441,495,"*"
"Wilton School District","=""1610011""","*",283,64,110,47,3828,4336,"*"
"Winchester School District","=""1620011""",0,"*",25,40,"*",640,709,"*"
"Windham School District","=""1630011""",15,35,172,2124,62,863,3271,0
"Windsor Locks School District","=""1650011""","*",151,153,169,37,1248,1763,"*"
"Windsor School District","=""1640011""","*",177,1627,515,128,1067,3520,"*"
"Wolcott School District","=""1660011""","*",46,49,109,80,2372,2664,"*"
"Woodbridge School District","=""1670011""","*",117,23,32,7,551,738,"*"
"Woodstock School District","=""1690011""",0,"*","*",33,32,816,894,0
"Total","=""""",1810,24698,72589,110205,10832,337834,558378,410

