"Student Counts by District and Race"
"All Districts"
"2015-16"

"",,"Race",,,,,,,
"Chaplin School District","=""0240011""",0,0,"*",14,"*",154,176,0
"Cheshire School District","=""0250011""",10,432,131,199,43,3598,4413,0
"Chester School District","=""0260011""",0,"*","*",8,10,187,211,0
"Clinton School District","=""0270011""","*",48,15,216,34,1503,1822,"*"
"Colchester School District","=""0280011""","*",57,52,135,59,2245,2563,"*"
"Colebrook School District","=""0290011""",0,0,"*","*",6,75,84,0
"Columbia School District","=""0300011""",0,"*","*",28,6,413,454,0
"Common Ground High School District","=""2680013""",0,"*",65,56,"*",55,186,0
"Connecticut Technical Education and Career System","=""9000016""",42,112,1255,3689,375,5224,10710,13
"Cooperative Educational Services","=""2430014""","*",37,230,281,27,291,869,"*"
"Cornwall School District","=""0310011""",0,"*","*",9,7,73,92,0
"Coventry School District","=""0320011""","*",20,"*",84,58,1454,1634,0
"Cromwell School District","=""0330011""","*",136,170,162,32,1488,1997,"*"
"Danbury School District","=""0340011""",11,739,832,5135,292,4141,11157,7
"Darien School District","=""0350011""","*",207,34,217,81,4337,4884,"*"
"Deep River School District","=""0360011""",0,"*","*",19,10,271,306,"*"
"Department of Mental Health and Addiction Services","=""""",0,0,"*",0,0,"*","*",0
"Derby School District","=""0370011""",0,36,206,410,51,693,1403,7
"East Granby School District","=""0400011""","*",50,71,57,23,674,878,"*"
"East Haddam School District","=""0410011""","*","*","*",26,23,1014,1073,0
"East Hampton School District","=""0420011""","*",33,18,95,33,1710,1893,"*"
"East Hartford School District","=""0430011""","*",342,2286,3073,59,1106,6882,"*"
"East Haven School District","=""0440011""","*",137,108,645,52,2104,3051,"*"
"East Lyme School District","=""0450011""","*",267,66,150,69,2233,2792,"*"
"East Windsor School District","=""0470011""","*",50,120,197,"*",691,1105,0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","*","*",23,70,13,308,425,0
"Eastford School District","=""0390011""","*","*","*","*",6,121,134,0
"Easton School District","=""0460011""","*",44,10,54,19,792,922,"*"
"EdAdvance","=""2420014""",7,"*",9,49,"*",148,227,9
"Ellington School District","=""0480011""","*",193,95,115,"*",2158,2633,0
"Elm City College Preparatory School District","=""2890013""","*","*",520,161,10,10,703,0
"Elm City Montessori School District","=""2910013""",0,"*",53,26,"*",31,113,0
"Enfield School District","=""0490011""",26,159,306,665,240,3782,5189,11
"Essex School District","=""0500011""",0,"*","*",26,14,366,420,0
"Explorations District","=""2720013""","*",0,"*",15,"*",72,92,0
"Fairfield School District","=""0510011""",7,594,225,906,334,8019,10091,6
"Farmington School District","=""0520011""",6,771,233,286,56,2744,4096,0
"Franklin School District","=""0530011""","*","*",0,9,"*",150,170,"*"
"Glastonbury School District","=""0540011""",9,588,183,522,255,4505,6069,7
"Granby School District","=""0560011""",8,26,95,69,63,1700,1961,0
"Great Oaks Charter School District","=""2940013""",0,"*",114,98,"*",8,226,0
"Greenwich School District","=""0570011""",11,738,247,1805,338,5680,8825,6
"Griswold School District","=""0580011""","*",35,51,127,120,1534,1891,"*"
"Groton School District","=""0590011""",37,303,384,837,396,2551,4519,11
"Guilford School District","=""0600011""","*",141,46,202,122,2900,3419,"*"
"Hamden School District","=""0620011""","*",479,1580,1036,256,2188,5547,"*"
"Hampton School District","=""0630011""",0,0,"*","*","*",94,101,0
"Hartford School District","=""0640011""",41,731,6565,11267,432,2392,21463,35
"Hartland School District","=""0650011""","*","*","*","*","*",174,188,"*"
"Hebron School District","=""0670011""","*",9,"*",40,15,661,732,0
"Highville Charter School District","=""2860013""",0,0,430,17,8,7,462,0
"Integrated Day Charter School District","=""2640013""","*",36,"*",44,31,192,331,0
"Interdistrict School for Arts and Comm District","=""2650013""","*","*",46,130,28,60,271,"*"
"Jumoke Academy District","=""2610013""","*",0,692,33,"*","*",734,0
"Kent School District","=""0680011""",0,6,0,24,11,196,237,0
"Killingly School District","=""0690011""",50,84,100,193,6,2163,2596,0
"Learn","=""2450014""",8,60,335,837,195,931,2373,7
"Lebanon School District","=""0710011""",14,15,19,50,"*",948,1054,"*"
"Ledyard School District","=""0720011""",91,"*",134,237,106,1786,2445,"*"
"Lisbon School District","=""0730011""","*","*","*",27,25,327,392,"*"
"Litchfield School District","=""0740011""",0,18,"*",48,10,882,971,"*"
"Madison School District","=""0760011""","*",116,21,109,88,2684,3027,"*"
"Manchester School District","=""0770011""",21,503,1384,1676,222,2427,6243,10
"Mansfield School District","=""0780011""","*",155,"*",134,49,881,1251,0
"Marlborough School District","=""0790011""",0,"*","*",34,15,498,556,0
"Meriden School District","=""0800011""",59,320,713,4143,199,2535,7993,24
"Middletown School District","=""0830011""","*",215,953,815,277,2424,4701,"*"
"Milford School District","=""0840011""",7,595,296,386,53,4808,6152,7
"Monroe School District","=""0850011""","*",139,57,236,85,2654,3180,"*"
"Montville School District","=""0860011""",31,216,58,208,246,1491,2256,6
"Naugatuck School District","=""0880011""","*",132,309,906,210,2675,4246,"*"
"New Beginnings Inc Family Academy District","=""2800013""",0,"*",319,148,"*",28,499,0
"New Britain School District","=""0890011""",12,238,1160,6321,240,2093,10071,7
"New Canaan School District","=""0900011""","*",238,56,165,80,3678,4227,"*"
"New Fairfield School District","=""0910011""",7,49,33,199,55,2154,2497,0
"New Hartford School District","=""0920011""",0,"*","*",14,9,437,470,0
"New Haven School District","=""0930011""",39,514,8778,9091,177,3116,21725,10
"New London School District","=""0950011""",22,57,689,1705,270,627,3381,11
"New Milford School District","=""0960011""","*",157,"*",503,125,3364,4245,0
"Newington School District","=""0940011""","*",369,220,749,189,2523,4060,"*"
"Newtown School District","=""0970011""","*",166,"*",232,77,4051,4588,0
"Norfolk School District","=""0980011""",0,0,0,"*","*",111,116,0
"North Branford School District","=""0990011""","*",46,43,99,"*",1691,1889,0
"North Canaan School District","=""1000011""",0,"*","*",34,"*",216,260,0
"North Haven School District","=""1010011""","*",221,118,208,74,2562,3188,"*"
"North Stonington School District","=""1020011""","*",20,15,33,14,638,728,"*"
"Norwalk School District","=""1030011""",12,563,1989,4958,221,3656,11409,10
"Norwich Free Academy District","=""9010022""",28,174,330,332,63,1333,2282,22
"Norwich School District","=""1040011""",26,272,664,1078,378,1281,3705,6
"Odyssey Community School District","=""2630013""",0,44,67,48,19,150,328,0
"Old Saybrook School District","=""1060011""",0,59,"*",120,33,1113,1346,"*"
"Orange School District","=""1070011""","*",144,"*",54,36,918,1179,0
"Oxford School District","=""1080011""","*",39,22,119,42,1746,1974,"*"
"Park City Prep Charter School District","=""2830013""",0,"*",189,149,"*",19,360,0
"Path Academy District","=""2930013""","*",0,"*",102,0,32,143,0
"Plainfield School District","=""1090011""",21,53,88,71,18,2071,2330,8
"Plainville School District","=""1100011""","*",55,124,383,92,1750,2409,"*"
"Plymouth School District","=""1110011""","*",22,"*",108,22,1348,1522,0
"Pomfret School District","=""1120011""",0,13,6,11,7,365,402,0
"Portland School District","=""1130011""","*","*",38,139,64,1097,1360,0
"Preston School District","=""1140011""",9,"*",15,29,20,361,445,"*"
"Putnam School District","=""1160011""","*",10,19,106,63,993,1195,"*"
"Redding School District","=""1170011""","*",27,8,53,51,813,954,"*"
"Regional School District 01","=""2010012""",0,7,10,24,10,395,446,0
"Regional School District 04","=""2040012""","*",17,"*",54,20,823,928,0
"Regional School District 05","=""2050012""","*",292,72,40,56,1797,2270,"*"
"Regional School District 06","=""2060012""","*",7,13,29,27,903,986,"*"
"Regional School District 07","=""2070012""","*",7,"*",15,6,1064,1100,0
"Regional School District 08","=""2080012""","*",30,"*",27,10,1523,1601,0
"Regional School District 09","=""2090012""","*",36,8,56,30,891,1028,"*"
"Regional School District 10","=""2100012""","*",48,19,71,9,2262,2416,"*"
"Regional School District 11","=""2110012""",0,"*",6,24,6,212,253,"*"
"Regional School District 12","=""2120012""","*",7,9,50,12,650,732,"*"
"Regional School District 13","=""2130012""","*",33,"*",79,63,1565,1751,0
"Regional School District 14","=""2140012""","*",41,18,48,"*",1648,1768,0
"Regional School District 15","=""2150012""",6,203,64,173,54,3287,3793,6
"Regional School District 16","=""2160012""","*",34,59,119,14,2040,2270,"*"
"Regional School District 17","=""2170012""","*",47,"*",30,38,1988,2133,0
"Regional School District 18","=""2180012""","*",41,"*",61,26,1204,1339,0
"Regional School District 19","=""2190012""","*",51,26,105,20,1006,1213,"*"
"Ridgefield School District","=""1180011""","*",310,28,322,129,4255,5052,"*"
"Rocky Hill School District","=""1190011""","*",604,78,230,"*",1631,2610,0
"Salem School District","=""1210011""","*",11,9,21,7,330,384,"*"
"Salisbury School District","=""1220011""",0,"*","*",19,22,223,274,0
"Scotland School District","=""1230011""",0,0,"*",15,"*",101,119,0
"Seymour School District","=""1240011""","*",69,82,278,28,1752,2215,"*"
"Sharon School District","=""1250011""",0,"*","*","*",6,146,160,0
"Shelton School District","=""1260011""","*",319,211,572,139,3672,4925,"*"
"Sherman School District","=""1270011""","*",9,"*","*","*",314,337,0
"Side By Side Charter School District","=""2700013""",0,"*",69,107,13,37,236,"*"
"Simsbury School District","=""1280011""",0,267,223,270,"*",3341,4190,"*"
"Somers School District","=""1290011""","*",22,29,57,22,1303,1435,"*"
"South Windsor School District","=""1320011""","*",671,260,325,164,2724,4156,"*"
"Southington School District","=""1310011""",9,220,133,478,189,5548,6583,6
"Sprague School District","=""1330011""",6,"*","*",44,37,268,362,"*"
"Stafford School District","=""1340011""","*",19,18,89,30,1380,1544,"*"
"Stamford Academy District","=""2820013""",0,0,81,58,"*","*",150,0
"Stamford Charter School for Excellence District","=""2960013""",0,"*",106,37,0,"*",164,0
"Stamford School District","=""1350011""",9,1396,2811,6399,246,5068,15946,17
"Sterling School District","=""1360011""","*","*","*",20,18,404,454,0
"Stonington School District","=""1370011""","*",56,33,73,65,1932,2174,"*"
"Stratford School District","=""1380011""","*",227,1524,1918,204,3016,6901,"*"
"Suffield School District","=""1390011""","*",79,92,136,"*",2010,2358,0
"The Bridge Academy District","=""2690013""","*","*",162,102,"*","*",279,"*"
"The Gilbert School District","=""9020022""","*",63,"*",58,20,402,553,0
"The Woodstock Academy District","=""9030022""","*",107,"*",22,27,858,1022,0
"Thomaston School District","=""1400011""","*",7,7,27,20,837,900,"*"
"Thompson School District","=""1410011""","*","*",8,45,35,908,1007,0
"Tolland School District","=""1420011""","*",88,48,81,11,2364,2600,"*"
"Torrington School District","=""1430011""",8,149,149,956,147,2850,4266,7
"Trailblazers Academy District","=""2780013""",0,"*",57,62,"*","*",125,0
"Trumbull School District","=""1440011""","*",559,324,612,41,5134,6687,"*"
"Unified School District #1","=""3360015""",0,"*",219,121,"*",42,390,0
"Unified School District #2","=""3470015""",0,"*",53,53,"*",57,173,0
"Union School District","=""1450011""",0,"*","*","*",0,76,80,0
"Vernon School District","=""1460011""","*",208,359,466,"*",2027,3204,0
"Voluntown School District","=""1470011""","*","*",7,8,11,268,303,"*"
"Wallingford School District","=""1480011""",12,329,134,972,40,4527,6020,6
"Waterbury School District","=""1510011""",102,309,4299,9931,631,3584,18862,6
"Waterford School District","=""1520011""",20,123,86,231,73,1995,2528,0
"Watertown School District","=""1530011""","*",58,"*",201,82,2425,2828,0
"West Hartford School District","=""1550011""","*",1106,783,1687,399,5766,9757,"*"
"West Haven School District","=""1560011""","*",222,1310,2037,198,2059,5842,"*"
"Westbrook School District","=""1540011""","*",13,"*",107,12,641,782,0
"Weston School District","=""1570011""","*",113,37,94,95,2066,2408,"*"
"Westport School District","=""1580011""","*",359,99,263,185,4805,5714,"*"
"Wethersfield School District","=""1590011""","*",170,130,576,81,2684,3651,"*"
"Willington School District","=""1600011""",0,"*","*",16,17,396,435,0
"Wilton School District","=""1610011""","*",380,43,138,106,3491,4173,"*"
"Winchester School District","=""1620011""","*",14,16,75,"*",470,589,0
"Windham School District","=""1630011""","*",24,120,2254,69,819,3296,"*"
"Windsor Locks School District","=""1650011""","*",140,180,196,78,1039,1638,"*"
"Windsor School District","=""1640011""","*",155,1457,521,176,902,3214,"*"
"Wolcott School District","=""1660011""","*","*",46,136,76,2044,2346,0
"Woodbridge School District","=""1670011""","*",100,27,52,22,571,775,"*"
"Woodstock School District","=""1690011""",0,9,12,26,34,781,862,0
"Total","=""""",1492,26857,69658,125110,14803,303366,541815,529

