"Student Counts by District and Race"
"All Districts"
"2022-23"

"",,"Race",,,,,,,
"District","District Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"Madison School District","=""0760011""","*",83,19,169,"*",97,2070,2444
"Manchester School District","=""0770011""",35,504,1526,2113,19,166,1829,6192
"Mansfield School District","=""0780011""","*",119,39,169,0,"*",661,1027
"Marlborough School District","=""0790011""","*",8,"*",42,0,10,388,456
"Meriden School District","=""0800011""","*",167,1003,5200,"*",366,1880,8630
"Middletown School District","=""0830011""",18,223,971,786,17,470,1929,4414
"Milford School District","=""0840011""","*",485,260,836,"*",223,3569,5382
"Monroe School District","=""0850011""","*",176,119,531,"*",135,2429,3398
"Montville School District","=""0860011""","*",129,79,332,"*",244,1213,2017
"Naugatuck School District","=""0880011""","*",100,530,1620,"*",227,1846,4337
"New Beginnings Inc Family Academy District","=""2800013""",0,0,218,182,0,"*","*",406
"New Britain School District","=""0890011""",7,197,1074,6582,6,462,1389,9717
"New Canaan School District","=""0900011""","*",291,55,260,"*",219,3332,4168
"New Fairfield School District","=""0910011""","*",23,49,377,"*",60,1624,2143
"New Hartford School District","=""0920011""",0,"*",0,34,0,"*",395,443
"New Haven School District","=""0930011""",39,622,6587,9286,9,597,2010,19150
"New London School District","=""0950011""",15,37,481,1694,6,337,378,2948
"New Milford School District","=""0960011""","*",129,125,854,"*",76,2487,3683
"Newington School District","=""0940011""","*",379,226,1010,"*",211,2104,3937
"Newtown School District","=""0970011""","*",93,93,471,"*",66,3272,4003
"Norfolk School District","=""0980011""",0,0,0,"*",0,"*",57,66
"North Branford School District","=""0990011""","*",27,"*",139,0,38,1307,1538
"North Canaan School District","=""1000011""",0,"*","*",36,0,7,188,238
"North Haven School District","=""1010011""","*",259,161,409,"*",90,2259,3187
"North Stonington School District","=""1020011""","*",9,16,38,"*",14,675,759
"Norwalk School District","=""1030011""",12,449,1597,6368,8,392,2688,11514
"Norwich Free Academy District","=""9010022""",39,160,226,563,7,129,982,2106
"Norwich School District","=""1040011""",14,211,612,1241,17,321,932,3348
"Odyssey Community School District","=""2630013""","*",86,85,71,0,"*",101,374
"Old Saybrook School District","=""1060011""",0,38,"*",150,"*",36,839,1070
"Orange School District","=""1070011""","*",168,29,93,"*",66,923,1281
