"Student Counts by District and Race"
"All Districts"
"2008-09"

"",,"Race",,,,,,
"New Canaan School District","=""0900011""","*",85,3855,4104,"*",118,0
"New Fairfield School District","=""0910011""","*",111,2861,3056,"*",47,0
"New Hartford School District","=""0920011""","*","*",608,620,0,"*",0
"New Haven School District","=""0930011""",9801,7252,2433,19848,"*",326,"*"
"New London School District","=""0950011""",996,1415,563,3105,66,"*","*"
"New Milford School District","=""0960011""","*",336,4267,4922,"*",201,0
"Newington School District","=""0940011""",272,443,3439,4533,13,366,0
"Newtown School District","=""0970011""","*",178,5177,5612,"*",181,0
"Norfolk School District","=""0980011""","*","*",145,157,0,"*",0
"North Branford School District","=""0990011""",46,67,2236,2401,8,44,0
"North Canaan School District","=""1000011""","*","*",318,338,0,0,0
"North Haven School District","=""1010011""",197,"*",3206,3836,"*",250,0
"North Stonington School District","=""1020011""",18,18,723,795,17,19,0
"Norwalk School District","=""1030011""",2484,3495,4331,10842,24,508,0
"Norwich Free Academy District","=""9010022""",335,259,1694,2488,36,164,0
"Norwich School District","=""1040011""",942,855,1813,4004,108,286,0
"Odyssey Community School District","=""2630013""",52,36,83,178,"*","*",0
"Old Saybrook School District","=""1060011""","*",58,1439,1628,"*",91,0
"Orange School District","=""1070011""","*",44,1090,1320,"*",148,0
"Oxford School District","=""1080011""",33,68,1881,2027,6,39,0
"Park City Prep Charter School District","=""2830013""",150,67,"*",224,"*","*",0
"Plainfield School District","=""1090011""",86,131,2420,2720,"*",45,"*"
"Plainville School District","=""1100011""",161,187,2121,2542,"*","*",0
"Plymouth School District","=""1110011""",32,57,1757,1864,"*","*",0
"Pomfret School District","=""1120011""",9,10,513,545,0,13,0
"Portland School District","=""1130011""",58,47,1297,1432,8,22,0
"Preston School District","=""1140011""",8,16,436,494,14,20,0
"Putnam School District","=""1160011""",36,46,1152,1254,7,13,0
"Redding School District","=""1170011""","*",27,1202,1304,"*",61,0
"Regional School District 01","=""2010012""",8,15,538,563,"*","*",0
"Regional School District 04","=""2040012""","*",28,898,959,"*",19,0
"Regional School District 05","=""2050012""","*",71,2135,2504,"*",235,0
"Regional School District 06","=""2060012""",13,17,1045,1084,"*","*",0
"Regional School District 07","=""2070012""","*",11,1171,1197,"*",10,0
"Regional School District 08","=""2080012""","*",24,1693,1759,"*",27,0
"Regional School District 09","=""2090012""","*",29,904,967,"*",24,0
"Regional School District 10","=""2100012""","*",67,2720,2862,"*",54,0
"Regional School District 11","=""2110012""","*",11,299,318,"*","*",0
"Regional School District 12","=""2120012""","*",28,951,1014,"*",20,0
"Regional School District 13","=""2130012""",21,50,2026,2143,6,40,0
"Regional School District 14","=""2140012""","*",54,2039,2142,"*",27,0
"Regional School District 15","=""2150012""",51,108,4218,4559,18,164,0
"Regional School District 16","=""2160012""",58,69,2468,2618,"*","*",0
"Regional School District 17","=""2170012""","*",28,2453,2547,"*",43,0
"Regional School District 18","=""2180012""","*",31,1377,1470,"*",48,0
"Regional School District 19","=""2190012""",29,45,1042,1181,7,58,0
"Ridgefield School District","=""1180011""","*",168,5125,5551,"*",213,0
"Rocky Hill School District","=""1190011""","*",162,2054,2625,"*",309,0
"Salem School District","=""1210011""",14,"*",477,523,"*",24,0
"Salisbury School District","=""1220011""",17,7,288,319,0,7,0
"Scotland School District","=""1230011""","*","*",182,190,0,0,0
"Seymour School District","=""1240011""",91,188,2214,2582,9,80,0
"Sharon School District","=""1250011""","*","*",190,196,0,"*",0
"Shelton School District","=""1260011""",180,372,4726,5570,20,272,0
"Sherman School District","=""1270011""",7,"*",438,460,"*",8,0
"Side By Side Charter School District","=""2700013""",77,68,58,229,0,26,0
"Simsbury School District","=""1280011""",188,166,4352,4950,9,235,0
"Somers School District","=""1290011""",41,32,1631,1729,0,25,0
"South Windsor School District","=""1320011""",286,250,3903,4839,12,388,0
"Southington School District","=""1310011""",152,288,6187,6866,19,220,0
"Sprague School District","=""1330011""",25,30,288,355,"*","*",0
"Stafford School District","=""1340011""","*",59,1790,1918,"*",35,0
"Stamford Academy District","=""2820013""",87,37,7,131,0,0,0
"Stamford School District","=""1350011""",3192,4711,6003,14956,10,1040,0
"Sterling School District","=""1360011""","*",14,479,513,9,"*",0
"Stonington School District","=""1370011""",74,68,2258,2526,36,90,0
"Stratford School District","=""1380011""",1693,1422,3996,7367,36,220,0
"Suffield School District","=""1390011""",55,57,2416,2579,"*","*",0
"The Bridge Academy District","=""2690013""",180,77,"*",262,0,"*",0
"The Gilbert School District","=""9020022""",12,32,353,400,"*","*",0
"The Woodstock Academy District","=""9030022""",7,26,1130,1184,9,12,0
"Thomaston School District","=""1400011""",9,15,1197,1229,0,8,0
"Thompson School District","=""1410011""",20,37,1313,1406,19,17,0
"Tolland School District","=""1420011""",65,49,2927,3159,10,108,0
"Torrington School District","=""1430011""",307,648,3632,4758,15,156,0
"Trailblazers Academy District","=""2780013""",94,50,6,150,0,0,0
"Trumbull School District","=""1440011""",286,420,5848,6956,9,393,0
"Unified School District #1","=""3360015""",543,344,127,1018,"*","*",0
"Unified School District #2","=""3470015""",125,105,"*",336,0,"*",0
"Union School District","=""1450011""","*","*",76,79,0,0,0
"Vernon School District","=""1460011""",429,348,2612,3606,16,201,0
"Voluntown School District","=""1470011""",8,11,272,309,11,7,0
"Wallingford School District","=""1480011""",189,693,5653,6828,"*",283,"*"
"Waterbury School District","=""1510011""",5172,8107,4753,18437,62,343,0
"Waterford School District","=""1520011""",133,170,2406,2900,27,164,0
"Watertown School District","=""1530011""",55,133,3062,3346,22,74,0
"West Hartford School District","=""1550011""",1005,1482,6497,10129,"*",1112,"*"
"West Haven School District","=""1560011""",1558,1527,2933,6313,33,262,0
"Westbrook School District","=""1540011""","*",37,900,970,"*",19,0
"Weston School District","=""1570011""","*",54,2392,2586,"*",91,0
"Westport School District","=""1580011""",88,158,5284,5782,12,240,0
"Wethersfield School District","=""1590011""",205,478,2977,3832,13,159,0
"Willington School District","=""1600011""",6,23,524,568,0,15,0
"Wilton School District","=""1610011""","*",87,4026,4396,"*",238,0
"Winchester School District","=""1620011""",41,84,850,1004,12,17,0
"Windham School District","=""1630011""",220,2122,1114,3523,28,39,0
"Windsor Locks School District","=""1650011""",174,"*",1416,1858,"*",144,0
"Windsor School District","=""1640011""",2072,457,1262,4004,14,199,0
"Wolcott School District","=""1660011""",54,103,2653,2865,"*","*",0
"Woodbridge School District","=""1670011""",19,31,622,756,6,78,0
"Woodstock School District","=""1690011""",7,33,861,930,10,19,0
"Total","=""""",79567,98305,367337,571048,2141,23682,16

