"Student Counts by District and Race"
"All Districts"
"2009-10"

"",,"Race",,,,,,
"District","District Code","Black, not of Hispanic Origin","Hispanic/Latino","White, not of Hispanic Origin","Total","American Indian","Asian","Not Reported"
"New Beginnings Inc Family Academy District","=""2800013""",298,55,7,360,0,0,0
"New Britain School District","=""0890011""",1825,5942,2283,10318,12,256,0
"New Canaan School District","=""0900011""",43,95,3814,4091,7,132,0
"New Fairfield School District","=""0910011""","*",114,2827,3031,"*",46,0
"New Hartford School District","=""0920011""","*","*",620,632,0,"*",0
"New Haven School District","=""0930011""",9539,7381,2609,19947,"*",378,"*"
"New London School District","=""0950011""",975,1392,540,3020,"*",58,"*"
"New Milford School District","=""0960011""","*",351,4219,4883,"*",200,0
"Newington School District","=""0940011""",293,461,3339,4492,12,387,0
"Newtown School District","=""0970011""","*",178,5066,5510,"*",190,0
"Norfolk School District","=""0980011""","*","*",136,144,0,"*",0
"North Branford School District","=""0990011""",44,69,2171,2342,7,51,0
"North Canaan School District","=""1000011""","*",14,309,328,0,"*",0
"North Haven School District","=""1010011""",182,"*",3120,3712,"*",239,0
"North Stonington School District","=""1020011""",17,24,712,792,22,17,0
"Norwalk School District","=""1030011""",2465,3653,4299,10962,23,522,0
"Norwich Free Academy District","=""9010022""",342,282,1600,2421,38,159,0
"Norwich School District","=""1040011""",940,857,1730,3946,111,308,0
"Odyssey Community School District","=""2630013""",48,33,89,180,"*","*",0
"Old Saybrook School District","=""1060011""","*",57,1423,1599,"*",87,0
"Orange School District","=""1070011""","*",42,1075,1301,"*",151,0
"Oxford School District","=""1080011""",41,67,2010,2163,"*","*",0
"Park City Prep Charter School District","=""2830013""",150,87,"*",242,0,"*",0
"Plainfield School District","=""1090011""",86,129,2420,2737,"*",60,"*"
"Plainville School District","=""1100011""",164,212,2103,2554,"*","*",0
"Plymouth School District","=""1110011""",34,60,1689,1799,0,16,0
"Pomfret School District","=""1120011""",9,13,504,539,0,13,0
"Portland School District","=""1130011""",66,52,1286,1439,8,27,0
"Preston School District","=""1140011""","*","*",392,438,16,15,0
"Putnam School District","=""1160011""",36,50,1131,1239,8,14,0
"Redding School District","=""1170011""","*",32,1154,1269,"*",64,0
"Regional School District 01","=""2010012""",8,20,484,516,"*","*",0
"Regional School District 04","=""2040012""","*",28,919,981,"*",19,0
"Regional School District 05","=""2050012""","*",82,2106,2498,"*",232,0
"Regional School District 06","=""2060012""",14,18,1032,1076,"*","*",0
"Regional School District 07","=""2070012""","*",13,1140,1172,"*",10,0
"Regional School District 08","=""2080012""","*",32,1664,1743,"*",31,0
"Regional School District 09","=""2090012""","*",24,909,973,"*",28,0
"Regional School District 10","=""2100012""","*",67,2688,2831,"*",54,0
"Regional School District 11","=""2110012""","*",10,285,300,"*","*",0
"Regional School District 12","=""2120012""","*",24,917,973,"*",17,0
"Regional School District 13","=""2130012""",20,51,1975,2094,6,42,0
"Regional School District 14","=""2140012""","*",48,2031,2129,"*",27,0
"Regional School District 15","=""2150012""",51,126,4188,4558,15,178,0
"Regional School District 16","=""2160012""",58,76,2437,2594,"*","*",0
"Regional School District 17","=""2170012""","*",27,2404,2503,"*",43,0
"Regional School District 18","=""2180012""","*",36,1389,1490,"*",50,0
"Regional School District 19","=""2190012""",34,54,1035,1201,6,72,0
"Ridgefield School District","=""1180011""","*",188,4994,5456,"*",224,0
"Rocky Hill School District","=""1190011""","*",174,2033,2649,"*",334,0
"Salem School District","=""1210011""",13,8,446,494,0,27,0
"Salisbury School District","=""1220011""",15,11,277,311,0,8,0
"Scotland School District","=""1230011""","*","*",149,161,0,0,0
"Seymour School District","=""1240011""",86,200,2066,2442,9,81,0
"Sharon School District","=""1250011""","*","*",197,205,0,"*",0
"Shelton School District","=""1260011""",178,398,4605,5480,21,278,0
"Sherman School District","=""1270011""",7,"*",424,446,"*",8,0
"Side By Side Charter School District","=""2700013""",77,73,56,232,"*","*",0
"Simsbury School District","=""1280011""",208,167,4242,4886,12,257,0
"Somers School District","=""1290011""",41,31,1563,1660,0,25,0
"South Windsor School District","=""1320011""",290,263,3716,4696,13,414,0
"Southington School District","=""1310011""",154,303,6130,6839,20,232,0
"Sprague School District","=""1330011""",31,25,284,352,"*","*",0
"Stafford School District","=""1340011""","*",63,1719,1854,"*",38,0
"Stamford Academy District","=""2820013""",89,33,"*",131,0,"*",0
"Stamford School District","=""1350011""",3171,4856,5981,15134,11,1115,0
"Sterling School District","=""1360011""","*",8,485,508,"*",8,0
"Stonington School District","=""1370011""",71,69,2261,2538,38,99,0
"Stratford School District","=""1380011""",1712,1463,3932,7381,40,234,0
"Suffield School District","=""1390011""",62,78,2375,2570,"*","*",0
"The Bridge Academy District","=""2690013""",180,79,"*",263,0,"*",0
"The Gilbert School District","=""9020022""",10,41,326,381,"*","*",0
"The Woodstock Academy District","=""9030022""",11,27,1090,1153,14,11,0
"Thomaston School District","=""1400011""",7,15,1147,1178,"*","*",0
"Thompson School District","=""1410011""",21,39,1250,1342,16,16,0
