"Student Counts by District and Race"
"All Districts"
"2014-15"

"",,"Race",,,,,,,
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","*","*",22,71,8,299,411,0
"Eastford School District","=""0390011""","*","*",0,"*","*",129,139,0
"Easton School District","=""0460011""","*",52,8,51,26,797,936,"*"
"EdAdvance","=""2420014""",18,6,8,38,"*",173,250,"*"
"Ellington School District","=""0480011""","*",165,103,122,"*",2191,2658,0
"Elm City College Preparatory School District","=""2890013""","*","*",473,146,"*",8,635,0
"Elm City Montessori School District","=""2910013""",0,"*",29,19,"*",19,70,0
"Enfield School District","=""0490011""",19,145,285,604,243,3870,5174,8
"Essex School District","=""0500011""",0,"*","*",22,19,397,454,0
"Explorations District","=""2720013""","*",0,"*","*","*",77,88,0
"Fairfield School District","=""0510011""",10,564,256,908,307,8162,10213,6
"Farmington School District","=""0520011""",7,700,224,264,34,2791,4020,0
"Franklin School District","=""0530011""",0,"*",0,9,"*",153,170,"*"
"Glastonbury School District","=""0540011""","*",588,196,472,237,4643,6148,"*"
"Granby School District","=""0560011""",7,29,93,69,55,1717,1970,0
"Great Oaks Charter School District","=""2940013""",0,"*",71,50,"*","*",127,0
"Greenwich School District","=""0570011""",7,743,253,1740,317,5747,8813,6
"Griswold School District","=""0580011""","*",30,56,120,107,1563,1897,"*"
"Groton School District","=""0590011""",44,316,423,841,327,2605,4565,9
"Guilford School District","=""0600011""","*",132,43,200,97,2950,3427,"*"
"Hamden School District","=""0620011""","*",457,1655,1018,242,2298,5680,"*"
"Hampton School District","=""0630011""",0,"*",0,10,"*",93,105,0
"Hartford School District","=""0640011""",62,699,6751,11091,621,2686,21952,42
"Hartland School District","=""0650011""","*","*","*","*","*",190,203,0
"Hebron School District","=""0670011""","*","*","*",35,23,721,786,0
"Highville Charter School District","=""2860013""",0,"*",382,15,"*","*",403,0
"Integrated Day Charter School District","=""2640013""","*",36,28,46,"*",193,331,0
"Interdistrict School for Arts and Comm District","=""2650013""","*","*",36,129,25,64,262,0
"Jumoke Academy District","=""2610013""","*",0,694,11,6,"*",716,"*"
"Kent School District","=""0680011""",0,10,0,24,13,211,258,0
"Killingly School District","=""0690011""",28,46,34,129,104,2236,2577,0
"Learn","=""2450014""",10,68,301,718,187,978,2270,8
"Lebanon School District","=""0710011""",17,16,22,44,"*",1001,1105,"*"
"Ledyard School District","=""0720011""",101,87,155,240,103,1848,2540,6
"Lisbon School District","=""0730011""","*","*","*",25,29,336,403,"*"
"Litchfield School District","=""0740011""","*",16,"*",43,8,899,983,9
"Madison School District","=""0760011""","*",120,22,99,90,2830,3171,"*"
"Manchester School District","=""0770011""",26,517,1355,1670,238,2454,6267,7
"Mansfield School District","=""0780011""","*",139,30,121,45,904,1242,"*"
"Marlborough School District","=""0790011""",0,"*","*",26,19,547,600,0
"Meriden School District","=""0800011""",45,308,836,4081,182,2625,8100,23
"Middletown School District","=""0830011""",14,210,962,851,261,2490,4794,6
"Milford School District","=""0840011""",7,590,305,372,21,4974,6278,9
"Monroe School District","=""0850011""",12,137,52,241,86,2771,3299,0
"Montville School District","=""0860011""",41,214,67,203,230,1594,2356,7
"Naugatuck School District","=""0880011""","*",142,305,873,201,2783,4316,"*"
"New Beginnings Inc Family Academy District","=""2800013""",0,0,321,127,"*","*",473,0
"New Britain School District","=""0890011""",11,251,1227,6237,221,2147,10101,7
"New Canaan School District","=""0900011""",7,217,55,137,77,3720,4213,0
"New Fairfield School District","=""0910011""",7,55,39,196,41,2324,2662,0
"New Hartford School District","=""0920011""",0,11,0,16,14,465,506,0
"New Haven School District","=""0930011""",38,496,9091,8729,124,3221,21712,13
"New London School District","=""0950011""",20,44,710,1618,245,608,3253,8
"New Milford School District","=""0960011""","*",157,"*",492,124,3494,4362,0
"Newington School District","=""0940011""","*",373,221,731,186,2607,4127,"*"
"Newtown School District","=""0970011""","*",181,61,222,78,4222,4767,"*"
"Norfolk School District","=""0980011""",0,0,0,"*","*",113,116,0
"North Branford School District","=""0990011""","*",53,45,88,"*",1772,1969,0
"North Canaan School District","=""1000011""",0,"*","*",31,9,237,280,0
"North Haven School District","=""1010011""","*",235,137,220,"*",2641,3312,0
"North Stonington School District","=""1020011""","*",15,18,29,14,654,741,"*"
"Norwalk School District","=""1030011""",9,555,2045,4753,179,3762,11311,8
"Norwich Free Academy District","=""9010022""",44,185,366,252,"*",1439,2317,"*"
"Norwich School District","=""1040011""",26,268,673,1065,383,1338,3764,11
"Odyssey Community School District","=""2630013""","*",40,72,51,"*",153,328,0
"Old Saybrook School District","=""1060011""",0,68,24,102,35,1196,1425,0
"Orange School District","=""1070011""","*",136,"*",48,31,937,1180,0
"Oxford School District","=""1080011""","*",40,22,109,41,1762,1979,"*"
"Park City Prep Charter School District","=""2830013""",0,"*",187,150,"*",20,360,0
"Path Academy District","=""2930013""",0,0,7,94,0,31,132,0
"Plainfield School District","=""1090011""",22,61,97,41,16,2107,2351,7
"Plainville School District","=""1100011""","*",54,114,358,89,1792,2412,"*"
"Plymouth School District","=""1110011""","*",18,21,90,"*",1409,1556,0
"Pomfret School District","=""1120011""","*",11,"*",11,8,373,410,0
"Portland School District","=""1130011""","*",21,41,126,50,1094,1334,"*"
"Preston School District","=""1140011""",13,"*",11,18,16,358,426,"*"
"Putnam School District","=""1160011""","*",13,18,97,64,1055,1252,"*"
"Redding School District","=""1170011""","*",28,6,47,58,860,1001,"*"
"Regional School District 01","=""2010012""",0,"*",10,25,"*",363,406,0
"Regional School District 04","=""2040012""","*",17,"*",56,18,867,974,0
"Regional School District 05","=""2050012""","*",274,71,111,34,1829,2328,"*"
"Regional School District 06","=""2060012""","*",6,12,32,16,898,971,"*"
"Regional School District 07","=""2070012""","*",7,"*",18,"*",1045,1076,0
"Regional School District 08","=""2080012""","*",27,10,39,"*",1574,1661,0
"Regional School District 09","=""2090012""",9,39,11,58,21,927,1065,0
"Regional School District 10","=""2100012""","*",51,14,71,9,2332,2484,"*"
"Regional School District 11","=""2110012""","*","*",8,28,"*",233,278,"*"
"Regional School District 12","=""2120012""","*",9,7,36,8,686,752,"*"
"Regional School District 13","=""2130012""","*",31,"*",82,64,1647,1832,0
"Regional School District 14","=""2140012""","*",39,19,49,"*",1685,1803,0
"Regional School District 15","=""2150012""","*",216,57,172,43,3371,3868,"*"
"Regional School District 16","=""2160012""","*",32,57,122,8,2107,2329,"*"
"Regional School District 17","=""2170012""","*",46,31,"*",41,2039,2186,0
"Regional School District 18","=""2180012""","*",42,"*",51,29,1226,1354,0
"Regional School District 19","=""2190012""","*",55,22,94,18,1011,1204,"*"
"Ridgefield School District","=""1180011""","*",315,32,305,96,4423,5178,"*"
"Rocky Hill School District","=""1190011""","*",505,72,212,"*",1651,2487,0
"Salem School District","=""1210011""","*",18,14,16,8,337,399,"*"
"Salisbury School District","=""1220011""",0,"*","*",20,24,217,273,0
"Scotland School District","=""1230011""",0,0,"*",12,"*",113,129,0
"Seymour School District","=""1240011""","*",86,87,249,25,1833,2286,"*"
"Sharon School District","=""1250011""",0,"*","*","*","*",161,177,0
"Shelton School District","=""1260011""","*",309,217,477,70,3864,4947,"*"
"Sherman School District","=""1270011""","*","*",0,11,14,317,349,0
"Side By Side Charter School District","=""2700013""",0,13,70,101,"*",37,235,"*"
"Simsbury School District","=""1280011""",0,253,231,239,"*",3515,4307,"*"
"Somers School District","=""1290011""","*",25,33,51,22,1347,1480,"*"
"South Windsor School District","=""1320011""","*",620,261,315,151,2855,4216,"*"
"Southington School District","=""1310011""","*",221,123,449,171,5654,6626,"*"
"Sprague School District","=""1330011""","*","*",6,48,30,277,366,0
"Stafford School District","=""1340011""","*",22,21,82,38,1412,1586,"*"
"Stamford Academy District","=""2820013""",0,"*",82,51,0,"*",141,0
"Stamford School District","=""1350011""","*",1400,2983,6229,188,5272,16085,"*"
"Sterling School District","=""1360011""","*","*","*",14,17,425,467,0
"Stonington School District","=""1370011""","*",63,35,83,44,2040,2267,"*"
"Stratford School District","=""1380011""","*",230,1539,1901,207,3165,7060,"*"
"Suffield School District","=""1390011""","*",74,84,119,30,2087,2397,"*"
"The Bridge Academy District","=""2690013""","*","*",162,99,"*","*",275,"*"
"The Gilbert School District","=""9020022""","*",48,"*",59,19,412,552,0
"The Woodstock Academy District","=""9030022""","*",105,"*",24,24,853,1012,0
"Thomaston School District","=""1400011""","*",9,7,20,14,859,912,"*"
"Thompson School District","=""1410011""","*","*","*",41,30,933,1016,0
"Tolland School District","=""1420011""","*",89,42,82,10,2447,2677,"*"
"Torrington School District","=""1430011""",9,139,179,911,152,2905,4303,8
"Trailblazers Academy District","=""2780013""",0,"*",59,53,"*","*",119,0
"Trumbull School District","=""1440011""","*",519,304,591,27,5257,6716,"*"
"Unified School District #1","=""3360015""",0,0,238,124,7,41,410,0
"Unified School District #2","=""3470015""",0,"*",83,65,"*",59,215,0
"Union School District","=""1450011""",0,0,"*","*",0,77,80,0
"Vernon School District","=""1460011""",6,182,373,433,107,2181,3282,0
"Voluntown School District","=""1470011""","*","*",8,8,13,282,317,"*"
"Wallingford School District","=""1480011""",14,323,141,931,34,4656,6105,6
"Waterbury School District","=""1510011""",100,309,4357,9646,663,3792,18878,11
"Waterford School District","=""1520011""","*",125,99,226,77,2002,2552,"*"
"Watertown School District","=""1530011""","*",56,58,188,81,2458,2848,"*"
"West Hartford School District","=""1550011""","*",1112,801,1573,344,5935,9794,"*"
"West Haven School District","=""1560011""","*",229,1296,2040,224,2135,5940,"*"
"Westbrook School District","=""1540011""","*",15,"*",90,14,683,807,0
"Weston School District","=""1570011""","*",102,40,78,77,2112,2413,"*"
"Westport School District","=""1580011""","*",333,"*",256,163,4924,5772,0
"Wethersfield School District","=""1590011""","*",176,135,545,73,2708,3647,"*"
"Willington School District","=""1600011""",0,"*","*",14,10,399,430,0
"Wilton School District","=""1610011""","*",358,46,131,74,3650,4272,"*"
"Winchester School District","=""1620011""","*","*",13,58,"*",526,609,"*"
"Windham School District","=""1630011""","*",32,127,2148,75,795,3190,"*"
"Windsor Locks School District","=""1650011""","*",135,165,190,81,1088,1664,"*"
"Windsor School District","=""1640011""","*",142,1457,518,154,892,3168,"*"
"Wolcott School District","=""1660011""","*","*",49,114,74,2083,2365,0
"Woodbridge School District","=""1670011""","*",108,32,41,18,591,797,"*"
"Woodstock School District","=""1690011""",0,8,6,28,33,798,873,0
"Total","=""""",1521,26167,70694,120851,13795,312811,546349,510

