"Student Counts by District and Race"
"All Districts"
"2021-22"

"",,"Race",,,,,,,
"Norfolk School District","=""0980011""",0,0,0,"*",0,"*",61,70
"North Branford School District","=""0990011""",0,24,22,144,0,33,1362,1585
"North Canaan School District","=""1000011""",0,"*","*",30,0,10,190,234
"North Haven School District","=""1010011""","*",207,157,377,"*",88,2325,3160
"North Stonington School District","=""1020011""","*",12,16,37,"*",15,685,773
"Norwalk School District","=""1030011""",15,461,1618,6184,7,365,2808,11458
"Norwich Free Academy District","=""9010022""",21,126,295,484,7,110,1036,2079
"Norwich School District","=""1040011""",17,208,615,1186,12,314,935,3287
"Odyssey Community School District","=""2630013""","*",70,71,68,0,"*",96,328
"Old Saybrook School District","=""1060011""",0,42,"*",147,"*",35,852,1088
"Orange School District","=""1070011""","*",165,31,92,"*",59,908,1258
"Oxford School District","=""1080011""","*",40,33,158,"*",22,1445,1703
"Park City Prep Charter School District","=""2830013""","*","*",172,155,0,"*",22,361
"Plainfield School District","=""1090011""",14,32,73,165,11,37,1659,1991
"Plainville School District","=""1100011""","*",60,115,514,"*",99,1498,2295
"Plymouth School District","=""1110011""","*",24,"*",184,0,68,1014,1308
"Pomfret School District","=""1120011""",0,6,"*",12,0,"*",337,361
"Portland School District","=""1130011""",0,22,41,210,0,62,904,1239
"Preston School District","=""1140011""",0,11,"*",34,"*",17,353,427
"Putnam School District","=""1160011""",0,"*",21,181,"*",61,857,1138
"Redding School District","=""1170011""","*",15,14,89,"*",31,679,832
"Regional School District 01","=""2010012""","*",8,"*",47,0,15,272,346
"Regional School District 04","=""2040012""","*",17,"*",52,0,31,706,816
"Regional School District 05","=""2050012""","*",331,"*",163,0,76,1498,2145
"Regional School District 06","=""2060012""","*","*",10,47,"*",33,790,887
"Regional School District 07","=""2070012""","*",6,6,33,"*",12,851,911
"Regional School District 08","=""2080012""","*",18,16,84,"*",23,1077,1221
"Regional School District 09","=""2090012""",0,36,11,61,0,37,677,822
"Regional School District 10","=""2100012""","*",14,"*",124,0,479,1548,2175
"Regional School District 11","=""2110012""",0,"*","*",12,0,8,185,209
"Regional School District 12","=""2120012""",0,6,7,70,0,26,654,763
"Regional School District 13","=""2130012""","*",19,"*",103,0,33,1200,1366
"Regional School District 14","=""2140012""","*",21,"*",132,0,44,1377,1594
"Regional School District 15","=""2150012""","*",173,87,271,"*",120,2880,3539
"Regional School District 16","=""2160012""","*","*",80,154,0,45,1665,1973
"Regional School District 17","=""2170012""","*",33,"*",70,0,49,1617,1788
"Regional School District 18","=""2180012""",0,35,9,86,0,46,1121,1297
"Regional School District 19","=""2190012""","*",76,48,134,"*",7,868,1138
"Ridgefield School District","=""1180011""","*",303,32,406,"*",199,3630,4578
"Rocky Hill School District","=""1190011""","*",760,83,281,"*",93,1316,2537
"Salem School District","=""1210011""","*","*",6,31,0,22,324,390
"Salisbury School District","=""1220011""",0,"*","*",33,0,18,241,305
"Scotland School District","=""1230011""",0,0,0,"*",0,"*",90,101
"Seymour School District","=""1240011""","*",73,130,411,0,"*",1411,2072
"Sharon School District","=""1250011""",0,"*",0,10,0,"*",82,96
"Shelton School District","=""1260011""","*",236,310,947,"*",189,2735,4423
"Sherman School District","=""1270011""","*","*",6,19,0,9,222,263
"Side By Side Charter School District","=""2700013""",0,"*",63,132,0,"*",26,236
"Simsbury School District","=""1280011""","*",265,239,465,"*",203,2914,4089
"Somers School District","=""1290011""","*",15,37,67,"*",24,1200,1347
"South Windsor School District","=""1320011""","*",1397,282,469,"*",227,2396,4778
"Southington School District","=""1310011""","*",249,147,702,"*",298,4858,6266
"Sprague School District","=""1330011""","*","*",10,43,"*",39,186,285
"Stafford School District","=""1340011""","*",14,"*",117,0,54,1192,1386
"Stamford Charter School for Excellence District","=""2960013""","*",161,206,109,0,"*",14,506
"Stamford School District","=""1350011""",20,1054,2284,7646,15,585,4475,16079
"Sterling School District","=""1360011""","*","*",6,34,0,27,265,335
"Stonington School District","=""1370011""","*",33,18,123,"*",108,1541,1831
"Stratford School District","=""1380011""",15,172,1731,2618,10,262,2052,6860
"Suffield School District","=""1390011""","*",83,84,160,"*",11,1707,2051
"The Bridge Academy District","=""2690013""",0,"*",154,120,0,0,"*",279
"The Gilbert School District","=""9020022""",0,28,11,95,0,19,285,438
"The Woodstock Academy District","=""9030022""","*",66,20,53,"*",19,898,1060
"Thomaston School District","=""1400011""",0,15,12,86,0,29,702,844
"Thompson School District","=""1410011""","*","*",12,79,0,24,839,961
"Tolland School District","=""1420011""","*",82,63,190,"*",55,1838,2233
"Torrington School District","=""1430011""",6,165,226,1397,6,116,1970,3886
"Trumbull School District","=""1440011""",9,692,437,1201,7,169,4381,6896
"Unified School District #1","=""3360015""",0,0,77,53,0,8,18,156
"Unified School District #2","=""3470015""",0,"*",23,21,0,"*",28,78
"Union School District","=""1450011""",0,0,0,"*",0,0,"*","*"
"Vernon School District","=""1460011""","*",246,314,696,"*",260,1661,3183
"Voluntown School District","=""1470011""",0,"*","*",11,"*",11,221,248
"Wallingford School District","=""1480011""","*",268,84,1081,"*",200,3698,5342
"Waterbury School District","=""1510011""","*",293,3969,11284,"*",712,2297,18660
"Waterford School District","=""1520011""",7,120,54,300,9,130,1728,2348
"Watertown School District","=""1530011""","*",33,87,241,"*",95,2137,2604
"West Hartford School District","=""1550011""",17,944,801,1722,12,549,5155,9200
"West Haven School District","=""1560011""","*",256,1400,2281,"*",283,1611,5839
"Westbrook School District","=""1540011""","*",11,"*",149,0,14,456,635
"Weston School District","=""1570011""",14,128,30,192,0,145,1730,2239
"Westport School District","=""1580011""","*",350,"*",386,0,355,4123,5336
"Wethersfield School District","=""1590011""",7,176,147,730,6,159,2397,3622
"Willington School District","=""1600011""",0,10,"*",24,0,"*",343,387
"Wilton School District","=""1610011""","*",413,37,264,"*",240,2801,3758
"Winchester School District","=""1620011""",0,8,"*",64,"*",21,476,578
"Windham School District","=""1630011""",11,18,100,2329,0,68,680,3206
"Windsor Locks School District","=""1650011""","*",101,194,251,"*",94,879,1523
"Windsor School District","=""1640011""","*",132,1308,791,"*",276,773,3288
"Wolcott School District","=""1660011""","*",52,83,293,"*",74,1649,2160
"Woodbridge School District","=""1670011""","*",128,"*",66,0,73,553,847
"Woodstock School District","=""1690011""","*",9,"*",32,0,39,705,794
"Total","=""""",1293,26427,64898,148744,504,21935,249814,513615

