District,fiscal_year,subject,needs_group,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Hartford School District,2018,ELA,High Needs,906.0,779.0,86.0,776.0,23.5,424.0
Hartford School District,2018,ELA,Non-High Needs,321.0,306.0,95.3,306.0,60.5,511.0
Highville Charter School District,2018,ELA,High Needs,,,,,,
Highville Charter School District,2018,ELA,Non-High Needs,,,,,,
Jumoke Academy District,2018,ELA,High Needs,15.0,12.0,,12.0,,
Killingly School District,2018,ELA,High Needs,83.0,75.0,90.4,74.0,,465.0
Killingly School District,2018,ELA,Non-High Needs,110.0,107.0,97.3,107.0,,535.0
Learn,2018,ELA,High Needs,109.0,103.0,94.5,103.0,47.6,476.0
Learn,2018,ELA,Non-High Needs,96.0,96.0,100.0,96.0,71.9,546.0
Lebanon School District,2018,ELA,High Needs,31.0,31.0,100.0,31.0,,466.0
Lebanon School District,2018,ELA,Non-High Needs,61.0,60.0,98.4,60.0,,551.0
Ledyard School District,2018,ELA,High Needs,69.0,65.0,94.2,65.0,,472.0
Ledyard School District,2018,ELA,Non-High Needs,123.0,121.0,98.4,121.0,,571.0
Litchfield School District,2018,ELA,High Needs,16.0,15.0,,14.0,,
Litchfield School District,2018,ELA,Non-High Needs,56.0,56.0,100.0,56.0,,560.0
Madison School District,2018,ELA,High Needs,39.0,32.0,82.1,32.0,81.3,547.0
Madison School District,2018,ELA,Non-High Needs,232.0,230.0,99.1,230.0,94.8,600.0
Manchester School District,2018,ELA,High Needs,245.0,215.0,87.8,213.0,37.1,453.0
Manchester School District,2018,ELA,Non-High Needs,187.0,174.0,93.0,173.0,68.8,521.0
Meriden School District,2018,ELA,High Needs,365.0,324.0,88.8,319.0,31.0,445.0
Meriden School District,2018,ELA,Non-High Needs,149.0,147.0,98.7,147.0,68.7,523.0
Middletown School District,2018,ELA,High Needs,170.0,157.0,92.4,156.0,,444.0
Middletown School District,2018,ELA,Non-High Needs,155.0,145.0,93.5,145.0,,529.0
Milford School District,2018,ELA,High Needs,142.0,136.0,95.8,134.0,,479.0
Milford School District,2018,ELA,Non-High Needs,293.0,288.0,98.3,288.0,,552.0
Monroe School District,2018,ELA,High Needs,35.0,33.0,94.3,33.0,,475.0
Monroe School District,2018,ELA,Non-High Needs,212.0,204.0,96.2,204.0,,585.0
Montville School District,2018,ELA,High Needs,59.0,57.0,96.6,57.0,,471.0
Montville School District,2018,ELA,Non-High Needs,84.0,81.0,96.4,81.0,,548.0
Naugatuck School District,2018,ELA,High Needs,167.0,145.0,86.8,144.0,,456.0
Naugatuck School District,2018,ELA,Non-High Needs,129.0,125.0,96.9,125.0,,513.0
New Britain School District,2018,ELA,High Needs,533.0,458.0,85.9,457.0,24.1,423.0
New Britain School District,2018,ELA,Non-High Needs,78.0,77.0,98.7,77.0,59.7,495.0
New Canaan School District,2018,ELA,High Needs,44.0,43.0,97.7,43.0,,508.0
New Canaan School District,2018,ELA,Non-High Needs,268.0,259.0,96.6,259.0,94.6,620.0
New Fairfield School District,2018,ELA,High Needs,58.0,55.0,94.8,55.0,67.3,515.0
New Fairfield School District,2018,ELA,Non-High Needs,163.0,161.0,98.8,161.0,92.5,580.0
New Haven School District,2018,ELA,High Needs,913.0,823.0,90.1,822.0,26.8,434.0
New Haven School District,2018,ELA,Non-High Needs,366.0,346.0,94.5,346.0,61.3,516.0
New London School District,2018,ELA,High Needs,223.0,208.0,93.3,207.0,,444.0
New London School District,2018,ELA,Non-High Needs,25.0,25.0,100.0,25.0,,535.0
New Milford School District,2018,ELA,High Needs,82.0,76.0,92.7,76.0,,483.0
New Milford School District,2018,ELA,Non-High Needs,225.0,212.0,94.2,212.0,,563.0
Newington School District,2018,ELA,High Needs,107.0,100.0,93.5,99.0,52.5,488.0
Newington School District,2018,ELA,Non-High Needs,212.0,211.0,99.5,211.0,84.8,563.0
Newtown School District,2018,ELA,High Needs,68.0,57.0,83.8,57.0,52.6,492.0
Newtown School District,2018,ELA,Non-High Needs,341.0,335.0,98.2,334.0,87.4,568.0
North Branford School District,2018,ELA,High Needs,48.0,47.0,97.9,47.0,42.6,454.0
North Branford School District,2018,ELA,Non-High Needs,82.0,81.0,98.8,81.0,82.7,552.0
North Haven School District,2018,ELA,High Needs,59.0,57.0,96.6,56.0,,443.0
North Haven School District,2018,ELA,Non-High Needs,191.0,190.0,99.5,189.0,,560.0
North Stonington School District,2018,ELA,High Needs,10.0,9.0,,9.0,,
North Stonington School District,2018,ELA,Non-High Needs,32.0,31.0,96.9,31.0,,518.0
Norwalk School District,2018,ELA,High Needs,477.0,447.0,93.7,446.0,36.5,454.0
Norwalk School District,2018,ELA,Non-High Needs,355.0,349.0,98.3,349.0,72.2,534.0
Norwich Free Academy District,2018,ELA,High Needs,288.0,273.0,94.8,272.0,34.2,449.0
Norwich Free Academy District,2018,ELA,Non-High Needs,264.0,256.0,97.0,256.0,76.6,546.0
Norwich School District,2018,ELA,High Needs,,,,,,
Norwich School District,2018,ELA,Non-High Needs,,,,,,
Old Saybrook School District,2018,ELA,High Needs,35.0,31.0,88.6,31.0,64.5,525.0
Old Saybrook School District,2018,ELA,Non-High Needs,74.0,73.0,98.6,73.0,94.5,601.0
Oxford School District,2018,ELA,High Needs,26.0,26.0,100.0,26.0,,470.0
Oxford School District,2018,ELA,Non-High Needs,132.0,130.0,98.5,130.0,,549.0
Path Academy District,2018,ELA,High Needs,24.0,11.0,45.8,11.0,,
Plainfield School District,2018,ELA,High Needs,82.0,69.0,84.1,65.0,,450.0
Plainfield School District,2018,ELA,Non-High Needs,81.0,79.0,97.5,79.0,,521.0
Plainville School District,2018,ELA,High Needs,68.0,63.0,92.6,63.0,,467.0
Plainville School District,2018,ELA,Non-High Needs,112.0,111.0,99.1,111.0,,537.0
Plymouth School District,2018,ELA,High Needs,56.0,53.0,94.6,51.0,,464.0
Plymouth School District,2018,ELA,Non-High Needs,70.0,69.0,98.6,68.0,,529.0
Portland School District,2018,ELA,High Needs,25.0,25.0,100.0,25.0,,494.0
Portland School District,2018,ELA,Non-High Needs,77.0,77.0,100.0,77.0,,571.0
Putnam School District,2018,ELA,High Needs,39.0,36.0,92.3,36.0,,453.0
Putnam School District,2018,ELA,Non-High Needs,39.0,38.0,97.4,38.0,,501.0
Regional School District 01,2018,ELA,High Needs,38.0,35.0,92.1,35.0,,477.0
Regional School District 01,2018,ELA,Non-High Needs,72.0,71.0,98.6,71.0,,544.0
Regional School District 04,2018,ELA,High Needs,33.0,30.0,90.9,30.0,,496.0
Regional School District 04,2018,ELA,Non-High Needs,111.0,108.0,97.3,108.0,,576.0
Regional School District 05,2018,ELA,High Needs,69.0,66.0,95.7,66.0,,523.0
Regional School District 05,2018,ELA,Non-High Needs,292.0,290.0,99.3,290.0,90.3,596.0
Regional School District 06,2018,ELA,High Needs,24.0,21.0,87.5,21.0,,491.0
Regional School District 06,2018,ELA,Non-High Needs,64.0,63.0,98.4,63.0,,560.0
Regional School District 07,2018,ELA,High Needs,36.0,34.0,94.4,34.0,,493.0
Regional School District 07,2018,ELA,Non-High Needs,162.0,160.0,98.8,160.0,,577.0
Regional School District 08,2018,ELA,High Needs,46.0,41.0,89.1,41.0,,490.0
Regional School District 08,2018,ELA,Non-High Needs,184.0,181.0,98.4,181.0,91.7,589.0
Regional School District 09,2018,ELA,High Needs,35.0,31.0,88.6,30.0,,516.0
Regional School District 09,2018,ELA,Non-High Needs,196.0,192.0,98.0,191.0,,591.0
Regional School District 10,2018,ELA,High Needs,32.0,32.0,100.0,32.0,,500.0
Regional School District 10,2018,ELA,Non-High Needs,158.0,157.0,99.4,157.0,,584.0
Regional School District 11,2018,ELA,High Needs,19.0,19.0,,19.0,,
Regional School District 11,2018,ELA,Non-High Needs,22.0,22.0,100.0,22.0,,538.0
Regional School District 12,2018,ELA,High Needs,16.0,16.0,,16.0,,
Regional School District 12,2018,ELA,Non-High Needs,51.0,51.0,100.0,51.0,,557.0
Regional School District 13,2018,ELA,High Needs,32.0,30.0,93.8,30.0,,499.0
Regional School District 13,2018,ELA,Non-High Needs,106.0,105.0,99.1,105.0,,568.0
Regional School District 14,2018,ELA,High Needs,62.0,60.0,96.8,60.0,,476.0
Regional School District 14,2018,ELA,Non-High Needs,131.0,130.0,99.2,130.0,,547.0
Regional School District 15,2018,ELA,High Needs,73.0,68.0,93.2,67.0,,494.0
Regional School District 15,2018,ELA,Non-High Needs,231.0,229.0,99.1,227.0,93.0,585.0
Regional School District 16,2018,ELA,High Needs,23.0,21.0,91.3,21.0,,496.0
Regional School District 16,2018,ELA,Non-High Needs,144.0,142.0,98.6,142.0,,546.0
Regional School District 17,2018,ELA,High Needs,34.0,33.0,97.1,33.0,,513.0
Regional School District 17,2018,ELA,Non-High Needs,131.0,131.0,100.0,131.0,,585.0
Regional School District 18,2018,ELA,High Needs,19.0,17.0,,17.0,,
Regional School District 18,2018,ELA,Non-High Needs,97.0,92.0,94.8,92.0,,586.0
Regional School District 19,2018,ELA,High Needs,85.0,76.0,89.4,76.0,55.3,498.0
Regional School District 19,2018,ELA,Non-High Needs,203.0,180.0,88.7,180.0,85.0,575.0
Ridgefield School District,2018,ELA,High Needs,46.0,42.0,91.3,41.0,,491.0
Ridgefield School District,2018,ELA,Non-High Needs,358.0,341.0,95.3,340.0,,611.0
Rocky Hill School District,2018,ELA,High Needs,58.0,57.0,98.3,57.0,,465.0
Rocky Hill School District,2018,ELA,Non-High Needs,124.0,124.0,100.0,124.0,,570.0
Salem School District,2018,ELA,High Needs,,,,,,
Seymour School District,2018,ELA,High Needs,67.0,63.0,94.0,63.0,,485.0
Seymour School District,2018,ELA,Non-High Needs,99.0,98.0,99.0,98.0,79.6,559.0
Shelton School District,2018,ELA,High Needs,115.0,107.0,93.0,106.0,45.3,478.0
Shelton School District,2018,ELA,Non-High Needs,241.0,239.0,99.2,239.0,83.7,561.0
Simsbury School District,2018,ELA,High Needs,72.0,64.0,88.9,64.0,,514.0
Simsbury School District,2018,ELA,Non-High Needs,286.0,280.0,97.9,280.0,97.5,624.0
Somers School District,2018,ELA,High Needs,21.0,21.0,100.0,21.0,,415.0
Somers School District,2018,ELA,Non-High Needs,103.0,103.0,100.0,103.0,,546.0
South Windsor School District,2018,ELA,High Needs,101.0,97.0,96.0,96.0,52.1,489.0
South Windsor School District,2018,ELA,Non-High Needs,220.0,220.0,100.0,220.0,83.6,569.0
Southington School District,2018,ELA,High Needs,127.0,121.0,95.3,120.0,49.2,479.0
Southington School District,2018,ELA,Non-High Needs,337.0,327.0,97.0,327.0,81.7,556.0
Sprague School District,2018,ELA,High Needs,,,,,,
Stafford School District,2018,ELA,High Needs,42.0,38.0,90.5,38.0,,461.0
Stafford School District,2018,ELA,Non-High Needs,51.0,51.0,100.0,51.0,,539.0
Stamford Academy District,2018,ELA,High Needs,,,,,0.0,381.0
Stamford Academy District,2018,ELA,Non-High Needs,,,,,,
Stamford School District,2018,ELA,High Needs,645.0,596.0,92.4,592.0,33.8,446.0
Stamford School District,2018,ELA,Non-High Needs,448.0,436.0,97.3,435.0,80.9,564.0
Stonington School District,2018,ELA,High Needs,52.0,45.0,86.5,45.0,,462.0
Stonington School District,2018,ELA,Non-High Needs,123.0,118.0,95.9,118.0,,568.0
Stratford School District,2018,ELA,High Needs,265.0,250.0,94.3,250.0,42.0,460.0
Stratford School District,2018,ELA,Non-High Needs,224.0,219.0,97.8,219.0,59.8,508.0
Suffield School District,2018,ELA,High Needs,52.0,51.0,98.1,51.0,,503.0
Suffield School District,2018,ELA,Non-High Needs,163.0,162.0,99.4,162.0,,578.0
The Bridge Academy District,2018,ELA,High Needs,28.0,28.0,100.0,28.0,,449.0
The Bridge Academy District,2018,ELA,Non-High Needs,6.0,6.0,,6.0,,
The Gilbert School District,2018,ELA,High Needs,44.0,42.0,95.5,42.0,,479.0
The Gilbert School District,2018,ELA,Non-High Needs,76.0,74.0,97.4,74.0,,491.0
The Woodstock Academy District,2018,ELA,High Needs,21.0,20.0,95.2,20.0,,468.0
The Woodstock Academy District,2018,ELA,Non-High Needs,278.0,277.0,99.6,277.0,,541.0
Thomaston School District,2018,ELA,High Needs,23.0,22.0,95.7,22.0,,501.0
Thomaston School District,2018,ELA,Non-High Needs,46.0,46.0,100.0,46.0,,564.0
Thompson School District,2018,ELA,High Needs,26.0,22.0,84.6,22.0,,450.0
Thompson School District,2018,ELA,Non-High Needs,43.0,43.0,100.0,43.0,,519.0
Tolland School District,2018,ELA,High Needs,26.0,24.0,92.3,24.0,,500.0
Tolland School District,2018,ELA,Non-High Needs,171.0,170.0,99.4,169.0,,573.0
Torrington School District,2018,ELA,High Needs,111.0,106.0,95.5,106.0,,443.0
Torrington School District,2018,ELA,Non-High Needs,85.0,85.0,100.0,85.0,,516.0
Trumbull School District,2018,ELA,High Needs,120.0,116.0,96.7,116.0,52.6,503.0
Trumbull School District,2018,ELA,Non-High Needs,406.0,399.0,98.3,399.0,90.0,582.0
Unified School District #2,2018,ELA,High Needs,16.0,14.0,,14.0,,
Vernon School District,2018,ELA,High Needs,99.0,87.0,87.9,87.0,,470.0
Vernon School District,2018,ELA,Non-High Needs,104.0,104.0,100.0,103.0,,549.0
Voluntown School District,2018,ELA,High Needs,,,,,,
Wallingford School District,2018,ELA,High Needs,158.0,149.0,94.3,148.0,47.3,474.0
Wallingford School District,2018,ELA,Non-High Needs,302.0,297.0,98.3,296.0,76.0,540.0
Waterbury School District,2018,ELA,High Needs,928.0,841.0,90.6,834.0,21.9,424.0
Waterbury School District,2018,ELA,Non-High Needs,233.0,227.0,97.4,227.0,47.6,479.0
Waterford School District,2018,ELA,High Needs,41.0,39.0,95.1,38.0,,492.0
Waterford School District,2018,ELA,Non-High Needs,152.0,152.0,100.0,151.0,,548.0
Watertown School District,2018,ELA,High Needs,76.0,70.0,92.1,69.0,,463.0
Watertown School District,2018,ELA,Non-High Needs,138.0,138.0,100.0,138.0,,537.0
West Hartford School District,2018,ELA,High Needs,257.0,244.0,94.9,243.0,53.1,495.0
West Hartford School District,2018,ELA,Non-High Needs,509.0,505.0,99.2,505.0,92.1,606.0
West Haven School District,2018,ELA,High Needs,269.0,240.0,89.2,240.0,34.6,450.0
West Haven School District,2018,ELA,Non-High Needs,102.0,98.0,96.1,96.0,66.7,515.0
Westbrook School District,2018,ELA,High Needs,13.0,12.0,,12.0,,
Westbrook School District,2018,ELA,Non-High Needs,46.0,44.0,95.7,44.0,,578.0
Weston School District,2018,ELA,High Needs,26.0,25.0,96.2,25.0,,542.0
Weston School District,2018,ELA,Non-High Needs,185.0,180.0,97.3,177.0,,618.0
Westport School District,2018,ELA,High Needs,69.0,63.0,91.3,63.0,61.9,508.0
Westport School District,2018,ELA,Non-High Needs,416.0,414.0,99.5,412.0,95.6,624.0
Wethersfield School District,2018,ELA,High Needs,79.0,73.0,92.4,73.0,,465.0
Wethersfield School District,2018,ELA,Non-High Needs,211.0,209.0,99.1,209.0,,545.0
Wilton School District,2018,ELA,High Needs,67.0,61.0,91.0,61.0,63.9,526.0
Wilton School District,2018,ELA,Non-High Needs,259.0,256.0,98.8,256.0,94.5,619.0
Winchester School District,2018,ELA,High Needs,,,,,,
Windham School District,2018,ELA,High Needs,114.0,104.0,91.2,103.0,,411.0
Windham School District,2018,ELA,Non-High Needs,14.0,14.0,,14.0,,
Windsor Locks School District,2018,ELA,High Needs,62.0,61.0,98.4,61.0,45.9,482.0
Windsor Locks School District,2018,ELA,Non-High Needs,53.0,53.0,100.0,53.0,75.5,532.0
Windsor School District,2018,ELA,High Needs,72.0,63.0,87.5,63.0,,425.0
Windsor School District,2018,ELA,Non-High Needs,207.0,202.0,97.6,202.0,,527.0
Wolcott School District,2018,ELA,High Needs,67.0,66.0,98.5,66.0,,470.0
Wolcott School District,2018,ELA,Non-High Needs,135.0,132.0,97.8,132.0,,533.0
Woodstock School District,2018,ELA,High Needs,,,,,,
