District,fiscal_year,subject,needs_group,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Putnam School District,2023,Math,High Needs,27.0,25.0,92.6,25.0,,428.0
Regional School District 01,2023,Math,Non-High Needs,32.0,31.0,96.9,31.0,,449.0
Regional School District 01,2023,Math,High Needs,29.0,27.0,93.1,27.0,,441.0
Regional School District 04,2023,Math,Non-High Needs,85.0,84.0,98.8,81.0,,541.0
Regional School District 04,2023,Math,High Needs,57.0,52.0,91.2,52.0,17.3,442.0
Regional School District 05,2023,Math,Non-High Needs,278.0,276.0,99.3,276.0,67.4,576.0
Regional School District 05,2023,Math,High Needs,75.0,70.0,93.3,69.0,33.3,480.0
Regional School District 06,2023,Math,Non-High Needs,52.0,52.0,100.0,52.0,,507.0
Regional School District 06,2023,Math,High Needs,37.0,33.0,89.2,33.0,30.3,457.0
Regional School District 07,2023,Math,Non-High Needs,89.0,87.0,97.8,87.0,,550.0
Regional School District 07,2023,Math,High Needs,52.0,45.0,86.5,45.0,,463.0
Regional School District 08,2023,Math,Non-High Needs,166.0,161.0,97.0,161.0,59.6,549.0
Regional School District 08,2023,Math,High Needs,43.0,36.0,83.7,36.0,16.7,453.0
Regional School District 09,2023,Math,Non-High Needs,142.0,141.0,99.3,141.0,,595.0
Regional School District 09,2023,Math,High Needs,50.0,45.0,90.0,45.0,,515.0
Regional School District 10,2023,Math,Non-High Needs,123.0,122.0,99.2,122.0,,533.0
Regional School District 10,2023,Math,High Needs,27.0,24.0,88.9,24.0,,445.0
Regional School District 11,2023,Math,Non-High Needs,20.0,20.0,100.0,20.0,,545.0
Regional School District 11,2023,Math,High Needs,16.0,16.0,,16.0,,
Regional School District 12,2023,Math,Non-High Needs,53.0,53.0,100.0,53.0,,538.0
Regional School District 12,2023,Math,High Needs,27.0,27.0,100.0,27.0,,459.0
Regional School District 13,2023,Math,Non-High Needs,64.0,63.0,98.4,63.0,,546.0
Regional School District 13,2023,Math,High Needs,27.0,23.0,85.2,23.0,,448.0
Regional School District 14,2023,Math,Non-High Needs,104.0,103.0,99.0,103.0,,528.0
Regional School District 14,2023,Math,High Needs,56.0,56.0,100.0,55.0,23.6,450.0
Regional School District 15,2023,Math,Non-High Needs,207.0,205.0,99.0,205.0,,555.0
Regional School District 15,2023,Math,High Needs,63.0,57.0,90.5,55.0,20.0,458.0
Regional School District 16,2023,Math,Non-High Needs,111.0,111.0,100.0,111.0,,547.0
Regional School District 16,2023,Math,High Needs,34.0,32.0,94.1,32.0,25.0,453.0
Regional School District 17,2023,Math,Non-High Needs,103.0,102.0,99.0,102.0,,556.0
Regional School District 17,2023,Math,High Needs,32.0,27.0,84.4,27.0,,477.0
Regional School District 18,2023,Math,Non-High Needs,87.0,85.0,97.7,85.0,,592.0
Regional School District 18,2023,Math,High Needs,18.0,17.0,,17.0,,
Regional School District 19,2023,Math,Non-High Needs,171.0,168.0,98.2,168.0,,540.0
Regional School District 19,2023,Math,High Needs,101.0,92.0,91.1,90.0,23.3,461.0
Ridgefield School District,2023,Math,Non-High Needs,288.0,272.0,94.4,272.0,,590.0
Ridgefield School District,2023,Math,High Needs,76.0,73.0,96.1,71.0,,492.0
Rocky Hill School District,2023,Math,Non-High Needs,134.0,132.0,98.5,131.0,,596.0
Rocky Hill School District,2023,Math,High Needs,48.0,41.0,85.4,41.0,19.5,451.0
Salem School District,2023,Math,High Needs,,,,,,
Seymour School District,2023,Math,Non-High Needs,69.0,69.0,100.0,68.0,52.9,535.0
Seymour School District,2023,Math,High Needs,54.0,53.0,98.1,52.0,11.5,438.0
Shelton School District,2023,Math,Non-High Needs,180.0,180.0,100.0,180.0,,529.0
Shelton School District,2023,Math,High Needs,117.0,112.0,95.7,112.0,19.6,447.0
Simsbury School District,2023,Math,Non-High Needs,231.0,230.0,99.6,230.0,,579.0
Simsbury School District,2023,Math,High Needs,95.0,88.0,92.6,88.0,27.3,471.0
Somers School District,2023,Math,Non-High Needs,83.0,83.0,100.0,82.0,,524.0
Somers School District,2023,Math,High Needs,19.0,19.0,,19.0,,
South Windsor School District,2023,Math,Non-High Needs,233.0,232.0,99.6,232.0,,579.0
South Windsor School District,2023,Math,High Needs,84.0,83.0,98.8,82.0,15.9,443.0
Southington School District,2023,Math,Non-High Needs,327.0,324.0,99.1,324.0,,533.0
