District,fiscal_year,subject,needs_group,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Hamden School District,2018,Math,Non-High Needs,187.0,175.0,93.6,175.0,,512.0
Hartford School District,2018,Math,High Needs,906.0,779.0,86.0,771.0,10.0,416.0
Hartford School District,2018,Math,Non-High Needs,321.0,306.0,95.3,305.0,34.1,494.0
Highville Charter School District,2018,Math,High Needs,,,,,,
Highville Charter School District,2018,Math,Non-High Needs,,,,,,
Jumoke Academy District,2018,Math,High Needs,15.0,12.0,,12.0,,
Killingly School District,2018,Math,High Needs,83.0,75.0,90.4,74.0,13.5,446.0
Killingly School District,2018,Math,Non-High Needs,110.0,107.0,97.3,107.0,,498.0
Learn,2018,Math,High Needs,109.0,103.0,94.5,103.0,18.4,457.0
Learn,2018,Math,Non-High Needs,96.0,96.0,100.0,96.0,,517.0
Lebanon School District,2018,Math,High Needs,31.0,31.0,100.0,30.0,,456.0
Lebanon School District,2018,Math,Non-High Needs,61.0,60.0,98.4,60.0,,550.0
Ledyard School District,2018,Math,High Needs,69.0,65.0,94.2,65.0,18.5,458.0
Ledyard School District,2018,Math,Non-High Needs,123.0,121.0,98.4,121.0,67.8,549.0
Litchfield School District,2018,Math,High Needs,16.0,15.0,,14.0,,
Litchfield School District,2018,Math,Non-High Needs,56.0,56.0,100.0,56.0,,535.0
Madison School District,2018,Math,High Needs,39.0,32.0,82.1,32.0,,520.0
Madison School District,2018,Math,Non-High Needs,232.0,230.0,99.1,230.0,,591.0
Manchester School District,2018,Math,High Needs,245.0,215.0,87.8,210.0,17.6,442.0
Manchester School District,2018,Math,Non-High Needs,187.0,174.0,93.0,173.0,,500.0
Meriden School District,2018,Math,High Needs,365.0,324.0,88.8,319.0,6.0,420.0
Meriden School District,2018,Math,Non-High Needs,149.0,147.0,98.7,147.0,27.2,476.0
Middletown School District,2018,Math,High Needs,170.0,157.0,92.4,155.0,13.5,433.0
Middletown School District,2018,Math,Non-High Needs,155.0,145.0,93.5,145.0,,509.0
Milford School District,2018,Math,High Needs,142.0,136.0,95.8,134.0,29.1,467.0
Milford School District,2018,Math,Non-High Needs,293.0,288.0,98.3,288.0,56.6,546.0
Monroe School District,2018,Math,High Needs,35.0,33.0,94.3,32.0,18.8,436.0
Monroe School District,2018,Math,Non-High Needs,212.0,204.0,96.2,204.0,64.7,572.0
Montville School District,2018,Math,High Needs,59.0,57.0,96.6,57.0,24.6,474.0
Montville School District,2018,Math,Non-High Needs,84.0,81.0,96.4,81.0,,521.0
Naugatuck School District,2018,Math,High Needs,167.0,145.0,86.8,143.0,16.1,437.0
Naugatuck School District,2018,Math,Non-High Needs,129.0,125.0,96.9,125.0,,479.0
New Britain School District,2018,Math,High Needs,533.0,458.0,85.9,456.0,7.5,406.0
New Britain School District,2018,Math,Non-High Needs,78.0,77.0,98.7,77.0,27.3,484.0
New Canaan School District,2018,Math,High Needs,44.0,43.0,97.7,43.0,,501.0
New Canaan School District,2018,Math,Non-High Needs,268.0,259.0,96.6,259.0,,621.0
New Fairfield School District,2018,Math,High Needs,58.0,55.0,94.8,55.0,,497.0
New Fairfield School District,2018,Math,Non-High Needs,163.0,161.0,98.8,161.0,,558.0
New Haven School District,2018,Math,High Needs,913.0,823.0,90.1,822.0,9.6,418.0
New Haven School District,2018,Math,Non-High Needs,366.0,346.0,94.5,345.0,31.6,487.0
New London School District,2018,Math,High Needs,223.0,208.0,93.3,206.0,,437.0
New London School District,2018,Math,Non-High Needs,25.0,25.0,100.0,25.0,,526.0
New Milford School District,2018,Math,High Needs,82.0,76.0,92.7,76.0,23.7,466.0
New Milford School District,2018,Math,Non-High Needs,225.0,212.0,94.2,212.0,,537.0
Newington School District,2018,Math,High Needs,107.0,100.0,93.5,99.0,,483.0
Newington School District,2018,Math,Non-High Needs,212.0,211.0,99.5,211.0,,552.0
Newtown School District,2018,Math,High Needs,68.0,57.0,83.8,57.0,,481.0
Newtown School District,2018,Math,Non-High Needs,341.0,335.0,98.2,334.0,,568.0
North Branford School District,2018,Math,High Needs,48.0,47.0,97.9,47.0,,447.0
North Branford School District,2018,Math,Non-High Needs,82.0,81.0,98.8,81.0,,519.0
North Haven School District,2018,Math,High Needs,59.0,57.0,96.6,55.0,,445.0
North Haven School District,2018,Math,Non-High Needs,191.0,190.0,99.5,189.0,,542.0
North Stonington School District,2018,Math,High Needs,10.0,9.0,,9.0,,
North Stonington School District,2018,Math,Non-High Needs,32.0,31.0,96.9,31.0,,513.0
Norwalk School District,2018,Math,High Needs,477.0,447.0,93.7,446.0,18.4,446.0
Norwalk School District,2018,Math,Non-High Needs,355.0,349.0,98.3,349.0,46.4,519.0
Norwich Free Academy District,2018,Math,High Needs,288.0,273.0,94.8,271.0,18.1,441.0
Norwich Free Academy District,2018,Math,Non-High Needs,264.0,256.0,97.0,256.0,,538.0
Norwich School District,2018,Math,High Needs,,,,,,
Norwich School District,2018,Math,Non-High Needs,,,,,,
Old Saybrook School District,2018,Math,High Needs,35.0,31.0,88.6,30.0,,523.0
Old Saybrook School District,2018,Math,Non-High Needs,74.0,73.0,98.6,73.0,,580.0
Oxford School District,2018,Math,High Needs,26.0,26.0,100.0,26.0,26.9,459.0
Oxford School District,2018,Math,Non-High Needs,132.0,130.0,98.5,129.0,,531.0
Path Academy District,2018,Math,High Needs,24.0,11.0,45.8,11.0,,
Plainfield School District,2018,Math,High Needs,82.0,69.0,84.1,65.0,10.8,431.0
Plainfield School District,2018,Math,Non-High Needs,81.0,79.0,97.5,79.0,35.4,488.0
Plainville School District,2018,Math,High Needs,68.0,63.0,92.6,63.0,22.2,454.0
Plainville School District,2018,Math,Non-High Needs,112.0,111.0,99.1,111.0,,537.0
Plymouth School District,2018,Math,High Needs,56.0,53.0,94.6,51.0,,469.0
Plymouth School District,2018,Math,Non-High Needs,70.0,69.0,98.6,68.0,,524.0
Portland School District,2018,Math,High Needs,25.0,25.0,100.0,25.0,,487.0
Portland School District,2018,Math,Non-High Needs,77.0,77.0,100.0,77.0,,562.0
Putnam School District,2018,Math,High Needs,39.0,36.0,92.3,33.0,,442.0
Putnam School District,2018,Math,Non-High Needs,39.0,38.0,97.4,38.0,,471.0
Regional School District 01,2018,Math,High Needs,38.0,35.0,92.1,35.0,,448.0
Regional School District 01,2018,Math,Non-High Needs,72.0,71.0,98.6,71.0,,513.0
Regional School District 04,2018,Math,High Needs,33.0,30.0,90.9,30.0,,462.0
Regional School District 04,2018,Math,Non-High Needs,111.0,108.0,97.3,108.0,,539.0
Regional School District 05,2018,Math,High Needs,69.0,66.0,95.7,66.0,,506.0
Regional School District 05,2018,Math,Non-High Needs,292.0,290.0,99.3,290.0,71.4,591.0
Regional School District 06,2018,Math,High Needs,24.0,21.0,87.5,21.0,,457.0
Regional School District 06,2018,Math,Non-High Needs,64.0,63.0,98.4,63.0,,513.0
Regional School District 07,2018,Math,High Needs,36.0,34.0,94.4,34.0,,486.0
Regional School District 07,2018,Math,Non-High Needs,162.0,160.0,98.8,160.0,,571.0
Regional School District 08,2018,Math,High Needs,46.0,41.0,89.1,41.0,,486.0
Regional School District 08,2018,Math,Non-High Needs,184.0,181.0,98.4,181.0,,594.0
Regional School District 09,2018,Math,High Needs,35.0,31.0,88.6,30.0,,498.0
Regional School District 09,2018,Math,Non-High Needs,196.0,192.0,98.0,191.0,,587.0
Regional School District 10,2018,Math,High Needs,32.0,32.0,100.0,32.0,37.5,491.0
Regional School District 10,2018,Math,Non-High Needs,158.0,157.0,99.4,156.0,74.4,576.0
Regional School District 11,2018,Math,High Needs,19.0,19.0,,19.0,,
Regional School District 11,2018,Math,Non-High Needs,22.0,22.0,100.0,22.0,,524.0
Regional School District 12,2018,Math,High Needs,16.0,16.0,,16.0,,
Regional School District 12,2018,Math,Non-High Needs,51.0,51.0,100.0,51.0,,555.0
Regional School District 13,2018,Math,High Needs,32.0,30.0,93.8,30.0,,475.0
Regional School District 13,2018,Math,Non-High Needs,106.0,105.0,99.1,105.0,,536.0
Regional School District 14,2018,Math,High Needs,62.0,60.0,96.8,59.0,,472.0
Regional School District 14,2018,Math,Non-High Needs,131.0,130.0,99.2,130.0,,537.0
Regional School District 15,2018,Math,High Needs,73.0,68.0,93.2,67.0,,481.0
Regional School District 15,2018,Math,Non-High Needs,231.0,229.0,99.1,227.0,,582.0
Regional School District 16,2018,Math,High Needs,23.0,21.0,91.3,21.0,,475.0
Regional School District 16,2018,Math,Non-High Needs,144.0,142.0,98.6,142.0,,530.0
Regional School District 17,2018,Math,High Needs,34.0,33.0,97.1,33.0,36.4,487.0
Regional School District 17,2018,Math,Non-High Needs,131.0,131.0,100.0,131.0,61.1,557.0
Regional School District 18,2018,Math,High Needs,19.0,17.0,,17.0,,
Regional School District 18,2018,Math,Non-High Needs,97.0,92.0,94.8,92.0,,578.0
Regional School District 19,2018,Math,High Needs,85.0,76.0,89.4,76.0,,479.0
Regional School District 19,2018,Math,Non-High Needs,203.0,180.0,88.7,180.0,,576.0
Ridgefield School District,2018,Math,High Needs,46.0,42.0,91.3,41.0,29.3,488.0
Ridgefield School District,2018,Math,Non-High Needs,358.0,341.0,95.3,340.0,,606.0
Rocky Hill School District,2018,Math,High Needs,58.0,57.0,98.3,57.0,19.3,449.0
Rocky Hill School District,2018,Math,Non-High Needs,124.0,124.0,100.0,124.0,,559.0
Salem School District,2018,Math,High Needs,,,,,,
Seymour School District,2018,Math,High Needs,67.0,63.0,94.0,63.0,31.7,474.0
Seymour School District,2018,Math,Non-High Needs,99.0,98.0,99.0,98.0,52.0,539.0
Shelton School District,2018,Math,High Needs,115.0,107.0,93.0,106.0,26.4,476.0
Shelton School District,2018,Math,Non-High Needs,241.0,239.0,99.2,239.0,59.0,550.0
Simsbury School District,2018,Math,High Needs,72.0,64.0,88.9,64.0,39.1,499.0
Simsbury School District,2018,Math,Non-High Needs,286.0,280.0,97.9,280.0,85.7,614.0
Somers School District,2018,Math,High Needs,21.0,21.0,100.0,21.0,,428.0
Somers School District,2018,Math,Non-High Needs,103.0,103.0,100.0,103.0,,536.0
South Windsor School District,2018,Math,High Needs,101.0,97.0,96.0,96.0,28.1,467.0
South Windsor School District,2018,Math,Non-High Needs,220.0,220.0,100.0,220.0,,561.0
Southington School District,2018,Math,High Needs,127.0,121.0,95.3,119.0,24.4,470.0
Southington School District,2018,Math,Non-High Needs,337.0,327.0,97.0,327.0,,540.0
Sprague School District,2018,Math,High Needs,,,,,,
Stafford School District,2018,Math,High Needs,42.0,38.0,90.5,38.0,26.3,454.0
Stafford School District,2018,Math,Non-High Needs,51.0,51.0,100.0,51.0,56.9,529.0
Stamford Academy District,2018,Math,High Needs,,,,,0.0,374.0
Stamford Academy District,2018,Math,Non-High Needs,,,,,,
Stamford School District,2018,Math,High Needs,645.0,596.0,92.4,589.0,16.0,433.0
Stamford School District,2018,Math,Non-High Needs,448.0,436.0,97.3,435.0,62.3,562.0
Stonington School District,2018,Math,High Needs,52.0,45.0,86.5,45.0,,459.0
Stonington School District,2018,Math,Non-High Needs,123.0,118.0,95.9,118.0,,559.0
Stratford School District,2018,Math,High Needs,265.0,250.0,94.3,250.0,18.4,449.0
Stratford School District,2018,Math,Non-High Needs,224.0,219.0,97.8,219.0,37.4,501.0
Suffield School District,2018,Math,High Needs,52.0,51.0,98.1,49.0,24.5,472.0
Suffield School District,2018,Math,Non-High Needs,163.0,162.0,99.4,162.0,,569.0
The Bridge Academy District,2018,Math,High Needs,28.0,28.0,100.0,28.0,,436.0
The Bridge Academy District,2018,Math,Non-High Needs,6.0,6.0,,6.0,,
The Gilbert School District,2018,Math,High Needs,44.0,42.0,95.5,42.0,21.4,458.0
The Gilbert School District,2018,Math,Non-High Needs,76.0,74.0,97.4,74.0,,542.0
The Woodstock Academy District,2018,Math,High Needs,21.0,20.0,95.2,20.0,,424.0
The Woodstock Academy District,2018,Math,Non-High Needs,278.0,277.0,99.6,277.0,,538.0
Thomaston School District,2018,Math,High Needs,23.0,22.0,95.7,22.0,,469.0
Thomaston School District,2018,Math,Non-High Needs,46.0,46.0,100.0,46.0,,543.0
Thompson School District,2018,Math,High Needs,26.0,22.0,84.6,22.0,,432.0
Thompson School District,2018,Math,Non-High Needs,43.0,43.0,100.0,43.0,,510.0
Tolland School District,2018,Math,High Needs,26.0,24.0,92.3,24.0,,499.0
Tolland School District,2018,Math,Non-High Needs,171.0,170.0,99.4,169.0,,579.0
Torrington School District,2018,Math,High Needs,111.0,106.0,95.5,104.0,12.5,440.0
Torrington School District,2018,Math,Non-High Needs,85.0,85.0,100.0,85.0,,502.0
Trumbull School District,2018,Math,High Needs,120.0,116.0,96.7,116.0,39.7,498.0
Trumbull School District,2018,Math,Non-High Needs,406.0,399.0,98.3,399.0,73.9,584.0
Unified School District #2,2018,Math,High Needs,16.0,14.0,,14.0,,
Vernon School District,2018,Math,High Needs,99.0,87.0,87.9,87.0,18.4,451.0
Vernon School District,2018,Math,Non-High Needs,104.0,104.0,100.0,103.0,,520.0
Voluntown School District,2018,Math,High Needs,,,,,,
Wallingford School District,2018,Math,High Needs,158.0,149.0,94.3,148.0,22.3,461.0
Wallingford School District,2018,Math,Non-High Needs,302.0,297.0,98.3,296.0,,526.0
Waterbury School District,2018,Math,High Needs,928.0,841.0,90.6,827.0,6.9,410.0
Waterbury School District,2018,Math,Non-High Needs,233.0,227.0,97.4,227.0,17.6,451.0
Waterford School District,2018,Math,High Needs,41.0,39.0,95.1,38.0,31.6,467.0
Waterford School District,2018,Math,Non-High Needs,152.0,152.0,100.0,151.0,,540.0
Watertown School District,2018,Math,High Needs,76.0,70.0,92.1,69.0,14.5,427.0
Watertown School District,2018,Math,Non-High Needs,138.0,138.0,100.0,137.0,42.3,509.0
West Hartford School District,2018,Math,High Needs,257.0,244.0,94.9,241.0,33.2,487.0
West Hartford School District,2018,Math,Non-High Needs,509.0,505.0,99.2,504.0,74.6,593.0
West Haven School District,2018,Math,High Needs,269.0,240.0,89.2,237.0,16.0,436.0
West Haven School District,2018,Math,Non-High Needs,102.0,98.0,96.1,97.0,21.6,474.0
Westbrook School District,2018,Math,High Needs,13.0,12.0,,12.0,,
Westbrook School District,2018,Math,Non-High Needs,46.0,44.0,95.7,44.0,,558.0
Weston School District,2018,Math,High Needs,26.0,25.0,96.2,25.0,,496.0
Weston School District,2018,Math,Non-High Needs,185.0,180.0,97.3,177.0,,612.0
Westport School District,2018,Math,High Needs,69.0,63.0,91.3,62.0,,497.0
Westport School District,2018,Math,Non-High Needs,416.0,414.0,99.5,411.0,,626.0
Wethersfield School District,2018,Math,High Needs,79.0,73.0,92.4,73.0,12.3,449.0
Wethersfield School District,2018,Math,Non-High Needs,211.0,209.0,99.1,209.0,47.8,532.0
Wilton School District,2018,Math,High Needs,67.0,61.0,91.0,60.0,48.3,513.0
Wilton School District,2018,Math,Non-High Needs,259.0,256.0,98.8,256.0,79.3,610.0
Winchester School District,2018,Math,High Needs,,,,,,
Windham School District,2018,Math,High Needs,114.0,104.0,91.2,100.0,,405.0
Windham School District,2018,Math,Non-High Needs,14.0,14.0,,14.0,,
Windsor Locks School District,2018,Math,High Needs,62.0,61.0,98.4,61.0,23.0,464.0
Windsor Locks School District,2018,Math,Non-High Needs,53.0,53.0,100.0,53.0,,523.0
Windsor School District,2018,Math,High Needs,72.0,63.0,87.5,63.0,,417.0
Windsor School District,2018,Math,Non-High Needs,207.0,202.0,97.6,202.0,,502.0
Wolcott School District,2018,Math,High Needs,67.0,66.0,98.5,66.0,24.2,463.0
Wolcott School District,2018,Math,Non-High Needs,135.0,132.0,97.8,132.0,,518.0
Woodstock School District,2018,Math,High Needs,,,,,,
