District,fiscal_year,subject,needs_group,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Cromwell School District,2019,Math,High Needs,36.0,34.0,94.4,33.0,21.2,452.0
Cromwell School District,2019,Math,Non-High Needs,92.0,91.0,98.9,91.0,58.2,531.0
Danbury School District,2019,Math,High Needs,443.0,426.0,96.2,423.0,10.9,420.0
Danbury School District,2019,Math,Non-High Needs,298.0,288.0,96.6,288.0,,503.0
Darien School District,2019,Math,High Needs,69.0,65.0,94.2,64.0,,531.0
Darien School District,2019,Math,Non-High Needs,289.0,282.0,97.6,282.0,93.3,650.0
Derby School District,2019,Math,High Needs,57.0,52.0,91.2,50.0,,402.0
Derby School District,2019,Math,Non-High Needs,31.0,30.0,96.8,30.0,,458.0
East Granby School District,2019,Math,High Needs,13.0,13.0,,13.0,,
East Granby School District,2019,Math,Non-High Needs,40.0,40.0,100.0,40.0,,542.0
East Haddam School District,2019,Math,High Needs,19.0,19.0,,19.0,,
East Haddam School District,2019,Math,Non-High Needs,60.0,59.0,98.3,59.0,,529.0
East Hampton School District,2019,Math,High Needs,30.0,28.0,93.3,28.0,,462.0
East Hampton School District,2019,Math,Non-High Needs,88.0,87.0,98.9,87.0,,513.0
East Hartford School District,2019,Math,High Needs,297.0,280.0,94.3,278.0,12.9,421.0
East Hartford School District,2019,Math,Non-High Needs,210.0,209.0,99.5,209.0,30.6,472.0
East Haven School District,2019,Math,High Needs,150.0,145.0,96.7,144.0,6.9,419.0
East Haven School District,2019,Math,Non-High Needs,76.0,74.0,97.4,74.0,24.3,469.0
East Lyme School District,2019,Math,High Needs,67.0,65.0,97.0,65.0,32.3,476.0
East Lyme School District,2019,Math,Non-High Needs,174.0,170.0,97.7,170.0,,554.0
East Windsor School District,2019,Math,High Needs,30.0,26.0,86.7,26.0,,434.0
East Windsor School District,2019,Math,Non-High Needs,41.0,40.0,97.6,40.0,,501.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2019,Math,High Needs,50.0,48.0,96.0,48.0,,415.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2019,Math,Non-High Needs,43.0,42.0,97.7,42.0,,440.0
EdAdvance,2019,Math,High Needs,9.0,7.0,,7.0,,
Ellington School District,2019,Math,High Needs,48.0,44.0,91.7,44.0,,456.0
Ellington School District,2019,Math,Non-High Needs,138.0,137.0,99.3,137.0,,539.0
Elm City College Preparatory School District,2019,Math,High Needs,51.0,50.0,98.0,49.0,,474.0
Enfield School District,2019,Math,High Needs,142.0,140.0,98.6,139.0,21.6,459.0
Enfield School District,2019,Math,Non-High Needs,186.0,185.0,99.5,185.0,51.4,528.0
Explorations District,2019,Math,High Needs,14.0,14.0,,14.0,,
Explorations District,2019,Math,Non-High Needs,8.0,8.0,,8.0,,
Fairfield School District,2019,Math,High Needs,208.0,203.0,97.6,202.0,35.1,492.0
Fairfield School District,2019,Math,Non-High Needs,531.0,528.0,99.4,527.0,78.4,599.0
Farmington School District,2019,Math,High Needs,73.0,71.0,97.3,71.0,,488.0
Farmington School District,2019,Math,Non-High Needs,227.0,225.0,99.1,224.0,76.8,603.0
Glastonbury School District,2019,Math,High Needs,95.0,91.0,95.8,91.0,38.5,483.0
Glastonbury School District,2019,Math,Non-High Needs,402.0,402.0,100.0,402.0,81.3,605.0
Granby School District,2019,Math,High Needs,29.0,29.0,100.0,29.0,,486.0
Granby School District,2019,Math,Non-High Needs,132.0,131.0,99.2,131.0,,566.0
Greenwich School District,2019,Math,High Needs,214.0,211.0,98.6,210.0,25.2,476.0
Greenwich School District,2019,Math,Non-High Needs,478.0,472.0,98.7,472.0,82.4,613.0
Griswold School District,2019,Math,High Needs,65.0,62.0,95.4,62.0,14.5,422.0
Griswold School District,2019,Math,Non-High Needs,66.0,66.0,100.0,66.0,,498.0
Groton School District,2019,Math,High Needs,114.0,101.0,88.6,99.0,21.2,458.0
Groton School District,2019,Math,Non-High Needs,123.0,120.0,97.6,120.0,,537.0
Guilford School District,2019,Math,High Needs,58.0,58.0,100.0,58.0,41.4,500.0
Guilford School District,2019,Math,Non-High Needs,226.0,226.0,100.0,225.0,75.6,595.0
Hamden School District,2019,Math,High Needs,208.0,199.0,95.7,199.0,18.1,435.0
Hamden School District,2019,Math,Non-High Needs,183.0,178.0,97.3,177.0,45.8,518.0
Hartford School District,2019,Math,High Needs,893.0,749.0,83.9,742.0,12.7,415.0
Hartford School District,2019,Math,Non-High Needs,259.0,238.0,91.9,238.0,40.8,500.0
Hartland School District,2019,Math,High Needs,,,,,,
Highville Charter School District,2019,Math,High Needs,,,,,,
Highville Charter School District,2019,Math,Non-High Needs,,,,,,
Jumoke Academy District,2019,Math,High Needs,,,,,,
Killingly School District,2019,Math,High Needs,88.0,76.0,86.4,76.0,13.2,447.0
Killingly School District,2019,Math,Non-High Needs,81.0,80.0,98.8,79.0,,499.0
Learn,2019,Math,High Needs,117.0,107.0,91.5,106.0,22.6,459.0
Learn,2019,Math,Non-High Needs,97.0,97.0,100.0,97.0,,534.0
Lebanon School District,2019,Math,High Needs,29.0,29.0,100.0,28.0,,431.0
Lebanon School District,2019,Math,Non-High Needs,49.0,48.0,98.0,48.0,,555.0
Ledyard School District,2019,Math,High Needs,75.0,75.0,100.0,74.0,20.3,452.0
Ledyard School District,2019,Math,Non-High Needs,112.0,108.0,96.4,108.0,54.6,530.0
Litchfield School District,2019,Math,High Needs,27.0,27.0,100.0,25.0,,464.0
Litchfield School District,2019,Math,Non-High Needs,53.0,53.0,100.0,53.0,,551.0
Madison School District,2019,Math,High Needs,42.0,41.0,97.6,41.0,,475.0
Madison School District,2019,Math,Non-High Needs,240.0,240.0,100.0,240.0,,596.0
Manchester School District,2019,Math,High Needs,228.0,202.0,88.6,202.0,21.8,438.0
Manchester School District,2019,Math,Non-High Needs,149.0,138.0,92.6,138.0,44.2,515.0
Meriden School District,2019,Math,High Needs,418.0,384.0,91.9,380.0,8.4,411.0
Meriden School District,2019,Math,Non-High Needs,131.0,131.0,100.0,131.0,21.4,463.0
Middletown School District,2019,Math,High Needs,157.0,153.0,97.5,152.0,12.5,425.0
Middletown School District,2019,Math,Non-High Needs,162.0,157.0,96.9,157.0,44.6,515.0
Milford School District,2019,Math,High Needs,159.0,150.0,94.3,148.0,29.1,465.0
Milford School District,2019,Math,Non-High Needs,265.0,260.0,98.1,260.0,54.6,542.0
Monroe School District,2019,Math,High Needs,38.0,32.0,84.2,31.0,25.8,472.0
Monroe School District,2019,Math,Non-High Needs,196.0,192.0,98.0,192.0,78.6,586.0
Montville School District,2019,Math,High Needs,68.0,57.0,83.8,56.0,26.8,463.0
Montville School District,2019,Math,Non-High Needs,72.0,71.0,98.6,71.0,,491.0
Naugatuck School District,2019,Math,High Needs,178.0,165.0,92.7,164.0,9.1,420.0
Naugatuck School District,2019,Math,Non-High Needs,132.0,131.0,99.2,130.0,,480.0
New Britain School District,2019,Math,High Needs,443.0,398.0,89.8,397.0,8.8,399.0
New Britain School District,2019,Math,Non-High Needs,96.0,93.0,96.9,93.0,26.9,466.0
New Canaan School District,2019,Math,High Needs,30.0,28.0,93.3,28.0,,481.0
New Canaan School District,2019,Math,Non-High Needs,269.0,266.0,98.9,266.0,,633.0
New Fairfield School District,2019,Math,High Needs,42.0,39.0,92.9,39.0,25.6,459.0
New Fairfield School District,2019,Math,Non-High Needs,151.0,150.0,99.3,150.0,,538.0
New Haven School District,2019,Math,High Needs,958.0,888.0,92.7,880.0,7.8,409.0
New Haven School District,2019,Math,Non-High Needs,271.0,259.0,95.6,259.0,26.6,469.0
New London School District,2019,Math,High Needs,181.0,167.0,92.3,165.0,9.1,411.0
New London School District,2019,Math,Non-High Needs,44.0,44.0,100.0,44.0,,507.0
New Milford School District,2019,Math,High Needs,110.0,103.0,93.6,103.0,,488.0
New Milford School District,2019,Math,Non-High Needs,222.0,222.0,100.0,222.0,,550.0
Newington School District,2019,Math,High Needs,115.0,112.0,97.4,110.0,34.5,485.0
Newington School District,2019,Math,Non-High Needs,194.0,193.0,99.5,193.0,61.7,552.0
Newtown School District,2019,Math,High Needs,65.0,60.0,92.3,60.0,45.0,505.0
Newtown School District,2019,Math,Non-High Needs,351.0,341.0,97.2,341.0,76.5,592.0
North Branford School District,2019,Math,High Needs,42.0,42.0,100.0,42.0,16.7,451.0
North Branford School District,2019,Math,Non-High Needs,92.0,92.0,100.0,92.0,,528.0
North Haven School District,2019,Math,High Needs,74.0,67.0,90.5,67.0,20.9,457.0
North Haven School District,2019,Math,Non-High Needs,183.0,181.0,98.9,179.0,,521.0
North Stonington School District,2019,Math,High Needs,10.0,10.0,,9.0,,
North Stonington School District,2019,Math,Non-High Needs,36.0,36.0,100.0,36.0,,557.0
Norwalk School District,2019,Math,High Needs,463.0,444.0,95.9,439.0,17.1,441.0
Norwalk School District,2019,Math,Non-High Needs,314.0,313.0,99.7,311.0,54.7,530.0
Norwich Free Academy District,2019,Math,High Needs,304.0,278.0,91.4,277.0,20.6,434.0
Norwich Free Academy District,2019,Math,Non-High Needs,302.0,296.0,98.0,295.0,48.1,521.0
Norwich School District,2019,Math,High Needs,,,,,,
Norwich School District,2019,Math,Non-High Needs,,,,,,
Old Saybrook School District,2019,Math,High Needs,47.0,42.0,89.4,42.0,,474.0
Old Saybrook School District,2019,Math,Non-High Needs,80.0,79.0,98.8,79.0,,556.0
Oxford School District,2019,Math,High Needs,29.0,27.0,93.1,27.0,,420.0
Oxford School District,2019,Math,Non-High Needs,107.0,106.0,99.1,106.0,,507.0
Plainfield School District,2019,Math,High Needs,92.0,82.0,89.1,81.0,14.8,435.0
Plainfield School District,2019,Math,Non-High Needs,76.0,76.0,100.0,76.0,,472.0
Plainville School District,2019,Math,High Needs,58.0,57.0,98.3,57.0,21.1,453.0
Plainville School District,2019,Math,Non-High Needs,99.0,98.0,99.0,98.0,,523.0
Plymouth School District,2019,Math,High Needs,39.0,38.0,97.4,37.0,,464.0
Plymouth School District,2019,Math,Non-High Needs,56.0,55.0,98.2,54.0,,514.0
Portland School District,2019,Math,High Needs,28.0,27.0,96.4,25.0,,448.0
Portland School District,2019,Math,Non-High Needs,61.0,61.0,100.0,61.0,,549.0
Preston School District,2019,Math,High Needs,,,,,,
Putnam School District,2019,Math,High Needs,41.0,39.0,95.1,37.0,,414.0
Putnam School District,2019,Math,Non-High Needs,23.0,23.0,100.0,23.0,,468.0
Regional School District 01,2019,Math,High Needs,51.0,49.0,96.1,47.0,,453.0
Regional School District 01,2019,Math,Non-High Needs,43.0,42.0,97.7,42.0,,510.0
Regional School District 04,2019,Math,High Needs,45.0,38.0,84.4,36.0,22.2,457.0
Regional School District 04,2019,Math,Non-High Needs,103.0,102.0,99.0,102.0,65.7,566.0
Regional School District 05,2019,Math,High Needs,84.0,83.0,98.8,83.0,36.1,492.0
Regional School District 05,2019,Math,Non-High Needs,287.0,286.0,99.7,286.0,71.7,584.0
Regional School District 06,2019,Math,High Needs,25.0,25.0,100.0,25.0,24.0,470.0
Regional School District 06,2019,Math,Non-High Needs,83.0,83.0,100.0,83.0,37.3,502.0
Regional School District 07,2019,Math,High Needs,33.0,31.0,93.9,31.0,,499.0
Regional School District 07,2019,Math,Non-High Needs,125.0,125.0,100.0,125.0,,577.0
Regional School District 08,2019,Math,High Needs,53.0,51.0,96.2,51.0,31.4,492.0
Regional School District 08,2019,Math,Non-High Needs,199.0,195.0,98.0,195.0,75.4,591.0
Regional School District 09,2019,Math,High Needs,40.0,38.0,95.0,38.0,,499.0
Regional School District 09,2019,Math,Non-High Needs,169.0,168.0,99.4,168.0,,607.0
Regional School District 10,2019,Math,High Needs,30.0,24.0,80.0,24.0,,449.0
Regional School District 10,2019,Math,Non-High Needs,131.0,126.0,96.2,126.0,,542.0
Regional School District 11,2019,Math,High Needs,9.0,9.0,,9.0,,
Regional School District 11,2019,Math,Non-High Needs,18.0,18.0,,18.0,,
Regional School District 12,2019,Math,High Needs,26.0,26.0,100.0,26.0,,510.0
Regional School District 12,2019,Math,Non-High Needs,49.0,48.0,98.0,48.0,,556.0
Regional School District 13,2019,Math,High Needs,29.0,27.0,93.1,27.0,,477.0
Regional School District 13,2019,Math,Non-High Needs,95.0,95.0,100.0,95.0,,551.0
Regional School District 14,2019,Math,High Needs,48.0,46.0,95.8,46.0,23.9,441.0
Regional School District 14,2019,Math,Non-High Needs,97.0,96.0,99.0,96.0,54.2,532.0
Regional School District 15,2019,Math,High Needs,83.0,78.0,94.0,78.0,,495.0
Regional School District 15,2019,Math,Non-High Needs,238.0,236.0,99.2,235.0,83.4,593.0
Regional School District 16,2019,Math,High Needs,43.0,43.0,100.0,43.0,,470.0
Regional School District 16,2019,Math,Non-High Needs,126.0,126.0,100.0,126.0,,566.0
Regional School District 17,2019,Math,High Needs,37.0,35.0,94.6,35.0,,465.0
Regional School District 17,2019,Math,Non-High Needs,125.0,125.0,100.0,125.0,,566.0
Regional School District 18,2019,Math,High Needs,27.0,26.0,96.3,26.0,,499.0
Regional School District 18,2019,Math,Non-High Needs,102.0,102.0,100.0,102.0,,601.0
Regional School District 19,2019,Math,High Needs,89.0,86.0,96.6,85.0,,499.0
Regional School District 19,2019,Math,Non-High Needs,202.0,201.0,99.5,201.0,76.6,604.0
Ridgefield School District,2019,Math,High Needs,46.0,40.0,87.0,40.0,,488.0
Ridgefield School District,2019,Math,Non-High Needs,345.0,338.0,98.0,338.0,,618.0
Rocky Hill School District,2019,Math,High Needs,57.0,54.0,94.7,54.0,27.8,456.0
Rocky Hill School District,2019,Math,Non-High Needs,125.0,124.0,99.2,124.0,,550.0
Seymour School District,2019,Math,High Needs,64.0,62.0,96.9,62.0,21.0,455.0
Seymour School District,2019,Math,Non-High Needs,98.0,98.0,100.0,98.0,45.9,517.0
Shelton School District,2019,Math,High Needs,124.0,117.0,94.4,116.0,31.0,483.0
Shelton School District,2019,Math,Non-High Needs,247.0,245.0,99.2,245.0,60.0,550.0
Simsbury School District,2019,Math,High Needs,72.0,69.0,95.8,69.0,,479.0
Simsbury School District,2019,Math,Non-High Needs,288.0,287.0,99.7,287.0,,601.0
Somers School District,2019,Math,High Needs,18.0,18.0,,18.0,,
Somers School District,2019,Math,Non-High Needs,87.0,84.0,96.6,84.0,,535.0
South Windsor School District,2019,Math,High Needs,92.0,88.0,95.7,87.0,31.0,474.0
South Windsor School District,2019,Math,Non-High Needs,231.0,230.0,99.6,230.0,,585.0
Southington School District,2019,Math,High Needs,148.0,137.0,92.6,135.0,25.9,471.0
Southington School District,2019,Math,Non-High Needs,380.0,377.0,99.2,377.0,,553.0
Stafford School District,2019,Math,High Needs,38.0,35.0,92.1,35.0,,454.0
Stafford School District,2019,Math,Non-High Needs,60.0,60.0,100.0,60.0,,542.0
Stamford Academy District,2019,Math,High Needs,38.0,29.0,76.3,28.0,0.0,374.0
Stamford School District,2019,Math,High Needs,644.0,570.0,88.5,563.0,20.4,439.0
Stamford School District,2019,Math,Non-High Needs,468.0,449.0,95.9,445.0,59.6,549.0
Sterling School District,2019,Math,High Needs,,,,,,
Stonington School District,2019,Math,High Needs,50.0,48.0,96.0,48.0,,489.0
Stonington School District,2019,Math,Non-High Needs,115.0,115.0,100.0,115.0,,549.0
Stratford School District,2019,Math,High Needs,263.0,258.0,98.1,255.0,15.3,438.0
Stratford School District,2019,Math,Non-High Needs,233.0,232.0,99.6,231.0,,489.0
Suffield School District,2019,Math,High Needs,43.0,41.0,95.3,40.0,22.5,483.0
Suffield School District,2019,Math,Non-High Needs,146.0,144.0,98.6,144.0,52.8,536.0
The Bridge Academy District,2019,Math,High Needs,28.0,28.0,100.0,28.0,,425.0
The Bridge Academy District,2019,Math,Non-High Needs,7.0,7.0,,7.0,,
The Gilbert School District,2019,Math,High Needs,45.0,44.0,97.8,44.0,15.9,429.0
The Gilbert School District,2019,Math,Non-High Needs,46.0,45.0,97.8,45.0,,502.0
The Woodstock Academy District,2019,Math,High Needs,26.0,24.0,92.3,24.0,,426.0
The Woodstock Academy District,2019,Math,Non-High Needs,254.0,252.0,99.2,249.0,,538.0
Thomaston School District,2019,Math,High Needs,19.0,18.0,,18.0,,
Thomaston School District,2019,Math,Non-High Needs,33.0,32.0,97.0,32.0,,536.0
Thompson School District,2019,Math,High Needs,18.0,13.0,,13.0,,
Thompson School District,2019,Math,Non-High Needs,30.0,28.0,93.3,28.0,,486.0
Tolland School District,2019,Math,High Needs,32.0,30.0,93.8,30.0,,508.0
Tolland School District,2019,Math,Non-High Needs,172.0,170.0,98.8,170.0,,582.0
Torrington School District,2019,Math,High Needs,111.0,105.0,94.6,105.0,18.1,440.0
Torrington School District,2019,Math,Non-High Needs,74.0,73.0,98.6,73.0,,492.0
Trumbull School District,2019,Math,High Needs,126.0,123.0,97.6,120.0,32.5,486.0
Trumbull School District,2019,Math,Non-High Needs,364.0,361.0,99.2,360.0,78.6,594.0
Unified School District #2,2019,Math,High Needs,12.0,10.0,,10.0,,
Vernon School District,2019,Math,High Needs,100.0,95.0,95.0,94.0,17.0,447.0
Vernon School District,2019,Math,Non-High Needs,92.0,91.0,98.9,91.0,,527.0
Wallingford School District,2019,Math,High Needs,169.0,159.0,94.1,158.0,21.5,455.0
Wallingford School District,2019,Math,Non-High Needs,304.0,304.0,100.0,304.0,,527.0
Waterbury School District,2019,Math,High Needs,987.0,913.0,92.5,903.0,7.6,399.0
Waterbury School District,2019,Math,Non-High Needs,141.0,138.0,97.9,136.0,23.5,456.0
Waterford School District,2019,Math,High Needs,70.0,67.0,95.7,67.0,,438.0
Waterford School District,2019,Math,Non-High Needs,136.0,136.0,100.0,136.0,,553.0
Watertown School District,2019,Math,High Needs,79.0,74.0,93.7,73.0,21.9,441.0
Watertown School District,2019,Math,Non-High Needs,127.0,127.0,100.0,127.0,,506.0
West Hartford School District,2019,Math,High Needs,247.0,235.0,95.1,234.0,36.3,486.0
West Hartford School District,2019,Math,Non-High Needs,473.0,469.0,99.2,468.0,74.4,591.0
West Haven School District,2019,Math,High Needs,221.0,206.0,93.2,206.0,9.7,423.0
West Haven School District,2019,Math,Non-High Needs,129.0,125.0,96.9,125.0,25.6,458.0
Westbrook School District,2019,Math,High Needs,25.0,22.0,88.0,22.0,,466.0
Westbrook School District,2019,Math,Non-High Needs,29.0,29.0,100.0,29.0,,579.0
Weston School District,2019,Math,High Needs,16.0,13.0,,13.0,,
Weston School District,2019,Math,Non-High Needs,170.0,169.0,99.4,167.0,,599.0
Westport School District,2019,Math,High Needs,64.0,61.0,95.3,61.0,24.6,476.0
Westport School District,2019,Math,Non-High Needs,378.0,376.0,99.5,375.0,,632.0
Wethersfield School District,2019,Math,High Needs,80.0,78.0,97.5,77.0,18.2,448.0
Wethersfield School District,2019,Math,Non-High Needs,191.0,191.0,100.0,190.0,,541.0
Wilton School District,2019,Math,High Needs,58.0,57.0,98.3,56.0,,532.0
Wilton School District,2019,Math,Non-High Needs,253.0,250.0,98.8,250.0,80.8,610.0
Winchester School District,2019,Math,High Needs,,,,,,
Windham School District,2019,Math,High Needs,94.0,84.0,89.4,84.0,15.5,408.0
Windham School District,2019,Math,Non-High Needs,29.0,29.0,100.0,29.0,24.1,452.0
Windsor Locks School District,2019,Math,High Needs,59.0,54.0,91.5,54.0,,408.0
Windsor Locks School District,2019,Math,Non-High Needs,54.0,53.0,98.1,53.0,,490.0
Windsor School District,2019,Math,High Needs,162.0,148.0,91.4,146.0,17.1,439.0
Windsor School District,2019,Math,Non-High Needs,132.0,131.0,99.2,131.0,,500.0
Wolcott School District,2019,Math,High Needs,62.0,60.0,96.8,59.0,,480.0
Wolcott School District,2019,Math,Non-High Needs,145.0,145.0,100.0,145.0,,538.0
Woodstock School District,2019,Math,High Needs,,,,,,
