District,fiscal_year,subject,needs_group,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Rocky Hill School District,2023,ELA,High Needs,48.0,41.0,85.4,41.0,,445.0
Salem School District,2023,ELA,High Needs,,,,,,
Seymour School District,2023,ELA,Non-High Needs,69.0,69.0,100.0,68.0,,549.0
Seymour School District,2023,ELA,High Needs,54.0,53.0,98.1,52.0,,454.0
Shelton School District,2023,ELA,Non-High Needs,180.0,180.0,100.0,180.0,,523.0
Shelton School District,2023,ELA,High Needs,117.0,112.0,95.7,112.0,,449.0
Simsbury School District,2023,ELA,Non-High Needs,231.0,230.0,99.6,230.0,,578.0
Simsbury School District,2023,ELA,High Needs,95.0,88.0,92.6,88.0,,477.0
Somers School District,2023,ELA,Non-High Needs,83.0,83.0,100.0,82.0,,530.0
Somers School District,2023,ELA,High Needs,19.0,19.0,,19.0,,
South Windsor School District,2023,ELA,Non-High Needs,233.0,232.0,99.6,232.0,,558.0
South Windsor School District,2023,ELA,High Needs,84.0,83.0,98.8,82.0,,449.0
Southington School District,2023,ELA,Non-High Needs,327.0,324.0,99.1,324.0,70.4,528.0
Southington School District,2023,ELA,High Needs,152.0,141.0,92.8,140.0,37.1,451.0
Sprague School District,2023,ELA,High Needs,,,,,,
Stafford School District,2023,ELA,Non-High Needs,65.0,65.0,100.0,65.0,73.8,532.0
Stafford School District,2023,ELA,High Needs,35.0,33.0,94.3,33.0,42.4,472.0
Stamford School District,2023,ELA,Non-High Needs,455.0,437.0,96.0,435.0,72.9,548.0
Stamford School District,2023,ELA,High Needs,678.0,579.0,85.4,579.0,27.5,436.0
Stonington School District,2023,ELA,Non-High Needs,99.0,98.0,99.0,98.0,,557.0
Stonington School District,2023,ELA,High Needs,39.0,37.0,94.9,37.0,,472.0
Stratford School District,2023,ELA,Non-High Needs,284.0,276.0,97.2,276.0,48.9,488.0
Stratford School District,2023,ELA,High Needs,283.0,267.0,94.3,266.0,33.8,443.0
Suffield School District,2023,ELA,Non-High Needs,144.0,144.0,100.0,144.0,,542.0
Suffield School District,2023,ELA,High Needs,53.0,50.0,94.3,50.0,,475.0
The Bridge Academy District,2023,ELA,Non-High Needs,,,,,,
The Bridge Academy District,2023,ELA,High Needs,,,,,,416.0
The Gilbert School District,2023,ELA,Non-High Needs,26.0,26.0,100.0,26.0,,491.0
The Gilbert School District,2023,ELA,High Needs,37.0,37.0,100.0,36.0,,444.0
The Woodstock Academy District,2023,ELA,Non-High Needs,210.0,207.0,98.6,207.0,66.7,519.0
The Woodstock Academy District,2023,ELA,High Needs,22.0,21.0,95.5,21.0,,429.0
Thomaston School District,2023,ELA,Non-High Needs,24.0,24.0,100.0,24.0,,535.0
Thomaston School District,2023,ELA,High Needs,19.0,18.0,,18.0,,
Thompson School District,2023,ELA,Non-High Needs,27.0,26.0,96.3,26.0,,519.0
Thompson School District,2023,ELA,High Needs,36.0,24.0,66.7,24.0,,439.0
Tolland School District,2023,ELA,Non-High Needs,147.0,147.0,100.0,147.0,,565.0
Tolland School District,2023,ELA,High Needs,44.0,39.0,88.6,38.0,,457.0
Torrington School District,2023,ELA,Non-High Needs,93.0,86.0,92.5,86.0,,502.0
Torrington School District,2023,ELA,High Needs,148.0,124.0,83.8,123.0,25.2,430.0
Trumbull School District,2023,ELA,Non-High Needs,367.0,365.0,99.5,365.0,81.4,554.0
Trumbull School District,2023,ELA,High Needs,176.0,169.0,96.0,169.0,52.7,502.0
Unified School District #2,2023,ELA,High Needs,15.0,13.0,,13.0,,
Vernon School District,2023,ELA,Non-High Needs,111.0,108.0,97.3,108.0,,515.0
Vernon School District,2023,ELA,High Needs,130.0,121.0,93.1,118.0,,431.0
Wallingford School District,2023,ELA,Non-High Needs,242.0,239.0,98.8,239.0,,525.0
Wallingford School District,2023,ELA,High Needs,158.0,146.0,92.4,145.0,,451.0
Waterbury School District,2023,ELA,Non-High Needs,175.0,171.0,97.7,168.0,43.5,465.0
Waterbury School District,2023,ELA,High Needs,990.0,947.0,95.7,924.0,17.0,410.0
Waterford School District,2023,ELA,Non-High Needs,108.0,107.0,99.1,107.0,,569.0
Waterford School District,2023,ELA,High Needs,63.0,62.0,98.4,61.0,,477.0
Watertown School District,2023,ELA,Non-High Needs,115.0,114.0,99.1,113.0,,510.0
Watertown School District,2023,ELA,High Needs,70.0,63.0,90.0,60.0,,441.0
West Hartford School District,2023,ELA,Non-High Needs,469.0,466.0,99.4,466.0,85.4,584.0
West Hartford School District,2023,ELA,High Needs,261.0,232.0,88.9,231.0,38.1,459.0
West Haven School District,2023,ELA,Non-High Needs,167.0,166.0,99.4,164.0,50.6,478.0
West Haven School District,2023,ELA,High Needs,264.0,240.0,90.9,234.0,23.9,425.0
Westbrook School District,2023,ELA,Non-High Needs,28.0,28.0,100.0,28.0,,518.0
Westbrook School District,2023,ELA,High Needs,22.0,20.0,90.9,20.0,,495.0
Weston School District,2023,ELA,Non-High Needs,156.0,154.0,98.7,153.0,,609.0
Weston School District,2023,ELA,High Needs,25.0,18.0,72.0,18.0,,
Westport School District,2023,ELA,Non-High Needs,339.0,338.0,99.7,337.0,94.1,625.0
Westport School District,2023,ELA,High Needs,76.0,75.0,98.7,74.0,,496.0
Wethersfield School District,2023,ELA,Non-High Needs,184.0,184.0,100.0,184.0,,530.0
Wethersfield School District,2023,ELA,High Needs,84.0,80.0,95.2,80.0,15.0,411.0
Wilton School District,2023,ELA,Non-High Needs,250.0,246.0,98.4,246.0,,622.0
Wilton School District,2023,ELA,High Needs,66.0,65.0,98.5,65.0,73.8,547.0
Winchester School District,2023,ELA,High Needs,,0.0,,0.0,,
Windham School District,2023,ELA,Non-High Needs,17.0,16.0,,16.0,,
Windham School District,2023,ELA,High Needs,106.0,104.0,98.1,104.0,,386.0
Windsor Locks School District,2023,ELA,Non-High Needs,48.0,47.0,97.9,47.0,,498.0
Windsor Locks School District,2023,ELA,High Needs,54.0,43.0,79.6,43.0,37.2,455.0
Windsor School District,2023,ELA,Non-High Needs,150.0,148.0,98.7,147.0,55.1,499.0
Windsor School District,2023,ELA,High Needs,145.0,128.0,88.3,124.0,28.2,440.0
Wolcott School District,2023,ELA,Non-High Needs,89.0,83.0,93.3,83.0,,512.0
Wolcott School District,2023,ELA,High Needs,67.0,59.0,88.1,59.0,25.4,441.0
Woodstock School District,2023,ELA,High Needs,,0.0,,0.0,,
