sedaadmin,sedaadminname,subject,grade,year,fips,stateabb,multi_comp_all,multi_comp_asn,multi_comp_blk,multi_comp_ecd,multi_comp_fem,multi_comp_hsp,multi_comp_mal,multi_comp_mfg,multi_comp_nam,multi_comp_nec,multi_comp_neg,multi_comp_wag,multi_comp_wbg,multi_comp_whg,multi_comp_wht,multi_comp_wng,tot_asmt_all,flag_estasmt_all,gcs_mn_all,gcs_mn_se_all,gcs_mn_se_adj_all,tot_asmt_asn,flag_estasmt_asn,gcs_mn_asn,gcs_mn_se_asn,gcs_mn_se_adj_asn,tot_asmt_blk,flag_estasmt_blk,gcs_mn_blk,gcs_mn_se_blk,gcs_mn_se_adj_blk,tot_asmt_ecd,flag_estasmt_ecd,gcs_mn_ecd,gcs_mn_se_ecd,gcs_mn_se_adj_ecd,tot_asmt_fem,flag_estasmt_fem,gcs_mn_fem,gcs_mn_se_fem,gcs_mn_se_adj_fem,tot_asmt_hsp,flag_estasmt_hsp,gcs_mn_hsp,gcs_mn_se_hsp,gcs_mn_se_adj_hsp,tot_asmt_mal,flag_estasmt_mal,gcs_mn_mal,gcs_mn_se_mal,gcs_mn_se_adj_mal,tot_asmt_mfg,flag_estasmt_mfg,gcs_mn_mfg,gcs_mn_se_mfg,gcs_mn_se_adj_mfg,tot_asmt_nam,flag_estasmt_nam,gcs_mn_nam,gcs_mn_se_nam,gcs_mn_se_adj_nam,tot_asmt_nec,flag_estasmt_nec,gcs_mn_nec,gcs_mn_se_nec,gcs_mn_se_adj_nec,tot_asmt_neg,flag_estasmt_neg,gcs_mn_neg,gcs_mn_se_neg,gcs_mn_se_adj_neg,tot_asmt_wag,flag_estasmt_wag,gcs_mn_wag,gcs_mn_se_wag,gcs_mn_se_adj_wag,tot_asmt_wbg,flag_estasmt_wbg,gcs_mn_wbg,gcs_mn_se_wbg,gcs_mn_se_adj_wbg,tot_asmt_whg,flag_estasmt_whg,gcs_mn_whg,gcs_mn_se_whg,gcs_mn_se_adj_whg,tot_asmt_wht,flag_estasmt_wht,gcs_mn_wht,gcs_mn_se_wht,gcs_mn_se_adj_wht,tot_asmt_wng,flag_estasmt_wng,gcs_mn_wng,gcs_mn_se_wng,gcs_mn_se_adj_wng
901290,East Haven School District,mth,7,2016,9,CT,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,240,0,5.764972308910115,.2185424027704204,.226393364275311,,0,,,,,0,,,,119,0,4.887419722423601,.346858928562474,.3525839148385335,111,0,5.882843660487579,.3045842640669016,.3101976047985996,48,0,4.650205060608504,.4907532253051475,.4950301018682567,129,0,5.711762851719606,.323018906863298,.3284704391261914,240,0,-.3036505107401952,.444121027314005,.444121027314005,,,,,,121,0,6.612239983233388,.2756575225818946,.2814912292890886,240,0,1.754990001499008,.4430673735466187,.4430673735466187,,0,,,,,0,,,,210,0,1.502146275684216,.5468276730368821,.5468276730368821,162,0,6.058354613621072,.2394590945330095,.2464556889450361,,,,,
901290,East Haven School District,rla,7,2016,9,CT,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,242,0,7.604681823084237,.2026231914198231,.2097143131845226,,0,,,,,0,,,,120,0,6.86995301957618,.3042481173794216,.3092536828584981,113,0,8.380800888536355,.2926071515366391,.2976801965509884,49,0,6.628402941105252,.470473414245715,.473824101315543,129,0,6.910136695097982,.2713053869744997,.2768795898553789,242,0,-1.520890520990426,.3991316327337711,.3991316327337711,,,,,,122,0,8.254837959217323,.2651158930724187,.2706686866909869,242,0,1.469460541876904,.4035627792478942,.4035627792478942,,0,,,,,0,,,,212,0,1.045914527450962,.5242614263007365,.5242614263007365,163,0,7.740223440122211,.2296769673620793,.2359522777586224,,,,,
901290,East Haven School District,mth,7,2017,9,CT,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,220,0,6.006293964981214,.2310932558408252,.2420759953054539,,0,,,,,0,,,,126,0,5.116912101565485,.3534557793924879,.3618082974226878,119,0,5.788764082168539,.2787183530795704,.2882099713292386,49,0,5.149635929916911,.4826507627103216,.4888636894913344,101,0,6.32930388494884,.3934554188922029,.399779131248584,220,0,.4497771013433845,.4822934636526403,.4822934636526403,,,,,,94,0,6.957040436863958,.3303807030688201,.3376207465014732,220,0,1.772357606971381,.4841681797503143,.4841681797503143,,0,,,,,0,,,,198,0,.9376692046307818,.5545770083241292,.5545770083241292,149,0,6.034943804321942,.2712854922599052,.2806014388815521,,,,,
901290,East Haven School District,rla,7,2017,9,CT,0,,0,0,0,0,0,0,,0,0,,0,0,0,,219,0,6.863609923004967,.2288284635589126,.2409272824838307,,,,,,,0,,,,126,0,6.092440193994566,.3070788530556475,.3173231106930499,118,0,7.09133067281511,.2802227199980815,.2899615125112942,49,0,6.620216123706567,.4813114895987584,.4873926999105142,101,0,6.528634540471437,.3919028499775676,.3994119684487709,219,0,-.4793824742995068,.4818964540653195,.4818964540653195,,,,,,93,0,7.880607285574837,.3220448290835616,.3303380339617615,219,0,1.745762577187119,.4452807971619052,.4452807971619052,,,,,,,0,,,,198,0,.2611516345314834,.5540979990248689,.5540979990248689,149,0,6.892380241270753,.2726636989187414,.2828824166313194,,,,,
901290,East Haven School District,mth,7,2018,9,CT,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,209,0,4.887099794244099,.3340095207844929,.3403641581753941,,0,,,,,0,,,,94,0,4.487778812309077,.3737849759713499,.3799179128622375,108,0,5.205697295685185,.4087870764722681,.4137563244619195,52,0,3.985133156252376,.5218297996414965,.5265713818853673,101,0,4.323197925457213,.6037561167706414,.6075961350378132,209,0,-.8886774669946226,.7292016750713032,.7292016750713032,,,,,,115,0,5.665679454278142,.3637713705804498,.369051770320656,209,0,1.233284835850263,.5218245862151411,.5218245862151411,,0,,,,,0,,,,179,0,1.72473373494067,.6182617946982928,.6182617946982928,127,0,5.657040139879725,.3297091136348103,.3355236366205414,,,,,
901290,East Haven School District,rla,7,2018,9,CT,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,207,0,5.942712887019668,.3409882976412408,.346257590850674,,0,,,,,0,,,,94,0,5.5915463826422,.348909418110559,.3543855106416223,107,0,6.74778236848263,.4145311786607899,.4184371092619285,50,0,5.675288048461671,.4927130250827106,.4965627208824923,100,0,4.957672370103703,.5882226489201003,.5919352726555586,207,0,-1.672734640602964,.719690137679291,.719690137679291,,,,,,113,0,6.559922891418012,.4250071835148906,.4288784061595525,207,0,.9085409797948049,.5501733454940939,.5501733454940939,,0,,,,,0,,,,177,0,.9942582322230346,.6305736386476855,.6305736386476855,127,0,6.573083060843524,.3911564490550176,.3953767785490636,,,,,
901290,East Haven School District,mth,7,2019,9,CT,0,,0,0,0,0,0,0,,0,0,,0,0,0,,216,0,6.031532128681508,.2339557156533335,.2539058404232686,,,,,,,0,,,,126,0,5.883114997058866,.2603907140738723,.27871717321324,114,0,6.36681848944121,.2931237817792399,.3090067733968341,75,0,5.859189835352224,.3974303885094249,.4097310309743405,102,0,5.630913305747331,.4000675589549029,.4124586465610859,216,0,-.7826373219421956,.4960482929868212,.4960482929868212,,,,,,90,0,6.472498474540647,.3666389019344486,.3793909295810344,216,0,.4233156083677489,.449935523974769,.449935523974769,,,,,,,0,,,,202,0,.3125550454435931,.5138665990374588,.5138665990374588,127,0,6.073110377056492,.3248589036028109,.3394805947476021,,,,,
901290,East Haven School District,rla,7,2019,9,CT,0,,0,0,0,0,0,0,,0,0,,0,0,0,,215,0,6.822667499740447,.2405217554379118,.2552434628631507,,,,,,,0,,,,126,0,6.319731941102068,.3134109684306242,.3253175378650617,114,0,7.760157674847735,.3074725863475787,.318929595527529,73,0,6.279985184900392,.4030996004693203,.4125087758317998,101,0,5.714173873827131,.3649354424867746,.3760880876769017,215,0,-2.068762900808899,.477308676811526,.477308676811526,,,,,,89,0,7.472463750492394,.339497803624106,.3498757974517078,215,0,1.128753513764289,.4623940645701687,.4623940645701687,,,,,,,0,,,,201,0,.8081917609431594,.5157237030230071,.5157237030230071,128,0,7.030740640410972,.3207453370678134,.3317653172157097,,,,,
901290,East Haven School District,mth,7,2022,9,CT,0,,,0,0,0,0,0,,0,0,,,0,0,,216,0,5.945583815477222,.228936494234396,.2558049870193928,,,,,,,,,,,71,0,5.617133644570863,.4154935410395669,.4309523250807341,95,0,5.986415337085351,.3452170082386353,.3634904159088401,80,0,4.972020919783711,.389009842788637,.4061651861767,121,0,5.793859258476232,.3272096727399155,.3465691935699862,216,0,-.1925560786091189,.4756479293677168,.4756479293677168,,,,,,145,0,6.124079393182215,.2541862201327357,.2785046198575237,216,0,.5069457486113516,.4870785533678996,.4870785533678996,,,,,,,,,,,192,0,1.320456754690378,.4906948910350963,.4906948910350963,112,0,6.292477674474089,.2990866401254074,.3199203160202877,,,,,
901290,East Haven School District,rla,7,2022,9,CT,0,,,0,0,0,0,0,,0,0,,,0,0,,216,0,6.366840369514506,.2307480713906072,.2458575169790815,,,,,,,,,,,71,0,6.013554298683498,.3874661562984719,.3968052519719478,95,0,6.812054300104013,.3269180972465691,.3375457610746284,80,0,5.09664661540169,.3877140979841291,.3981072020094526,121,0,6.013646456184258,.3150302839341529,.326492646329199,216,0,-.7984078439197555,.4540038789514361,.4540038789514361,,,,,,145,0,6.561980323299136,.2677554996749547,.2807491123024216,216,0,.5484260246156376,.470980923056228,.470980923056228,,,,,,,,,,,192,0,1.862006546375113,.4758413638859741,.4758413638859741,112,0,6.958653161776803,.275867326461865,.2883998249843359,,,,,
