District,District Code,fiscal_year,total_expenditures,ppe_total,pupils_enrolled_plus_outplaced,pupils_enrolled_in_district,pupils_transported,exp_central_and_other_support_services,exp_enterprise_operations,exp_food_services,exp_instruction,exp_minor_school_construction,exp_operation_and_maintenance_of_plant,exp_student_transportation_services,exp_support_services_general_administration,exp_support_services_instruction,exp_support_services_school_based_administration,exp_support_services_students,ppe_central_and_other_support_services,ppe_enterprise_operations,ppe_food_services,ppe_instruction,ppe_minor_school_construction,ppe_operation_and_maintenance_of_plant,ppe_student_transportation_services,ppe_support_services_general_administration,ppe_support_services_instruction,ppe_support_services_school_based_administration,ppe_support_services_students,cpi_u,deflator,ppe_total_real,total_expenditures_real,exp_central_and_other_support_services_real,exp_enterprise_operations_real,exp_food_services_real,exp_instruction_real,exp_minor_school_construction_real,exp_operation_and_maintenance_of_plant_real,exp_student_transportation_services_real,exp_support_services_general_administration_real,exp_support_services_instruction_real,exp_support_services_school_based_administration_real,exp_support_services_students_real,ppe_central_and_other_support_services_real,ppe_enterprise_operations_real,ppe_food_services_real,ppe_instruction_real,ppe_minor_school_construction_real,ppe_operation_and_maintenance_of_plant_real,ppe_student_transportation_services_real,ppe_support_services_general_administration_real,ppe_support_services_instruction_real,ppe_support_services_school_based_administration_real,ppe_support_services_students_real
Capitol Region Education Council,2410014,2020,209467162.0,23573.0,8886.0,8886.0,7474.0,12242357.0,0.0,0.0,100882026.0,,22297195.0,21828989.0,6465469.0,9020521.0,15553194.0,21177411.0,1378.0,0.0,0.0,11353.0,,2509.0,2921.0,728.0,1015.0,1750.0,2383.0,258.856,1.2437880520443798,29319.815750842165,260532753.39124453,15226897.365461877,0.0,0.0,125475858.60483047,,27732984.735103685,27150635.706408195,8041673.093063325,11219616.243015422,19344876.868328337,26340210.77503322,1713.9399357171553,0.0,0.0,14120.725754859845,,3120.664222579349,3633.1049000216335,905.4777018883085,1262.4448728250454,2176.6290910776647,2963.9469280217572
Chaplin School District,0240011,2020,3839188.0,24610.0,156.0,139.0,230.0,67038.0,0.0,10303.0,2435791.0,,239078.0,220495.0,153602.0,335980.0,217432.0,159469.0,482.0,0.0,74.0,15614.0,,1720.0,959.0,1105.0,2417.0,1564.0,1147.0,258.856,1.2437880520443798,30609.623960812187,4775136.163952159,83381.06343295114,0.0,12814.748300213245,3029607.743077232,,297362.3599066662,274249.04653552553,191048.33237012083,417887.9097258707,270439.3237321136,198345.6368714652,599.505841085391,0.0,92.0403158512841,19420.506644620946,,2139.3154495163335,1192.7927419105602,1374.3857975090398,3006.235721791266,1945.2845133974101,1426.6248956949037
Cheshire School District,0250011,2020,73616239.0,17354.0,4242.0,4188.0,3607.0,2202620.0,910257.0,73093.0,45929713.0,,6953342.0,3927680.0,988389.0,2764565.0,3801876.0,6064704.0,526.0,217.0,17.0,10827.0,,1660.0,1089.0,236.0,660.0,908.0,1448.0,258.856,1.2437880520443798,21584.69785517817,91562998.5046435,2739592.439193992,1132166.780889761,90912.20008807986,57126828.263227426,,8648483.701378372,4885201.45625367,1229346.4289720925,3438532.916100071,4728727.944154278,7543206.374385758,654.2325153753438,269.9020072936304,21.144396884754457,13466.4932394845,,2064.6881663936706,1354.4851886763297,293.53398028247364,820.9001143492907,1129.359551256297,1801.005099360262
Chester School District,0260011,2020,4800366.0,24492.0,196.0,186.0,187.0,112677.0,0.0,56893.0,2835891.0,,421342.0,135706.0,379859.0,74388.0,466909.0,316701.0,606.0,0.0,306.0,14469.0,,2265.0,726.0,2042.0,400.0,2510.0,1703.0,258.856,1.2437880520443798,30462.85697067095,5970637.876240071,140146.30634020458,0.0,70762.8336449609,3527247.3427001885,,524060.14542448305,168789.5013907346,472464.0856615261,92522.90561547733,580735.8355919893,393908.91987050715,753.7355595388942,0.0,380.5991439255802,17996.369325030133,,2817.1799378805204,902.9901257842198,2539.8152022746235,497.5152208177519,3121.908010631393,2118.1710526315787
Clinton School District,0270011,2020,33097916.0,19446.0,1702.0,1679.0,1551.0,1557856.0,0.0,46770.0,20714930.0,,2007632.0,1488253.0,2377682.0,885079.0,1314261.0,2705453.0,928.0,0.0,28.0,12171.0,,1196.0,960.0,1416.0,527.0,783.0,1611.0,258.856,1.2437880520443798,24186.70246005501,41166792.46836851,1937642.6796056493,0.0,58171.96719411564,25764982.432935685,,2497068.6945019625,1851071.2998192045,2957332.463160985,1100850.6853153876,1634662.1290678987,3365010.1167676235,1154.2353122971845,0.0,34.826065457242635,15138.144381432146,,1487.5705102450784,1194.0365299626046,1761.2038816948418,655.4763034273882,973.8860447507494,2003.742551843496
Colchester School District,0280011,2020,43102400.0,17767.0,2426.0,2312.0,2389.0,953384.0,505673.0,139260.0,26013401.0,,4078267.0,2510888.0,2061099.0,1022999.0,2462138.0,3355292.0,412.0,219.0,60.0,10723.0,,1764.0,1051.0,891.0,442.0,1065.0,1451.0,258.856,1.2437880520443798,22098.382320672496,53610250.13443767,1185807.628210279,628950.0356414376,173209.92412770033,32355157.35683932,,5072499.767646877,3123012.4944216087,2563570.310280619,1272393.9334533485,3062377.8268844453,4173272.1007200913,512.4406774422845,272.3895833977192,74.62728312266279,13337.139282071885,,2194.042123806286,1307.2212426986432,1108.2151543715424,549.7543190036158,1324.6342754272646,1804.7364635163951
Colebrook School District,0290011,2020,1999051.0,24680.0,81.0,74.0,78.0,83392.0,0.0,14699.0,1283283.0,,113016.0,104475.0,141590.0,25945.0,157538.0,75112.0,1127.0,0.0,199.0,15843.0,,1527.0,1339.0,1913.0,351.0,2129.0,1015.0,258.856,1.2437880520443798,30696.689124455293,2486395.7492273697,103721.97323608492,0.0,18282.44057700034,1596132.0627916679,,140567.95048984763,129944.75673733657,176107.95028896374,32270.081010291433,195943.88214296752,93423.40816515745,1401.749134654016,0.0,247.51382235683158,19705.334108539108,,1899.2643554717679,1665.4322016874246,2379.3665435608987,436.56960626757734,2648.0247628024845,1262.4448728250454
Columbia School District,0300011,2020,12301640.0,19132.0,643.0,408.0,644.0,132852.0,371480.0,0.0,7530158.0,,467734.0,636914.0,520515.0,104377.0,541425.0,1996185.0,326.0,910.0,0.0,11711.0,,1146.0,989.0,1276.0,256.0,1327.0,4893.0,258.856,1.2437880520443798,23796.153011713075,15300632.852551224,165239.73029019995,462042.3855734462,0.0,9365920.550406404,,581761.9607349259,792186.0233797941,647410.3379098803,129822.86550823624,673417.9460781283,2482831.05267021,405.4749049664678,1131.8471273603857,0.0,14566.001877491732,,1425.3811076428592,1230.1063834718916,1587.0735544086288,318.40974132336123,1650.506745062892,6085.85493865315
Common Ground High School District,2680013,2020,3652584.0,16379.0,223.0,223.0,223.0,0.0,0.0,0.0,1542124.0,,209500.0,7588.0,294306.0,392969.0,513496.0,692601.0,0.0,0.0,0.0,6915.0,,939.0,34.0,1320.0,1762.0,2303.0,3106.0,258.856,1.2437880520443798,20372.004504434895,4543040.338288469,0.0,0.0,0.0,1918075.4059708873,,260573.59690329758,9437.863738912754,366054.28644497326,488770.1470238279,638680.1895725809,861448.8486339895,0.0,0.0,0.0,8600.794379886886,,1167.9169808696727,42.288793769508914,1641.8002286985813,2191.5545477021974,2864.443883858207,3863.205689649844
Connecticut Technical Education and Career System,9000016,2020,0.0,0.0,11074.0,11074.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,258.856,1.2437880520443798,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Cooperative Educational Services,2430014,2020,33376260.0,32499.0,1027.0,1027.0,157.0,203675.0,86914.0,0.0,29129608.0,,0.0,177640.0,877448.0,323874.0,1487659.0,1089442.0,198.0,85.0,0.0,28364.0,,0.0,1131.0,854.0,315.0,1449.0,1061.0,258.856,1.2437880520443798,40421.8679033903,41512993.40992675,253328.53150013907,108102.59475538523,0.0,36231058.391136386,,0.0,220946.50956516364,1091359.338690237,402830.61156782147,1850332.48971629,1355034.9429953333,246.2700343047872,105.72198442377228,0.0,35278.80430818679,,0.0,1406.7242868621936,1062.1949964459004,391.79323639397967,1802.2488874123064,1319.659123219087
Cornwall School District,0310011,2020,2985414.0,32807.0,91.0,87.0,122.0,236.0,12423.0,0.0,1853696.0,,283895.0,191678.0,163823.0,135947.0,266246.0,77469.0,3.0,143.0,0.0,20370.0,,3263.0,1571.0,1883.0,1563.0,3060.0,890.0,258.856,1.2437880520443798,40804.954623419966,3713222.2636060202,293.53398028247364,15451.57897054733,0.0,2305604.9369224585,,353105.2090351392,238406.80623976263,203761.09005006644,169089.2543112773,331153.5937046079,96355.01660382606,3.7313641561331394,177.8616914423463,0.0,25335.962620144015,,4058.4804138208115,1953.9910297617207,2342.052901999567,1944.0407253453657,3805.991439255802,1106.971366319498
Coventry School District,0320011,2020,28968196.0,16544.0,1751.0,1674.0,1612.0,2293547.0,0.0,0.0,18413460.0,,2412842.0,1549548.0,653795.0,394742.0,1601509.0,1648753.0,1370.0,0.0,0.0,10516.0,,1441.0,961.0,391.0,236.0,957.0,985.0,258.856,1.2437880520443798,20577.22953302222,36030296.0740798,2852686.355402231,0.0,0.0,22902441.544797108,,3001064.0510708652,1927309.2884692647,813182.4094863553,490975.38324010256,1991937.7594415427,2050699.2821723274,1703.9896313008003,0.0,0.0,13079.675155298699,,1792.2985829959514,1195.280318014649,486.32112834935253,293.53398028247364,1190.3051658064715,1225.1312312637142
Cromwell School District,0330011,2020,32691506.0,15590.0,2097.0,1968.0,2027.0,869446.0,371441.0,123493.0,20285145.0,,3339602.0,1294073.0,1235085.0,586593.0,2279344.0,2307285.0,442.0,189.0,63.0,9673.0,,1697.0,638.0,628.0,298.0,1158.0,1172.0,258.856,1.2437880520443798,19390.65573137188,40661304.56613716,1081406.546697778,461993.8778394165,153599.1179111166,25230420.98498779,,4153757.066183515,1609552.5358732268,1536183.9662592327,729597.3648128689,2835020.833699045,2869773.515661217,549.7543190036158,235.07594183638778,78.35864727879593,12031.161827425285,,2110.7083243193124,793.5367772043144,781.0988966838705,370.6488395092252,1440.3065642673919,1457.719596996013
Danbury School District,0340011,2020,157178903.0,13132.0,11969.0,11904.0,11158.0,25655181.0,700243.0,0.0,85246458.0,,13085403.0,10059418.0,4639562.0,3549252.0,6859217.0,7384169.0,2155.0,59.0,0.0,7122.0,,1099.0,902.0,390.0,298.0,576.0,620.0,258.856,1.2437880520443798,16333.424699446796,195497241.58484253,31909607.600835983,870953.8769277127,0.0,106028525.93950304,,16275467.907585684,12511783.91892017,5770631.782319127,4414517.231294619,8531412.150979694,9184341.176476495,2680.3632521556383,73.38349507061841,0.0,8858.258506660073,,1366.9230691967734,1121.8968229440306,485.0773402973081,370.6488395092252,716.4219179775628,771.1485922675155
Darien School District,0350011,2020,104207164.0,21805.0,4779.0,4737.0,2167.0,4847523.0,1833556.0,283137.0,64148814.0,,8353488.0,3778761.0,3618958.0,4756969.0,3652034.0,8933923.0,1023.0,387.0,60.0,13423.0,,1763.0,1744.0,764.0,1004.0,771.0,1886.0,258.856,1.2437880520443798,27120.7984748277,129611625.52062923,6029291.189410328,2280555.045554285,352162.41769168957,79787528.40601724,,10389968.567296103,4699977.783331273,4501216.721250425,5916661.206145502,4542356.254859844,11111906.685284482,1272.3951772414005,481.345976141175,74.62728312266279,16695.36702259171,,2192.7983357542416,2169.1663627653984,950.2540717619062,1248.7632042525574,958.9605881262169,2345.7842661557
Deep River School District,0360011,2020,5348818.0,21310.0,251.0,235.0,235.0,172851.0,0.0,88363.0,3143816.0,,413542.0,145510.0,459680.0,78397.0,452229.0,394429.0,736.0,0.0,376.0,12525.0,,1760.0,619.0,1956.0,334.0,1924.0,1678.0,258.856,1.2437880520443798,26505.123389065735,6652795.920959916,214990.0085839231,0.0,109904.84364279754,3910240.778625954,,514358.5986185369,180983.5994529777,571744.4917637606,97509.25191612325,562477.0269879778,490586.07757981267,915.4280063046635,0.0,467.6643075686868,15578.445351855857,,2189.0669715981085,769.9048042154711,2432.849429798807,415.42520938282286,2393.0482121333866,2087.076351330469
Derby School District,0370011,2020,26183854.0,18544.0,1412.0,1280.0,1189.0,704519.0,309175.0,0.0,17206875.0,,2309842.0,1114771.0,832393.0,518499.0,1640955.0,1546824.0,550.0,242.0,0.0,12186.0,,1805.0,938.0,650.0,405.0,1282.0,1208.0,258.856,1.2437880520443798,23064.805637110978,32567164.76167444,876272.3146382545,384548.17099082115,0.0,21401705.538021136,,2872953.881710294,1386538.8505655653,1035320.4680053775,644902.8611969589,2041000.2229424852,1923921.2098154956,684.083428624409,300.9967085947399,0.0,15156.801202212813,,2245.0374339401055,1166.6731928176282,808.4622338288468,503.7341610779738,1594.5362827208949,1502.4959668696108
East Granby School District,0400011,2020,17830322.0,20193.0,883.0,831.0,846.0,403258.0,546252.0,0.0,10617189.0,,1271708.0,826742.0,470063.0,1358359.0,1296183.0,1040568.0,485.0,657.0,0.0,12024.0,,1530.0,977.0,566.0,1635.0,1560.0,1252.0,258.856,1.2437880520443798,25115.812134932163,22177141.46770405,501567.48229131254,679421.7110053466,0.0,13205532.824497016,,1581735.2160892542,1028291.8217232747,584658.7431081373,1689510.6945869518,1612176.9286630403,1294246.0457397162,603.2372052415242,817.1687501931575,0.0,14955.307537781622,,1902.995719627901,1215.1809268473592,703.984037457119,2033.593465092561,1940.3093611892325,1557.2226411595634
East Haddam School District,0410011,2020,21540137.0,20994.0,1026.0,996.0,1139.0,212483.0,0.0,60390.0,13100521.0,,2343778.0,1027291.0,1168814.0,838689.0,1163796.0,1624375.0,213.0,0.0,61.0,12769.0,,2353.0,902.0,1174.0,842.0,1168.0,1631.0,258.856,1.2437880520443798,26112.08636461971,26791365.03999907,264283.81666254596,0.0,75112.3604629601,16294271.49535649,,2915163.0730444724,1277732.271772723,1453756.8882621997,1043151.3575810489,1447515.559817041,2020378.2170395895,264.92685508545287,0.0,75.87107117470717,15881.929636554685,,2926.6332864604256,1121.8968229440306,1460.207173100102,1047.2695398213677,1452.7444447878356,2028.6183128843834
East Hampton School District,0420011,2020,32715828.0,17219.0,1900.0,1837.0,1934.0,1297461.0,0.0,0.0,21668916.0,,2444654.0,1356860.0,851718.0,645393.0,1688312.0,2762513.0,706.0,0.0,0.0,11405.0,,1331.0,702.0,464.0,351.0,919.0,1504.0,258.856,1.2437880520443798,21416.786468152175,40691555.97913898,1613766.489793553,0.0,0.0,26951538.821553294,,3040631.4365825015,1687646.2562969371,1059356.672111135,802732.1022730784,2099902.293723151,3435980.6630172757,878.1143647433321,0.0,0.0,14185.402733566152,,1655.4818972710696,873.1392125351547,577.1176561485922,436.56960626757734,1143.041219828785,1870.6572302747472
East Hartford School District,0430011,2020,123339165.0,14692.0,8395.0,6767.0,5173.0,5770249.0,0.0,0.0,78239698.0,,10635650.0,6354874.0,1183638.0,4964713.0,5653773.0,10536570.0,853.0,0.0,0.0,9320.0,,1572.0,1228.0,175.0,734.0,835.0,1557.0,258.856,1.2437880520443798,18273.734060636027,153407779.77613035,7176966.763521031,0.0,0.0,97313601.56796056,,13228494.395725809,7904116.353447476,1472194.8023457057,6175050.711229409,7032095.30637111,13105259.87552925,1060.951208393856,0.0,0.0,11592.10464505362,,1955.234817813765,1527.3717279104985,217.66290910776647,912.9404302005748,1038.5630234570572,1936.5779970330993
East Haven School District,0440011,2020,53783570.0,16348.0,3290.0,2872.0,2985.0,3620008.0,0.0,0.0,32908061.0,,3943887.0,2886337.0,912548.0,1974297.0,2706572.0,4831859.0,1260.0,0.0,0.0,10002.0,,1373.0,967.0,318.0,687.0,942.0,1682.0,258.856,1.2437880520443798,20333.44707482152,66895361.76229254,4502522.698705072,0.0,0.0,40930653.087747626,,4905359.529213153,3589991.474773619,1135016.2993169946,2455607.019787063,3366401.915597861,6009808.493363105,1567.1729455759187,0.0,0.0,12440.368096547887,,1707.7209954569335,1202.7430463269152,395.5246005501128,854.482391754489,1171.6483450258058,2092.051503538647
East Lyme School District,0450011,2020,50042900.0,18053.0,2772.0,2687.0,2549.0,1263537.0,916418.0,0.0,29741117.0,,6162902.0,1724147.0,2169761.0,2786726.0,2669720.0,2608572.0,470.0,341.0,0.0,10729.0,,2294.0,676.0,808.0,1037.0,994.0,971.0,258.856,1.2437880520443798,22454.10570355719,62242761.10965169,1571572.2239159995,1139829.7590784065,0.0,36991645.97905399,,7665343.8735204125,2144473.4385681613,2698722.807591866,3466096.5031214263,3320565.8383039217,3244510.686497512,584.5803844608586,424.1317257471335,0.0,13344.602010384151,,2853.2497913898073,840.8007231820008,1004.9807460518589,1289.8082099700218,1236.3253237321135,1207.7181985350928
East Windsor School District,0470011,2020,25332986.0,21235.0,1193.0,1067.0,1011.0,1133591.0,1171482.0,305000.0,15421749.0,,836783.0,1487564.0,783051.0,553776.0,1552239.0,2087751.0,1062.0,1098.0,286.0,12927.0,,784.0,1471.0,734.0,519.0,1455.0,1957.0,258.856,1.2437880520443798,26411.839285162405,31508865.309407543,1409946.9417050406,1457075.3147850542,379355.35587353585,19181387.14782736,,1040780.6975538522,1850214.3298513459,973949.4779414036,688779.9723089285,1930656.322117316,2596719.749443706,1320.9029112711314,1365.679281144729,355.7233828846926,16078.448148777697,,975.1298328027938,1829.6122245572826,912.9404302005748,645.5259990110332,1809.7116157245725,2434.0932178508515
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,2020,18627018.0,39298.0,474.0,474.0,73.0,1070.0,0.0,0.0,14140426.0,,1307.0,340800.0,827.0,176589.0,0.0,3966000.0,2.0,0.0,0.0,29832.0,,3.0,4668.0,2.0,373.0,0.0,8367.0,258.856,1.2437880520443798,48878.382869240035,23168062.4336156,1330.8532156874865,0.0,0.0,17587692.9096177,,1625.6309840220044,423882.96813672467,1028.6127190407021,219639.288322465,0.0,4932863.41440801,2.4875761040887596,0.0,0.0,37104.68516858794,,3.7313641561331394,5806.002626943165,2.4875761040887596,463.93294341255364,0.0,10406.774631455326
Eastford School District,0390011,2020,4167005.0,20527.0,203.0,150.0,209.0,16198.0,0.0,0.0,2912558.0,,251506.0,209444.0,190221.0,148554.0,182474.0,256050.0,108.0,0.0,0.0,14348.0,,1677.0,1002.0,1268.0,990.0,1216.0,1707.0,258.856,1.2437880520443798,25531.237344314985,5182871.031809191,20146.878867014864,0.0,0.0,3622604.8412862746,,312820.1578174738,260503.94477238308,236594.60704793397,184769.6902834008,226958.98100874617,318471.93072596344,134.32910962079302,0.0,0.0,17845.87097073276,,2085.832563278425,1246.2756281484685,1577.1232499922735,1231.350171523936,1512.4462712859658,2123.146204839756
Easton School District,0460011,2020,16953236.0,19091.0,888.0,881.0,881.0,371450.0,0.0,41.0,11752398.0,,1512275.0,923594.0,341724.0,458818.0,1117477.0,475457.0,422.0,0.0,0.0,13235.0,,1717.0,1048.0,388.0,521.0,1268.0,540.0,258.856,1.2437880520443798,23745.157701579254,21086232.380288653,462005.07193188486,0.0,50.99531013381957,14617492.215270266,,1880949.5764054144,1148755.182139877,425032.2282968137,570672.3464628983,1389904.5410343974,591367.7358608647,524.8785579627283,0.0,0.0,16461.53486880737,,2135.5840853602003,1303.48987854251,482.58976419321937,648.0135751151219,1577.1232499922735,671.6455481039651
EdAdvance,2420014,2020,11519792.0,43471.0,265.0,265.0,2.0,27448.0,0.0,0.0,4247304.0,,866938.0,56231.0,2458908.0,1359355.0,454545.0,2049062.0,104.0,0.0,0.0,16028.0,,3271.0,28115.0,9279.0,5130.0,1715.0,7732.0,258.856,1.2437880520443798,54068.710410421234,14328179.651636431,34139.49445251414,0.0,0.0,5282745.968600303,,1078287.1262632506,69939.44595450752,3058360.391476342,1690749.5074867879,565357.6401165127,2548598.833498161,129.3539574126155,0.0,0.0,19935.43489816732,,4068.4307182371663,34969.10108322774,11541.1093349198,6380.632706987669,2133.0965092561114,9616.969218407145
Ellington School District,0480011,2020,41840258.0,15056.0,2779.0,2676.0,2707.0,1643609.0,569811.0,6425.0,25610183.0,,3545427.0,1884945.0,719375.0,1090173.0,2137070.0,4633240.0,614.0,213.0,2.0,9216.0,,1325.0,696.0,269.0,407.0,799.0,1731.0,258.856,1.2437880520443798,18726.472911580182,52040412.99485428,2044301.236432611,708724.1137234601,7991.33823438514,31853639.62607009,,4409759.74199555,2344472.0697607934,894750.0299394258,1355944.1520613777,2658062.1323824828,5762768.5542541025,763.6858639552493,264.92685508545287,2.4875761040887596,11462.750687641004,,1648.0191689588032,865.6764842228883,334.57898599993814,506.2217371820626,993.7866535834595,2152.9971180888215
Elm City College Preparatory School District,2890013,2020,11340989.0,14786.0,767.0,767.0,53.0,1140723.0,0.0,0.0,6596534.0,,418627.0,112211.0,0.0,150979.0,1817099.0,1104816.0,1487.0,0.0,0.0,8600.0,,546.0,2117.0,0.0,197.0,2369.0,1440.0,258.856,1.2437880520443798,18390.6501375282,14105786.616566738,1418817.638092221,0.0,0.0,8204690.174104521,,520683.2608631826,139566.7011079519,0.0,187785.87630960843,2260086.0255817906,1374156.9405074634,1849.5128333899927,0.0,0.0,10696.577247581667,,679.1082764162313,2633.0993061779523,0.0,245.02624625274282,2946.5338952931356,1791.054794943907
Elm City Montessori School District,2910013,2020,3573198.0,15603.0,229.0,229.0,131.0,40861.0,0.0,0.0,1962998.0,,624640.0,157884.0,18561.0,224246.0,361643.0,182365.0,178.0,0.0,0.0,8572.0,,2728.0,1205.0,81.0,979.0,1579.0,796.0,258.856,1.2437880520443798,19406.824976048458,4444300.979988874,50822.4235945854,0.0,0.0,2441553.4585870137,,776919.7688290013,196374.23280897486,23085.950033995734,278914.495518744,449807.24250548566,226823.40811107334,221.3942732638996,0.0,0.0,10661.751182124424,,3393.053805977068,1498.7646027134776,100.74683221559476,1217.6685029514479,1963.9413341780757,990.0552894273263
Enfield School District,0490011,2020,87113347.0,16061.0,5424.0,5015.0,2590.0,3203336.0,621648.0,157906.0,58699096.0,,9653580.0,4784548.0,2724036.0,2049919.0,4293037.0,926241.0,639.0,124.0,31.0,10822.0,,1925.0,1847.0,543.0,409.0,856.0,185.0,258.856,1.2437880520443798,19976.479903884785,108350540.17219612,3984271.0434836354,773198.3549772847,196401.59614611985,73009234.27060604,,12007007.463454584,5950963.636832833,3388123.430138764,2549664.759858763,5339628.127584448,1152047.4891136384,794.7805652563587,154.2297184535031,38.557429613375774,13460.274299224278,,2394.2920001854313,2297.2765321259694,675.3769122600983,508.7093132861513,1064.6825725499891,230.10078962821026
Essex School District,0500011,2020,7274003.0,21649.0,336.0,330.0,330.0,173680.0,0.0,73388.0,4552831.0,,643093.0,273486.0,474661.0,90060.0,585605.0,407198.0,526.0,0.0,222.0,13550.0,,1949.0,829.0,1438.0,273.0,1775.0,1234.0,258.856,1.2437880520443798,26926.76753870878,9047318.021934975,216021.10887906788,0.0,91279.11756343294,5662756.800777266,,799871.3897533764,340158.6192014093,590377.6805714373,112015.55196711684,728368.502217449,506468.00721636735,654.2325153753438,0.0,276.1209475538523,16853.328105201348,,2424.142913434496,1031.1002951447908,1788.5672188398182,339.55413820811566,2207.7237923787743,1534.8344562227646
Explorations District,2720013,2020,1767479.0,19005.0,93.0,93.0,54.0,0.0,0.0,0.0,814108.0,,328606.0,23482.0,48113.0,36145.0,367057.0,149969.0,0.0,0.0,0.0,8754.0,,3533.0,435.0,517.0,389.0,3947.0,1613.0,258.856,1.2437880520443798,23638.19192910344,2198369.2624393483,0.0,0.0,0.0,1012577.8034737459,,408716.2166300955,29206.631038106127,59842.37454801125,44956.71914114411,456541.1110192539,186529.6503770436,0.0,0.0,0.0,10888.1206075965,,4394.303187872794,541.0478026393052,643.0384229069443,483.8335522452637,4909.231441419167,2006.2301279475846
Fairfield School District,0510011,2020,190942822.0,19596.0,9744.0,9624.0,6897.0,7210487.0,2393446.0,9472.0,118020770.0,,17311051.0,8990734.0,513330.0,9456676.0,12488810.0,14548046.0,749.0,249.0,1.0,12112.0,,1799.0,1304.0,53.0,983.0,1298.0,1512.0,258.856,1.2437880520443798,24373.270667861667,237492400.62723675,8968317.580021324,2976939.5380134126,11781.160428964366,146792823.61907777,,21531278.402130913,11182567.528309176,638473.7207559415,11762100.620854838,15533432.66225237,18094685.795392033,931.5972509812404,309.70322495905054,1.2437880520443798,15064.760886361528,,2237.574705627839,1621.8996198658713,65.92076675835213,1222.6436551596253,1614.436891553605,1880.6075346911023
Farmington School District,0520011,2020,74573480.0,17551.0,4249.0,4149.0,3815.0,1573290.0,0.0,0.0,46381719.0,,7927089.0,3399250.0,698041.0,3151181.0,4390854.0,7052056.0,379.0,0.0,0.0,10916.0,,1911.0,891.0,168.0,760.0,1058.0,1700.0,258.856,1.2437880520443798,21829.72410143091,92753603.42337051,1956839.3044009022,0.0,0.0,57689027.9254798,,9859618.58569243,4227946.535911858,868215.055637111,3919401.277629261,5461291.743471273,8771262.99514788,471.39567172482,0.0,0.0,13577.19037611645,,2376.8789674568097,1108.2151543715424,208.9563927434558,945.2789195537287,1315.9277590629538,2114.4396884754456
Franklin School District,0530011,2020,4457333.0,19464.0,229.0,159.0,221.0,72110.0,0.0,0.0,2845147.0,,518148.0,306669.0,289055.0,60591.0,126125.0,239488.0,454.0,0.0,0.0,12424.0,,3259.0,1388.0,1818.0,381.0,793.0,1506.0,258.856,1.2437880520443798,24209.090644991807,5543977.529383131,89689.55643292023,0.0,0.0,3538759.844909911,,644466.2915906913,381431.23813239794,359523.1553836882,75362.36186142101,156872.7680640974,297872.31300800445,564.6797756281485,0.0,0.0,15452.822758599375,,4053.5052616126336,1726.3778162375993,2261.2066786166824,473.8832478289087,986.3239252711932,1873.144806378836
Glastonbury School District,0540011,2020,111625364.0,18466.0,6045.0,5819.0,5635.0,3633757.0,1939297.0,246815.0,70148146.0,,11139002.0,5203901.0,1194910.0,6524378.0,4867164.0,6727993.0,624.0,333.0,42.0,11604.0,,1914.0,923.0,205.0,1121.0,836.0,1156.0,258.856,1.2437880520443798,22967.790169051517,138838294.04830483,4519623.54063263,2412074.4379655095,306985.5480653336,87249425.86786476,,13854557.599298451,6472549.8878218,1486214.7812683498,8114943.403421206,6053720.430540532,8368197.307638223,776.123744475693,414.18142133077845,52.23909818586395,14432.916555922984,,2380.610331612943,1148.0163720369626,254.97655066909786,1394.2864063417499,1039.8068115091014,1437.818988163303
Granby School District,0560011,2020,31806625.0,17036.0,1867.0,1789.0,1670.0,767950.0,717303.0,2322.0,19437255.0,,2758201.0,1406542.0,522898.0,1191192.0,2202214.0,2800747.0,429.0,401.0,1.0,10411.0,,1542.0,842.0,292.0,666.0,1231.0,1566.0,258.856,1.2437880520443798,21189.173254628055,39560700.15085607,955167.0345674815,892172.9010955897,2888.07585684705,24175825.53353988,,3430617.4489368605,1749440.134298606,650374.284837902,1481590.3772908489,2739087.461244862,3483535.6553991404,533.5850743270389,498.7590088697963,1.2437880520443798,12949.077409834039,,1917.9211762524337,1047.2695398213677,363.1861111969589,828.3628426615569,1531.1030920666315,1947.7720895014988
Great Oaks Charter School District,2940013,2020,8568906.0,15439.0,555.0,555.0,310.0,1442894.0,0.0,0.0,1921851.0,,2347703.0,421244.0,15365.0,639771.0,1716203.0,63875.0,2600.0,0.0,0.0,3463.0,,4230.0,1359.0,28.0,1153.0,3092.0,115.0,258.856,1.2437880520443798,19202.84373551318,10657902.9018914,1794654.3175665233,0.0,0.0,2390375.3116095434,,2920044.9411487468,523938.2541953827,19110.803419661897,795739.5258444849,2134592.786282721,79446.96182433476,3233.8489353153873,0.0,0.0,4307.238024229688,,5261.223460147727,1690.307962728312,34.826065457242635,1434.08762400717,3845.7926569212223,143.03562598510368
