"Smarter Balanced Assessments, Trend"
"All Districts, ELA and Math, All Grades Combined, All Students"

"",,,"Year",,,,,,,,,
"",,,"2018-19",,"2021-22",,"2022-23",,"2023-24",,"2024-25",
"District","District Code","Subject","Total Number with Scored Tests","Percentage Level 3 or 4 (Met or Exceeded)%","Total Number with Scored Tests","Percentage Level 3 or 4 (Met or Exceeded)%","Total Number with Scored Tests","Percentage Level 3 or 4 (Met or Exceeded)%","Total Number with Scored Tests","Percentage Level 3 or 4 (Met or Exceeded)%","Total Number with Scored Tests","Percentage Level 3 or 4 (Met or Exceeded)%"
,,"Math","*",0.0,"*","*",31,"*",24,"*",27,"*"
"Ellington School District","=""0480011""","ELA",1216,67.6,1178,69.4,1174,67.8,1131,69.9,1164,68.6
,,"Math",1216,63.0,1176,63.3,1169,68.4,1128,69.8,1159,68.4
"Elm City College Preparatory School District","=""2890013""","ELA",367,59.4,366,40.2,365,37.0,373,39.9,363,36.6
,,"Math",367,54.5,364,17.0,364,17.6,372,23.7,360,28.9
"Elm City Montessori School District","=""2910013""","ELA",36,36.1,104,49.0,113,42.5,124,49.2,127,42.5
,,"Math",36,22.2,104,27.9,113,28.3,124,26.6,126,26.2
"Enfield School District","=""0490011""","ELA",2261,49.7,2098,41.1,2042,41.3,2002,44.1,1989,45.6
,,"Math",2251,39.5,2091,30.6,2032,33.6,1987,38.7,1971,38.6
"Essex School District","=""0500011""","ELA",183,82.0,158,75.9,147,73.5,148,67.6,150,66.7
,,"Math",183,72.1,157,70.1,147,67.3,148,66.9,149,66.4
"Fairfield School District","=""0510011""","ELA",4566,78.0,4131,72.4,4122,72.6,4101,70.7,4135,72.5
,,"Math",4557,72.5,4121,66.3,4122,67.1,4099,69.1,4126,72.4
"Farmington School District","=""0520011""","ELA",1893,81.7,1867,74.5,1883,75.1,1878,75.2,1992,75.5
,,"Math",1891,74.5,1861,66.8,1876,72.9,1875,71.6,1984,72.4
"Franklin School District","=""0530011""","ELA",93,66.7,102,58.8,106,56.6,104,57.7,101,68.3
,,"Math",93,58.1,102,54.9,106,57.5,104,55.8,101,59.4
"Glastonbury School District","=""0540011""","ELA",2650,78.1,2499,72.5,2511,73.0,2554,73.4,2584,72.8
,,"Math",2649,75.5,2497,68.8,2509,72.9,2553,73.3,2582,73.5
"Granby School District","=""0560011""","ELA",809,75.9,771,63.7,782,65.6,765,65.8,777,68.5
,,"Math",806,62.9,771,49.8,777,53.3,765,54.4,776,57.1
"Great Oaks Charter School District","=""2940013""","ELA",298,19.8,270,24.4,270,29.3,249,33.3,252,25.0
,,"Math",298,11.7,271,11.4,274,13.5,249,18.1,249,14.9
"Greenwich School District","=""0570011""","ELA",4108,77.5,3881,75.4,3755,74.1,3714,75.0,3626,79.5
,,"Math",4105,72.6,3872,68.0,3748,70.3,3707,72.7,3617,77.6
"Griswold School District","=""0580011""","ELA",769,54.4,730,34.7,710,41.7,717,44.6,725,47.7
,,"Math",769,55.1,730,30.8,710,37.9,715,35.2,725,36.0
"Groton School District","=""0590011""","ELA",1902,59.7,1737,53.4,1780,48.6,1777,50.8,1810,48.1
,,"Math",1895,49.0,1735,40.1,1767,40.5,1773,41.8,1808,42.0
"Guilford School District","=""0600011""","ELA",1535,81.2,1382,75.0,1395,73.0,1351,74.6,1364,75.1
,,"Math",1534,77.6,1381,67.6,1394,66.3,1350,70.0,1364,71.0
"Hamden School District","=""0620011""","ELA",2465,49.0,2396,43.7,2339,42.4,2344,41.5,2402,40.0
,,"Math",2465,45.0,2381,34.5,2336,37.8,2330,35.7,2380,33.9
"Hampton School District","=""0630011""","ELA",47,51.1,35,40.0,33,33.3,33,"*",29,62.1
,,"Math",47,48.9,35,"*",33,33.3,33,24.2,29,31.0
"Hartford School District","=""0640011""","ELA",8564,24.5,7286,19.1,7039,17.7,7098,18.3,6809,19.9
,,"Math",8502,18.2,7198,12.6,6979,13.9,7055,15.9,6755,18.7
"Hartland School District","=""0650011""","ELA",103,76.7,96,64.6,82,72.0,80,67.5,81,70.4
,,"Math",103,57.3,96,50.0,82,57.3,80,58.8,81,63.0
"Hebron School District","=""0670011""","ELA",351,64.4,353,66.0,347,72.3,360,67.8,361,68.7
,,"Math",351,64.1,352,60.2,347,61.7,360,60.8,361,64.0
"Highville Charter School District","=""2860013""","ELA",198,35.9,200,16.5,200,19.5,206,25.2,234,28.2
,,"Math",198,13.6,199,6.0,200,9.0,206,10.2,234,15.8
"Integrated Day Charter School District","=""2640013""","ELA",197,52.8,213,60.6,225,52.0,226,55.3,230,50.9
,,"Math",197,40.1,213,44.6,224,39.3,226,41.6,230,35.2
"Interdistrict School for Arts and Comm District","=""2650013""","ELA",255,30.2,270,34.4,261,36.4,258,47.7,310,47.4
,,"Math",255,10.6,270,13.0,256,23.4,258,30.6,310,32.6
"Jumoke Academy District","=""2610013""","ELA",410,33.9,365,22.5,347,26.2,325,23.1,322,20.2
,,"Math",408,23.8,364,17.9,346,15.9,321,18.1,320,15.6
"Kent School District","=""0680011""","ELA",132,85.6,121,73.6,115,73.9,114,74.6,106,74.5
,,"Math",132,74.2,121,65.3,115,67.0,114,64.0,106,68.9
"Killingly School District","=""0690011""","ELA",983,57.9,982,43.5,990,41.1,1012,38.2,997,43.3
,,"Math",976,42.1,979,26.0,981,26.4,1012,32.1,991,30.0
"Learn","=""2450014""","ELA",575,42.6,254,38.6,258,42.6,251,30.7,222,38.3
,,"Math",575,27.8,252,30.2,257,32.7,251,29.1,221,24.9
"Lebanon School District","=""0710011""","ELA",426,59.4,389,65.6,395,58.2,378,65.6,363,65.8
,,"Math",426,53.5,386,56.5,394,55.6,376,58.5,361,59.6
"Ledyard School District","=""0720011""","ELA",1063,53.0,1067,49.1,1055,45.3,1066,45.5,1052,49.7
,,"Math",1061,46.7,1067,40.4,1053,40.7,1064,41.6,1052,45.8
"Lisbon School District","=""0730011""","ELA",261,59.0,249,54.6,249,52.2,264,45.1,254,48.4
,,"Math",259,43.2,248,55.2,248,52.4,263,52.1,254,44.5
"Litchfield School District","=""0740011""","ELA",384,69.3,380,63.7,369,70.5,380,63.4,"*","*"
,,"Math",384,70.6,379,63.9,369,66.4,374,65.0,"*","*"
"Madison School District","=""0760011""","ELA",1014,69.0,1030,73.4,1031,78.4,1044,80.9,1082,81.4
,,"Math",1010,66.8,1030,71.5,1030,79.2,1045,80.3,1080,80.4
"Manchester School District","=""0770011""","ELA",2655,35.2,2570,28.1,2641,29.0,2591,31.8,2593,36.0
,,"Math",2609,28.7,2548,20.1,2619,23.2,2571,26.7,2566,29.2
"Mansfield School District","=""0780011""","ELA",754,76.0,644,72.5,626,66.6,624,64.7,625,66.9
,,"Math",752,71.3,639,61.8,624,59.8,622,62.2,623,63.9
"Marlborough School District","=""0790011""","ELA",275,66.2,229,65.9,243,66.3,232,63.4,248,68.5
,,"Math",276,66.3,229,67.2,243,69.5,232,73.7,248,70.2
"Meriden School District","=""0800011""","ELA",3589,47.6,3905,42.2,3974,44.0,3987,46.5,3898,47.8
,,"Math",3558,38.3,3881,30.5,3945,36.1,3951,39.4,3862,44.4
"Middletown School District","=""0830011""","ELA",1975,50.9,2012,46.0,2006,41.1,1965,42.8,1939,39.9
,,"Math",1972,40.5,2006,28.3,1998,28.9,1953,29.5,1938,29.5
"Milford School District","=""0840011""","ELA",2438,68.0,2334,56.3,2309,54.4,2238,56.5,2198,59.3
