town_code,town,fiscal_year,policy_year,delta_2018,delta_nominal,delta_sd,delta_gcs,n_tests,frpl_share
24,Chaplin,2020,2,-162.37835742525473,-167.3939151321057,-0.005275580603342251,-0.01632044744431835,103.5,0.4483586869495596
24,Chaplin,2021,3,175.01354344595327,188.86477462437395,-0.003774839468293202,-0.011677779904260732,103.5,0.4215358931552588
24,Chaplin,2022,4,249.65124664711092,290.9376571141277,-0.0016340800282942263,-0.005055162498074723,103.5,0.42316071727836435
24,Chaplin,2023,5,295.1032903307991,358.09979240806643,0.004779616874713068,0.014786142393182801,103.5,0.4967378410438909
24,Chaplin,2024,6,370.4450151269556,462.7951427928941,0.009348577294348272,0.02892060151917666,103.5,0.4310021737500937
24,Chaplin,2025,7,429.82681175802793,551.1266426413309,0.01153360107012431,0.03568015433020694,103.5,0.41862327545411526
25,Cheshire,2019,1,-166.680719199745,-169.70301037663245,-0.0014292871671378136,-0.00468179906719463,3813.6666666666665,0.0819022021807638
25,Cheshire,2020,2,-58.48741411964057,-60.293978770823095,-0.0019308167432137311,-0.006324618477757731,3813.6666666666665,0.13079363880179806
25,Cheshire,2021,3,32.42894752155215,34.99549660198149,-0.0016527385182164215,-0.005413740381086196,3813.6666666666665,0.14545734776347286
25,Cheshire,2022,4,101.79317627831584,118.62735962412764,-0.0007798620316298631,-0.0025545302694746385,3813.6666666666665,0.15301693485500173
25,Cheshire,2023,5,180.95005888135245,219.57796014067995,0.002201071890415548,0.007209871158370382,3813.6666666666665,0.14720634268379643
25,Cheshire,2024,6,253.47019903359467,316.6590780423759,0.0048761084232045405,0.0159722695286032,3813.6666666666665,0.1609270167070189
25,Cheshire,2025,7,326.34708081524735,418.4442804995566,0.007396456416197976,0.02422796730152302,3813.6666666666665,0.16028683413076233
26,Chester,2019,1,242.65928079975177,247.05923183711246,0.002080803332857872,0.006486459532809673,198.5,0.13882461823229986
26,Chester,2020,2,224.39794258257967,231.32916696597468,0.004005015690503492,0.012484780178162628,198.5,0.22986854392644207
26,Chester,2021,3,234.27418739105968,252.81552919122907,0.006013916847381827,0.018747100049406277,198.5,0.2121204646918087
26,Chester,2022,4,174.50415084797731,203.3630093430514,0.0075102899409032345,0.023411723257107952,198.5,0.2494741476299956
26,Chester,2023,5,90.77354413810235,110.15121951219513,0.006207869749029591,0.019351706754875814,198.5,0.22926829268292684
26,Chester,2024,6,110.42436513387267,137.95261845386534,0.005230546322406928,0.016305109915496475,198.5,0.23940149625935161
26,Chester,2025,7,183.48403615109356,235.26438569206843,0.004795020775524218,0.014947452134604954,198.5,0.26179367547952304
27,Clinton,2019,1,-9.914109418561015,-10.093874214191075,-8.501348826416069e-05,-0.00027864132167209135,1225.3333333333333,0.2379274377695712
