year,leaid,grade,enrollment
2018,0900212,2,89
2018,0900214,2,67
2018,0900215,2,36
2018,0900216,2,31
2018,0900217,2,80
2018,0900220,2,58
2018,0900221,2,43
2018,0900240,2,34
2018,0900270,2,227
2018,0900330,2,128
2018,0900360,2,55
2018,0900390,2,19
2018,0900420,2,195
2018,0900450,2,1661
2018,0900510,2,568
2018,0900540,2,178
2018,0900570,2,79
2018,0900630,2,8
2018,0900660,2,47
2018,0900690,2,102
2018,0900700,2,583
2018,0900720,2,17
2018,0900750,2,262
2018,0900780,2,32
2018,0900810,2,96
2018,0900840,2,149
2018,0900870,2,11
2018,0900900,2,45
2018,0900910,2,46
2018,0900930,2,4
2018,0900960,2,125
2018,0900990,2,140
2018,0901020,2,893
2018,0901050,2,367
2018,0901080,2,34
2018,0901110,2,91
2018,0901170,2,57
2018,0901200,2,56
2018,0901230,2,147
2018,0901260,2,465
2018,0901290,2,175
2018,0901320,2,177
2018,0901350,2,86
2018,0901360,2,4
2018,0901380,2,22
2018,0901410,2,77
2018,0901440,2,196
2018,0901470,2,379
2018,0901500,2,40
2018,0901530,2,688
2018,0901560,2,290
2018,0901590,2,16
2018,0901620,2,394
2018,0901680,2,105
2018,0901710,2,674
2018,0901740,2,109
2018,0901770,2,352
2018,0901800,2,222
2018,0901860,2,372
2018,0901890,2,9
2018,0901920,2,1328
2018,0901950,2,17
2018,0902010,2,69
2018,0902040,2,15
2018,0902070,2,162
2018,0902130,2,63
2018,0902160,2,150
2018,0902190,2,44
2018,0902220,2,74
2018,0902280,2,157
2018,0902310,2,438
2018,0902340,2,100
2018,0902370,2,55
2018,0902400,2,640
2018,0902490,2,348
2018,0902520,2,358
2018,0902550,2,206
2018,0902580,2,162
2018,0902640,2,331
2018,0902670,2,828
2018,0902700,2,325
2018,0902730,2,138
2018,0902760,2,47
2018,0902790,2,1498
2018,0902820,2,329
2018,0902850,2,270
2018,0902880,2,282
2018,0902910,2,250
2018,0902940,2,12
2018,0902970,2,123
2018,0903000,2,37
2018,0903030,2,230
2018,0903060,2,50
2018,0903090,2,779
2018,0903120,2,363
2018,0903180,2,69
2018,0903210,2,167
2018,0903240,2,127
2018,0903270,2,158
2018,0903300,2,188
2018,0903330,2,82
2018,0903360,2,28
2018,0903390,2,97
2018,0903420,2,39
2018,0903450,2,168
2018,0903480,2,87
2018,0903510,2,95
2018,0903512,2,1
2018,0903515,2,41
2018,0903520,2,150
2018,0903530,2,32
2018,0903535,2,114
2018,0903536,2,100
2018,0903537,2,216
2018,0903538,2,129
2018,0903539,2,139
2018,0903540,2,67
2018,0903600,2,1
2018,0903810,2,318
2018,0903840,2,215
2018,0903900,2,45
2018,0903930,2,20
2018,0903960,2,12
2018,0903990,2,170
2018,0904020,2,9
2018,0904050,2,357
2018,0904080,2,25
2018,0904110,2,290
2018,0904140,2,87
2018,0904170,2,321
2018,0904230,2,424
2018,0904260,2,30
2018,0904290,2,110
2018,0904320,2,1240
2018,0904350,2,34
2018,0904380,2,120
2018,0904440,2,450
2018,0904470,2,133
2018,0904500,2,60
2018,0904530,2,65
2018,0904560,2,147
2018,0904590,2,317
2018,0904620,2,442
2018,0904650,2,9
2018,0904680,2,227
2018,0904710,2,20
2018,0904740,2,408
2018,0904830,2,1438
2018,0904860,2,180
2018,0904890,2,197
2018,0904920,2,666
2018,0904950,2,442
2018,0904980,2,57
2018,0905010,2,154
2018,0905040,2,357
2018,0905070,2,247
2018,0905100,2,40
2018,0905130,2,257
