"Student Counts by School and Race"
"All Districts, All Schools"
"2012-13"

"",,,,"Race",,,,,,,
,,"Indian Neck School","=""0148011""",0,"*","*","*",0,"*",42,47
,,"Mary R. Tisko School","=""0141511""",0,22,"*",19,0,"*",325,373
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","*",49,534,533,"*","*",55,1177
,,"Beardsley School","=""0150211""","*",6,143,210,0,"*",14,377
,,"Blackham School","=""0154011""",7,53,372,514,"*","*",179,1130
,,"Bryant School","=""0150411""","*",27,154,198,0,"*",26,412
,,"Central High School","=""0156211""",49,82,903,870,"*","*",220,2137
,,"Cesar Batalla School","=""0151411""","*",44,222,805,"*","*",40,1115
,,"Classical Studies Academy","=""0152111""","*",9,195,91,"*",0,12,310
,,"Geraldine Johnson School","=""0153211""",9,33,275,445,"*","*",53,818
,,"Hall School","=""0151111""","*","*",157,136,0,0,8,308
,,"High Horizons Magnet School","=""0154511""","*",9,227,145,0,"*",45,433
,,"Interdistrict Discovery Magnet School","=""0153711""","*",23,138,155,0,"*",134,457
,,"James J. Curiale School","=""0154211""","*",33,353,345,0,"*",35,773
,,"John Winthrop School","=""0153611""","*",41,254,206,0,"*",182,686
,,"Multicultural Magnet School","=""0154611""","*",12,89,291,0,"*",58,456
,,"Read School","=""0152511""","*",15,341,410,0,"*",86,857
,,"Thomas Hooker School","=""0151311""","*",6,145,176,0,"*",50,381
,,"Warren Harding High School","=""0156311""","*",9,577,659,"*","*",44,1297
,,"Wilbur Cross School","=""0153911""","*","*",245,158,0,0,13,420
,,"A.B. Skane Center","=""0154411""",0,12,65,102,0,0,52,231
,,"Barnum School","=""0150111""",0,"*",189,417,0,"*",15,625
,,"Black Rock School","=""0150311""",0,"*",80,161,0,"*",100,348
,,"Columbus School","=""0150511""",0,"*",302,534,0,"*",37,877
,,"Edison School","=""0150711""",0,"*",130,89,0,"*",20,244
,,"Jettie S. Tisdale School","=""0152211""",0,"*",347,256,0,"*",13,629
,,"Luis Munoz Marin School","=""0151011""",0,"*",231,616,"*","*",20,871
,,"Madison School","=""0152011""",0,"*",148,255,0,"*",86,506
,,"Park City Magnet School","=""0151711""",0,47,241,177,0,0,61,526
,,"Paul Laurence Dunbar School","=""0154111""",0,"*",192,107,0,"*",9,313
,,"Roosevelt School","=""0152611""",0,14,204,285,0,0,21,524
,,"Waltersville School","=""0153011""",0,"*",109,387,0,"*",11,514
,,"Bridgeport Learning Center","=""0159011""",0,0,27,18,0,0,7,52
,,"Hallen School","=""0151211""",0,0,197,114,0,"*","*",336
,,"Park City Academy","=""0159211""",0,0,"*","*",0,0,0,6
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","*","*",87,240,0,40,873,1262
,,"Bristol Eastern High School","=""0176211""","*",32,99,202,0,"*",956,1305
,,"Ellen P. Hubbell School","=""0171411""","*","*",28,116,0,31,248,436
,,"Mountain View School","=""0171711""","*",27,"*",72,0,22,293,431
,,"Northeast Middle School","=""0175211""","*",13,23,63,0,"*",385,500
,,"West Bristol School","=""0172011""","*","*",51,247,0,31,539,901
,,"Edgewood School","=""0170311""",0,"*",17,94,0,"*",239,365
,,"Chippens Hill Middle School","=""0175111""",0,20,62,136,0,7,533,758
,,"Greene-Hills School","=""0170511""",0,53,48,219,0,41,532,893
,,"Ivy Drive School","=""0171911""",0,11,17,65,0,7,323,423
,,"South Side School","=""0171111""",0,9,31,110,0,6,333,489
,,"Stafford School","=""0171211""",0,28,39,87,0,12,337,503
,,"Destinations Academy","=""0179011""",0,0,"*","*",0,0,10,19
,,"Community/Vocational Program","=""0179211""",0,0,0,0,0,0,10,10
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","*",37,18,37,0,"*",823,918
,,"Huckleberry Hill Elementary School","=""0180411""","*",49,12,44,"*",0,497,605
,,"Whisconier Middle School","=""0185311""","*",59,"*",56,0,0,722,851
,,"Center Elementary School","=""0180311""",0,22,"*",30,0,"*",355,416
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""","*",14,10,33,"*",15,469,543
,,"Brooklyn Middle School","=""0195111""",0,"*","*",16,0,13,355,394
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","*",12,17,24,0,"*",371,430
,,"Cherry Brook Primary School","=""0230211""","*","*",30,37,0,0,453,537
,,"Canton High School","=""0236111""",0,11,16,16,0,6,462,511
,,"Canton Middle School","=""0235111""",0,"*","*",16,0,10,235,270
"Capitol Region Education Council","=""2410014""","Academy of Computer Science and Engineering","=""2415214""","*","*",105,145,0,13,105,377
,,"Academy of Computer Science and Engineering Middle School","=""2415014""","*",40,138,193,0,"*",261,663
,,"Academy of International Studies 6-12","=""2416114""","*",28,365,113,"*",19,186,716
,,"Academy of International Studies Elementary School","=""2410414""","*",58,82,109,0,"*",95,357
,,"Academy of Science and Innovation","=""2416514""","*",26,115,108,0,"*",74,335
,,"Glastonbury/East Hartford Magnet School","=""2410114""","*",44,100,88,"*",23,130,387
,,"Greater Hartford Academy of the Arts High School - Full Day","=""2416414""","*","*",85,136,0,10,184,423
,,"Montessori Magnet School","=""2413114""","*","*",83,139,0,14,91,340
,,"Museum Academy","=""2410514""","*",11,123,91,0,"*",80,311
,,"Two Rivers Magnet High School","=""2416714""","*",7,25,42,0,"*",18,96
,,"Academy of Aerospace and Engineering","=""2415114""",0,56,108,148,0,15,164,491
,,"Ana Grace Academy of the Arts","=""2410614""",0,11,48,56,0,10,39,164
,,"Discovery Academy","=""2418114""",0,21,47,65,"*","*",68,221
,,"John J. Allison Polaris Center","=""2419014""",0,"*",18,25,0,0,"*",58
,,"Reggio Magnet School of the Arts","=""2410314""",0,7,124,92,0,8,125,356
,,"River Street School","=""2419314""",0,"*",27,27,0,"*",92,151
,,"River Street School Birken Campus","=""2419514""",0,"*","*",12,0,0,43,64
,,"Soundbridge","=""2419114""",0,"*","*",9,0,0,66,86
,,"University of Hartford Magnet School","=""2410214""",0,30,158,118,0,13,121,440
,,"Farmington Valley Regional Diagnostic Center","=""2419214""",0,0,"*","*",0,"*",16,21
,,"Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",0,0,59,75,"*","*",40,184
,,"Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",0,0,"*","*",0,0,6,11
,,"IPM @ Plainville High School","=""2419414""",0,0,0,0,0,0,6,6
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","*",116,"*",44,0,0,1325,1514
,,"Darcey School","=""0250211""","*",24,9,19,0,"*",245,306
,,"Dodd Middle School","=""0255111""","*",76,15,25,0,"*",639,757
,,"Highland School","=""0250411""","*",95,21,37,0,"*",620,776
,,"Norton School","=""0250511""","*",38,10,16,0,"*",383,455
,,"Chapman School","=""0250111""",0,18,10,"*",0,"*",243,283
,,"Doolittle School","=""0250611""",0,47,"*",27,0,"*",447,539
,,"Humiston School","=""0259011""",0,0,"*",0,0,0,"*",25
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","*",7,"*",27,0,"*",272,311
,,"Jared Eliot School","=""0275111""","*",9,"*",36,0,13,383,446
,,"Lewin G. Joel Jr. School","=""0270311""","*",23,"*",72,0,9,533,645
,,"The Morgan School","=""0276111""","*",15,"*",44,"*",18,494,579
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",10,14,35,56,0,7,815,937
,,"Colchester Elementary School","=""0280411""","*",11,8,43,"*",20,527,612
,,"Jack Jackter Intermediate School","=""0280211""","*",17,15,22,0,"*",563,630
,,"William J. Johnston Middle School","=""0285111""",8,14,19,30,0,8,622,701
"Connecticut Technical Education and Career System","=""9000016""","A. I. Prince Technical High School","=""9001516""","*","*",252,441,0,9,68,778
,,"Bullard-Havens Technical High School","=""9001116""","*",7,293,463,0,"*",60,828
,,"E. C. Goodwin Technical High School","=""9001916""","*","*",63,333,0,18,214,635
,,"Eli Whitney Technical High School","=""9001416""","*","*",164,294,0,8,30,500
,,"Ella T. Grasso Technical High School","=""9002716""",8,"*",57,187,"*",22,291,573
,,"Emmett O'Brien Technical High School","=""9002516""","*",6,41,117,0,"*",385,557
,,"H. C. Wilcox Technical High School","=""9001716""","*","*",45,237,0,13,459,768
,,"H. H. Ellis Technical High School","=""9001316""","*","*","*",28,0,18,472,531
,,"Henry Abbott Technical High School","=""9001216""","*",9,26,234,0,"*",362,641
,,"Howell Cheney Technical High School","=""9001616""","*","*",107,152,0,19,386,685
,,"Norwich Technical High School","=""9002016""",6,"*",27,78,"*",43,515,676
,,"Oliver Wolcott Technical High School","=""9002216""","*",7,8,49,0,"*",587,659
,,"Platt Technical High School","=""9002616""",6,6,106,276,0,19,439,852
,,"Vinal Technical High School","=""9001816""","*","*",69,79,"*",17,468,640
,,"W. F. Kaynor Technical High School","=""9002316""","*",10,109,207,"*",19,407,758
,,"Windham Technical High School","=""9002416""","*","*",8,164,"*",8,384,570
"Cooperative Educational Services","=""2430014""","Merit Academy","=""2439414""","*","*",32,35,0,9,74,152
,,"Oakview Middle/High School","=""2439214""",0,"*",20,"*",0,0,58,91
,,"Oakview Primary School","=""2439114""",0,"*",15,15,0,"*",21,54
,,"School Readiness","=""2438014""",0,"*",22,27,0,0,"*",54
,,"Six-Six Magnet School","=""2430114""",0,"*",167,164,0,"*",117,473
,,"RISE Transitional Program","=""2439314""",0,0,"*","*",0,0,10,14
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""","*","*","*",19,0,7,343,380
,,"George Hersey Robertson School","=""0320411""","*","*","*",21,0,22,355,408
,,"Capt. Nathan Hale School","=""0325111""",0,"*","*",23,0,14,361,408
,,"Coventry High School","=""0326111""",0,"*","*",14,0,16,474,511
,,"Coventry Early Intervention Services","=""0328011""",0,0,0,"*",0,"*",14,16
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","*",25,47,40,0,"*",419,535
,,"Cromwell Middle School","=""0335111""","*",29,46,42,0,"*",383,509
,,"Edna C. Stevens School","=""0330211""",0,41,43,37,"*","*",361,486
,,"Woodside Intermediate School","=""0330311""",0,"*",35,36,0,"*",341,441
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","*",252,312,989,0,"*",1306,2887
,,"King Street Primary School","=""0341311""","*",19,15,171,0,"*",184,404
,,"Mill Ridge Primary School","=""0340511""","*",41,41,120,0,"*",188,401
,,"Rogers Park Middle School","=""0345211""","*",78,103,523,0,"*",469,1200
,,"Western CT Academy of International Studies Elementary Magnet School","=""0341911""","*",42,31,91,0,"*",262,431
,,"Alternative Center For Excellence","=""0346211""",0,"*","*",23,0,0,33,78
,,"Broadview Middle School","=""0345111""",0,78,96,406,0,21,493,1094
,,"Ellsworth Avenue School","=""0341411""",0,31,29,220,0,12,113,405
,,"Great Plain School","=""0341111""",0,11,8,141,0,14,153,327
,,"Hayestown Avenue School","=""0340211""",0,50,29,192,"*","*",116,411
,,"King Street Intermediate School","=""0341711""",0,35,30,107,0,7,184,363
,,"Mill Ridge Educational Center","=""0341811""",0,9,6,52,0,6,92,165
,,"Morris Street School","=""0340611""",0,18,27,277,"*","*",85,420
,,"Park Avenue School","=""0340811""",0,26,21,241,0,11,132,431
,,"Pembroke School","=""0341511""",0,28,30,124,0,13,167,362
,,"Shelter Rock School","=""0341211""",0,41,27,189,"*","*",147,416
,,"South Street School","=""0341011""",0,16,25,229,0,13,85,368
,,"Stadley Rough School","=""0341611""",0,39,20,165,0,8,217,449
"Darien School District","=""0350011""","Darien High School","=""0356111""","*",32,7,54,0,"*",1231,1329
,,"Ox Ridge Elementary School","=""0351311""","*",14,0,20,0,"*",436,474
,,"Royle Elementary School","=""0350511""","*",18,"*",17,0,"*",373,413
,,"Hindley Elementary School","=""0350211""",0,33,"*",17,0,"*",524,579
,,"Holmes Elementary School","=""0350711""",0,19,"*",9,0,"*",402,433
,,"Middlesex Middle School","=""0355111""",0,46,6,36,0,0,1047,1135
,,"Tokeneke Elementary School","=""0350611""",0,14,"*",14,0,"*",457,496
"Derby School District","=""0370011""","Derby High School","=""0376111""","*","*",56,92,0,7,200,361
,,"Bradley School","=""0370611""",0,"*",33,56,"*",11,237,345
,,"Derby Middle School","=""0375011""",0,11,67,85,"*","*",190,366
,,"Irving School","=""0370411""",0,"*",76,150,"*",14,170,420
"East Granby School District","=""0400011""","Allgrove School","=""0400111""","*",12,17,16,0,"*",185,241
,,"East Granby Middle School","=""0405111""","*","*",18,9,0,"*",176,213
,,"R. Dudley Seymour School","=""0400211""","*",7,14,10,0,"*",99,137
,,"East Granby High School","=""0406111""",0,"*",14,16,0,"*",229,271
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","*",7,8,13,"*","*",488,523
,,"Center School","=""0420311""",0,"*",0,11,0,"*",262,285
,,"East Hampton Middle School","=""0425111""",0,16,"*",20,0,"*",406,449
,,"Memorial School","=""0420111""",0,"*","*",26,0,18,581,631
,,"The Learning Center at East Hampton","=""0429011""",0,0,0,0,0,0,6,6
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""","*","*",87,155,0,0,24,280
,,"Connecticut IB Academy","=""0436311""","*","*",59,33,0,0,73,188
,,"Dr. Franklin H. Mayberry School","=""0430611""","*",14,118,190,0,"*",47,371
,,"Dr. John A. Langford School","=""0432211""","*",23,151,180,"*",0,28,387
,,"Dr. Thomas S. O'Connell School","=""0431011""","*",16,149,182,0,"*",153,504
,,"East Hartford High School","=""0436211""","*","*",576,682,0,0,299,1642
,,"East Hartford Middle School","=""0435111""","*","*",396,443,0,0,145,1044
,,"Governor William Pitkin School","=""0432011""","*",53,90,100,"*","*",76,323
,,"Joseph O. Goodwin School","=""0430411""","*","*",97,114,0,0,90,314
,,"Robert J. O'Brien School","=""0431811""","*",34,195,216,"*",0,59,506
,,"Silver Lane School","=""0431211""","*","*",96,143,0,"*",30,275
,,"Sunset Ridge Middle School","=""0432411""","*","*",140,111,0,0,44,308
,,"Synergy Alternative Program","=""0436411""","*","*",66,73,0,0,31,173
,,"Woodland School","=""0439011""","*","*",61,87,0,0,40,191
,,"Hockanum School","=""0430511""",0,"*",89,139,0,"*",46,293
,,"Willowbrook Early Childhood","=""0438011""",0,"*",77,123,0,"*",28,237
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","*",15,"*",32,0,7,220,279
,,"D. C. Moore School","=""0441411""","*",14,9,69,0,"*",174,269
,,"Dominick H. Ferrara School","=""0441311""","*",6,15,39,0,"*",163,228
,,"Deer Run School","=""0440111""",0,22,14,61,0,7,225,329
,,"East Haven High School","=""0446111""",0,27,22,162,0,8,704,923
,,"Grove J. Tuttle School","=""0441011""",0,10,7,44,0,6,120,187
,,"Joseph Melillo Middle School","=""0445111""",0,29,21,113,"*","*",425,594
,,"Momauguin School","=""0440711""",0,13,"*",51,0,"*",105,180
,,"Overbrook Early Learning Center","=""0441811""",0,9,"*",51,0,"*",119,190
,,"Pathways","=""0449011""",0,0,"*",7,0,"*",26,39
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",6,107,25,35,0,11,945,1129
,,"East Lyme Middle School","=""0455111""","*",81,25,41,"*","*",716,871
,,"Lillie B. Haynes School","=""0450411""","*",22,7,25,0,"*",275,335
,,"Flanders School","=""0450111""",0,54,"*",15,0,"*",281,361
,,"Integrated Preschool","=""0458011""",0,"*",0,"*",0,0,33,40
,,"Niantic Center School","=""0450211""",0,8,"*",12,0,"*",168,198
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""","*",48,45,75,0,"*",320,514
,,"East Windsor Middle School","=""0475411""","*","*",37,46,0,19,260,378
,,"East Windsor High School","=""0476111""",0,"*",51,35,"*",12,252,362
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","*",0,6,22,0,"*",102,136
,,"Quinebaug Middle College","=""2536114""","*","*","*",17,0,"*",87,111
,,"EastConn Special Education","=""2539014""",0,0,"*",15,0,"*",60,83
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","*","*","*","*",0,"*",154,168
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","*",18,"*",16,"*","*",348,390
,,"Samuel Staples Elementary School","=""0460111""","*",36,"*",30,0,15,541,629
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""","*",7,"*",50,"*",0,153,216
,,"B.E.A.M Elementary School","=""2429014""",0,0,"*","*",0,0,19,33
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","*",27,23,35,0,"*",680,789
,,"Ellington Middle School","=""0485111""","*",17,21,18,0,"*",357,428
,,"Windermere School","=""0480611""","*",63,23,26,0,"*",305,433
,,"Center School","=""0480111""",0,8,10,22,0,10,382,432
,,"Crystal Lake School","=""0480211""",0,"*","*",7,0,9,187,210
,,"Windermere Intermediate School","=""0480711""",0,29,12,13,0,9,359,422
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","*","*",462,125,0,6,6,604
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""","*","*",24,31,"*",16,284,359
,,"Eli Whitney School","=""0491611""","*","*",29,54,0,20,277,396
,,"Enfield High School","=""0496111""","*",6,56,63,"*",17,582,727
,,"Enfield Street School","=""0490211""","*",9,9,39,"*",18,224,302
,,"Enrico Fermi High School","=""0496211""","*","*",51,57,0,32,831,988
,,"Hazardville Memorial School","=""0490411""","*","*",17,56,0,15,280,381
,,"Henry Barnard School","=""0491811""","*",15,25,53,"*",18,269,385
,,"John F. Kennedy Middle School","=""0495211""","*",30,72,109,"*",56,872,1148
,,"Nathan Hale School","=""0491111""","*","*",6,11,0,7,195,222
,,"Enfield Transitional Learning Academy","=""0499011""",0,"*","*",0,0,"*",17,21
,,"Head Start Program","=""0498011""",0,"*","*",32,0,13,51,104
,,"Prudence Crandall School","=""0491511""",0,15,16,51,0,31,313,426
"Explorations District","=""2720013""","Explorations","=""2726113""","*",0,"*","*",0,0,66,73
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","*",19,"*",27,0,17,372,445
,,"Fairfield Ludlowe High School","=""0516011""","*",63,31,109,"*",29,1315,1552
,,"Fairfield Warde High School","=""0516211""","*",77,64,148,"*",45,1079,1418
,,"Holland Hill School","=""0510411""","*",37,"*",65,0,10,258,380
,,"Riverfield School","=""0511211""","*",14,"*",13,0,15,356,409
,,"Roger Ludlowe Middle School","=""0515311""","*",37,21,59,0,"*",807,940
,,"Sherman School","=""0511311""","*",15,"*",20,0,16,389,449
,,"Tomlinson Middle School","=""0515111""","*",43,"*",89,0,23,572,744
,,"Dwight Elementary School","=""0510111""",0,18,"*",13,0,"*",239,278
,,"Early Childhood Center","=""0518011""",0,15,"*",14,0,"*",92,132
,,"Fairfield Woods Middle School","=""0515211""",0,53,18,67,0,16,697,851
,,"Jennings School","=""0511711""",0,19,10,33,0,8,264,334
,,"McKinley School","=""0510611""",0,54,26,90,0,20,250,440
,,"Mill Hill School","=""0510711""",0,20,"*",29,0,"*",382,445
,,"North Stratfield School","=""0511611""",0,25,8,45,0,12,364,454
,,"Osborn Hill School","=""0511811""",0,25,6,9,0,6,472,518
,,"Stratfield School","=""0511411""",0,21,"*",43,"*",14,418,505
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","*",164,71,77,0,"*",1005,1322
,,"Irving A. Robbins Middle School","=""0525111""","*",79,38,31,0,"*",459,610
,,"Union School","=""0520111""","*",34,20,31,0,"*",231,320
,,"West District School","=""0520311""","*",67,13,17,0,"*",263,365
,,"East Farms School","=""0520411""",0,97,"*",23,0,"*",299,435
,,"Farmington Collaborative PK","=""0528011""",0,"*","*",0,0,0,42,61
,,"Noah Wallace School","=""0520211""",0,76,14,25,0,9,234,358
,,"West Woods Upper Elementary School","=""0520511""",0,99,35,30,0,0,414,578
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","*","*",0,13,"*",6,176,200
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","*",41,13,37,"*",16,414,525
,,"Glastonbury High School","=""0546111""","*",185,73,153,0,"*",1778,2239
,,"Hebron Avenue School","=""0540411""","*",40,10,13,0,"*",400,471
,,"Hopewell School","=""0540611""","*",51,"*",27,0,23,352,456
,,"Smith Middle School","=""0545211""","*",115,26,76,"*",28,778,1025
,,"Buttonball Lane School","=""0540211""",0,42,6,37,0,23,378,486
,,"Eastbury School","=""0540311""",0,33,6,10,0,16,254,319
,,"Naubuc School","=""0540711""",0,51,"*",81,"*",26,263,442
,,"Nayaug Elementary School","=""0540911""",0,27,22,47,0,27,500,623
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""","*","*",23,9,0,17,333,386
,,"Granby Memorial High School","=""0566111""","*","*",20,24,0,10,696,759
,,"Kelly Lane Primary School","=""0560411""","*","*",18,10,0,8,285,327
,,"Granby Memorial Middle School","=""0565111""",0,6,13,14,0,10,286,329
,,"Wells Road Intermediate School","=""0560311""",0,"*",10,"*",0,14,265,303
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""","*",67,"*",87,"*",23,600,782
,,"Greenwich High School","=""0576111""","*",184,93,441,"*",37,1918,2677
,,"Hamilton Avenue School","=""0570511""","*",23,41,187,0,"*",135,409
,,"North Mianus School","=""0570711""","*",60,"*",55,"*",9,335,465
,,"North Street School","=""0570811""","*",35,"*",42,0,35,292,414
,,"Western Middle School","=""0575311""","*",33,34,169,0,"*",260,504
,,"Central Middle School","=""0575111""",0,55,20,74,0,19,431,599
,,"Cos Cob School","=""0570211""",0,44,11,54,0,21,304,434
,,"Glenville School","=""0570411""",0,43,"*",46,0,"*",309,407
,,"International School At Dundee","=""0571311""",0,58,"*",61,"*",20,215,369
,,"Julian Curtiss School","=""0570311""",0,42,17,90,0,18,177,344
,,"New Lebanon School","=""0570611""",0,"*",16,160,0,"*",76,261
,,"Old Greenwich School","=""0570911""",0,"*","*",35,0,18,353,425
,,"Parkway School","=""0571111""",0,12,"*",29,0,"*",225,272
,,"Riverside School","=""0571011""",0,33,0,72,0,13,364,482
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""",17,13,16,46,0,61,596,749
,,"Griswold High School","=""0586211""",7,12,19,32,0,11,543,624
,,"Griswold Middle School","=""0585111""","*",16,24,35,"*",8,498,585
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""","*",34,34,50,"*",13,324,462
,,"Catherine Kolnaski Magnet School","=""0592011""","*","*",67,169,0,37,117,418
,,"Charles Barnum Magnet School","=""0591811""","*",11,33,59,"*",27,266,401
,,"Claude Chester School","=""0590311""","*",52,42,92,"*",25,132,350
,,"Northeast Academy Magnet School","=""0591911""","*",26,9,41,"*",17,308,403
,,"Pleasant Valley School","=""0591211""","*",24,21,59,"*",29,200,340
,,"Robert E. Fitch High School","=""0596111""","*",77,164,174,"*",33,704,1183
,,"S. B. Butler School","=""0590111""","*",19,27,31,0,"*",254,352
,,"Thames River Magnet School","=""0591711""","*","*",30,56,0,25,240,363
,,"West Side Middle School","=""0595211""","*",18,81,114,"*",17,259,506
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","*",37,12,50,0,"*",960,1070
,,"Guilford Lakes School","=""0600211""","*",18,"*",11,0,"*",324,362
,,"A. Baldwin Middle School","=""0600711""",0,20,"*",45,0,"*",476,566
,,"A. W. Cox School","=""0600611""",0,"*","*",25,0,25,268,332
,,"Calvin Leete School","=""0600411""",0,10,"*",14,0,"*",259,292
,,"E. C. Adams Middle School","=""0605111""",0,23,"*",29,0,"*",524,592
,,"Melissa Jones School","=""0600311""",0,12,"*",31,"*",14,287,348
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""","*",12,24,28,0,"*",29,100
,,"Hamden High School","=""0626111""","*",90,640,285,0,"*",750,1802
,,"Helen Street School","=""0620411""","*","*",116,94,0,12,57,288
,,"Shepherd Glen School","=""0620111""","*",58,110,56,0,"*",100,336
,,"West Woods School","=""0621411""","*",76,49,34,0,"*",294,461
