"Student Counts by School and Race"
"All Districts, All Schools"
"2009-10"

"",,,,"Race",,,,,,
,,"Emma Hart Willard School","=""0070411""","*",38,"*",18,0,520,588
,,"Mary E. Griswold School","=""0070511""","*",20,"*",24,0,505,564
,,"Richard D. Hubbard School","=""0070111""","*","*",9,8,0,227,252
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","*",31,9,"*",0,465,515
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","*",60,"*",97,0,802,987
,,"Anna H. Rockwell School","=""0090411""",0,34,7,52,0,327,420
,,"Bethel Middle School","=""0095111""",0,42,12,85,0,564,703
,,"Frank A. Berry School","=""0090111""",0,33,16,47,0,401,497
,,"Ralph M. T. Johnson School","=""0090511""",0,36,8,42,0,349,435
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","*","*",253,23,0,15,294
,,"Carmen Arace Middle School","=""0115211""","*","*",277,18,0,16,314
,,"Laurel Literacy Academy","=""0110611""","*",0,218,28,0,"*",264
,,"Wintonbury Early Childhood Magnet School","=""0110811""","*","*",99,15,0,124,254
,,"Bloomfield High School","=""0116111""",0,6,559,45,0,19,629
,,"J. P. Vincent School","=""0110311""",0,"*",226,16,0,"*",254
,,"Metacomet School","=""0110511""",0,"*",158,12,0,"*",182
,,"The Big Picture High School","=""0116211""",0,"*",69,10,0,"*",88
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","*","*",10,"*",0,279,297
,,"Bolton Center School","=""0120111""",0,13,32,16,0,522,583
"Branford School District","=""0140011""","Branford High School","=""0146111""","*",74,"*",41,0,957,1109
,,"Francis Walsh Intermediate School","=""0145111""","*",82,"*",71,0,911,1113
,,"John B. Sliney School","=""0141611""","*",18,"*",30,0,298,361
,,"Indian Neck School","=""0148011""",0,"*","*",6,0,50,58
,,"Mary R. Tisko School","=""0141511""",0,24,7,14,0,383,428
,,"Mary T. Murphy School","=""0141411""",0,56,20,55,0,302,433
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","*","*",497,580,0,44,1153
,,"Beardsley School","=""0150211""","*","*",150,209,0,11,375
,,"Central High School","=""0156211""","*","*",1046,786,0,284,2217
,,"Classical Studies Academy","=""0152111""","*","*",190,95,0,21,328
,,"Hall School","=""0151111""","*","*",130,129,0,13,277
,,"High Horizons Magnet School","=""0154511""","*","*",190,164,0,63,432
,,"Longfellow School","=""0151911""","*","*",195,210,0,12,422
,,"Luis Munoz Marin School","=""0151011""","*","*",224,615,0,18,867
,,"Multicultural Magnet School","=""0154611""","*","*",111,268,0,53,451
,,"Park City Magnet School","=""0151711""","*","*",237,156,0,86,512
,,"Paul Laurence Dunbar School","=""0154111""","*",0,196,118,0,"*",324
,,"Read School","=""0152511""","*","*",429,358,0,60,863
,,"Thomas Hooker School","=""0151311""","*","*",187,202,0,57,461
,,"Waltersville School","=""0153011""","*","*",140,360,0,15,522
,,"Black Rock School","=""0150311""",0,6,55,142,0,54,257
,,"A.B. Skane Center","=""0154411""",0,21,47,108,0,67,243
,,"Barnum School","=""0150111""",0,"*",171,441,0,"*",631
,,"Blackham School","=""0154011""",0,47,363,463,0,196,1069
,,"Bryant School","=""0150411""",0,23,167,177,0,34,401
,,"Cesar Batalla School","=""0151411""",0,25,263,737,0,36,1061
,,"Columbus School","=""0150511""",0,6,177,436,0,63,682
,,"Edison School","=""0150711""",0,8,133,103,0,22,266
,,"Geraldine Johnson School","=""0153211""",0,35,315,408,0,81,839
,,"Hallen School","=""0151211""",0,"*",224,107,0,"*",340
,,"James J. Curiale School","=""0154211""",0,46,281,224,0,28,579
,,"Jettie S. Tisdale School","=""0152211""",0,11,358,228,0,23,620
,,"John Winthrop School","=""0153611""",0,36,276,226,0,186,724
,,"Madison School","=""0152011""",0,12,216,242,0,92,562
,,"Roosevelt School","=""0152611""",0,7,203,302,0,14,526
,,"Warren Harding High School","=""0156311""",0,23,656,835,0,31,1545
,,"Wilbur Cross School","=""0153911""",0,7,222,134,0,17,380
,,"Bridgeport Learning Center","=""0159011""",0,0,25,"*",0,"*",53
,,"Make The Grade","=""0159511""",0,0,24,30,0,0,54
,,"New Start Program","=""0159411""",0,0,18,22,0,6,46
,,"Park City Academy","=""0159211""",0,0,"*","*",0,0,17
,,"The University School","=""0159111""",0,0,13,"*",0,"*",28
,,"Parent-Children Program","=""0158011""",0,0,0,"*",0,"*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","*","*",104,195,0,1046,1364
,,"Bristol Eastern High School","=""0176211""","*","*",101,147,0,1017,1305
,,"Chippens Hill Middle School","=""0175111""","*",25,82,182,"*",619,910
,,"Clara T. O'Connell School","=""0170711""","*","*",44,135,0,181,375
,,"Clarence A. Bingham School","=""0170111""","*","*",17,30,0,183,236
,,"Ivy Drive School","=""0171911""","*","*",29,43,0,280,359
,,"John J. Jennings School","=""0170611""","*","*",12,35,0,289,341
,,"Mountain View School","=""0171711""","*",19,"*",40,0,291,367
,,"Northeast Middle School","=""0175211""","*","*",52,59,0,463,585
,,"Edgewood School","=""0170311""",0,7,30,97,0,221,355
,,"Community/Vocational Program","=""0179211""",0,"*",0,"*",0,9,13
,,"Ellen P. Hubbell School","=""0171411""",0,23,45,80,0,363,511
,,"Greene-Hills School","=""0170511""",0,20,23,67,0,252,362
,,"Memorial Boulevard Middle School","=""0175311""",0,14,45,83,0,402,544
,,"South Side School","=""0171111""",0,12,50,85,0,419,566
,,"Stafford School","=""0171211""",0,17,24,82,0,357,480
,,"Destinations Academy","=""0179011""",0,0,"*","*",0,11,19
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""","*",26,"*",29,0,361,419
,,"Huckleberry Hill Elementary School","=""0180411""","*",32,"*",32,0,474,546
,,"Whisconier Middle School","=""0185311""","*",39,"*",30,0,841,917
,,"Brookfield High School","=""0186111""",0,32,15,20,0,949,1016
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""","*","*",15,20,0,528,576
,,"Brooklyn Middle School","=""0195111""","*",10,"*",9,0,360,386
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","*",0,0,"*",0,91,95
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""","*","*",9,12,0,298,329
,,"Dr. Helen Baldwin Middle School","=""0225111""","*","*","*",6,0,206,222
"Canton School District","=""0230011""","Canton High School","=""0236111""","*","*",15,11,0,479,514
,,"Cherry Brook Primary School","=""0230211""","*",20,"*",26,0,506,569
,,"Canton Intermediate School","=""0230311""",0,15,16,17,0,340,388
,,"Canton Middle School","=""0235111""",0,6,"*","*",0,280,291
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","*","*",45,66,0,42,168
,,"Academy of Computer Science and Engineering","=""2415214""","*",0,72,"*",0,76,216
,,"Academy of Computer Science and Engineering Middle School","=""2415014""","*","*",138,190,0,232,592
,,"Academy of International Studies 6-12","=""2416114""","*","*",404,97,0,183,713
,,"Academy of International Studies Elementary School","=""2410414""","*","*",56,48,0,50,182
,,"Glastonbury/East Hartford Magnet School","=""2410114""","*","*",72,36,0,122,261
,,"Great Path Academy at MCC","=""2416314""","*","*",106,54,0,69,234
,,"Greater Hartford Academy of the Arts High School - Full Day","=""2416414""","*","*",88,82,0,99,274
,,"Reggio Magnet School of the Arts","=""2410314""","*","*",67,31,0,64,171
,,"University of Hartford Magnet School","=""2410214""","*","*",189,90,0,111,418
,,"Farmington Valley Regional Diagnostic Center","=""2419214""",0,"*","*",0,0,23,25
,,"Montessori Magnet School","=""2413114""",0,9,112,136,0,79,336
,,"River Street School","=""2419314""",0,"*",26,"*",0,103,152
,,"River Street School Birken Campus","=""2419514""",0,"*",9,"*",0,34,52
,,"Soundbridge","=""2419114""",0,7,9,11,0,62,89
,,"IPM @ Plainville High School","=""2419414""",0,0,"*","*",0,7,9
,,"John J. Allison Polaris Center","=""2419014""",0,0,16,28,0,9,53
,,"Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",0,0,0,"*",0,"*","*"
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""","*","*","*",13,0,154,173
"Charter School for Young Children on Asylum Hill District","=""2870013""","Charter School for Young Children on Asylum Hill  Inc.","=""2870113""","*","*",83,50,0,48,185
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","*",107,"*",41,0,1368,1549
,,"Doolittle School","=""0250611""","*",47,"*",22,0,431,516
,,"Highland School","=""0250411""","*",87,"*",29,0,708,840
,,"Norton School","=""0250511""","*",44,"*",16,0,421,492
,,"Chapman School","=""0250111""",0,22,7,16,0,280,325
,,"Darcey School","=""0250211""",0,43,7,25,0,320,395
,,"Dodd Middle School","=""0255111""",0,69,11,18,0,717,815
,,"Humiston School","=""0259011""",0,0,"*",0,0,"*",17
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","*",9,"*",21,0,264,300
,,"Jared Eliot School","=""0275111""","*",11,"*",21,0,454,495
,,"Lewin G. Joel Jr. School","=""0270311""","*",16,"*",55,0,591,671
,,"The Morgan School","=""0276111""",0,23,7,36,0,492,558
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",6,11,40,34,0,912,1003
,,"Colchester Elementary School","=""0280411""","*",24,"*",28,0,657,734
,,"Jack Jackter Intermediate School","=""0280211""",9,17,16,23,0,641,706
,,"William J. Johnston Middle School","=""0285111""",6,13,29,42,0,671,761
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""","*","*","*",0,0,109,119
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""","*","*","*",18,0,527,554
"Connecticut Technical Education and Career System","=""9000016""","A. I. Prince Technical High School","=""9001516""","*","*",248,395,0,32,683
,,"Bullard-Havens Technical High School","=""9001116""","*","*",332,474,0,73,886
,,"E. C. Goodwin Technical High School","=""9001916""","*","*",78,277,0,183,544
,,"Eli Whitney Technical High School","=""9001416""","*","*",191,289,0,28,511
,,"Ella T. Grasso Technical High School","=""9002716""",9,9,78,160,0,335,591
,,"Emmett O'Brien Technical High School","=""9002516""","*","*",30,74,0,405,514
,,"H. C. Wilcox Technical High School","=""9001716""","*","*",47,237,0,488,781
,,"H. H. Ellis Technical High School","=""9001316""",9,"*","*",17,0,530,566
,,"Henry Abbott Technical High School","=""9001216""","*","*",64,168,0,431,671
,,"Howell Cheney Technical High School","=""9001616""","*","*",89,85,0,433,623
,,"Norwich Technical High School","=""9002016""",11,8,31,48,0,459,557
,,"Oliver Wolcott Technical High School","=""9002216""","*","*",11,32,0,706,761
,,"Platt Technical High School","=""9002616""","*","*",115,215,0,534,880
,,"Vinal Technical High School","=""9001816""","*","*",54,61,0,485,607
,,"W. F. Kaynor Technical High School","=""9002316""",7,6,128,208,0,388,737
,,"Windham Technical High School","=""9002416""","*","*",19,138,0,391,557
"Cooperative Educational Services","=""2430014""","Merit Academy","=""2439414""","*",0,31,"*",0,81,142
,,"Six-Six Magnet School","=""2430114""","*","*",168,126,0,124,439
,,"Oakview Middle/High School","=""2439214""",0,"*",17,"*",0,51,76
,,"Oakview Primary School","=""2439114""",0,"*","*",16,0,29,58
,,"School Readiness","=""2438014""",0,"*",17,20,0,"*",53
,,"RISE Transitional Program","=""2439314""",0,0,0,"*",0,"*",10
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""","*","*",6,17,0,453,481
,,"Coventry Grammar School","=""0320211""","*","*",9,7,0,395,414
,,"Coventry High School","=""0326111""","*","*",14,7,0,537,563
,,"George Hersey Robertson School","=""0320411""",0,7,7,15,0,411,440
,,"Coventry Early Intervention Services","=""0328011""",0,0,0,"*",0,"*",11
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","*","*",48,32,0,508,605
,,"Edna C. Stevens School","=""0330211""","*",31,39,"*",0,376,477
,,"Woodside Intermediate School","=""0330311""","*","*",39,37,0,392,501
,,"Cromwell Middle School","=""0335111""",0,21,48,28,0,368,465
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""","*","*",104,298,0,609,1108
,,"Danbury High School","=""0346111""","*","*",308,875,0,1426,2854
,,"King Street Primary School","=""0341311""","*",15,"*",91,0,182,300
,,"Pembroke School","=""0341511""","*",30,"*",104,0,163,325
,,"Shelter Rock School","=""0341211""","*",40,"*",152,0,167,396
,,"South Street School","=""0341011""","*","*",26,174,0,120,344
,,"Western CT Academy of International Studies Elementary Magnet School","=""0341911""","*","*",30,52,0,274,383
,,"Alternative Center For Excellence","=""0346211""",0,"*","*",20,0,47,88
,,"Ellsworth Avenue School","=""0341411""",0,28,38,196,0,133,395
,,"Great Plain School","=""0341111""",0,19,19,99,0,170,307
,,"Hayestown Avenue School","=""0340211""",0,69,44,157,0,169,439
,,"King Street Intermediate School","=""0341711""",0,27,20,85,0,175,307
,,"Mill Ridge Educational Center","=""0341811""",0,19,47,113,0,173,352
,,"Mill Ridge Primary School","=""0340511""",0,"*",39,85,"*",142,296
,,"Morris Street School","=""0340611""",0,13,29,216,0,111,369
,,"Park Avenue School","=""0340811""",0,35,43,189,0,141,408
,,"Rogers Park Middle School","=""0345211""",0,77,127,385,0,447,1036
,,"Stadley Rough School","=""0341611""",0,48,26,156,0,237,467
"Darien School District","=""0350011""","Darien High School","=""0356111""",7,35,14,33,0,1175,1264
,,"Holmes Elementary School","=""0350711""","*",13,"*",10,0,456,484
,,"Middlesex Middle School","=""0355111""","*",29,"*",19,0,1100,1156
,,"Royle Elementary School","=""0350511""","*",19,"*",12,0,408,443
,,"Hindley Elementary School","=""0350211""",0,11,"*","*",0,527,546
,,"Ox Ridge Elementary School","=""0351311""",0,8,"*","*",0,462,478
,,"Tokeneke Elementary School","=""0350611""",0,"*",7,"*",0,394,409
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""","*","*",7,25,0,311,349
"Derby School District","=""0370011""","Derby High School","=""0376111""","*","*",113,125,0,370,624
,,"Bradley School","=""0370611""",0,22,37,44,0,283,386
,,"Irving School","=""0370411""",0,7,85,151,0,196,439
"East Granby School District","=""0400011""","Allgrove School","=""0400111""","*","*",18,13,0,237,281
,,"East Granby High School","=""0406111""","*",11,12,"*",0,227,256
,,"East Granby Middle School","=""0405111""",0,10,10,8,0,202,230
,,"R. Dudley Seymour School","=""0400211""",0,"*",8,"*",0,120,137
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""","*",7,"*",11,0,401,421
,,"Nathan Hale-Ray Middle School","=""0415111""","*","*",11,19,0,524,559
,,"Nathan Hale-Ray High School","=""0416111""",0,"*","*",8,0,391,406
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","*",12,10,"*",0,538,570
,,"Memorial School","=""0420111""","*",20,"*",25,0,597,648
,,"Center School","=""0420311""",0,"*","*",15,0,275,301
,,"East Hampton Middle School","=""0425111""",0,6,12,14,0,467,499
,,"The Learning Center at East Hampton","=""0429011""",0,0,"*",0,0,"*",8
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""","*","*",138,139,0,21,319
,,"Connecticut IB Academy","=""0436311""","*","*",46,41,0,65,167
,,"Dr. Franklin H. Mayberry School","=""0430611""","*","*",153,182,0,46,408
,,"Dr. John A. Langford School","=""0432211""","*","*",140,149,0,35,345
,,"East Hartford High School","=""0436211""","*","*",681,669,0,439,1903
,,"East Hartford Middle School","=""0435111""","*","*",323,357,0,168,905
,,"Governor William Pitkin School","=""0432011""","*","*",115,102,0,89,376
,,"Robert J. O'Brien School","=""0431811""","*","*",165,172,0,42,411
,,"Silver Lane School","=""0431211""","*","*",135,162,0,32,334
,,"Sunset Ridge Middle School","=""0432411""","*","*",166,187,0,85,462
,,"Willowbrook Early Childhood","=""0438011""","*","*",103,133,0,31,285
,,"Woodland School","=""0439011""","*","*",61,89,0,31,184
,,"Dr. Thomas S. O'Connell School","=""0431011""",0,16,83,108,0,124,331
,,"Hockanum School","=""0430511""",0,15,126,151,0,48,340
,,"Joseph O. Goodwin School","=""0430411""",0,18,121,99,0,117,355
,,"Synergy Alternative Program","=""0436411""",0,"*",40,48,0,"*",117
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","*",14,"*",9,0,212,237
,,"Deer Run School","=""0440111""","*","*",15,64,0,250,344
,,"East Haven High School","=""0446111""","*",37,"*",98,0,799,968
,,"Grove J. Tuttle School","=""0441011""","*","*",12,51,0,160,233
,,"Joseph Melillo Middle School","=""0445111""","*",16,"*",67,0,378,474
,,"Momauguin School","=""0440711""","*",10,"*",52,0,146,212
,,"Robert W. Carbone School","=""0441611""","*",15,"*",36,0,199,261
,,"D. C. Moore School","=""0441411""",0,9,11,57,0,149,226
,,"Dominick H. Ferrara School","=""0441311""",0,"*","*",26,0,159,197
,,"Hays School","=""0441911""",0,"*","*",21,0,117,154
,,"Overbrook Early Learning Center","=""0441811""",0,"*","*",37,0,131,182
,,"Pathways","=""0449011""",0,0,"*","*",0,26,32
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",7,79,20,37,0,1078,1221
,,"East Lyme Middle School","=""0455111""","*",89,"*",25,0,707,843
,,"Lillie B. Haynes School","=""0450411""","*",37,17,"*",0,295,367
,,"Flanders School","=""0450111""",0,55,"*","*",0,307,379
,,"Integrated Preschool","=""0458011""",0,"*",0,0,0,"*",47
,,"Niantic Center School","=""0450211""",0,16,9,13,0,199,237
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""","*","*",99,72,0,378,601
,,"East Windsor High School","=""0476111""","*","*",58,25,0,281,376
,,"East Windsor Middle School","=""0475411""","*","*",58,30,0,292,402
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","*",0,"*",8,0,78,88
,,"EastConn Special Education","=""2539014""","*",0,"*","*",0,41,50
,,"Quinebaug Middle College","=""2536114""",0,0,"*","*",0,56,70
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","*","*","*","*",0,159,170
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""","*","*",8,50,0,109,173
,,"B.E.A.M Elementary School","=""2429014""",0,0,"*","*",0,21,27
"Ellington School District","=""0480011""","Center School","=""0480111""","*",14,15,"*",0,360,403
,,"Ellington High School","=""0486111""","*","*",24,19,0,713,777
,,"Ellington Middle School","=""0485111""","*",13,"*",12,0,369,405
,,"Windermere Intermediate School","=""0480711""","*",20,17,"*",0,360,414
,,"Windermere School","=""0480611""","*",48,26,"*",0,352,447
,,"Crystal Lake School","=""0480211""",0,"*","*","*",0,211,221
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","*",0,428,112,0,"*",547
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""","*","*",28,23,0,361,424
,,"Enfield High School","=""0496111""","*","*",68,40,0,698,823
,,"Enfield Street School","=""0490211""","*","*",48,38,0,263,356
,,"Enrico Fermi High School","=""0496211""","*","*",62,50,0,1010,1158
,,"Hazardville Memorial School","=""0490411""","*","*",21,11,0,330,371
,,"Henry Barnard School","=""0491811""","*","*",71,40,0,300,428
,,"Prudence Crandall School","=""0491511""","*","*",19,24,0,342,403
,,"Nathan Hale School","=""0491111""",0,"*",23,"*",0,227,259
,,"John F. Kennedy Middle School","=""0495211""",0,13,81,41,0,737,872
,,"Edgar H. Parkman School","=""0491311""",0,7,7,7,0,322,343
,,"Enfield Transitional Learning Academy","=""0499011""",0,"*",0,"*",0,"*","*"
,,"Harriet Beecher Stowe School","=""0491211""",0,"*","*",14,0,231,258
,,"Head Start Program","=""0498011""",0,"*","*",18,0,66,104
,,"Thomas G. Alcorn School","=""0491711""",0,"*","*",67,0,161,293
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","*",66,"*",60,0,1291,1452
,,"Fairfield Warde High School","=""0516211""","*",66,"*",130,0,1043,1298
,,"North Stratfield School","=""0511611""","*",33,"*",24,0,412,478
,,"Sherman School","=""0511311""","*",30,"*",16,0,424,474
,,"Stratfield School","=""0511411""","*",32,"*",31,0,422,492
,,"Tomlinson Middle School","=""0515111""","*",33,"*",41,0,676,773
,,"Early Childhood Center","=""0518011""",0,"*","*",10,0,114,135
,,"Burr Elementary School","=""0510211""",0,18,7,8,0,386,419
,,"Dwight Elementary School","=""0510111""",0,15,"*","*",0,286,316
,,"Fairfield Woods Middle School","=""0515211""",0,30,13,31,0,598,672
,,"Holland Hill School","=""0510411""",0,34,16,30,0,255,335
,,"Jennings School","=""0511711""",0,19,13,16,0,304,352
,,"McKinley School","=""0510611""",0,58,38,99,0,256,451
,,"Mill Hill School","=""0510711""",0,25,8,28,0,417,478
,,"Osborn Hill School","=""0511811""",0,29,"*","*",0,501,551
,,"Riverfield School","=""0511211""",0,"*","*",18,0,428,466
,,"Roger Ludlowe Middle School","=""0515311""",0,50,32,81,0,803,966
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","*",114,75,"*",0,1091,1324
,,"Irving A. Robbins Middle School","=""0525111""","*",67,"*",37,0,551,686
,,"Union School","=""0520111""","*",20,17,"*",0,242,294
,,"West District School","=""0520311""","*",43,10,"*",0,289,350
,,"West Woods Upper Elementary School","=""0520511""","*",71,44,"*",0,510,658
,,"East Farms School","=""0520411""",0,69,22,24,0,323,438
,,"Farmington Collaborative PK","=""0528011""",0,"*",0,"*",0,50,67
,,"Noah Wallace School","=""0520211""",0,58,18,19,0,240,335
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","*",6,"*",8,0,202,224
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","*",62,19,"*",0,430,535
,,"Eastbury School","=""0540311""","*",32,"*",14,0,258,318
,,"Gideon Welles School","=""0540811""","*",54,"*",21,0,446,541
,,"Glastonbury High School","=""0546111""","*",154,"*",93,0,1766,2102
,,"Hebron Avenue School","=""0540411""","*",59,18,"*",0,443,532
,,"Hopewell School","=""0540611""","*",48,"*",23,0,441,526
,,"Smith Middle School","=""0545211""","*",99,"*",50,0,934,1128
,,"Naubuc School","=""0540711""",0,56,43,61,0,329,489
,,"Nayaug Elementary School","=""0540911""",0,40,19,17,0,569,645
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""","*",9,35,"*",0,415,469
,,"Granby Memorial High School","=""0566111""","*","*",25,10,0,707,751
,,"Kelly Lane Primary School","=""0560411""","*","*",18,7,0,315,347
,,"Wells Road Intermediate School","=""0560311""","*","*",9,10,0,329,354
,,"Granby Memorial Middle School","=""0565111""",0,"*",16,"*",0,326,354
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""","*",54,"*",78,0,480,631
,,"Greenwich High School","=""0576111""","*",192,"*",363,0,2046,2688
,,"Hamilton Avenue School","=""0570511""","*","*",41,165,0,176,410
,,"North Mianus School","=""0570711""","*",75,"*",29,0,345,455
,,"North Street School","=""0570811""","*",41,"*",29,0,405,486
,,"Old Greenwich School","=""0570911""","*",22,"*",11,0,407,445
,,"Parkway School","=""0571111""","*",26,"*",29,0,259,319
,,"Western Middle School","=""0575311""","*",39,"*",143,0,278,490
,,"Cos Cob School","=""0570211""",0,63,11,51,0,292,417
,,"Eastern Middle School","=""0575211""",0,80,9,54,0,631,774
,,"Glenville School","=""0570411""",0,"*","*",36,0,223,296
,,"International School At Dundee","=""0571311""",0,53,7,51,0,260,371
,,"Julian Curtiss School","=""0570311""",0,40,27,70,0,206,343
,,"New Lebanon School","=""0570611""",0,12,8,111,0,88,219
,,"Riverside School","=""0571011""",0,"*","*",54,0,415,502
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""",14,24,36,52,0,787,913
,,"Griswold High School","=""0586211""",23,18,17,20,0,662,740
,,"Griswold Middle School","=""0585111""","*","*",11,17,0,373,407
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""","*",28,14,"*",0,298,350
,,"Catherine Kolnaski Magnet School","=""0592011""",11,38,120,115,0,187,471
,,"Charles Barnum Magnet School","=""0591811""","*","*",50,31,0,279,380
,,"Claude Chester School","=""0590311""",11,67,60,60,0,190,388
,,"Fitch Middle School","=""0595111""",16,35,67,52,0,239,409
,,"Northeast Academy Magnet School","=""0591911""","*",40,"*",29,0,337,437
,,"Pleasant Valley School","=""0591211""",12,30,44,44,0,182,312
,,"Robert E. Fitch High School","=""0596111""",14,103,205,107,0,877,1306
,,"S. B. Butler School","=""0590111""",6,12,22,20,0,302,362
,,"Thames River Magnet School","=""0591711""","*","*",37,32,0,259,338
,,"West Side Middle School","=""0595211""",6,17,64,61,0,128,276
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","*",16,"*",18,0,282,321
,,"E. C. Adams Middle School","=""0605111""","*",29,"*",19,0,565,619
,,"Guilford High School","=""0606111""","*",34,"*",48,0,1017,1115
,,"A. Baldwin Middle School","=""0600711""",0,"*","*",32,0,484,544
,,"Calvin Leete School","=""0600411""",0,23,"*","*",0,297,332
,,"Guilford Lakes School","=""0600211""",0,17,8,15,0,393,433
,,"Melissa Jones School","=""0600311""",0,"*","*",25,0,308,347
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","*","*",80,42,0,293,457
,,"Dunbar Hill School","=""0620311""","*","*",132,40,0,132,326
,,"Hamden High School","=""0626111""","*","*",676,236,0,956,1972
,,"Hamden Middle School","=""0625211""","*","*",300,124,0,405,881
,,"Ridge Hill School","=""0621111""","*","*",130,71,0,85,314
,,"Shepherd Glen School","=""0620111""","*",62,102,"*",0,108,313
,,"West Woods School","=""0621411""","*",72,61,"*",0,338,512
,,"Alice Peck Learning Center","=""0628011""",0,9,25,10,0,52,96
,,"Church Street School","=""0620211""",0,18,197,109,0,87,411
,,"Helen Street School","=""0620411""",0,15,134,72,0,78,299
,,"Spring Glen School","=""0621011""",0,16,81,21,0,240,358
