"Student Counts by School and Race"
"All Districts, All Schools"
"2017-18"

"",,,,"Race",,,,,,,
,,"J. M. Wright Technical High School","=""9002116""",0,7,92,234,0,8,90,431
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""","*","*","*",23,0,7,334,374
,,"Coventry High School","=""0326111""","*","*",0,23,0,24,397,450
,,"Coventry Grammar School","=""0320211""",0,"*","*",29,0,11,293,345
,,"George Hersey Robertson School","=""0320411""",0,"*","*",19,0,8,350,386
,,"Hale Early Education Center","=""0320311""",0,"*",0,"*",0,"*",98,108
,,"Coventry Academy","=""0320111""",0,0,0,"*",0,"*",14,19
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","*",43,55,39,0,"*",418,562
,,"Woodside Intermediate School","=""0330311""","*",24,44,42,"*",15,321,451
,,"Cromwell Middle School","=""0335111""",0,40,38,39,0,8,340,465
,,"Edna C. Stevens School","=""0330211""",0,24,25,58,0,27,349,483
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""","*",64,74,470,0,"*",329,968
,,"DPS Early Childhood Center","=""0340111""","*","*",10,59,0,9,42,127
,,"Danbury High School","=""0346111""","*",220,241,1430,"*",74,1143,3115
,,"King Street Primary School","=""0341311""","*",19,24,242,0,"*",157,451
,,"Stadley Rough School","=""0341611""","*",26,35,235,"*",19,190,507
,,"Western CT Academy of International Studies Elementary Magnet School","=""0341911""","*",41,31,119,0,"*",200,396
,,"Westside Middle School Academy","=""0340311""","*",45,40,214,0,"*",282,601
,,"Alternative Center For Excellence","=""0346211""",0,"*",13,36,0,"*",33,88
,,"Ellsworth Avenue School","=""0341411""",0,21,13,323,0,14,100,471
,,"Great Plain School","=""0341111""",0,15,13,145,0,10,111,294
,,"Hayestown Avenue School","=""0340211""",0,44,46,258,0,11,125,484
,,"King Street Intermediate School","=""0341711""",0,29,31,158,0,10,161,389
,,"Mill Ridge Primary School","=""0340511""",0,19,32,136,0,9,144,340
,,"Morris Street School","=""0340611""",0,14,19,250,0,15,64,362
,,"Park Avenue School","=""0340811""",0,25,30,378,"*","*",174,629
,,"Pembroke School","=""0341511""",0,28,20,151,0,17,128,344
,,"Rogers Park Middle School","=""0345211""",0,55,79,528,"*","*",250,932
,,"Shelter Rock School","=""0341211""",0,51,34,260,0,13,186,544
,,"South Street School","=""0341011""",0,17,33,276,0,6,76,408
,,"Western Connection","=""0340711""",0,0,0,"*",0,0,"*",12
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""","*",53,"*",47,0,15,996,1123
,,"Royle Elementary School","=""0350511""","*",13,"*",36,0,11,331,401
,,"Tokeneke Elementary School","=""0350611""","*",9,"*",17,"*",22,437,489
,,"Darien High School","=""0356111""",0,70,13,79,0,9,1206,1377
,,"Hindley Elementary School","=""0350211""",0,25,"*","*",0,25,411,483
,,"Holmes Elementary School","=""0350711""",0,"*","*",30,0,25,396,470
,,"Ox Ridge Elementary School","=""0351311""",0,21,0,27,0,23,375,446
"Derby School District","=""0370011""","Derby Middle School","=""0375011""","*",6,55,105,"*",19,164,351
,,"Irving School","=""0370411""","*","*",71,138,0,20,91,328
,,"Bradley School","=""0370611""",0,"*",41,64,"*",17,146,279
,,"Derby High School","=""0376111""",0,"*",69,100,"*",7,171,353
,,"Little Raiders University","=""0370111""",0,0,"*",11,0,"*",21,41
,,"RAISE Academy","=""0370511""",0,0,"*","*",0,"*",6,12
"East Granby School District","=""0400011""","Allgrove School","=""0400111""","*",12,7,10,"*",6,151,189
,,"East Granby High School","=""0406111""","*",10,19,18,0,"*",197,253
,,"East Granby Middle School","=""0405111""",0,11,15,"*",0,"*",151,190
,,"R. Dudley Seymour School","=""0400211""",0,21,19,"*",0,"*",145,206
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","*",6,"*","*",0,"*",329,344
,,"Nathan Hale-Ray Middle School","=""0415111""","*",6,"*",10,0,"*",342,368
,,"East Haddam Elementary School","=""0410111""",0,"*","*",14,0,10,280,306
"East Hampton School District","=""0420011""","Center School","=""0420311""","*","*","*",19,0,10,283,320
,,"East Hampton High School","=""0426111""","*",7,"*",18,"*","*",436,470
,,"East Hampton Middle School","=""0425111""",0,"*","*",25,"*",11,403,450
,,"Memorial School","=""0420111""",0,16,10,34,0,29,528,617
,,"The Learning Center at East Hampton","=""0429011""",0,0,"*","*",0,0,"*","*"
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""","*",9,79,191,0,"*",21,305
,,"Connecticut IB Academy","=""0436311""","*","*",51,44,0,0,55,187
,,"East Hartford High School","=""0436211""","*",108,624,739,0,"*",248,1728
,,"East Hartford Middle School","=""0435111""","*",47,349,484,0,"*",151,1039
,,"Governor William Pitkin School","=""0432011""","*",37,102,135,0,"*",77,353
,,"Joseph O. Goodwin School","=""0430411""","*",18,91,177,0,"*",74,364
,,"Robert J. O'Brien School","=""0431811""","*",15,139,241,"*","*",33,433
,,"Silver Lane School","=""0431211""","*","*",99,163,0,0,29,295
,,"Sunset Ridge Middle School","=""0432411""","*","*",106,145,0,0,62,325
,,"Woodland School","=""0439011""","*","*",63,83,0,"*",22,172
,,"Dr. Franklin H. Mayberry School","=""0430611""",0,14,135,194,0,0,29,372
,,"Dr. John A. Langford School","=""0432211""",0,7,115,177,"*","*",35,339
,,"Dr. Thomas S. O'Connell School","=""0431011""",0,17,136,229,0,7,148,537
,,"Early Childhood Learning Center at Hockanum School","=""0430211""",0,"*",82,159,0,"*",42,305
,,"Synergy Alternative Program","=""0436411""",0,0,31,45,0,"*","*",95
"East Haven School District","=""0440011""","Deer Run School","=""0440111""","*",10,13,55,"*",11,140,231
,,"Grove J. Tuttle School","=""0441011""","*","*",12,79,"*",6,150,253
,,"Joseph Melillo Middle School","=""0445111""","*",19,29,137,0,"*",320,514
,,"Carbone School/East Haven Academy","=""0441711""",0,12,10,54,0,6,258,340
,,"Dominick H. Ferrara School","=""0441311""",0,9,9,39,0,6,111,174
,,"East Haven High School","=""0446111""",0,45,29,224,"*","*",623,936
,,"Momauguin School","=""0440711""",0,6,12,91,0,8,166,283
,,"Overbrook Early Learning Center","=""0441811""",0,6,10,35,0,11,60,122
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","*",86,24,62,"*",45,798,1019
,,"East Lyme Middle School","=""0455111""","*",82,"*",56,0,40,600,794
,,"Flanders School","=""0450111""",0,29,"*",32,0,"*",282,360
,,"Integrated Preschool","=""0458011""",0,"*",0,0,0,"*",62,67
,,"Lillie B. Haynes School","=""0450411""",0,32,8,25,0,12,230,307
,,"Niantic Center School","=""0450211""",0,"*","*",15,0,8,142,174
,,"Abilities in Motion (AIM) Program","=""0450511""",0,0,0,"*",0,0,"*",11
,,"Coastal Connections","=""0450611""",0,0,0,0,0,"*","*",21
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""","*",33,46,94,0,"*",250,448
,,"East Windsor Middle School","=""0475411""","*","*",30,75,0,10,194,318
,,"East Windsor High School","=""0476111""",0,8,44,41,0,13,194,300
,,"East Windsor Transition Program","=""0470411""",0,0,0,0,0,0,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","*",0,"*",31,0,9,70,117
,,"EastConn Special Education","=""2539014""","*","*","*",18,0,"*",84,113
,,"EastConn Transition Academy","=""2530114""",0,"*","*",0,0,0,10,12
,,"Quinebaug Middle College","=""2536114""",0,"*",8,32,0,"*",141,183
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","*",16,"*",22,0,13,269,325
,,"Samuel Staples Elementary School","=""0460111""",0,34,"*",36,"*",22,480,579
"Ellington School District","=""0480011""","Center School","=""0480111""",0,17,23,16,"*","*",391,452
,,"Windermere School","=""0480611""","*",186,"*",46,0,25,428,711
,,"Crystal Lake School","=""0480211""",0,"*",13,14,0,"*",256,293
,,"ECLIPSE - Ellington Continuing Life Independence Post-Secondary Education","=""0480411""",0,"*",0,0,0,0,"*",7
,,"Ellington High School","=""0486111""",0,42,27,37,0,23,641,770
,,"Ellington Middle School","=""0485111""",0,36,16,12,0,13,372,449
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","*","*",547,188,13,"*",0,752
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","*",57,84,207,"*",72,1130,1561
,,"Hazardville Memorial School","=""0490411""","*",11,33,60,0,"*",263,373
,,"Henry Barnard School","=""0491811""","*",20,28,64,"*",20,265,400
,,"John F. Kennedy Middle School","=""0495211""","*",36,51,161,"*",59,786,1100
,,"Prudence Crandall School","=""0491511""","*","*",22,78,0,23,279,414
,,"EPS PK STEAM Academy","=""0491011""",0,"*",18,11,0,"*",30,66
,,"Edgar H. Parkman School","=""0491311""",0,10,16,63,0,11,237,337
,,"Eli Whitney - Adaptive Learning (IAL)","=""0491411""",0,"*",0,0,0,0,"*","*"
,,"Eli Whitney School","=""0491611""",0,8,17,53,0,19,272,369
,,"Enfield High - Adaptive Learning Program (ALP)","=""0490111""",0,"*","*",0,0,0,"*",7
,,"Enfield Street School","=""0490211""",0,14,10,40,0,20,234,318
,,"Head Start Program","=""0498011""",0,"*","*",31,0,"*",62,104
,,"Henry Barnard - Primary Adaptive Learning (PAL)","=""0490811""",0,"*",0,"*",0,0,"*","*"
,,"John F. Kennedy - Adaptive Learning Program (ALP)","=""0490911""",0,"*","*",0,0,0,6,8
,,"SELC Integrated Pre-Kindergarten","=""0492211""",0,"*","*","*",0,0,69,76
,,"Enfield Transitional Learning Academy","=""0499011""",0,0,"*","*",0,0,9,13
,,"Henry Barnard - DLP","=""0490311""",0,0,"*",0,0,0,"*",6
,,"Henry Barnard - Educational Counseling Program (ECP)","=""0490611""",0,0,"*","*",0,"*","*",6
,,"Prudence Crandall - SOAR","=""0490711""",0,0,"*",0,0,0,"*",11
,,"Edgar H. Parkman - Adaptive Learning","=""0490511""",0,0,0,"*",0,0,"*","*"
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","*",85,"*",120,0,36,1249,1510
,,"Fairfield Warde High School","=""0516211""","*",98,"*",203,0,52,1103,1491
,,"Mill Hill School","=""0510711""","*",23,"*",22,0,18,277,347
,,"Sherman School","=""0511311""","*",17,"*",27,0,20,402,470
,,"Tomlinson Middle School","=""0515111""","*",40,"*",117,0,35,450,656
,,"Burr Elementary School","=""0510211""",0,27,10,41,0,35,303,416
,,"Dwight Elementary School","=""0510111""",0,11,7,17,0,9,270,314
,,"Early Childhood Center","=""0518011""",0,7,"*",22,0,"*",87,128
,,"Fairfield School/Community Partnership","=""0510511""",0,"*","*","*",0,"*",10,15
,,"Fairfield Woods Middle School","=""0515211""",0,48,29,100,0,28,736,941
,,"Holland Hill School","=""0510411""",0,26,10,93,0,22,228,379
,,"Jennings School","=""0511711""",0,19,9,23,0,22,216,289
,,"McKinley School","=""0510611""",0,42,26,135,0,27,202,432
,,"North Stratfield School","=""0511611""",0,29,"*",34,0,"*",288,380
,,"Osborn Hill School","=""0511811""",0,31,7,16,0,26,343,423
,,"Riverfield School","=""0511211""",0,"*","*",25,0,19,350,413
,,"Roger Ludlowe Middle School","=""0515311""",0,37,7,61,0,29,723,857
,,"Stratfield School","=""0511411""",0,23,7,44,0,24,330,428
,,"Walter Fitzgerald Campus","=""0510311""",0,"*","*",6,0,0,22,31
,,"Early Childhood Center at Stratfield","=""0510811""",0,0,0,0,0,0,8,8
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","*",226,68,69,0,"*",818,1196
