"Student Counts by School and Race"
"All Districts, All Schools"
"2008-09"

"",,,,"Race",,,,,,
,,"Park City Magnet School","=""0151711""","*","*",209,150,0,104,501
,,"Read School","=""0152511""",6,12,439,399,0,63,919
,,"Thomas Hooker School","=""0151311""","*","*",193,214,0,51,470
,,"Warren Harding High School","=""0156311""","*","*",696,907,0,32,1652
,,"A.B. Skane Center","=""0154411""",0,13,45,104,0,48,210
,,"Barnum School","=""0150111""",0,6,197,386,0,11,600
,,"Bassick High School","=""0156111""",0,33,600,570,0,54,1257
,,"Black Rock School","=""0150311""",0,"*",52,135,0,"*",234
,,"Blackham School","=""0154011""",0,46,347,448,0,218,1059
,,"Bryant School","=""0150411""",0,27,172,190,0,51,440
,,"Cesar Batalla School","=""0151411""",0,27,322,713,0,31,1093
,,"Geraldine Johnson School","=""0153211""",0,39,295,363,0,74,771
,,"Hallen School","=""0151211""",0,"*",240,98,0,"*",354
,,"James J. Curiale School","=""0154211""",0,38,260,233,0,31,562
,,"Jettie S. Tisdale School","=""0152211""",0,11,352,217,0,16,596
,,"John Winthrop School","=""0153611""",0,33,271,236,0,189,729
,,"Madison School","=""0152011""",0,17,198,229,0,87,531
,,"Paul Laurence Dunbar School","=""0154111""",0,"*",222,166,0,"*",397
,,"Roosevelt School","=""0152611""",0,"*",210,324,0,"*",550
,,"Waltersville School","=""0153011""",0,9,148,387,0,17,561
,,"Wilbur Cross School","=""0153911""",0,10,233,119,0,11,373
,,"Bridgeport Learning Center","=""0159011""",0,0,"*",29,0,"*",57
,,"Columbus School","=""0150511""",0,0,156,397,0,76,629
,,"Make The Grade","=""0159511""",0,0,23,19,0,0,42
,,"New Start Program","=""0159411""",0,0,18,14,0,6,38
,,"Park City Academy","=""0159211""",0,0,21,"*",0,"*",34
,,"The University School","=""0159111""",0,0,18,"*",0,"*",24
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","*","*",114,192,0,1089,1417
,,"Bristol Eastern High School","=""0176211""","*","*",111,143,0,1027,1318
,,"Chippens Hill Middle School","=""0175111""","*",23,78,160,"*",614,881
,,"Clara T. O'Connell School","=""0170711""","*","*",45,127,0,184,372
,,"Ivy Drive School","=""0171911""","*","*",30,41,0,303,382
,,"John J. Jennings School","=""0170611""","*","*",16,42,0,301,366
,,"Northeast Middle School","=""0175211""","*","*",48,56,0,451,566
,,"Edgewood School","=""0170311""",0,6,31,83,0,239,359
,,"Clarence A. Bingham School","=""0170111""",0,"*","*",47,0,177,242
,,"Ellen P. Hubbell School","=""0171411""",0,19,33,79,0,361,492
,,"Greene-Hills School","=""0170511""",0,12,21,57,0,277,367
,,"Memorial Boulevard Middle School","=""0175311""",0,13,47,82,0,401,543
,,"Mountain View School","=""0171711""",0,25,27,45,0,294,391
,,"South Side School","=""0171111""",0,13,46,95,0,421,575
,,"Stafford School","=""0171211""",0,19,28,84,0,386,517
,,"Destinations Academy","=""0179011""",0,0,"*","*",0,13,23
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""","*",28,"*",25,0,348,406
,,"Huckleberry Hill Elementary School","=""0180411""","*",37,"*",34,0,530,609
,,"Whisconier Middle School","=""0185311""","*",32,"*",24,0,850,915
,,"Brookfield High School","=""0186111""",0,27,13,18,0,958,1016
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""","*","*",15,13,0,540,581
,,"Brooklyn Middle School","=""0195111""","*",7,"*",8,0,381,400
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","*",0,0,"*",0,81,85
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""","*","*",8,14,0,325,357
,,"Dr. Helen Baldwin Middle School","=""0225111""","*","*","*","*",0,226,242
"Canton School District","=""0230011""","Canton High School","=""0236111""","*","*",17,13,0,483,522
,,"Cherry Brook Primary School","=""0230211""","*",25,"*",20,0,490,553
,,"Canton Intermediate School","=""0230311""",0,7,11,10,0,366,394
,,"Canton Middle School","=""0235111""",0,"*",6,"*",0,265,279
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","*","*",21,25,0,22,78
,,"Academy of Computer Science and Engineering","=""2415214""","*",0,48,"*",0,32,105
,,"Academy of Computer Science and Engineering Middle School","=""2415014""","*","*",153,165,0,247,589
,,"Academy of International Studies 6-12","=""2416114""","*","*",407,82,0,165,683
,,"Academy of International Studies Elementary School","=""2410414""","*","*",41,33,0,35,124
,,"Glastonbury/East Hartford Magnet School","=""2410114""","*","*",60,36,0,132,251
,,"Reggio Magnet School of the Arts","=""2410314""","*","*",44,34,0,62,149
,,"University of Hartford Magnet School","=""2410214""","*","*",195,81,0,107,412
,,"Great Path Academy at MCC","=""2416314""",0,"*",68,"*",0,59,164
,,"Greater Hartford Academy of the Arts High School - Full Day","=""2416414""",0,"*",48,"*",0,52,147
,,"Montessori Magnet School","=""2413114""",0,7,123,131,0,71,332
,,"River Street School","=""2419314""",0,"*",31,"*",0,99,149
,,"River Street School Birken Campus","=""2419514""",0,"*",9,"*",0,40,53
,,"Soundbridge","=""2419114""",0,9,8,13,0,68,98
,,"IPM @ Plainville High School","=""2419414""",0,0,"*","*",0,15,18
,,"John J. Allison Polaris Center","=""2419014""",0,0,22,29,0,17,68
,,"Farmington Valley Regional Diagnostic Center","=""2419214""",0,0,0,0,0,16,16
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""","*","*","*",14,0,158,178
"Charter School for Young Children on Asylum Hill District","=""2870013""","Charter School for Young Children on Asylum Hill  Inc.","=""2870113""","*","*",55,34,0,45,136
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","*",108,"*",39,0,1396,1579
,,"Darcey School","=""0250211""","*",33,"*",17,0,324,385
,,"Dodd Middle School","=""0255111""","*",61,"*",18,0,727,818
,,"Doolittle School","=""0250611""","*",46,"*",17,0,458,532
,,"Norton School","=""0250511""","*",40,"*",15,0,404,470
,,"Chapman School","=""0250111""",0,26,7,16,0,280,329
,,"Highland School","=""0250411""",0,79,10,29,0,751,869
,,"Humiston School","=""0259011""",0,0,0,"*",0,"*",24
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","*",7,"*",17,0,284,313
,,"Lewin G. Joel Jr. School","=""0270311""","*",16,"*",54,0,611,689
,,"Jared Eliot School","=""0275111""",0,17,7,27,0,441,492
,,"The Morgan School","=""0276111""",0,"*","*",38,0,528,590
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","*","*",32,28,0,894,968
,,"Colchester Elementary School","=""0280411""","*","*",19,28,0,669,739
,,"Jack Jackter Intermediate School","=""0280211""",9,16,19,27,0,639,710
,,"William J. Johnston Middle School","=""0285111""",6,8,31,35,0,683,763
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""","*","*","*",0,0,109,116
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""","*","*","*",19,0,547,573
"Connecticut Technical Education and Career System","=""9000016""","A. I. Prince Technical High School","=""9001516""","*","*",210,369,0,32,615
,,"Bullard-Havens Technical High School","=""9001116""","*","*",334,467,0,64,875
,,"E. C. Goodwin Technical High School","=""9001916""","*","*",53,259,0,173,491
,,"Eli Whitney Technical High School","=""9001416""","*","*",233,259,0,29,524
,,"Ella T. Grasso Technical High School","=""9002716""",8,8,77,158,0,367,618
,,"Emmett O'Brien Technical High School","=""9002516""","*","*",19,60,0,436,520
,,"H. C. Wilcox Technical High School","=""9001716""","*","*",49,214,0,453,727
,,"H. H. Ellis Technical High School","=""9001316""","*",10,"*",19,0,528,568
,,"Henry Abbott Technical High School","=""9001216""","*","*",36,135,0,399,578
,,"Howell Cheney Technical High School","=""9001616""","*","*",70,78,0,435,597
,,"Norwich Technical High School","=""9002016""","*","*",29,39,0,392,473
,,"Oliver Wolcott Technical High School","=""9002216""","*","*",15,24,0,693,741
,,"Platt Technical High School","=""9002616""","*","*",128,195,0,545,884
,,"Vinal Technical High School","=""9001816""","*","*",45,53,0,479,583
,,"W. F. Kaynor Technical High School","=""9002316""","*","*",136,216,0,355,716
,,"Windham Technical High School","=""9002416""","*","*",13,121,0,376,522
,,"J. M. Wright Technical High School","=""9002116""",0,"*",92,96,0,"*",225
"Cooperative Educational Services","=""2430014""","C. E. S. Special Education","=""2439014""","*","*",57,47,0,162,270
,,"Six-Six Magnet School","=""2430114""","*","*",167,122,0,121,430
,,"School Readiness","=""2438014""",0,0,22,22,0,10,54
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""","*","*",8,15,0,487,514
,,"Coventry Grammar School","=""0320211""","*","*",7,9,0,385,410
,,"Coventry High School","=""0326111""","*","*",12,8,0,526,553
,,"George Hersey Robertson School","=""0320411""","*","*",8,12,0,434,461
,,"Coventry Early Intervention Services","=""0328011""",0,0,0,0,0,14,14
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","*","*",45,25,0,494,573
,,"Cromwell Middle School","=""0335111""","*","*",47,27,0,363,462
,,"Woodside Intermediate School","=""0330311""","*","*",37,29,0,405,494
,,"Edna C. Stevens School","=""0330211""",0,26,39,38,0,385,488
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""","*",103,"*",282,0,623,1105
,,"Danbury High School","=""0346111""","*","*",298,829,0,1483,2839
,,"King Street Intermediate School","=""0341711""","*","*",24,76,0,195,317
,,"King Street Primary School","=""0341311""","*",24,"*",101,0,197,334
,,"Pembroke School","=""0341511""","*",31,"*",100,0,175,336
,,"Shelter Rock School","=""0341211""","*",44,"*",138,0,163,375
,,"South Street School","=""0341011""","*","*",27,160,0,128,335
,,"Western CT Academy of International Studies Elementary Magnet School","=""0341911""","*",27,"*",49,0,270,371
,,"Alternative Center For Excellence","=""0346211""",0,"*","*",22,0,42,86
,,"Ellsworth Avenue School","=""0341411""",0,25,35,167,0,124,351
,,"Great Plain School","=""0341111""",0,14,26,94,0,167,301
,,"Hayestown Avenue School","=""0340211""",0,56,38,141,0,171,406
,,"Mill Ridge Educational Center","=""0341811""",0,23,47,99,0,183,352
,,"Mill Ridge Primary School","=""0340511""",0,25,38,81,0,152,296
,,"Morris Street School","=""0340611""",0,15,30,188,0,113,346
,,"Park Avenue School","=""0340811""",0,36,46,175,0,143,400
,,"Rogers Park Middle School","=""0345211""",0,92,127,377,0,424,1020
,,"Stadley Rough School","=""0341611""",0,45,30,136,0,259,470
"Darien School District","=""0350011""","Darien High School","=""0356111""",6,29,14,29,0,1158,1236
,,"Hindley Elementary School","=""0350211""","*",11,"*",6,0,496,518
,,"Holmes Elementary School","=""0350711""","*",15,"*",13,0,442,475
,,"Middlesex Middle School","=""0355111""","*",31,"*",20,0,1073,1132
,,"Royle Elementary School","=""0350511""","*",23,"*",14,0,399,440
,,"Ox Ridge Elementary School","=""0351311""",0,10,"*","*",0,473,495
,,"Tokeneke Elementary School","=""0350611""",0,"*",8,"*",0,411,425
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""","*","*",9,25,0,315,353
"Derby School District","=""0370011""","Derby High School","=""0376111""","*","*",98,115,0,406,641
,,"Bradley School","=""0370611""",0,23,33,54,0,273,383
,,"Irving School","=""0370411""",0,9,95,144,0,190,438
"East Granby School District","=""0400011""","Allgrove School","=""0400111""","*",11,15,"*",0,250,288
,,"East Granby High School","=""0406111""","*",13,9,"*",0,226,252
,,"East Granby Middle School","=""0405111""","*","*",9,6,0,197,216
,,"R. Dudley Seymour School","=""0400211""","*",6,8,"*",0,122,142
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""","*",7,"*",12,0,410,433
,,"Nathan Hale-Ray Middle School","=""0415111""","*","*",10,18,0,538,572
,,"Nathan Hale-Ray High School","=""0416111""",0,"*","*",8,0,400,418
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","*",12,10,"*",0,564,595
,,"Center School","=""0420311""",0,"*","*",16,0,325,350
,,"East Hampton Middle School","=""0425111""",0,"*",10,"*",0,451,474
,,"Memorial School","=""0420111""",0,15,8,27,0,579,629
,,"The Learning Center at East Hampton","=""0429011""",0,"*","*",0,0,"*",7
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","*","*",44,46,0,68,169
,,"Dr. John A. Langford School","=""0432211""","*","*",142,132,0,36,332
,,"Dr. Thomas S. O'Connell School","=""0431011""","*","*",89,100,0,115,322
,,"East Hartford High School","=""0436211""",6,114,657,654,0,467,1898
,,"East Hartford Middle School","=""0435111""",8,53,345,368,0,193,967
,,"Governor William Pitkin School","=""0432011""","*","*",99,93,0,88,353
,,"Joseph O. Goodwin School","=""0430411""","*","*",105,95,0,114,331
,,"Robert J. O'Brien School","=""0431811""","*","*",176,163,0,42,414
,,"Silver Lane School","=""0431211""","*","*",122,147,0,21,297
,,"Sunset Ridge Middle School","=""0432411""","*","*",177,197,0,89,492
,,"Willowbrook Early Childhood","=""0438011""","*","*",93,124,0,42,278
,,"Anna E. Norris School","=""0430911""",0,18,123,154,0,27,322
,,"Dr. Franklin H. Mayberry School","=""0430611""",0,23,147,189,0,51,410
,,"Hockanum School","=""0430511""",0,17,129,143,0,44,333
,,"Synergy Alternative Program","=""0436411""",0,"*",56,47,0,"*",148
,,"Woodland School","=""0439011""",0,"*",67,70,0,"*",169
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","*",14,"*","*",0,207,228
,,"D. C. Moore School","=""0441411""","*","*",8,48,0,167,233
,,"Deer Run School","=""0440111""","*",20,"*",59,0,243,337
,,"East Haven High School","=""0446111""","*",46,"*",97,0,834,1014
,,"Grove J. Tuttle School","=""0441011""","*",10,"*",38,0,155,212
,,"Hays School","=""0441911""","*",8,"*",20,0,129,163
,,"Joseph Melillo Middle School","=""0445111""","*",15,"*",69,0,402,499
,,"Momauguin School","=""0440711""","*",6,"*",46,0,147,204
,,"Robert W. Carbone School","=""0441611""","*",14,"*",43,0,228,292
,,"Dominick H. Ferrara School","=""0441311""",0,"*","*",16,0,160,189
,,"Overbrook Early Learning Center","=""0441811""",0,"*","*",25,0,119,159
,,"Pathways","=""0449011""",0,0,"*","*",0,41,46
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",7,79,19,37,0,1105,1247
,,"East Lyme Middle School","=""0455111""",7,88,17,22,0,736,870
,,"Flanders School","=""0450111""","*",50,"*",9,0,307,368
,,"Lillie B. Haynes School","=""0450411""","*",33,16,"*",0,302,366
,,"Integrated Preschool","=""0458011""",0,"*","*","*",0,43,50
,,"Niantic Center School","=""0450211""",0,17,8,15,0,207,247
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""","*","*",93,71,0,383,600
,,"East Windsor High School","=""0476111""","*","*",60,31,0,307,411
,,"East Windsor Middle School","=""0475411""","*","*",52,38,0,319,424
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","*","*","*",7,0,55,65
,,"EastConn Special Education","=""2539014""","*",0,"*","*",0,43,48
,,"Quinebaug Middle College","=""2536114""",0,0,"*","*",0,23,34
"Ellington School District","=""0480011""","Center School","=""0480111""","*",13,17,"*",0,386,429
,,"Ellington High School","=""0486111""","*",20,21,"*",0,720,778
,,"Windermere Intermediate School","=""0480711""","*","*",18,17,0,356,406
,,"Windermere School","=""0480611""","*",42,20,"*",0,339,410
,,"Crystal Lake School","=""0480211""",0,"*","*","*",0,215,221
,,"Ellington Middle School","=""0485111""",0,6,10,7,0,367,390
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""","*","*",29,18,0,344,404
,,"Enfield High School","=""0496111""","*","*",66,54,0,750,893
,,"Enrico Fermi High School","=""0496211""","*","*",55,43,0,1038,1174
,,"Hazardville Memorial School","=""0490411""","*","*",29,12,0,355,405
,,"Head Start Program","=""0498011""","*","*",13,21,0,67,104
,,"Henry Barnard School","=""0491811""","*","*",70,36,0,297,418
,,"Prudence Crandall School","=""0491511""","*","*",20,23,0,373,435
,,"Thomas G. Alcorn School","=""0491711""","*","*",57,60,0,170,299
,,"Nathan Hale School","=""0491111""",0,6,17,9,0,231,263
,,"John F. Kennedy Middle School","=""0495211""",0,15,72,38,0,798,923
,,"Edgar H. Parkman School","=""0491311""",0,"*",7,"*",0,322,339
,,"Enfield Street School","=""0490211""",0,7,43,38,0,260,348
,,"Enfield Transitional Learning Academy","=""0499011""",0,"*","*","*",0,"*",8
,,"Harriet Beecher Stowe School","=""0491211""",0,"*",17,"*",0,254,283
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","*",15,"*",18,0,546,594
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","*",10,"*",14,0,438,469
,,"Fairfield Ludlowe High School","=""0516011""","*",55,"*",56,0,1241,1392
,,"Fairfield Warde High School","=""0516211""","*",61,"*",114,0,1044,1273
,,"North Stratfield School","=""0511611""","*",29,"*",31,0,434,502
,,"Sherman School","=""0511311""","*",25,"*",11,0,403,446
,,"Stratfield School","=""0511411""","*",39,"*",28,0,462,542
,,"Early Childhood Center","=""0518011""",0,"*","*",14,0,105,126
,,"Dwight Elementary School","=""0510111""",0,"*","*",15,0,295,322
,,"Fairfield Woods Middle School","=""0515211""",0,26,14,25,0,540,605
,,"Holland Hill School","=""0510411""",0,43,17,26,0,264,350
,,"Jennings School","=""0511711""",0,23,9,16,0,308,356
,,"McKinley School","=""0510611""",0,53,29,86,0,268,436
,,"Mill Hill School","=""0510711""",0,23,7,27,0,413,470
,,"Osborn Hill School","=""0511811""",0,23,"*","*",0,485,527
,,"Riverfield School","=""0511211""",0,"*","*",17,0,441,478
,,"Roger Ludlowe Middle School","=""0515311""",0,46,20,74,0,749,889
,,"Tomlinson Middle School","=""0515111""",0,38,14,41,0,677,770
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""","*",75,"*",29,0,539,671
,,"Union School","=""0520111""","*",19,24,"*",0,238,295
,,"West District School","=""0520311""","*",35,10,"*",0,292,345
,,"West Woods Upper Elementary School","=""0520511""","*",76,43,"*",0,522,676
,,"East Farms School","=""0520411""",0,58,22,22,0,326,428
,,"Farmington Collaborative PK","=""0528011""",0,7,"*","*",0,63,72
,,"Farmington High School","=""0526111""",0,97,81,44,0,1138,1360
,,"Noah Wallace School","=""0520211""",0,58,22,24,0,241,345
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",6,"*","*",6,0,211,225
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","*",59,23,"*",0,468,575
,,"Eastbury School","=""0540311""","*",39,16,"*",0,272,342
,,"Glastonbury High School","=""0546111""","*",130,"*",98,0,1750,2066
,,"Hebron Avenue School","=""0540411""","*",55,17,"*",0,439,525
,,"Hopewell School","=""0540611""","*",40,"*",25,0,455,530
,,"Naubuc School","=""0540711""","*",59,"*",56,0,337,488
,,"Smith Middle School","=""0545211""","*",93,"*",45,0,954,1128
,,"Gideon Welles School","=""0540811""",0,44,17,22,0,447,530
,,"Nayaug Elementary School","=""0540911""",0,36,18,13,0,597,664
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""","*",11,34,"*",0,420,473
,,"Granby Memorial High School","=""0566111""","*","*",24,9,0,694,737
,,"Kelly Lane Primary School","=""0560411""","*","*",19,8,0,318,350
,,"Granby Memorial Middle School","=""0565111""",0,"*",15,"*",0,350,379
,,"Wells Road Intermediate School","=""0560311""",0,"*","*",11,0,306,330
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""","*",60,"*",90,0,522,690
,,"Greenwich High School","=""0576111""","*",196,"*",384,0,2013,2677
,,"North Mianus School","=""0570711""","*",74,"*",37,0,340,457
,,"North Street School","=""0570811""","*",40,"*",29,0,419,497
,,"Parkway School","=""0571111""","*",26,"*",26,0,270,328
,,"Western Middle School","=""0575311""","*",35,"*",142,0,299,494
,,"Cos Cob School","=""0570211""",0,65,"*","*",0,298,415
,,"Eastern Middle School","=""0575211""",0,73,8,51,0,615,747
,,"Glenville School","=""0570411""",0,34,"*","*",0,214,283
,,"Hamilton Avenue School","=""0570511""",0,24,38,151,0,168,381
,,"International School At Dundee","=""0571311""",0,50,11,55,0,259,375
,,"Julian Curtiss School","=""0570311""",0,33,23,74,0,208,338
,,"New Lebanon School","=""0570611""",0,14,10,106,0,97,227
,,"Old Greenwich School","=""0570911""",0,20,"*","*",0,406,441
,,"Riverside School","=""0571011""",0,"*","*",44,0,437,517
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""",11,19,35,51,0,815,931
,,"Griswold High School","=""0586211""",18,15,13,18,0,702,766
,,"Griswold Middle School","=""0585111""","*","*",11,16,0,378,418
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""","*",26,18,"*",0,314,374
,,"Catherine Kolnaski Magnet School","=""0592011""",7,38,117,102,0,204,468
,,"Charles Barnum Magnet School","=""0591811""",7,20,69,32,0,306,434
,,"Claude Chester School","=""0590311""",17,58,66,51,0,177,369
,,"Fitch Middle School","=""0595111""",15,36,68,62,0,251,432
,,"Northeast Academy Magnet School","=""0591911""","*",38,28,"*",0,319,412
,,"Pleasant Valley School","=""0591211""",6,28,46,43,0,199,322
,,"Robert E. Fitch High School","=""0596111""",15,114,203,101,0,955,1388
,,"S. B. Butler School","=""0590111""","*",19,19,"*",0,285,344
,,"Thames River Magnet School","=""0591711""","*","*",34,27,0,257,326
,,"West Side Middle School","=""0595211""",7,19,55,49,0,135,265
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""","*",27,"*",27,0,515,574
,,"Calvin Leete School","=""0600411""","*",19,"*",18,0,295,335
,,"E. C. Adams Middle School","=""0605111""","*",17,"*",27,0,551,604
,,"A. W. Cox School","=""0600611""",0,13,7,16,0,283,319
,,"Guilford High School","=""0606111""",0,39,12,41,0,1046,1138
,,"Guilford Lakes School","=""0600211""",0,18,8,17,0,395,438
,,"Melissa Jones School","=""0600311""",0,"*","*",25,0,320,357
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","*",40,87,"*",0,298,464
,,"Dunbar Hill School","=""0620311""","*","*",138,45,0,129,332
,,"Hamden High School","=""0626111""","*","*",750,250,0,1016,2113
,,"Hamden Middle School","=""0625211""","*","*",305,116,0,400,866
,,"Ridge Hill School","=""0621111""","*","*",136,72,0,76,314
,,"Shepherd Glen School","=""0620111""","*",63,110,"*",0,107,323
,,"Alice Peck Learning Center","=""0628011""",0,7,24,13,0,47,91
,,"Church Street School","=""0620211""",0,17,206,88,0,97,408
,,"Helen Street School","=""0620411""",0,17,145,72,0,72,306
,,"Spring Glen School","=""0621011""",0,15,81,21,0,230,347
,,"West Woods School","=""0621411""",0,62,66,38,0,335,501
"Hampton School District","=""0630011""","Hampton Elementary School","=""0630111""","*",0,0,"*",0,138,149
"Hartford School District","=""0640011""","Batchelder School","=""0640411""","*","*",114,393,0,24,546
,,"Breakthrough Magnet School, South","=""0643311""","*","*",111,118,0,95,342
,,"Bulkeley High School Lower School","=""0646111""","*","*",307,960,0,91,1381
,,"Classical Magnet School","=""0646411""","*","*",362,166,0,155,697
,,"Hartford Magnet Trinity College Academy","=""0645411""","*","*",180,245,0,176,613
