"Student Counts by School and Race"
"All Districts, All Schools"
"2021-22"

"",,,,"Race",,,,,,,
"District","District Code","School","School Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
,,"The Learning Center at East Hampton","=""0429011""",0,0,0,"*",0,0,"*","*"
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""","*","*",54,171,0,"*",20,256
,,"Dr. Franklin H. Mayberry School","=""0430611""","*",15,97,186,"*",14,19,335
,,"Dr. John A. Langford School","=""0432211""","*",6,94,172,0,"*",23,302
,,"Dr. Thomas S. O'Connell School","=""0431011""","*","*",129,251,0,27,106,524
,,"Early Childhood Learning Center at Hockanum School","=""0430211""","*",14,100,127,"*",7,34,285
,,"East Hartford High School","=""0436211""","*",67,508,822,"*",62,165,1632
,,"East Hartford Middle School","=""0435111""","*",31,306,500,"*",35,81,959
,,"Governor William Pitkin School","=""0432011""","*",32,87,142,"*",17,50,330
,,"Robert J. O'Brien School","=""0431811""","*",15,122,201,"*",8,19,367
,,"Silver Lane School","=""0431211""","*","*",95,130,0,7,9,245
,,"Connecticut IB Academy","=""0436311""",0,"*",62,47,0,"*",39,176
,,"Joseph O. Goodwin School","=""0430411""",0,18,89,164,0,15,49,335
,,"Sunset Ridge Middle School","=""0432411""",0,13,90,155,0,14,62,334
,,"Synergy Alternative Program","=""0436411""",0,"*",19,40,0,"*",10,71
,,"Woodland School","=""0439011""",0,"*",46,71,0,"*",20,145
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","*","*",11,64,0,15,216,313
,,"East Haven High School","=""0446111""","*",35,42,322,0,"*",459,868
,,"Grove J. Tuttle School","=""0441011""","*",11,14,113,0,"*",121,270
,,"Deer Run School","=""0440111""",0,10,11,84,0,16,145,266
,,"Dominick H. Ferrara School","=""0441311""",0,11,11,59,"*","*",67,156
,,"Joseph Melillo Middle School","=""0445111""",0,23,37,194,0,14,262,530
,,"Momauguin School","=""0440711""",0,8,10,136,0,7,122,283
,,"Overbrook Early Learning Center","=""0441811""",0,9,11,74,0,7,54,155
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","*",92,14,72,"*",57,729,970
,,"Integrated Preschool","=""0458011""","*","*",0,"*",0,"*",51,60
,,"Lillie B. Haynes School","=""0450411""","*",51,"*",37,0,17,217,334
,,"Niantic Center School","=""0450211""","*",6,"*",22,0,14,185,229
,,"East Lyme Middle School","=""0455111""",0,73,7,73,0,39,555,747
,,"Flanders School","=""0450111""",0,24,"*","*",0,20,199,263
,,"Abilities in Motion (AIM) Program","=""0450511""",0,0,"*","*",0,0,17,22
,,"Coastal Connections","=""0450611""",0,0,0,"*",0,0,"*",13
