"Student Counts by School and Race"
"All Districts, All Schools"
"2024-25"

"",,,,"Race",,,,,,,
,,"Bristol Preparatory Academy","=""0173311""",0,0,"*",29,0,"*",17,50
,,"Community/Vocational Program","=""0179211""",0,0,"*",8,0,"*",17,28
,,"Destinations Academy","=""0179011""",0,0,"*",10,0,"*",6,20
,,"Northeast Middle School Learning Center","=""0172811""",0,0,"*","*",0,"*","*",8
,,"Stafford LEAD","=""0173211""",0,0,"*",13,0,"*",9,29
,,"ACCESS","=""0170211""",0,0,0,"*",0,0,"*",8
,,"Breakthrough","=""0172611""",0,0,0,"*",0,"*",11,22
,,"Bristol Eastern High School EXCEL","=""0174811""",0,0,0,"*",0,"*",6,13
,,"CHMS Learning Center","=""0173411""",0,0,0,"*",0,0,"*","*"
,,"Destinations Attendance Recovery","=""0174111""",0,0,0,"*",0,"*","*",12
,,"Northeast Middle School EXCEL","=""0174611""",0,0,0,"*",0,0,"*",6
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","*",72,31,156,"*","*",583,849
,,"Candlewood Lake Elementary School","=""0180111""",13,77,43,201,0,17,734,1085
,,"Whisconier Middle School","=""0185311""","*",46,28,108,0,"*",403,595
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","*",10,"*",49,0,18,287,373
,,"Brooklyn Elementary School","=""0190111""",0,"*",10,55,"*",27,369,469
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","*","*",0,"*","*","*",61,70
"Capital Preparatory Harbor School District","=""2970013""","Capital Preparatory Harbor School","=""2970113""","*","*",501,262,0,"*","*",775
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","*",67,256,336,"*",27,77,767
,,"Academy of Aerospace and Engineering Elementary","=""2410714""","*",71,156,242,"*",35,97,604
,,"Academy of International Studies 6-12","=""2416114""","*",18,332,253,"*",43,49,697
,,"Academy of Science and Innovation","=""2416514""","*","*",177,418,0,38,109,767
,,"Discovery Academy","=""2418114""","*",35,84,265,0,"*",112,522
,,"Glastonbury/East Hartford Magnet School","=""2410114""","*",37,118,197,0,"*",70,456
,,"Montessori Magnet School","=""2413114""","*","*",33,236,0,22,57,358
,,"Museum Academy","=""2410514""","*","*",248,169,0,39,49,511
,,"Reggio Magnet School of the Arts","=""2410314""","*","*",136,199,0,39,119,511
,,"University of Hartford Magnet School","=""2410214""","*","*",246,133,0,38,51,477
,,"Academy of Computer Science and Engineering","=""2415214""",0,9,179,278,0,24,60,550
,,"Academy of Computer Science and Engineering Middle School","=""2415014""",0,"*",209,328,"*",41,64,669
,,"Academy of International Studies Elementary School","=""2410414""",0,54,179,199,0,30,35,497
,,"Ana Grace Academy of the Arts","=""2410614""",0,"*",294,371,"*",63,119,855
,,"CREC Preschool at Progress Drive","=""2412114""",0,10,16,61,0,7,24,118
,,"Greater Hartford Academy of the Arts High School - Full Day","=""2416414""",0,"*",88,200,0,"*",89,403
,,"River Street School","=""2419314""",0,"*",22,34,0,"*",42,107
,,"River Street School Birken Campus","=""2419514""",0,"*",8,21,0,"*",16,52
,,"River Street School Early Learning Center","=""2411414""",0,"*","*",0,0,0,"*",7
,,"CREC Impact Academy","=""2411914""",0,0,27,30,0,"*","*",59
,,"Farmington Valley Regional Diagnostic Center","=""2419214""",0,0,"*","*",0,0,13,18
,,"John J. Allison Polaris Center","=""2419014""",0,0,17,24,0,"*","*",54
,,"STRIVE - Southern Transition Real-World and Independent Voc Ed","=""2419714""",0,0,"*","*",0,0,12,15
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","*",142,48,111,0,"*",873,1208
,,"Darcey School","=""0250211""","*",17,"*",16,0,12,107,159
,,"Humiston Alternative School","=""0250911""","*",0,"*","*",0,"*",11,21
,,"Chapman School","=""0250111""",0,36,12,43,0,14,264,369
,,"Cheshire Community Life","=""0251211""",0,"*","*",0,0,0,"*",7
,,"Dodd Middle School","=""0255111""",0,61,24,61,0,37,477,660
,,"Doolittle School","=""0250611""",0,51,"*",52,"*",29,381,529
,,"Highland Intensive Education Program","=""0251411""",0,"*","*","*",0,0,10,16
,,"Highland School","=""0250411""",0,87,23,113,0,32,644,899
,,"Norton Intensive Education Program","=""0251311""",0,"*","*","*",0,0,6,12
,,"Norton School","=""0250511""",0,37,14,41,0,15,305,412
,,"Cheshire Quinnipiac University Transition Collaborative","=""0250311""",0,0,0,0,0,0,9,9
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""","*","*",21,55,0,18,449,552
,,"Jack Jackter Intermediate School","=""0280211""","*",6,"*",53,"*",29,414,509
,,"Bacon Academy","=""0286111""",0,18,20,45,0,28,461,572
,,"William J. Johnston Middle School","=""0285111""",0,8,9,45,0,23,367,452
,,"East of the River Transition Academy","=""0280711""",0,0,"*",0,0,0,"*","*"
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""","*","*","*",47,0,20,367,440
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","*","*",72,103,0,7,34,221
"Connecticut Technical Education and Career System","=""9000016""","A. I. Prince Technical High School","=""9001516""","*","*",235,404,0,37,40,725
,,"Bullard-Havens Technical High School","=""9001116""","*","*",221,562,0,14,18,819
,,"E. C. Goodwin Technical High School","=""9001916""","*","*",67,395,0,33,193,690
,,"Ella T. Grasso Technical High School","=""9002716""",7,"*",53,289,"*",74,254,684
,,"Emmett O'Brien Technical High School","=""9002516""","*","*",70,231,0,35,277,618
,,"H. C. Wilcox Technical High School","=""9001716""","*","*",45,369,0,41,289,753
,,"H. H. Ellis Technical High School","=""9001316""","*",6,"*",88,0,20,531,650
,,"Henry Abbott Technical High School","=""9001216""","*",7,32,419,"*",30,231,721
,,"J. M. Wright Technical High School","=""9002116""","*","*",72,355,0,11,52,494
,,"Norwich Technical High School","=""9002016""","*","*",28,157,"*",49,408,649
,,"Oliver Wolcott Technical High School","=""9002216""","*","*",8,123,0,37,470,643
,,"W. F. Kaynor Technical High School","=""9002316""","*",10,134,406,"*",43,232,831
,,"Eli Whitney Technical High School","=""9001416""",0,"*",183,355,0,"*",28,586
,,"Howell Cheney Technical High School","=""9001616""",0,8,87,196,0,36,325,652
,,"Platt Technical High School","=""9002616""",0,7,123,333,0,38,248,749
,,"Vinal Technical High School","=""9001816""",0,"*","*",105,0,43,336,522
,,"Windham Technical High School","=""9002416""",0,"*","*",203,0,23,269,510
"Cooperative Educational Services","=""2430014""","Merit Academy","=""2439414""","*",0,12,21,0,"*",49,88
,,"Oakview Middle/High School","=""2439214""","*","*",12,13,0,"*",14,46
,,"School Readiness","=""2438014""","*",0,20,35,0,"*",16,73
,,"Six-Six Magnet School","=""2430114""","*",27,101,198,0,"*",95,441
,,"Oakview Primary School","=""2439114""",0,"*",12,19,0,"*",16,51
,,"Oakview Transition School","=""2430214""",0,0,13,17,"*","*",18,52
,,"RISE Transitional Program","=""2439314""",0,0,"*",0,0,0,"*",6
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""","*",6,"*",37,0,21,294,363
,,"George Hersey Robertson School","=""0320411""","*","*","*",27,0,19,316,370
,,"Coventry Grammar School","=""0320211""",0,"*","*",31,0,15,308,361
,,"Coventry High School","=""0326111""",0,7,"*",32,"*",10,343,395
,,"Hale Early Education Center","=""0320311""",0,0,"*",12,0,"*",89,107
,,"Coventry Academy","=""0320111""",0,0,0,"*",0,0,"*",11
,,"Coventry RISE Program","=""0320611""",0,0,0,0,0,0,"*","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","*",32,49,64,"*",17,348,515
,,"Cromwell Middle School","=""0335111""","*","*",23,65,0,25,312,448
,,"Edna C. Stevens School","=""0330211""",0,18,19,67,0,29,280,413
,,"Woodside Intermediate School","=""0330311""",0,22,22,73,0,36,287,440
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""","*",41,61,763,0,"*",176,1070
,,"DPS Early Childhood Center at Granville","=""0340411""","*",12,12,113,0,"*",37,184
,,"Danbury High School","=""0346111""",9,156,250,2256,0,104,837,3612
,,"Ellsworth Avenue School","=""0341411""","*","*",19,392,0,21,47,492
,,"Hayestown Avenue School","=""0340211""","*",33,"*",313,0,23,58,450
,,"King Street Primary School","=""0341311""","*",12,14,274,0,"*",80,393
,,"Mill Ridge Primary School","=""0340511""","*","*",41,181,0,25,62,319
,,"Morris Street School","=""0340611""","*","*",7,280,0,16,32,340
,,"Park Avenue School","=""0340811""","*","*",26,435,0,16,71,562
,,"Pembroke School","=""0341511""","*",18,31,225,0,"*",82,376
,,"Rogers Park Middle School","=""0345211""","*",27,44,642,"*",25,148,888
,,"Shelter Rock School","=""0341211""","*",28,31,347,0,"*",94,527
,,"South Street School","=""0341011""","*",14,16,266,"*",24,44,372
,,"Stadley Rough School","=""0341611""","*","*",27,341,0,23,73,479
,,"Western CT Academy of International Studies Elementary Magnet School","=""0341911""","*","*",28,155,0,39,80,330
,,"Westside Middle School Academy","=""0340311""","*",34,37,421,0,"*",223,736
,,"Alternative Center For Excellence","=""0346211""",0,"*",11,57,0,"*",8,84
,,"DPS Early Childhood Center","=""0340111""",0,"*",9,44,0,"*",8,65
,,"Great Plain School","=""0341111""",0,18,14,152,0,14,73,271
,,"King Street Intermediate School","=""0341711""",0,"*",30,220,"*",18,82,367
,,"Western Connection","=""0340711""",0,0,"*",0,0,"*","*","*"
"Darien School District","=""0350011""","Darien High School","=""0356111""","*",81,15,121,"*",48,1114,1382
,,"Hindley Elementary School","=""0350211""","*",34,0,19,0,"*",340,411
,,"Holmes Elementary School","=""0350711""",0,40,"*","*",0,24,321,407
,,"Middlesex Middle School","=""0355111""",0,79,"*",72,"*",55,827,1043
,,"Ox Ridge Elementary School","=""0351311""",0,37,7,47,0,28,506,625
,,"Royle Elementary School","=""0350511""",0,"*","*",41,0,28,255,342
,,"Tokeneke Elementary School","=""0350611""",0,"*","*",26,0,36,350,439
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""","*","*",0,21,0,10,307,340
,,"Nathan Hale-Ray High School","=""0416111""","*","*",0,24,0,"*",229,262
,,"Nathan Hale-Ray Middle School","=""0415111""",0,"*","*",23,0,11,307,346
,,"East of the River Transition Academy","=""0410311""",0,0,0,0,0,0,"*","*"
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","*",24,71,65,"*",8,30,200
,,"Dr. Franklin H. Mayberry School","=""0430611""","*",7,76,190,"*",12,18,310
,,"Dr. John A. Langford School","=""0432211""","*","*",93,185,0,"*",27,316
,,"Dr. Thomas S. O'Connell School","=""0431011""","*","*",141,244,0,19,102,519
,,"Early Childhood Learning Center at Hockanum School","=""0430211""","*","*",85,194,0,12,23,323
,,"East Hartford High School","=""0436211""","*",60,561,969,"*",51,126,1776
,,"East Hartford Middle School","=""0435111""","*",31,301,531,"*",43,58,971
,,"Governor William Pitkin School","=""0432011""","*",38,96,141,"*",14,54,345
,,"Joseph O. Goodwin School","=""0430411""","*",31,101,151,0,"*",44,334
,,"Anna E. Norris School","=""0430911""",0,"*",63,170,"*",13,25,279
,,"Robert J. O'Brien School","=""0431811""",0,"*",113,211,0,"*",12,344
,,"Sunset Ridge Middle School","=""0432411""",0,13,81,160,0,19,61,334
,,"Silver Lane School","=""0431211""",0,0,85,107,0,"*","*",203
,,"Synergy Alternative Program","=""0436411""",0,0,27,53,0,"*","*",88
,,"Woodland School","=""0439011""",0,0,45,73,0,"*","*",137
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","*",23,69,372,"*",23,385,879
,,"Joseph Melillo Middle School","=""0445111""","*",18,38,244,0,"*",150,461
,,"Carbone School/East Haven Academy","=""0441711""",0,7,15,92,0,23,226,363
,,"Deer Run School","=""0440111""",0,7,16,93,0,16,100,232
,,"Dominick H. Ferrara School","=""0441311""",0,8,9,66,0,6,64,153
,,"Grove J. Tuttle School","=""0441011""",0,17,"*",121,0,"*",116,270
,,"Momauguin School","=""0440711""",0,6,8,156,0,16,116,302
,,"Overbrook Early Learning Center","=""0441811""",0,"*",13,84,0,"*",65,173
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","*",88,17,90,"*",45,645,890
,,"East Lyme Middle School","=""0455111""","*",65,"*",87,0,42,504,716
,,"Flanders School","=""0450111""","*","*",0,21,0,27,175,242
,,"Lillie B. Haynes School","=""0450411""","*",54,"*",49,0,26,226,365
,,"Niantic Center School","=""0450211""","*","*","*",15,0,13,162,198
,,"Integrated Preschool","=""0458011""",0,"*","*",7,0,"*",56,69
,,"Abilities in Motion (AIM) Program","=""0450511""",0,0,"*","*",0,"*",9,12
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","*","*",46,66,0,7,133,259
,,"Broad Brook Elementary School","=""0470111""",0,52,48,117,"*","*",187,441
,,"East Windsor Middle School","=""0475411""",0,15,42,93,0,17,151,318
,,"East Windsor Transition Program","=""0470411""",0,0,"*","*",0,"*","*",9
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""","*","*",11,80,0,8,55,161
,,"ACCESS Middle and High School","=""2420714""",0,"*","*","*",0,"*",12,16
,,"Steps Middle and High School","=""2420114""",0,"*","*",11,0,"*",17,34
,,"UPP @ POST","=""2420514""",0,"*","*","*",0,"*",26,34
,,"B.E.A.M Elementary School","=""2429014""",0,0,"*",0,0,0,"*","*"
,,"Steps-Expelled Student","=""2420314""",0,0,"*","*",0,0,"*","*"
,,"Partnership Learning Academy","=""2420614""",0,0,0,"*",0,"*","*",9
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""","*",50,23,28,0,"*",282,393
,,"Windermere School","=""0480611""","*",136,37,64,0,"*",360,627
,,"Center School","=""0480111""",0,8,18,37,0,17,365,445
,,"Crystal Lake School","=""0480211""",0,9,14,31,0,18,236,308
,,"ECLIPSE - Ellington Continuing Life Independence Post-Secondary Education","=""0480411""",0,"*","*","*",0,0,"*",10
,,"Ellington High School","=""0486111""",0,72,29,61,0,19,520,701
,,"BASES - Behavioral, Academic, Social and Emotional Support Program","=""0480811""",0,0,"*",7,0,"*",18,32
,,"TEPSEP - The Ellington Public Schools Expulsion Program","=""0480511""",0,0,"*","*",0,0,"*",7
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",6,33,105,325,0,61,896,1426
,,"Henry Barnard School","=""0491811""","*","*",21,80,0,27,175,311
,,"Eli Whitney School","=""0491611""",0,"*","*",95,0,26,213,346
,,"Edgar H. Parkman School","=""0491311""",0,"*","*",58,0,29,158,266
,,"Enfield High - Adaptive Learning Program (ALP)","=""0490111""",0,"*",0,"*",0,0,"*",8
,,"Enfield Street DLP","=""0492811""",0,"*","*","*",0,"*","*",7
,,"Enfield Street School","=""0490211""",0,"*","*",50,0,22,137,226
,,"Enfield Transitional Learning Academy","=""0499011""",0,"*","*","*",0,"*",21,31
,,"Hazardville Memorial School","=""0490411""",0,"*","*",72,0,25,187,298
,,"Head Start Program","=""0498011""",0,"*","*",36,0,13,43,102
,,"Henry Barnard - DLP","=""0490311""",0,"*",7,12,0,"*",21,45
,,"John F. Kennedy Middle School","=""0495211""",0,"*",61,228,"*",52,634,1002
,,"Prudence Crandall School","=""0491511""",0,12,25,85,0,27,202,351
,,"SELC Integrated Pre-Kindergarten","=""0492211""",0,"*","*",20,0,"*",63,92
,,"EPS PK STEAM Academy","=""0491011""",0,0,11,19,0,0,20,50
,,"Eagle Academy - High","=""0492411""",0,0,"*","*",0,0,12,17
,,"Eagle Academy - Middle","=""0492511""",0,0,"*","*",0,0,"*",6
,,"Edgar H. Parkman - Adaptive Learning","=""0490511""",0,0,"*","*",0,"*",11,19
,,"Eli Whitney - Adaptive Learning (IAL)","=""0491411""",0,0,"*","*",0,0,"*",8
,,"Enfield Alternative Education Program","=""0492311""",0,0,"*",7,0,"*",10,25
,,"John F. Kennedy - Adaptive Learning Program (ALP)","=""0490911""",0,0,6,"*",0,"*",12,24
,,"Eagle Academy - Elementary","=""0492611""",0,0,0,"*",0,0,"*","*"
,,"Prudence Crandall - SOAR","=""0490711""",0,0,0,"*",0,"*",9,16
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","*",8,"*",16,"*",12,186,228
,,"Early Childhood Center at Holland Hill","=""0510911""","*","*","*",6,0,"*",20,32
,,"Fairfield Ludlowe High School","=""0516011""","*",89,"*",148,0,60,1033,1367
,,"Jennings School","=""0511711""","*",22,"*",34,0,22,197,280
,,"McKinley School","=""0510611""","*",49,40,155,"*",19,205,470
,,"Roger Ludlowe Middle School","=""0515311""","*",40,"*",59,0,48,607,764
,,"Stratfield School","=""0511411""","*",9,"*",44,0,19,244,326
,,"Burr Elementary School","=""0510211""",0,18,11,43,0,31,244,347
,,"Early Childhood Center","=""0518011""",0,"*",8,25,0,"*",68,112
,,"Early Childhood Center at Stratfield","=""0510811""",0,6,"*",15,0,"*",39,67
,,"Fairfield School/Community Partnership","=""0510511""",0,"*","*","*",0,0,22,30
,,"Fairfield Warde High School","=""0516211""",0,96,72,251,0,63,826,1308
,,"Fairfield Woods Middle School","=""0515211""",0,53,21,104,0,56,481,715
,,"Holland Hill School","=""0510411""",0,30,15,80,0,33,227,385
,,"Mill Hill School","=""0510711""",0,18,"*",31,"*",23,295,371
,,"North Stratfield School","=""0511611""",0,20,14,55,0,21,298,408
,,"Osborn Hill School","=""0511811""",0,"*","*",44,0,39,340,446
,,"Riverfield School","=""0511211""",0,"*","*",40,0,19,334,406
,,"Sherman School","=""0511311""",0,"*","*",30,0,21,322,385
,,"Tomlinson Middle School","=""0515111""",0,39,39,116,"*","*",355,584
,,"Walter Fitzgerald Campus","=""0510311""",0,"*",6,10,0,"*",25,44
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","*",343,58,153,"*",78,626,1261
,,"Irving A. Robbins Middle School","=""0525111""","*",177,39,79,"*",37,335,670
,,"Noah Wallace School","=""0520211""","*",75,"*",53,0,27,172,342
,,"West District School","=""0520311""","*",77,"*",35,0,24,205,357
,,"West Woods Upper Elementary School","=""0520511""","*",183,"*",83,0,36,342,676
