"Student Counts by School and Race"
"All Districts, All Schools"
"2007-08"

"",,,,"Race",,,,,,
"District","District Code","School","School Code","American Indian","Asian","Black, not of Hispanic Origin","Hispanic/Latino","Not Reported","White, not of Hispanic Origin","Total"
,,"Lewin G. Joel Jr. School","=""0270311""","*",15,"*",47,0,600,667
,,"Jared Eliot School","=""0275111""",0,"*","*",30,0,407,462
,,"The Morgan School","=""0276111""",0,"*","*",39,0,580,638
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","*","*",32,26,0,909,982
,,"Colchester Elementary School","=""0280411""",6,18,14,28,0,708,774
,,"Jack Jackter Intermediate School","=""0280211""",7,7,18,33,0,616,681
,,"William J. Johnston Middle School","=""0285111""","*","*",33,29,0,727,801
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""","*","*",0,0,0,118,122
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""","*","*","*",14,0,563,586
"Connecticut Technical Education and Career System","=""9000016""","A. I. Prince Technical High School","=""9001516""","*","*",210,338,0,30,581
,,"Bullard-Havens Technical High School","=""9001116""","*","*",333,475,0,60,878
,,"E. C. Goodwin Technical High School","=""9001916""","*","*",45,247,0,162,461
,,"Eli Whitney Technical High School","=""9001416""","*","*",236,251,0,38,529
,,"Ella T. Grasso Technical High School","=""9002716""",10,6,76,128,0,369,589
,,"Emmett O'Brien Technical High School","=""9002516""","*","*",24,58,0,443,530
,,"H. C. Wilcox Technical High School","=""9001716""","*","*",47,204,0,438,696
,,"H. H. Ellis Technical High School","=""9001316""",9,"*","*",16,0,528,563
,,"Howell Cheney Technical High School","=""9001616""","*","*",56,56,0,438,564
,,"J. M. Wright Technical High School","=""9002116""","*","*",97,111,0,43,255
,,"Norwich Technical High School","=""9002016""","*","*",21,36,0,345,410
,,"Oliver Wolcott Technical High School","=""9002216""","*","*",12,16,0,683,720
,,"Platt Technical High School","=""9002616""","*","*",119,167,0,556,853
,,"Vinal Technical High School","=""9001816""","*","*",44,32,0,506,587
,,"W. F. Kaynor Technical High School","=""9002316""","*","*",128,212,0,356,704
,,"Windham Technical High School","=""9002416""","*","*",7,109,0,358,483
,,"Henry Abbott Technical High School","=""9001216""",0,6,24,119,0,421,570
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""","*","*",174,122,0,119,435
,,"C. E. S. Special Education","=""2439014""",0,"*",55,"*",0,135,240
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""","*","*",10,11,0,513,539
,,"Coventry High School","=""0326111""","*","*",8,16,0,531,559
,,"George Hersey Robertson School","=""0320411""","*","*",10,12,0,446,474
,,"Coventry Grammar School","=""0320211""",0,7,6,7,0,405,425
,,"Coventry Early Intervention Services","=""0328011""",0,0,0,0,0,11,11
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""","*","*",43,28,0,383,473
,,"Woodside Intermediate School","=""0330311""","*","*",35,28,0,386,472
,,"Cromwell High School","=""0336111""",0,"*",45,"*",0,485,559
,,"Edna C. Stevens School","=""0330211""",0,29,39,28,0,389,485
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","*","*",294,776,0,1533,2835
,,"Hayestown Avenue School","=""0340211""","*",48,"*",128,0,183,400
,,"King Street Primary School","=""0341311""","*",21,"*",90,0,168,294
,,"Shelter Rock School","=""0341211""","*","*",35,108,0,160,338
,,"South Street School","=""0341011""","*","*",24,144,0,121,306
,,"Alternative Center For Excellence","=""0346211""",0,"*",31,"*",0,39,97
,,"Broadview Middle School","=""0345111""",0,105,119,267,0,653,1144
