"Smarter Balanced Assessments, 2021-22"
"All Districts, ELA and Math, All Grades Combined, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"Area Cooperative Educational Services","=""2440014""","ELA","N",384,382,99.5,382,90,23.6,99,25.9,136,35.6,57,14.9,193,50.5
,,,"Y",797,781,98.0,780,414,53.1,165,21.2,157,20.1,44,5.6,201,25.8
,,"Math","N",384,381,99.2,381,148,38.8,117,30.7,63,16.5,53,13.9,116,30.4
,,,"Y",797,767,96.2,766,508,66.3,172,22.5,60,7.8,26,3.4,86,11.2
"Ashford School District","=""0030011""","ELA","N",127,125,98.4,125,17,13.6,23,18.4,47,37.6,38,30.4,85,68.0
,,,"Y",107,105,98.1,105,40,38.1,26,24.8,24,22.9,15,14.3,39,37.1
,,"Math","N",127,125,98.4,125,23,18.4,35,28.0,31,24.8,36,28.8,67,53.6
,,,"Y",107,104,97.2,104,47,45.2,34,32.7,14,13.5,9,8.7,23,22.1
"Avon School District","=""0040011""","ELA","N",1140,1138,99.8,1138,57,5.0,158,13.9,382,33.6,541,47.5,923,81.1
,,,"Y",275,269,97.8,269,113,42.0,58,21.6,57,21.2,41,15.2,98,36.4
,,"Math","N",1140,1138,99.8,1138,77,6.8,241,21.2,324,28.5,496,43.6,820,72.1
,,,"Y",275,268,97.5,268,127,47.4,74,27.6,43,16.0,24,9.0,67,25.0
"Barkhamsted School District","=""0050011""","ELA","N",62,62,100.0,62,"*","*","*","*",22,35.5,24,38.7,46,74.2
,,,"Y",49,49,100.0,49,"*","*",11,22.4,12,24.5,"*","*","*","*"
,,"Math","N",62,62,100.0,62,"*","*",17,27.4,18,29.0,"*","*","*","*"
,,,"Y",49,49,100.0,49,"*","*",18,36.7,9,18.4,"*","*","*","*"
"Berlin School District","=""0070011""","ELA","N",775,769,99.2,769,68,8.8,157,20.4,304,39.5,240,31.2,544,70.7
,,,"Y",383,366,95.6,366,139,38.0,88,24.0,97,26.5,42,11.5,139,38.0
,,"Math","N",775,763,98.5,763,73,9.6,206,27.0,231,30.3,253,33.2,484,63.4
,,,"Y",383,365,95.3,365,148,40.5,112,30.7,69,18.9,36,9.9,105,28.8
"Bethany School District","=""0080011""","ELA","N",160,157,98.1,157,"*","*","*","*",50,31.8,86,54.8,136,86.6
,,,"Y",56,54,96.4,54,"*","*",21,38.9,12,22.2,"*","*","*","*"
,,"Math","N",160,157,98.1,157,6,3.8,28,17.8,56,35.7,67,42.7,123,78.3
,,,"Y",56,54,96.4,54,17,31.5,20,37.0,11,20.4,6,11.1,17,31.5
"Bethel School District","=""0090011""","ELA","N",902,901,99.9,901,90,10.0,158,17.5,346,38.4,307,34.1,653,72.5
,,,"Y",548,545,99.5,545,212,38.9,170,31.2,123,22.6,40,7.3,163,29.9
,,"Math","N",902,889,98.6,889,98,11.0,229,25.8,245,27.6,317,35.7,562,63.2
,,,"Y",548,538,98.2,538,244,45.4,170,31.6,77,14.3,47,8.7,124,23.0
"Bloomfield School District","=""0110011""","ELA","N",258,254,98.4,254,48,18.9,59,23.2,86,33.9,61,24.0,147,57.9
,,,"Y",518,514,99.2,514,239,46.5,148,28.8,86,16.7,41,8.0,127,24.7
,,"Math","N",258,253,98.1,253,75,29.6,82,32.4,59,23.3,37,14.6,96,37.9
,,,"Y",519,512,98.7,512,319,62.3,130,25.4,43,8.4,20,3.9,63,12.3
"Bolton School District","=""0120011""","ELA","N",245,238,97.1,238,"*","*",45,18.9,89,37.4,"*","*","*","*"
,,,"Y",105,100,95.2,100,52,52.0,"*","*",25,25.0,"*","*","*","*"
,,"Math","N",245,238,97.1,238,"*","*",67,28.2,79,33.2,"*","*","*","*"
,,,"Y",105,99,94.3,99,53,53.5,23,23.2,"*","*","*","*",23,23.2
"Booker T. Washington Academy District","=""2950013""","ELA","N",61,60,98.4,60,17,28.3,18,30.0,13,21.7,12,20.0,25,41.7
,,,"Y",249,249,100.0,249,117,47.0,81,32.5,44,17.7,7,2.8,51,20.5
,,"Math","N",61,60,98.4,60,22,36.7,17,28.3,15,25.0,6,10.0,21,35.0
,,,"Y",249,249,100.0,249,136,54.6,74,29.7,32,12.9,7,2.8,39,15.7
"Bozrah School District","=""0130011""","ELA","N",49,48,98.0,48,"*","*",19,39.6,19,39.6,"*","*","*","*"
,,,"Y",62,61,98.4,61,"*","*",25,41.0,9,14.8,"*","*","*","*"
,,"Math","N",49,48,98.0,48,"*","*",10,20.8,21,43.8,"*","*","*","*"
,,,"Y",62,61,98.4,61,25,41.0,21,34.4,"*","*","*","*",15,24.6
"Branford School District","=""0140011""","ELA","N",629,626,99.5,626,63,10.1,139,22.2,242,38.7,182,29.1,424,67.7
,,,"Y",535,532,99.4,531,213,40.1,132,24.9,125,23.5,61,11.5,186,35.0
,,"Math","N",629,626,99.5,626,68,10.9,179,28.6,202,32.3,177,28.3,379,60.5
,,,"Y",535,530,99.1,529,212,40.1,151,28.5,114,21.6,52,9.8,166,31.4
"Brass City Charter School District","=""2900013""","ELA","N",82,82,100.0,82,10,12.2,18,22.0,30,36.6,24,29.3,54,65.9
,,,"Y",124,124,100.0,124,49,39.5,34,27.4,33,26.6,8,6.5,41,33.1
,,"Math","N",82,82,100.0,82,18,22.0,23,28.0,21,25.6,20,24.4,41,50.0
,,,"Y",124,124,100.0,124,54,43.5,42,33.9,21,16.9,7,5.6,28,22.6
"Bridgeport School District","=""0150011""","ELA","N",1358,1350,99.4,1350,435,32.2,382,28.3,371,27.5,162,12.0,533,39.5
,,,"Y",7379,7326,99.3,7326,4595,62.7,1478,20.2,976,13.3,277,3.8,1253,17.1
,,"Math","N",1358,1349,99.3,1348,621,46.1,437,32.4,187,13.9,103,7.6,290,21.5
,,,"Y",7375,7304,99.0,7304,5219,71.5,1439,19.7,504,6.9,142,1.9,646,8.8
"Bristol School District","=""0170011""","ELA","N",1265,1255,99.2,1255,132,10.5,257,20.5,504,40.2,362,28.8,866,69.0
,,,"Y",2047,2014,98.4,2014,793,39.4,503,25.0,493,24.5,225,11.2,718,35.7
,,"Math","N",1265,1256,99.3,1256,207,16.5,338,26.9,346,27.5,365,29.1,711,56.6
,,,"Y",2046,1993,97.4,1993,983,49.3,523,26.2,322,16.2,165,8.3,487,24.4
"Brookfield School District","=""0180011""","ELA","N",781,759,97.2,758,63,8.3,181,23.9,272,35.9,242,31.9,514,67.8
,,,"Y",332,323,97.3,322,129,40.1,92,28.6,69,21.4,32,9.9,101,31.4
,,"Math","N",781,759,97.2,759,74,9.7,256,33.7,229,30.2,200,26.4,429,56.5
,,,"Y",332,322,97.0,322,133,41.3,103,32.0,57,17.7,29,9.0,86,26.7
"Brooklyn School District","=""0190011""","ELA","N",292,291,99.7,291,37,12.7,75,25.8,112,38.5,67,23.0,179,61.5
,,,"Y",225,223,99.1,223,82,36.8,68,30.5,49,22.0,24,10.8,73,32.7
,,"Math","N",292,292,100.0,292,54,18.5,98,33.6,85,29.1,55,18.8,140,47.9
,,,"Y",225,222,98.7,222,108,48.6,64,28.8,35,15.8,15,6.8,50,22.5
"Canaan School District","=""0210011""","ELA","N",30,30,100.0,30,"*","*","*","*","*","*","*","*","*","*"
,,,"Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*"
,,"Math","N",30,30,100.0,30,"*","*","*","*","*","*","*","*","*","*"
,,,"Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","ELA","N",178,178,100.0,178,32,18.0,47,26.4,60,33.7,39,21.9,99,55.6
,,,"Y",110,108,98.2,108,31,28.7,31,28.7,36,33.3,10,9.3,46,42.6
,,"Math","N",178,175,98.3,175,"*","*",71,40.6,46,26.3,"*","*","*","*"
,,,"Y",110,104,94.5,104,44,42.3,40,38.5,"*","*","*","*",20,19.2
"Canton School District","=""0230011""","ELA","N",461,461,100.0,461,28,6.1,88,19.1,195,42.3,150,32.5,345,74.8
,,,"Y",200,190,95.0,190,74,38.9,43,22.6,45,23.7,28,14.7,73,38.4
,,"Math","N",461,461,100.0,461,39,8.5,111,24.1,150,32.5,161,34.9,311,67.5
,,,"Y",200,188,94.0,188,77,41.0,56,29.8,32,17.0,23,12.2,55,29.3
"Capital Preparatory Harbor School District","=""2970013""","ELA","N",109,108,99.1,108,32,29.6,32,29.6,31,28.7,13,12.0,44,40.7
,,,"Y",263,263,100.0,263,138,52.5,70,26.6,37,14.1,18,6.8,55,20.9
,,"Math","N",109,108,99.1,108,46,42.6,39,36.1,14,13.0,9,8.3,23,21.3
,,,"Y",263,263,100.0,263,169,64.3,66,25.1,21,8.0,7,2.7,28,10.6
"Capitol Region Education Council","=""2410014""","ELA","N",960,941,98.0,941,206,21.9,228,24.2,279,29.6,228,24.2,507,53.9
,,,"Y",2641,2548,96.5,2548,1510,59.3,549,21.5,363,14.2,126,4.9,489,19.2
,,"Math","N",960,936,97.5,936,329,35.1,267,28.5,174,18.6,166,17.7,340,36.3
,,,"Y",2642,2510,95.0,2510,1754,69.9,522,20.8,180,7.2,54,2.2,234,9.3
"Chaplin School District","=""0240011""","ELA","N",40,40,100.0,40,"*","*",7,17.5,15,37.5,"*","*","*","*"
,,,"Y",37,37,100.0,37,13,35.1,"*","*",12,32.4,"*","*","*","*"
,,"Math","N",40,40,100.0,40,"*","*",12,30.0,"*","*","*","*","*","*"
,,,"Y",37,37,100.0,37,"*","*",17,45.9,"*","*","*","*","*","*"
"Cheshire School District","=""0250011""","ELA","N",1364,1351,99.0,1351,60,4.4,184,13.6,467,34.6,640,47.4,1107,81.9
,,,"Y",477,458,96.0,458,113,24.7,110,24.0,140,30.6,95,20.7,235,51.3
,,"Math","N",1364,1348,98.8,1348,61,4.5,235,17.4,380,28.2,672,49.9,1052,78.0
,,,"Y",477,455,95.4,455,125,27.5,115,25.3,120,26.4,95,20.9,215,47.3
"Chester School District","=""0260011""","ELA","N",78,76,97.4,76,0,0.0,"*","*",29,38.2,"*","*","*","*"
,,,"Y",35,33,94.3,33,"*","*",14,42.4,11,33.3,"*","*","*","*"
,,"Math","N",78,76,97.4,76,"*","*","*","*",26,34.2,35,46.1,61,80.3
,,,"Y",35,33,94.3,33,"*","*",9,27.3,9,27.3,"*","*","*","*"
"Clinton School District","=""0270011""","ELA","N",335,334,99.7,334,33,9.9,75,22.5,127,38.0,99,29.6,226,67.7
,,,"Y",316,311,98.4,311,99,31.8,98,31.5,85,27.3,29,9.3,114,36.7
,,"Math","N",336,335,99.7,334,35,10.5,105,31.4,98,29.3,96,28.7,194,58.1
,,,"Y",316,311,98.4,311,106,34.1,104,33.4,75,24.1,26,8.4,101,32.5
"Colchester School District","=""0280011""","ELA","N",635,631,99.4,631,46,7.3,118,18.7,277,43.9,190,30.1,467,74.0
,,,"Y",284,284,100.0,284,88,31.0,83,29.2,82,28.9,31,10.9,113,39.8
,,"Math","N",635,630,99.2,630,25,4.0,130,20.6,212,33.7,263,41.7,475,75.4
,,,"Y",284,283,99.6,283,82,29.0,92,32.5,66,23.3,43,15.2,109,38.5
"Colebrook School District","=""0290011""","ELA","N",29,29,100.0,29,"*","*",0,0.0,"*","*","*","*","*","*"
,,,"Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*"
,,"Math","N",29,29,100.0,29,0,0.0,"*","*","*","*","*","*","*","*"
,,,"Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","ELA","N",195,190,97.4,190,25,13.2,49,25.8,74,38.9,42,22.1,116,61.1
,,,"Y",91,86,94.5,86,40,46.5,19,22.1,20,23.3,7,8.1,27,31.4
,,"Math","N",194,189,97.4,189,21,11.1,73,38.6,56,29.6,39,20.6,95,50.3
,,,"Y",91,86,94.5,86,39,45.3,25,29.1,13,15.1,9,10.5,22,25.6
"Cooperative Educational Services","=""2430014""","ELA","N",126,126,100.0,126,10,7.9,34,27.0,53,42.1,29,23.0,82,65.1
,,,"Y",182,179,98.4,179,85,47.5,47,26.3,32,17.9,15,8.4,47,26.3
,,"Math","N",126,126,100.0,126,19,15.1,52,41.3,31,24.6,24,19.0,55,43.7
,,,"Y",182,178,97.8,178,101,56.7,48,27.0,22,12.4,7,3.9,29,16.3
"Cornwall School District","=""0310011""","ELA","N",44,41,93.2,41,"*","*","*","*",15,36.6,19,46.3,34,82.9
,,,"Y",26,24,92.3,24,"*","*","*","*",7,29.2,6,25.0,13,54.2
,,"Math","N",44,41,93.2,41,"*","*","*","*",15,36.6,"*","*","*","*"
,,,"Y",26,24,92.3,24,"*","*","*","*",9,37.5,"*","*","*","*"
"Coventry School District","=""0320011""","ELA","N",506,504,99.6,504,21,4.2,70,13.9,193,38.3,220,43.7,413,81.9
,,,"Y",243,238,97.9,238,60,25.2,62,26.1,71,29.8,45,18.9,116,48.7
,,"Math","N",506,504,99.6,504,34,6.7,130,25.8,182,36.1,158,31.3,340,67.5
,,,"Y",243,236,97.1,236,81,34.3,74,31.4,47,19.9,34,14.4,81,34.3
"Cromwell School District","=""0330011""","ELA","N",585,584,99.8,584,56,9.6,135,23.1,213,36.5,180,30.8,393,67.3
,,,"Y",317,313,98.7,313,118,37.7,94,30.0,73,23.3,28,8.9,101,32.3
,,"Math","N",584,582,99.7,582,61,10.5,157,27.0,188,32.3,176,30.2,364,62.5
,,,"Y",317,313,98.7,313,141,45.0,100,31.9,45,14.4,27,8.6,72,23.0
"Danbury School District","=""0340011""","ELA","N",1599,1587,99.2,1587,253,15.9,415,26.1,548,34.5,371,23.4,919,57.9
,,,"Y",3976,3953,99.4,3953,2093,52.9,988,25.0,641,16.2,231,5.8,872,22.1
,,"Math","N",1598,1585,99.2,1585,400,25.2,517,32.6,411,25.9,257,16.2,668,42.1
,,,"Y",3976,3950,99.3,3950,2298,58.2,1030,26.1,464,11.7,158,4.0,622,15.7
"Darien School District","=""0350011""","ELA","N",1708,1706,99.9,1706,28,1.6,161,9.4,551,32.3,966,56.6,1517,88.9
,,,"Y",425,420,98.8,419,98,23.4,122,29.1,137,32.7,62,14.8,199,47.5
,,"Math","N",1708,1705,99.8,1705,29,1.7,163,9.6,456,26.7,1057,62.0,1513,88.7
,,,"Y",425,418,98.4,416,111,26.7,131,31.5,96,23.1,78,18.8,174,41.8
"Deep River School District","=""0360011""","ELA","N",64,64,100.0,64,"*","*","*","*",22,34.4,32,50.0,54,84.4
,,,"Y",60,60,100.0,59,"*","*",15,25.4,20,33.9,"*","*","*","*"
,,"Math","N",64,64,100.0,64,"*","*","*","*",28,43.8,29,45.3,57,89.1
,,,"Y",60,60,100.0,59,"*","*",17,28.8,19,32.2,"*","*","*","*"
"Derby School District","=""0370011""","ELA","N",184,184,100.0,184,46,25.0,36,19.6,61,33.2,41,22.3,102,55.4
,,,"Y",381,379,99.5,379,200,52.8,81,21.4,74,19.5,24,6.3,98,25.9
,,"Math","N",184,184,100.0,184,46,25.0,57,31.0,48,26.1,33,17.9,81,44.0
,,,"Y",382,378,99.0,378,220,58.2,107,28.3,33,8.7,18,4.8,51,13.5
"East Granby School District","=""0400011""","ELA","N",284,283,99.6,283,20,7.1,45,15.9,112,39.6,106,37.5,218,77.0
,,,"Y",117,116,99.1,116,46,39.7,29,25.0,29,25.0,12,10.3,41,35.3
,,"Math","N",284,283,99.6,283,26,9.2,67,23.7,102,36.0,88,31.1,190,67.1
,,,"Y",117,116,99.1,116,55,47.4,33,28.4,19,16.4,9,7.8,28,24.1
"East Haddam School District","=""0410011""","ELA","N",289,287,99.3,287,22,7.7,54,18.8,109,38.0,102,35.5,211,73.5
,,,"Y",161,161,100.0,161,47,29.2,46,28.6,41,25.5,27,16.8,68,42.2
,,"Math","N",289,287,99.3,287,43,15.0,77,26.8,86,30.0,81,28.2,167,58.2
,,,"Y",161,160,99.4,160,71,44.4,47,29.4,24,15.0,18,11.3,42,26.3
"East Hampton School District","=""0420011""","ELA","N",579,571,98.6,571,39,6.8,137,24.0,228,39.9,167,29.2,395,69.2
,,,"Y",251,245,97.6,244,100,41.0,64,26.2,56,23.0,24,9.8,80,32.8
,,"Math","N",578,571,98.8,571,55,9.6,174,30.5,198,34.7,144,25.2,342,59.9
,,,"Y",250,239,95.6,239,115,48.1,75,31.4,36,15.1,13,5.4,49,20.5
"East Hartford School District","=""0430011""","ELA","N",625,622,99.5,622,108,17.4,149,24.0,222,35.7,143,23.0,365,58.7
,,,"Y",2039,2014,98.8,2014,986,49.0,472,23.4,399,19.8,157,7.8,556,27.6
,,"Math","N",626,622,99.4,622,168,27.0,188,30.2,137,22.0,129,20.7,266,42.8
,,,"Y",2040,2012,98.6,2011,1180,58.7,485,24.1,240,11.9,106,5.3,346,17.2
"East Haven School District","=""0440011""","ELA","N",587,586,99.8,586,101,17.2,167,28.5,215,36.7,103,17.6,318,54.3
,,,"Y",605,602,99.5,602,279,46.3,157,26.1,120,19.9,46,7.6,166,27.6
,,"Math","N",588,587,99.8,587,138,23.5,210,35.8,158,26.9,81,13.8,239,40.7
,,,"Y",605,602,99.5,602,314,52.2,172,28.6,72,12.0,44,7.3,116,19.3
"East Lyme School District","=""0450011""","ELA","N",672,665,99.0,665,37,5.6,113,17.0,254,38.2,261,39.2,515,77.4
,,,"Y",431,397,92.1,396,129,32.6,113,28.5,112,28.3,42,10.6,154,38.9
,,"Math","N",672,664,98.8,664,48,7.2,152,22.9,186,28.0,278,41.9,464,69.9
,,,"Y",431,396,91.9,396,147,37.1,126,31.8,67,16.9,56,14.1,123,31.1
"East Windsor School District","=""0470011""","ELA","N",159,159,100.0,159,21,13.2,29,18.2,67,42.1,42,26.4,109,68.6
,,,"Y",296,295,99.7,295,126,42.7,86,29.2,59,20.0,24,8.1,83,28.1
,,"Math","N",159,159,100.0,159,28,17.6,36,22.6,43,27.0,52,32.7,95,59.7
,,,"Y",296,293,99.0,293,148,50.5,79,27.0,41,14.0,25,8.5,66,22.5
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,,"Y","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*"
,,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,,"Y","*","*","*","*","*","*",0,0.0,0,0.0,0,0.0,0,0.0
"Eastford School District","=""0390011""","ELA","N",51,51,100.0,51,"*","*",8,15.7,22,43.1,"*","*","*","*"
,,,"Y",27,27,100.0,27,"*","*",8,29.6,10,37.0,"*","*","*","*"
,,"Math","N",51,51,100.0,51,"*","*",11,21.6,14,27.5,"*","*","*","*"
,,,"Y",27,27,100.0,27,"*","*",8,29.6,10,37.0,"*","*","*","*"
"Easton School District","=""0460011""","ELA","N",458,454,99.1,454,16,3.5,51,11.2,182,40.1,205,45.2,387,85.2
,,,"Y",141,132,93.6,132,23,17.4,44,33.3,34,25.8,31,23.5,65,49.2
,,"Math","N",458,454,99.1,454,20,4.4,78,17.2,134,29.5,222,48.9,356,78.4
,,,"Y",141,130,92.2,130,29,22.3,48,36.9,28,21.5,25,19.2,53,40.8
"EdAdvance","=""2420014""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,,"Y","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*"
"Ellington School District","=""0480011""","ELA","N",860,855,99.4,855,46,5.4,127,14.9,313,36.6,369,43.2,682,79.8
,,,"Y",328,323,98.5,323,115,35.6,72,22.3,87,26.9,49,15.2,136,42.1
,,"Math","N",860,855,99.4,855,43,5.0,178,20.8,244,28.5,390,45.6,634,74.2
,,,"Y",328,321,97.9,321,126,39.3,85,26.5,61,19.0,49,15.3,110,34.3
"Elm City College Preparatory School District","=""2890013""","ELA","N",68,67,98.5,67,"*","*",20,29.9,28,41.8,"*","*","*","*"
,,,"Y",305,299,98.0,299,92,30.8,93,31.1,"*","*","*","*",114,38.1
,,"Math","N",68,67,98.5,67,24,35.8,28,41.8,"*","*","*","*",15,22.4
,,,"Y",305,298,97.7,297,160,53.9,90,30.3,"*","*","*","*",47,15.8
"Elm City Montessori School District","=""2910013""","ELA","N",60,60,100.0,60,"*","*",11,18.3,"*","*",21,35.0,"*","*"
,,,"Y",44,44,100.0,44,22,50.0,10,22.7,"*","*","*","*",12,27.3
,,"Math","N",60,60,100.0,60,17,28.3,20,33.3,"*","*","*","*",23,38.3
,,,"Y",44,44,100.0,44,28,63.6,10,22.7,"*","*","*","*",6,13.6
"Enfield School District","=""0490011""","ELA","N",953,948,99.5,947,142,15.0,262,27.7,354,37.4,189,20.0,543,57.3
,,,"Y",1166,1151,98.7,1151,501,43.5,331,28.8,239,20.8,80,7.0,319,27.7
,,"Math","N",952,944,99.2,944,197,20.9,323,34.2,250,26.5,174,18.4,424,44.9
,,,"Y",1166,1147,98.4,1147,604,52.7,327,28.5,154,13.4,62,5.4,216,18.8
"Essex School District","=""0500011""","ELA","N",107,107,100.0,107,"*","*","*","*",33,30.8,57,53.3,90,84.1
,,,"Y",57,51,89.5,51,"*","*","*","*",17,33.3,13,25.5,30,58.8
,,"Math","N",107,107,100.0,107,"*","*","*","*",35,32.7,49,45.8,84,78.5
,,,"Y",56,50,89.3,50,"*","*","*","*",13,26.0,13,26.0,26,52.0
"Fairfield School District","=""0510011""","ELA","N",2994,2985,99.7,2985,99,3.3,402,13.5,1092,36.6,1392,46.6,2484,83.2
,,,"Y",1179,1147,97.3,1146,314,27.4,324,28.3,326,28.4,182,15.9,508,44.3
,,"Math","N",2994,2982,99.6,2982,152,5.1,513,17.2,969,32.5,1348,45.2,2317,77.7
,,,"Y",1179,1139,96.6,1139,377,33.1,347,30.5,244,21.4,171,15.0,415,36.4
"Farmington School District","=""0520011""","ELA","N",1339,1331,99.4,1331,48,3.6,153,11.5,453,34.0,677,50.9,1130,84.9
,,,"Y",543,537,98.9,536,143,26.7,133,24.8,168,31.3,92,17.2,260,48.5
,,"Math","N",1338,1327,99.2,1327,75,5.7,229,17.3,336,25.3,687,51.8,1023,77.1
,,,"Y",543,534,98.3,534,174,32.6,140,26.2,128,24.0,92,17.2,220,41.2
"Franklin School District","=""0530011""","ELA","N",80,80,100.0,80,6,7.5,"*","*",31,38.8,"*","*","*","*"
,,,"Y",22,22,100.0,22,6,27.3,"*","*",9,40.9,"*","*","*","*"
,,"Math","N",80,80,100.0,80,"*","*",24,30.0,"*","*","*","*","*","*"
,,,"Y",22,22,100.0,22,"*","*",10,45.5,"*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","ELA","N",1967,1962,99.7,1962,75,3.8,273,13.9,658,33.5,956,48.7,1614,82.3
,,,"Y",553,537,97.1,537,192,35.8,148,27.6,116,21.6,81,15.1,197,36.7
,,"Math","N",1967,1961,99.7,1961,83,4.2,334,17.0,548,27.9,996,50.8,1544,78.7
,,,"Y",553,536,96.9,536,199,37.1,163,30.4,92,17.2,82,15.3,174,32.5
"Goodwin University Educational Services (GUES)","=""2310018""","ELA","N",72,72,100.0,72,13,18.1,23,31.9,27,37.5,9,12.5,36,50.0
,,,"Y",228,228,100.0,228,121,53.1,57,25.0,44,19.3,6,2.6,50,21.9
,,"Math","N",72,72,100.0,72,29,40.3,22,30.6,"*","*","*","*",21,29.2
,,,"Y",228,228,100.0,228,163,71.5,50,21.9,"*","*","*","*",15,6.6
"Granby School District","=""0560011""","ELA","N",566,564,99.6,564,45,8.0,92,16.3,217,38.5,210,37.2,427,75.7
,,,"Y",209,208,99.5,207,76,36.7,67,32.4,45,21.7,19,9.2,64,30.9
,,"Math","N",566,565,99.8,565,64,11.3,164,29.0,164,29.0,173,30.6,337,59.6
,,,"Y",209,207,99.0,206,101,49.0,58,28.2,31,15.0,16,7.8,47,22.8
"Great Oaks Charter School District","=""2940013""","ELA","N",60,60,100.0,60,20,33.3,"*","*",19,31.7,"*","*","*","*"
,,,"Y",216,210,97.2,210,115,54.8,52,24.8,"*","*","*","*",43,20.5
,,"Math","N",60,60,100.0,60,34,56.7,16,26.7,"*","*","*","*",10,16.7
,,,"Y",216,211,97.7,211,143,67.8,47,22.3,"*","*","*","*",21,10.0
"Greenwich School District","=""0570011""","ELA","N",2700,2690,99.6,2690,74,2.8,225,8.4,924,34.3,1467,54.5,2391,88.9
,,,"Y",1205,1191,98.8,1191,336,28.2,318,26.7,358,30.1,179,15.0,537,45.1
,,"Math","N",2700,2687,99.5,2687,104,3.9,371,13.8,701,26.1,1511,56.2,2212,82.3
,,,"Y",1205,1185,98.3,1185,397,33.5,368,31.1,251,21.2,169,14.3,420,35.4
"Griswold School District","=""0580011""","ELA","N",342,340,99.4,340,64,18.8,111,32.6,122,35.9,43,12.6,165,48.5
,,,"Y",395,390,98.7,390,206,52.8,96,24.6,72,18.5,16,4.1,88,22.6
,,"Math","N",342,340,99.4,340,87,25.6,100,29.4,99,29.1,54,15.9,153,45.0
,,,"Y",395,390,98.7,390,212,54.4,106,27.2,54,13.8,18,4.6,72,18.5
"Groton School District","=""0590011""","ELA","N",797,795,99.7,795,75,9.4,144,18.1,307,38.6,269,33.8,576,72.5
,,,"Y",958,943,98.4,942,361,38.3,230,24.4,235,24.9,116,12.3,351,37.3
