"Smarter Balanced Assessments, 2022-23"
"All Districts, ELA and Math, All Grades Combined, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
,,,"Y",346,329,95.1,329,125,38.0,101,30.7,73,22.2,30,9.1,103,31.3
"Brooklyn School District","=""0190011""","ELA","N",297,296,99.7,296,41,13.9,66,22.3,107,36.1,82,27.7,189,63.9
,,,"Y",244,244,100.0,244,80,32.8,69,28.3,67,27.5,28,11.5,95,38.9
,,"Math","N",297,296,99.7,296,36,12.2,89,30.1,100,33.8,71,24.0,171,57.8
,,,"Y",244,244,100.0,244,94,38.5,78,32.0,49,20.1,23,9.4,72,29.5
"Canaan School District","=""0210011""","ELA","N",27,27,100.0,27,"*","*","*","*","*","*","*","*","*","*"
,,,"Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*"
,,"Math","N",27,27,100.0,27,"*","*","*","*","*","*","*","*","*","*"
,,,"Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","ELA","N",176,175,99.4,175,17,9.7,47,26.9,76,43.4,35,20.0,111,63.4
,,,"Y",113,110,97.3,110,36,32.7,31,28.2,37,33.6,6,5.5,43,39.1
,,"Math","N",176,175,99.4,175,19,10.9,58,33.1,60,34.3,38,21.7,98,56.0
,,,"Y",113,110,97.3,110,39,35.5,35,31.8,24,21.8,12,10.9,36,32.7
"Canton School District","=""0230011""","ELA","N",493,490,99.4,490,42,8.6,101,20.6,191,39.0,156,31.8,347,70.8
,,,"Y",202,191,94.6,191,78,40.8,43,22.5,44,23.0,26,13.6,70,36.6
,,"Math","N",493,490,99.4,490,35,7.1,119,24.3,164,33.5,172,35.1,336,68.6
,,,"Y",202,189,93.6,189,90,47.6,44,23.3,32,16.9,23,12.2,55,29.1
"Capital Preparatory Harbor School District","=""2970013""","ELA","N",92,92,100.0,92,35,38.0,22,23.9,22,23.9,13,14.1,35,38.0
,,,"Y",281,281,100.0,281,137,48.8,61,21.7,64,22.8,19,6.8,83,29.5
,,"Math","N",92,92,100.0,92,44,47.8,27,29.3,15,16.3,6,6.5,21,22.8
,,,"Y",281,281,100.0,281,172,61.2,63,22.4,34,12.1,12,4.3,46,16.4
"Capitol Region Education Council","=""2410014""","ELA","N",877,867,98.9,867,159,18.3,223,25.7,256,29.5,229,26.4,485,55.9
,,,"Y",2710,2624,96.8,2624,1447,55.1,619,23.6,417,15.9,141,5.4,558,21.3
,,"Math","N",877,866,98.7,866,272,31.4,234,27.0,173,20.0,187,21.6,360,41.6
,,,"Y",2707,2587,95.6,2587,1727,66.8,545,21.1,231,8.9,84,3.2,315,12.2
"Chaplin School District","=""0240011""","ELA","N",35,35,100.0,35,"*","*",11,31.4,10,28.6,"*","*","*","*"
,,,"Y",36,36,100.0,36,"*","*",9,25.0,6,16.7,"*","*","*","*"
,,"Math","N",35,35,100.0,35,"*","*",11,31.4,"*","*",13,37.1,"*","*"
,,,"Y",36,36,100.0,36,"*","*",13,36.1,"*","*",7,19.4,"*","*"
"Cheshire School District","=""0250011""","ELA","N",1372,1365,99.5,1365,42,3.1,169,12.4,457,33.5,697,51.1,1154,84.5
,,,"Y",496,475,95.8,475,106,22.3,118,24.8,159,33.5,92,19.4,251,52.8
,,"Math","N",1372,1363,99.3,1363,40,2.9,214,15.7,339,24.9,770,56.5,1109,81.4
,,,"Y",497,473,95.2,473,94,19.9,134,28.3,127,26.8,118,24.9,245,51.8
"Chester School District","=""0260011""","ELA","N",90,88,97.8,88,"*","*","*","*",26,29.5,50,56.8,76,86.4
,,,"Y",39,36,92.3,36,"*","*",10,27.8,10,27.8,"*","*","*","*"
,,"Math","N",90,88,97.8,88,"*","*","*","*",26,29.5,50,56.8,76,86.4
,,,"Y",39,36,92.3,36,"*","*",11,30.6,9,25.0,"*","*","*","*"
"Clinton School District","=""0270011""","ELA","N",309,307,99.4,307,31,10.1,70,22.8,127,41.4,79,25.7,206,67.1
,,,"Y",305,302,99.0,302,113,37.4,96,31.8,65,21.5,28,9.3,93,30.8
,,"Math","N",309,307,99.4,307,28,9.1,93,30.3,90,29.3,96,31.3,186,60.6
,,,"Y",305,301,98.7,301,93,30.9,99,32.9,80,26.6,29,9.6,109,36.2
"Colchester School District","=""0280011""","ELA","N",626,625,99.8,625,49,7.8,126,20.2,269,43.0,181,29.0,450,72.0
,,,"Y",290,287,99.0,287,86,30.0,96,33.4,62,21.6,43,15.0,105,36.6
,,"Math","N",626,625,99.8,625,18,2.9,135,21.6,194,31.0,278,44.5,472,75.5
,,,"Y",289,287,99.3,287,71,24.7,88,30.7,75,26.1,53,18.5,128,44.6
"Colebrook School District","=""0290011""","ELA","N",26,26,100.0,26,"*","*","*","*",8,30.8,16,61.5,24,92.3
,,,"Y",25,24,96.0,24,"*","*","*","*",6,25.0,7,29.2,13,54.2
,,"Math","N",26,26,100.0,26,0,0.0,"*","*",8,30.8,"*","*","*","*"
,,,"Y",25,24,96.0,24,"*","*","*","*",11,45.8,"*","*","*","*"
"Columbia School District","=""0300011""","ELA","N",203,201,99.0,201,26,12.9,58,28.9,68,33.8,49,24.4,117,58.2
,,,"Y",103,98,95.1,98,40,40.8,24,24.5,25,25.5,9,9.2,34,34.7
,,"Math","N",203,200,98.5,200,32,16.0,56,28.0,58,29.0,54,27.0,112,56.0
,,,"Y",102,97,95.1,97,36,37.1,35,36.1,16,16.5,10,10.3,26,26.8
"Cooperative Educational Services","=""2430014""","ELA","N",86,85,98.8,85,9,10.6,23,27.1,33,38.8,20,23.5,53,62.4
,,,"Y",206,202,98.1,202,82,40.6,64,31.7,39,19.3,17,8.4,56,27.7
,,"Math","N",86,85,98.8,85,7,8.2,35,41.2,26,30.6,17,20.0,43,50.6
,,,"Y",206,202,98.1,202,107,53.0,55,27.2,26,12.9,14,6.9,40,19.8
"Cornwall School District","=""0310011""","ELA","N",39,39,100.0,39,"*","*","*","*","*","*","*","*","*","*"
,,,"Y",19,17,"*",17,"*","*","*","*","*","*","*","*","*","*"
,,"Math","N",39,39,100.0,39,"*","*","*","*","*","*","*","*","*","*"
,,,"Y",19,17,"*",17,"*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","ELA","N",469,469,100.0,469,25,5.3,68,14.5,163,34.8,213,45.4,376,80.2
,,,"Y",249,243,97.6,243,58,23.9,53,21.8,79,32.5,53,21.8,132,54.3
,,"Math","N",469,469,100.0,469,32,6.8,109,23.2,143,30.5,185,39.4,328,69.9
,,,"Y",249,244,98.0,243,75,30.9,76,31.3,53,21.8,39,16.0,92,37.9
"Cromwell School District","=""0330011""","ELA","N",601,600,99.8,600,71,11.8,132,22.0,219,36.5,178,29.7,397,66.2
,,,"Y",318,314,98.7,313,142,45.4,85,27.2,60,19.2,26,8.3,86,27.5
,,"Math","N",600,597,99.5,597,62,10.4,169,28.3,178,29.8,188,31.5,366,61.3
,,,"Y",317,309,97.5,308,150,48.7,89,28.9,44,14.3,25,8.1,69,22.4
"Danbury School District","=""0340011""","ELA","N",1480,1470,99.3,1470,220,15.0,375,25.5,516,35.1,359,24.4,875,59.5
,,,"Y",3971,3948,99.4,3948,2091,53.0,937,23.7,684,17.3,236,6.0,920,23.3
,,"Math","N",1481,1467,99.1,1467,332,22.6,461,31.4,393,26.8,281,19.2,674,45.9
,,,"Y",3971,3942,99.3,3940,2182,55.4,1087,27.6,485,12.3,186,4.7,671,17.0
"Darien School District","=""0350011""","ELA","N",1665,1660,99.7,1660,33,2.0,159,9.6,552,33.3,916,55.2,1468,88.4
,,,"Y",460,453,98.5,453,112,24.7,132,29.1,135,29.8,74,16.3,209,46.1
,,"Math","N",1665,1658,99.6,1658,11,0.7,150,9.0,424,25.6,1073,64.7,1497,90.3
,,,"Y",460,452,98.3,452,108,23.9,137,30.3,105,23.2,102,22.6,207,45.8
"Deep River School District","=""0360011""","ELA","N",61,61,100.0,61,0,0.0,9,14.8,24,39.3,28,45.9,52,85.2
,,,"Y",51,51,100.0,51,9,17.6,14,27.5,20,39.2,8,15.7,28,54.9
,,"Math","N",61,61,100.0,61,0,0.0,"*","*",26,42.6,"*","*","*","*"
,,,"Y",51,51,100.0,51,"*","*",21,41.2,14,27.5,"*","*","*","*"
"Derby School District","=""0370011""","ELA","N",159,159,100.0,159,29,18.2,44,27.7,49,30.8,37,23.3,86,54.1
,,,"Y",418,416,99.5,416,196,47.1,113,27.2,80,19.2,27,6.5,107,25.7
,,"Math","N",159,158,99.4,158,47,29.7,55,34.8,32,20.3,24,15.2,56,35.4
,,,"Y",418,416,99.5,416,256,61.5,91,21.9,44,10.6,25,6.0,69,16.6
"East Granby School District","=""0400011""","ELA","N",280,278,99.3,278,20,7.2,46,16.5,95,34.2,117,42.1,212,76.3
,,,"Y",112,112,100.0,112,50,44.6,27,24.1,22,19.6,13,11.6,35,31.3
,,"Math","N",280,277,98.9,277,24,8.7,66,23.8,81,29.2,106,38.3,187,67.5
,,,"Y",112,112,100.0,112,53,47.3,29,25.9,22,19.6,8,7.1,30,26.8
"East Haddam School District","=""0410011""","ELA","N",293,293,100.0,293,32,10.9,62,21.2,96,32.8,103,35.2,199,67.9
,,,"Y",157,154,98.1,154,57,37.0,39,25.3,35,22.7,23,14.9,58,37.7
,,"Math","N",293,293,100.0,293,37,12.6,80,27.3,92,31.4,84,28.7,176,60.1
,,,"Y",156,152,97.4,152,71,46.7,41,27.0,21,13.8,19,12.5,40,26.3
"East Hampton School District","=""0420011""","ELA","N",556,552,99.3,552,31,5.6,121,21.9,208,37.7,192,34.8,400,72.5
,,,"Y",256,249,97.3,249,96,38.6,73,29.3,59,23.7,21,8.4,80,32.1
,,"Math","N",556,548,98.6,548,56,10.2,153,27.9,181,33.0,158,28.8,339,61.9
,,,"Y",256,248,96.9,248,131,52.8,61,24.6,42,16.9,14,5.6,56,22.6
"East Hartford School District","=""0430011""","ELA","N",597,595,99.7,595,90,15.1,137,23.0,199,33.4,169,28.4,368,61.8
,,,"Y",1982,1963,99.0,1962,948,48.3,450,22.9,412,21.0,152,7.7,564,28.7
,,"Math","N",596,594,99.7,594,119,20.0,171,28.8,156,26.3,148,24.9,304,51.2
,,,"Y",1977,1944,98.3,1944,1039,53.4,476,24.5,287,14.8,142,7.3,429,22.1
"East Haven School District","=""0440011""","ELA","N",397,395,99.5,395,82,20.8,99,25.1,132,33.4,82,20.8,214,54.2
,,,"Y",808,797,98.6,796,331,41.6,228,28.6,179,22.5,58,7.3,237,29.8
,,"Math","N",397,395,99.5,395,107,27.1,124,31.4,91,23.0,73,18.5,164,41.5
,,,"Y",808,792,98.0,791,363,45.9,239,30.2,132,16.7,57,7.2,189,23.9
"East Lyme School District","=""0450011""","ELA","N",641,637,99.4,637,39,6.1,111,17.4,222,34.9,265,41.6,487,76.5
,,,"Y",424,398,93.9,398,143,35.9,107,26.9,93,23.4,55,13.8,148,37.2
,,"Math","N",641,636,99.2,636,40,6.3,123,19.3,183,28.8,290,45.6,473,74.4
,,,"Y",423,394,93.1,394,147,37.3,106,26.9,88,22.3,53,13.5,141,35.8
"East Windsor School District","=""0470011""","ELA","N",167,167,100.0,167,20,12.0,38,22.8,65,38.9,44,26.3,109,65.3
,,,"Y",306,304,99.3,304,116,38.2,103,33.9,55,18.1,30,9.9,85,28.0
,,"Math","N",166,166,100.0,166,26,15.7,41,24.7,44,26.5,55,33.1,99,59.6
,,,"Y",305,302,99.0,302,155,51.3,82,27.2,40,13.2,25,8.3,65,21.5
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELA","Y",25,18,72.0,18,"*","*","*","*","*","*","*","*","*","*"
,,"Math","Y",26,15,57.7,15,"*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""","ELA","N",50,50,100.0,50,"*","*","*","*",14,28.0,29,58.0,43,86.0
,,,"Y",32,32,100.0,32,"*","*","*","*",16,50.0,7,21.9,23,71.9
,,"Math","N",50,50,100.0,49,"*","*","*","*",19,38.8,15,30.6,34,69.4
,,,"Y",32,32,100.0,32,"*","*",10,31.3,9,28.1,"*","*","*","*"
"Easton School District","=""0460011""","ELA","N",468,467,99.8,467,10,2.1,47,10.1,176,37.7,234,50.1,410,87.8
,,,"Y",119,113,95.0,113,19,16.8,36,31.9,32,28.3,26,23.0,58,51.3
,,"Math","N",468,467,99.8,467,10,2.1,74,15.8,133,28.5,250,53.5,383,82.0
,,,"Y",119,112,94.1,112,29,25.9,27,24.1,30,26.8,26,23.2,56,50.0
"EdAdvance","=""2420014""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,,"Y","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*"
,,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,,"Y","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*"
"Ellington School District","=""0480011""","ELA","N",825,819,99.3,819,26,3.2,137,16.7,277,33.8,379,46.3,656,80.1
,,,"Y",361,355,98.3,355,114,32.1,101,28.5,80,22.5,60,16.9,140,39.4
,,"Math","N",825,818,99.2,818,33,4.0,126,15.4,237,29.0,422,51.6,659,80.6
,,,"Y",361,351,97.2,351,116,33.0,94,26.8,77,21.9,64,18.2,141,40.2
"Elm City College Preparatory School District","=""2890013""","ELA","N",54,53,98.1,53,7,13.2,21,39.6,14,26.4,11,20.8,25,47.2
,,,"Y",316,312,98.7,312,117,37.5,85,27.2,76,24.4,34,10.9,110,35.3
,,"Math","N",54,53,98.1,53,15,28.3,21,39.6,"*","*","*","*",17,32.1
,,,"Y",316,311,98.4,311,176,56.6,88,28.3,"*","*","*","*",47,15.1
"Elm City Montessori School District","=""2910013""","ELA","N",63,62,98.4,62,"*","*",14,22.6,14,22.6,"*","*","*","*"
,,,"Y",51,51,100.0,51,29,56.9,12,23.5,"*","*","*","*",10,19.6
,,"Math","N",63,62,98.4,62,19,30.6,14,22.6,"*","*","*","*","*","*"
,,,"Y",51,51,100.0,51,33,64.7,15,29.4,"*","*","*","*","*","*"
"Enfield School District","=""0490011""","ELA","N",927,915,98.7,915,142,15.5,248,27.1,325,35.5,200,21.9,525,57.4
,,,"Y",1147,1127,98.3,1127,491,43.6,317,28.1,212,18.8,107,9.5,319,28.3
,,"Math","N",927,915,98.7,915,195,21.3,288,31.5,250,27.3,182,19.9,432,47.2
,,,"Y",1145,1117,97.6,1117,565,50.6,301,26.9,174,15.6,77,6.9,251,22.5
"Essex School District","=""0500011""","ELA","N",99,98,99.0,98,"*","*","*","*",37,37.8,45,45.9,82,83.7
,,,"Y",61,49,80.3,49,"*","*",14,28.6,"*","*",14,28.6,"*","*"
,,"Math","N",99,98,99.0,98,7,7.1,14,14.3,28,28.6,49,50.0,77,78.6
,,,"Y",61,49,80.3,49,11,22.4,16,32.7,13,26.5,9,18.4,22,44.9
"Fairfield School District","=""0510011""","ELA","N",2978,2970,99.7,2970,103,3.5,375,12.6,1066,35.9,1426,48.0,2492,83.9
,,,"Y",1187,1152,97.1,1152,326,28.3,325,28.2,310,26.9,191,16.6,501,43.5
,,"Math","N",2978,2971,99.8,2971,137,4.6,531,17.9,918,30.9,1385,46.6,2303,77.5
,,,"Y",1187,1151,97.0,1151,341,29.6,346,30.1,272,23.6,192,16.7,464,40.3
"Farmington School District","=""0520011""","ELA","N",1340,1336,99.7,1336,32,2.4,140,10.5,443,33.2,721,54.0,1164,87.1
,,,"Y",553,547,98.9,547,139,25.4,158,28.9,148,27.1,102,18.6,250,45.7
,,"Math","N",1340,1332,99.4,1332,43,3.2,164,12.3,320,24.0,805,60.4,1125,84.5
,,,"Y",553,544,98.4,544,152,27.9,149,27.4,125,23.0,118,21.7,243,44.7
"Franklin School District","=""0530011""","ELA","N",91,91,100.0,91,"*","*","*","*","*","*","*","*","*","*"
,,,"Y",16,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
,,"Math","N",91,91,100.0,91,"*","*","*","*","*","*","*","*","*","*"
,,,"Y",16,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","ELA","N",1916,1910,99.7,1910,71,3.7,257,13.5,631,33.0,951,49.8,1582,82.8
,,,"Y",611,601,98.4,601,185,30.8,166,27.6,156,26.0,94,15.6,250,41.6
,,"Math","N",1916,1909,99.6,1909,55,2.9,263,13.8,515,27.0,1076,56.4,1591,83.3
,,,"Y",611,600,98.2,600,201,33.5,162,27.0,133,22.2,104,17.3,237,39.5
"Goodwin University Educational Services (GUES)","=""2310018""","ELA","N",82,82,100.0,82,22,26.8,26,31.7,27,32.9,7,8.5,34,41.5
,,,"Y",295,295,100.0,295,157,53.2,75,25.4,57,19.3,6,2.0,63,21.4
,,"Math","N",82,82,100.0,82,44,53.7,26,31.7,"*","*","*","*",12,14.6
,,,"Y",295,295,100.0,295,203,68.8,64,21.7,"*","*","*","*",28,9.5
"Granby School District","=""0560011""","ELA","N",559,558,99.8,558,34,6.1,92,16.5,225,40.3,207,37.1,432,77.4
,,,"Y",224,224,100.0,224,79,35.3,64,28.6,59,26.3,22,9.8,81,36.2
,,"Math","N",558,556,99.6,556,60,10.8,146,26.3,174,31.3,176,31.7,350,62.9
,,,"Y",224,222,99.1,221,104,47.1,53,24.0,41,18.6,23,10.4,64,29.0
"Great Oaks Charter School District","=""2940013""","ELA","N",61,61,100.0,61,20,32.8,"*","*",24,39.3,"*","*","*","*"
,,,"Y",220,209,95.0,209,94,45.0,65,31.1,"*","*","*","*",50,23.9
,,"Math","N",61,61,100.0,61,31,50.8,20,32.8,"*","*","*","*",10,16.4
,,,"Y",220,213,96.8,213,149,70.0,37,17.4,"*","*","*","*",27,12.7
"Greenwich School District","=""0570011""","ELA","N",2540,2531,99.6,2531,53,2.1,239,9.4,757,29.9,1482,58.6,2239,88.5
,,,"Y",1238,1224,98.9,1224,357,29.2,323,26.4,344,28.1,200,16.3,544,44.4
,,"Math","N",2540,2528,99.5,2528,65,2.6,302,11.9,606,24.0,1555,61.5,2161,85.5
,,,"Y",1238,1220,98.5,1220,379,31.1,366,30.0,255,20.9,220,18.0,475,38.9
"Griswold School District","=""0580011""","ELA","N",312,309,99.0,309,39,12.6,94,30.4,120,38.8,56,18.1,176,57.0
,,,"Y",410,402,98.0,401,160,39.9,121,30.2,90,22.4,30,7.5,120,29.9
,,"Math","N",312,309,99.0,309,59,19.1,88,28.5,94,30.4,68,22.0,162,52.4
,,,"Y",411,401,97.6,401,179,44.6,115,28.7,76,19.0,31,7.7,107,26.7
"Groton School District","=""0590011""","ELA","N",764,759,99.3,759,82,10.8,152,20.0,256,33.7,269,35.4,525,69.2
,,,"Y",1037,1024,98.7,1021,417,40.8,264,25.9,226,22.1,114,11.2,340,33.3
,,"Math","N",764,760,99.5,760,100,13.2,210,27.6,230,30.3,220,28.9,450,59.2
