"Smarter Balanced Assessments, 2024-25"
"All Districts, ELA and Math, All Grades Combined, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Subject","High Needs (F/R, EL or SWD)","Total Number of Students","Total Number Tested","Smarter Balanced Participation Rate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%"
,,"Math","N",99,99,100.0,99,35,35.4,36,36.4,"*","*","*","*",28,28.3
,,,"Y",260,260,100.0,259,153,59.1,66,25.5,"*","*","*","*",40,15.4
"Capitol Region Education Council","=""2410014""","ELA","N",1010,1000,99.0,1000,234,23.4,240,24.0,281,28.1,245,24.5,526,52.6
,,,"Y",2675,2614,97.7,2614,1454,55.6,609,23.3,412,15.8,139,5.3,551,21.1
,,"Math","N",1007,993,98.6,993,299,30.1,266,26.8,225,22.7,203,20.4,428,43.1
,,,"Y",2675,2594,97.0,2594,1655,63.8,559,21.5,266,10.3,114,4.4,380,14.6
"Chaplin School District","=""0240011""","ELA","N",37,37,100.0,37,10,27.0,"*","*",12,32.4,"*","*","*","*"
,,,"Y",42,41,97.6,41,19,46.3,13,31.7,"*","*","*","*",9,22.0
,,"Math","N",36,36,100.0,36,"*","*",10,27.8,11,30.6,"*","*","*","*"
,,,"Y",42,41,97.6,41,"*","*",15,36.6,10,24.4,"*","*","*","*"
"Cheshire School District","=""0250011""","ELA","N",1431,1425,99.6,1425,31,2.2,168,11.8,471,33.1,755,53.0,1226,86.0
,,,"Y",584,568,97.3,568,107,18.8,149,26.2,160,28.2,152,26.8,312,54.9
,,"Math","N",1431,1425,99.6,1425,35,2.5,177,12.4,368,25.8,845,59.3,1213,85.1
,,,"Y",585,568,97.1,568,119,21.0,137,24.1,152,26.8,160,28.2,312,54.9
"Chester School District","=""0260011""","ELA","N",76,76,100.0,76,"*","*","*","*",23,30.3,39,51.3,62,81.6
,,,"Y",42,40,95.2,40,"*","*",11,27.5,"*","*",10,25.0,"*","*"
,,"Math","N",76,76,100.0,76,"*","*","*","*",22,28.9,39,51.3,61,80.3
,,,"Y",42,40,95.2,40,"*","*",17,42.5,10,25.0,"*","*","*","*"
"Clinton School District","=""0270011""","ELA","N",292,292,100.0,292,26,8.9,71,24.3,102,34.9,93,31.8,195,66.8
,,,"Y",315,312,99.0,312,103,33.0,100,32.1,78,25.0,31,9.9,109,34.9
,,"Math","N",292,292,100.0,292,14,4.8,67,22.9,96,32.9,115,39.4,211,72.3
,,,"Y",315,312,99.0,312,86,27.6,98,31.4,79,25.3,49,15.7,128,41.0
"Colchester School District","=""0280011""","ELA","N",603,602,99.8,602,34,5.6,149,24.8,208,34.6,211,35.0,419,69.6
,,,"Y",357,353,98.9,353,114,32.3,100,28.3,100,28.3,39,11.0,139,39.4
