"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA and Math, All Grades Combined, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
,,"Math","N",616,607,98.5,607,31,5.1,156,25.7,226,37.2,194,32.0,420,69.2
,,,"Y",286,283,99.0,283,104,36.7,106,37.5,47,16.6,26,9.2,73,25.8
"Colchester School District","=""0280011""","ELA","N",808,805,99.6,805,35,4.3,99,12.3,326,40.5,345,42.9,671,83.4
,,,"Y",328,325,99.1,325,70,21.5,107,32.9,105,32.3,43,13.2,148,45.5
,,"Math","N",807,804,99.6,804,52,6.5,210,26.1,289,35.9,253,31.5,542,67.4
,,,"Y",327,324,99.1,324,107,33.0,123,38.0,70,21.6,24,7.4,94,29.0
"Colebrook School District","=""0290011""","ELA","N",32,31,96.9,31,0,0.0,"*","*","*","*","*","*","*","*"
,,,"Y",14,13,"*",13,"*","*","*","*","*","*","*","*","*","*"
,,"Math","N",32,31,96.9,31,0,0.0,"*","*","*","*","*","*","*","*"
,,,"Y",14,13,"*",13,"*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","ELA","N",207,202,97.6,202,9,4.5,39,19.3,83,41.1,71,35.1,154,76.2
,,,"Y",80,77,96.3,77,23,29.9,22,28.6,25,32.5,7,9.1,32,41.6
,,"Math","N",207,202,97.6,202,"*","*",57,28.2,77,38.1,"*","*","*","*"
,,,"Y",80,77,96.3,77,33,42.9,30,39.0,"*","*","*","*",14,18.2
"Cooperative Educational Services","=""2430014""","ELA","N",152,148,97.4,148,19,12.8,34,23.0,51,34.5,44,29.7,95,64.2
,,,"Y",190,188,98.9,188,86,45.7,44,23.4,42,22.3,16,8.5,58,30.9
,,"Math","N",152,149,98.0,149,"*","*",47,31.5,47,31.5,"*","*","*","*"
,,,"Y",190,188,98.9,188,101,53.7,55,29.3,"*","*","*","*",32,17.0
"Cornwall School District","=""0310011""","ELA","N",45,43,95.6,43,"*","*","*","*","*","*","*","*","*","*"
,,,"Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*"
,,"Math","N",45,43,95.6,43,"*","*","*","*","*","*","*","*","*","*"
,,,"Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","ELA","N",551,546,99.1,546,28,5.1,82,15.0,219,40.1,217,39.7,436,79.9
,,,"Y",202,198,98.0,198,50,25.3,47,23.7,70,35.4,31,15.7,101,51.0
,,"Math","N",551,546,99.1,546,43,7.9,161,29.5,182,33.3,160,29.3,342,62.6
,,,"Y",202,198,98.0,198,61,30.8,68,34.3,47,23.7,22,11.1,69,34.8
"Cromwell School District","=""0330011""","ELA","N",664,663,99.8,663,45,6.8,121,18.3,259,39.1,238,35.9,497,75.0
,,,"Y",259,257,99.2,257,86,33.5,77,30.0,67,26.1,27,10.5,94,36.6
,,"Math","N",664,663,99.8,663,83,12.5,203,30.6,218,32.9,159,24.0,377,56.9
,,,"Y",259,257,99.2,256,117,45.7,93,36.3,33,12.9,13,5.1,46,18.0
"Danbury School District","=""0340011""","ELA","N",1790,1770,98.9,1769,182,10.3,387,21.9,687,38.8,513,29.0,1200,67.8
,,,"Y",3288,3266,99.3,3264,1082,33.1,1016,31.1,867,26.6,299,9.2,1166,35.7
,,"Math","N",1790,1767,98.7,1767,286,16.2,568,32.1,526,29.8,387,21.9,913,51.7
,,,"Y",3287,3252,98.9,3250,1307,40.2,1139,35.0,595,18.3,209,6.4,804,24.7
"Darien School District","=""0350011""","ELA","N",1926,1918,99.6,1918,24,1.3,122,6.4,606,31.6,1166,60.8,1772,92.4
,,,"Y",356,337,94.7,337,51,15.1,98,29.1,113,33.5,75,22.3,188,55.8
,,"Math","N",1926,1918,99.6,1918,25,1.3,205,10.7,519,27.1,1169,60.9,1688,88.0
,,,"Y",356,336,94.4,336,66,19.6,116,34.5,81,24.1,73,21.7,154,45.8
"Deep River School District","=""0360011""","ELA","N",135,134,99.3,134,10,7.5,25,18.7,43,32.1,56,41.8,99,73.9
,,,"Y",65,65,100.0,65,16,24.6,23,35.4,18,27.7,8,12.3,26,40.0
,,"Math","N",135,134,99.3,134,"*","*",46,34.3,"*","*",47,35.1,"*","*"
,,,"Y",65,65,100.0,65,"*","*",28,43.1,12,18.5,"*","*","*","*"
"Derby School District","=""0370011""","ELA","N",258,258,100.0,258,46,17.8,70,27.1,94,36.4,48,18.6,142,55.0
,,,"Y",422,420,99.5,420,192,45.7,98,23.3,99,23.6,31,7.4,130,31.0
,,"Math","N",258,257,99.6,257,68,26.5,103,40.1,63,24.5,23,8.9,86,33.5
,,,"Y",421,416,98.8,416,235,56.5,116,27.9,51,12.3,14,3.4,65,15.6
"East Granby School District","=""0400011""","ELA","N",302,302,100.0,302,14,4.6,41,13.6,121,40.1,126,41.7,247,81.8
,,,"Y",94,93,98.9,93,32,34.4,27,29.0,23,24.7,11,11.8,34,36.6
,,"Math","N",302,302,100.0,302,13,4.3,56,18.5,98,32.5,135,44.7,233,77.2
,,,"Y",94,93,98.9,93,36,38.7,29,31.2,20,21.5,8,8.6,28,30.1
"East Haddam School District","=""0410011""","ELA","N",378,364,96.3,364,25,6.9,68,18.7,133,36.5,138,37.9,271,74.5
,,,"Y",121,115,95.0,115,38,33.0,31,27.0,22,19.1,24,20.9,46,40.0
,,"Math","N",377,363,96.3,363,62,17.1,95,26.2,106,29.2,100,27.5,206,56.7
,,,"Y",121,114,94.2,114,50,43.9,38,33.3,16,14.0,10,8.8,26,22.8
"East Hampton School District","=""0420011""","ELA","N",697,654,93.8,654,85,13.0,143,21.9,251,38.4,175,26.8,426,65.1
,,,"Y",188,177,94.1,177,67,37.9,62,35.0,35,19.8,13,7.3,48,27.1
,,"Math","N",697,653,93.7,653,93,14.2,231,35.4,212,32.5,117,17.9,329,50.4
,,,"Y",188,177,94.1,177,82,46.3,57,32.2,30,16.9,8,4.5,38,21.5
"East Hartford School District","=""0430011""","ELA","N",789,786,99.6,786,196,24.9,215,27.4,237,30.2,138,17.6,375,47.7
,,,"Y",2132,2120,99.4,2109,1029,48.8,533,25.3,426,20.2,121,5.7,547,25.9
,,"Math","N",787,781,99.2,781,289,37.0,264,33.8,158,20.2,70,9.0,228,29.2
,,,"Y",2125,2102,98.9,2092,1281,61.2,552,26.4,201,9.6,58,2.8,259,12.4
"East Haven School District","=""0440011""","ELA","N",551,548,99.5,548,59,10.8,150,27.4,221,40.3,118,21.5,339,61.9
,,,"Y",768,763,99.3,763,270,35.4,214,28.0,186,24.4,93,12.2,279,36.6
,,"Math","N",551,545,98.9,545,110,20.2,201,36.9,156,28.6,78,14.3,234,42.9
,,,"Y",768,762,99.2,761,359,47.2,234,30.7,133,17.5,35,4.6,168,22.1
"East Lyme School District","=""0450011""","ELA","N",874,856,97.9,856,36,4.2,113,13.2,302,35.3,405,47.3,707,82.6
,,,"Y",324,313,96.6,313,80,25.6,85,27.2,94,30.0,54,17.3,148,47.3
,,"Math","N",873,854,97.8,854,45,5.3,173,20.3,249,29.2,387,45.3,636,74.5
,,,"Y",324,312,96.3,311,88,28.3,102,32.8,77,24.8,44,14.1,121,38.9
"East Windsor School District","=""0470011""","ELA","N",220,219,99.5,219,27,12.3,50,22.8,98,44.7,44,20.1,142,64.8
,,,"Y",246,241,98.0,240,77,32.1,81,33.8,65,27.1,17,7.1,82,34.2
,,"Math","N",220,219,99.5,219,45,20.5,74,33.8,58,26.5,42,19.2,100,45.7
,,,"Y",246,240,97.6,240,114,47.5,82,34.2,35,14.6,9,3.8,44,18.3
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELA","Y",45,43,95.6,43,41,95.3,"*","*","*","*",0,0.0,"*","*"
,,"Math","Y",45,41,91.1,39,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Eastford School District","=""0390011""","ELA","N",54,54,100.0,54,"*","*","*","*",25,46.3,18,33.3,43,79.6
,,,"Y",32,32,100.0,32,"*","*",12,37.5,"*","*",8,25.0,"*","*"
,,"Math","N",54,54,100.0,54,"*","*",18,33.3,16,29.6,"*","*","*","*"
,,,"Y",32,32,100.0,32,"*","*",11,34.4,7,21.9,"*","*","*","*"
"Easton School District","=""0460011""","ELA","N",542,530,97.8,530,11,2.1,53,10.0,177,33.4,289,54.5,466,87.9
,,,"Y",90,87,96.7,87,19,21.8,22,25.3,33,37.9,13,14.9,46,52.9
,,"Math","N",542,525,96.9,525,10,1.9,78,14.9,163,31.0,274,52.2,437,83.2
,,,"Y",90,84,93.3,84,29,34.5,26,31.0,18,21.4,11,13.1,29,34.5
"EdAdvance","=""2420014""","ELA","Y",7,7,"*","*","*","*","*","*","*","*","*","*","*","*"
,,"Math","Y",7,6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","ELA","N",1011,1004,99.3,1004,25,2.5,152,15.1,332,33.1,495,49.3,827,82.4
,,,"Y",251,249,99.2,249,70,28.1,82,32.9,61,24.5,36,14.5,97,39.0
,,"Math","N",1011,1004,99.3,1004,43,4.3,215,21.4,372,37.1,374,37.3,746,74.3
,,,"Y",252,250,99.2,250,91,36.4,94,37.6,48,19.2,17,6.8,65,26.0
"Elm City College Preparatory School District","=""2890013""","ELA","N",62,62,100.0,62,7,11.3,8,12.9,24,38.7,23,37.1,47,75.8
,,,"Y",314,314,100.0,314,74,23.6,70,22.3,107,34.1,63,20.1,170,54.1
,,"Math","N",62,62,100.0,62,7,11.3,13,21.0,13,21.0,29,46.8,42,67.7
,,,"Y",314,314,100.0,314,88,28.0,99,31.5,65,20.7,62,19.7,127,40.4
"Enfield School District","=""0490011""","ELA","N",1194,1189,99.6,1189,91,7.7,265,22.3,485,40.8,348,29.3,833,70.1
,,,"Y",1039,1031,99.2,1031,296,28.7,315,30.6,297,28.8,123,11.9,420,40.7
,,"Math","N",1193,1189,99.7,1189,149,12.5,445,37.4,392,33.0,203,17.1,595,50.0
,,,"Y",1037,1026,98.9,1026,365,35.6,372,36.3,225,21.9,64,6.2,289,28.2
"Essex School District","=""0500011""","ELA","N",183,179,97.8,179,"*","*","*","*",60,33.5,91,50.8,151,84.4
,,,"Y",47,44,93.6,44,"*","*",10,22.7,12,27.3,"*","*","*","*"
,,"Math","N",183,179,97.8,179,"*","*",40,22.3,67,37.4,"*","*","*","*"
,,,"Y",47,44,93.6,44,"*","*",11,25.0,15,34.1,"*","*","*","*"
"Fairfield School District","=""0510011""","ELA","N",3871,3831,99.0,3829,149,3.9,532,13.9,1439,37.6,1709,44.6,3148,82.2
,,,"Y",863,854,99.0,854,274,32.1,261,30.6,224,26.2,95,11.1,319,37.4
,,"Math","N",3869,3821,98.8,3821,153,4.0,860,22.5,1364,35.7,1444,37.8,2808,73.5
,,,"Y",862,850,98.6,850,336,39.5,284,33.4,148,17.4,82,9.6,230,27.1
"Farmington School District","=""0520011""","ELA","N",1506,1501,99.7,1501,29,1.9,162,10.8,517,34.4,793,52.8,1310,87.3
,,,"Y",397,394,99.2,394,100,25.4,114,28.9,120,30.5,60,15.2,180,45.7
,,"Math","N",1506,1501,99.7,1501,35,2.3,231,15.4,452,30.1,783,52.2,1235,82.3
,,,"Y",397,393,99.0,393,117,29.8,137,34.9,83,21.1,56,14.2,139,35.4
"Franklin School District","=""0530011""","ELA","N",84,82,97.6,82,6,7.3,16,19.5,"*","*","*","*","*","*"
,,,"Y",26,26,100.0,26,15,57.7,6,23.1,"*","*","*","*","*","*"
,,"Math","N",84,82,97.6,82,"*","*",27,32.9,"*","*",20,24.4,"*","*"
,,,"Y",26,26,100.0,26,16,61.5,"*","*","*","*",0,0.0,"*","*"
"Glastonbury School District","=""0540011""","ELA","N",2337,2331,99.7,2331,56,2.4,236,10.1,857,36.8,1182,50.7,2039,87.5
,,,"Y",490,486,99.2,486,141,29.0,152,31.3,127,26.1,66,13.6,193,39.7
,,"Math","N",2338,2331,99.7,2331,56,2.4,334,14.3,709,30.4,1232,52.9,1941,83.3
,,,"Y",490,486,99.2,486,174,35.8,151,31.1,111,22.8,50,10.3,161,33.1
"Granby School District","=""0560011""","ELA","N",670,662,98.8,662,22,3.3,80,12.1,238,36.0,322,48.6,560,84.6
,,,"Y",170,169,99.4,169,38,22.5,46,27.2,58,34.3,27,16.0,85,50.3
,,"Math","N",670,662,98.8,662,28,4.2,155,23.4,214,32.3,265,40.0,479,72.4
,,,"Y",170,169,99.4,169,53,31.4,62,36.7,32,18.9,22,13.0,54,32.0
"Great Oaks Charter School District","=""2940013""","ELA","N",27,27,100.0,27,10,37.0,10,37.0,7,25.9,0,0.0,7,25.9
,,,"Y",183,183,100.0,183,97,53.0,53,29.0,"*","*","*","*",33,18.0
,,"Math","N",27,27,100.0,27,11,40.7,12,44.4,"*","*","*","*","*","*"
,,,"Y",183,180,98.4,180,122,67.8,43,23.9,"*","*","*","*","*","*"
"Greenwich School District","=""0570011""","ELA","N",2966,2955,99.6,2955,76,2.6,304,10.3,963,32.6,1612,54.6,2575,87.1
,,,"Y",1004,1001,99.7,1001,285,28.5,287,28.7,289,28.9,140,14.0,429,42.9
,,"Math","N",2966,2955,99.6,2955,145,4.9,497,16.8,813,27.5,1500,50.8,2313,78.3
,,,"Y",1004,999,99.5,999,360,36.0,331,33.1,181,18.1,127,12.7,308,30.8
"Griswold School District","=""0580011""","ELA","N",447,444,99.3,444,32,7.2,85,19.1,182,41.0,145,32.7,327,73.6
,,,"Y",376,370,98.4,370,110,29.7,109,29.5,110,29.7,41,11.1,151,40.8
,,"Math","N",447,444,99.3,444,50,11.3,118,26.6,132,29.7,144,32.4,276,62.2
,,,"Y",376,371,98.7,371,128,34.5,127,34.2,79,21.3,37,10.0,116,31.3
"Groton School District","=""0590011""","ELA","N",936,934,99.8,934,70,7.5,181,19.4,372,39.8,311,33.3,683,73.1
,,,"Y",1016,1004,98.8,1004,361,36.0,275,27.4,243,24.2,125,12.5,368,36.7
,,"Math","N",933,931,99.8,931,85,9.1,251,27.0,331,35.6,264,28.4,595,63.9
,,,"Y",1020,1008,98.8,1007,394,39.1,338,33.6,186,18.5,89,8.8,275,27.3
"Guilford School District","=""0600011""","ELA","N",1332,1328,99.7,1326,29,2.2,125,9.4,460,34.7,712,53.7,1172,88.4
,,,"Y",298,298,100.0,298,74,24.8,70,23.5,97,32.6,57,19.1,154,51.7
,,"Math","N",1332,1328,99.7,1325,41,3.1,242,18.3,413,31.2,629,47.5,1042,78.6
,,,"Y",298,298,100.0,298,100,33.6,95,31.9,57,19.1,46,15.4,103,34.6
"Hamden School District","=""0620011""","ELA","N",1160,1150,99.1,1150,111,9.7,217,18.9,414,36.0,408,35.5,822,71.5
,,,"Y",1272,1253,98.5,1253,531,42.4,328,26.2,287,22.9,107,8.5,394,31.4
,,"Math","N",1160,1144,98.6,1144,155,13.5,333,29.1,358,31.3,298,26.0,656,57.3
,,,"Y",1272,1247,98.0,1247,624,50.0,369,29.6,183,14.7,71,5.7,254,20.4
"Hampton School District","=""0630011""","ELA","N",33,33,100.0,33,"*","*","*","*","*","*","*","*","*","*"
,,,"Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
,,"Math","N",33,33,100.0,33,"*","*","*","*","*","*","*","*","*","*"
,,,"Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","ELA","N",1175,1166,99.2,1166,224,19.2,261,22.4,391,33.5,290,24.9,681,58.4
,,,"Y",8201,8104,98.8,8101,4444,54.9,1946,24.0,1323,16.3,388,4.8,1711,21.1
,,"Math","N",1174,1163,99.1,1163,280,24.1,384,33.0,281,24.2,218,18.7,499,42.9
,,,"Y",8195,8019,97.9,8014,5051,63.0,1998,24.9,685,8.5,280,3.5,965,12.0
