"Smarter Balanced Assessments, 2016-17"
"All Districts, ELA and Math, All Grades Combined, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
,,,"Y",146,142,97.3,142,60,42.3,39,27.5,24,16.9,19,13.4,43,30.3
"Capital Preparatory Harbor School District","=""2970013""","ELA","N",42,42,100.0,42,"*","*",15,35.7,16,38.1,"*","*","*","*"
,,,"Y",73,73,100.0,73,"*","*",28,38.4,20,27.4,"*","*","*","*"
,,"Math","N",42,42,100.0,42,"*","*",13,31.0,15,35.7,"*","*","*","*"
,,,"Y",73,73,100.0,73,37,50.7,"*","*",16,21.9,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","ELA","N",1407,1384,98.4,1384,154,11.1,289,20.9,494,35.7,447,32.3,941,68.0
,,,"Y",1918,1893,98.7,1893,740,39.1,548,28.9,422,22.3,183,9.7,605,32.0
,,"Math","N",1406,1379,98.1,1378,239,17.3,400,29.0,375,27.2,364,26.4,739,53.6
,,,"Y",1917,1874,97.8,1873,911,48.6,554,29.6,280,14.9,128,6.8,408,21.8
"Chaplin School District","=""0240011""","ELA","N",39,39,100.0,39,"*","*",8,20.5,19,48.7,"*","*","*","*"
,,,"Y",30,30,100.0,30,"*","*",10,33.3,8,26.7,"*","*","*","*"
,,"Math","N",39,39,100.0,39,"*","*",18,46.2,13,33.3,"*","*","*","*"
,,,"Y",30,30,100.0,30,"*","*",14,46.7,6,20.0,"*","*","*","*"
"Cheshire School District","=""0250011""","ELA","N",1687,1674,99.2,1674,57,3.4,211,12.6,629,37.6,777,46.4,1406,84.0
,,,"Y",316,314,99.4,314,103,32.8,89,28.3,80,25.5,42,13.4,122,38.9
,,"Math","N",1687,1672,99.1,1672,108,6.5,346,20.7,522,31.2,696,41.6,1218,72.8
,,,"Y",316,313,99.1,313,113,36.1,97,31.0,67,21.4,36,11.5,103,32.9
"Chester School District","=""0260011""","ELA","N",87,87,100.0,87,"*","*","*","*",33,37.9,47,54.0,80,92.0
,,,"Y",36,36,100.0,36,"*","*","*","*",9,25.0,8,22.2,17,47.2
,,"Math","N",87,87,100.0,87,"*","*","*","*",32,36.8,40,46.0,72,82.8
,,,"Y",36,36,100.0,36,"*","*",13,36.1,11,30.6,"*","*","*","*"
"Clinton School District","=""0270011""","ELA","N",593,582,98.1,582,35,6.0,101,17.4,235,40.4,211,36.3,446,76.6
,,,"Y",276,273,98.9,271,90,33.2,87,32.1,65,24.0,29,10.7,94,34.7
,,"Math","N",593,582,98.1,582,31,5.3,138,23.7,235,40.4,178,30.6,413,71.0
,,,"Y",276,272,98.6,272,101,37.1,94,34.6,55,20.2,22,8.1,77,28.3
"Colchester School District","=""0280011""","ELA","N",801,794,99.1,794,32,4.0,127,16.0,292,36.8,343,43.2,635,80.0
,,,"Y",299,296,99.0,296,69,23.3,95,32.1,96,32.4,36,12.2,132,44.6
,,"Math","N",801,794,99.1,794,25,3.1,174,21.9,264,33.2,331,41.7,595,74.9
,,,"Y",299,296,99.0,296,86,29.1,104,35.1,74,25.0,32,10.8,106,35.8
"Colebrook School District","=""0290011""","ELA","N",26,25,96.2,25,0,0.0,"*","*","*","*","*","*","*","*"
,,,"Y",21,18,85.7,18,"*","*","*","*","*","*","*","*","*","*"
,,"Math","N",26,25,96.2,25,0,0.0,"*","*","*","*","*","*","*","*"
,,,"Y",21,18,85.7,18,"*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","ELA","N",198,192,97.0,192,14,7.3,46,24.0,82,42.7,50,26.0,132,68.8
,,,"Y",85,77,90.6,77,32,41.6,18,23.4,18,23.4,9,11.7,27,35.1
,,"Math","N",198,192,97.0,192,"*","*",56,29.2,64,33.3,"*","*","*","*"
,,,"Y",85,77,90.6,77,34,44.2,24,31.2,"*","*","*","*",19,24.7
"Cooperative Educational Services","=""2430014""","ELA","N",152,152,100.0,152,25,16.4,42,27.6,48,31.6,37,24.3,85,55.9
,,,"Y",170,167,98.2,167,82,49.1,38,22.8,33,19.8,14,8.4,47,28.1
,,"Math","N",152,152,100.0,152,24,15.8,59,38.8,38,25.0,31,20.4,69,45.4
,,,"Y",170,166,97.6,166,85,51.2,46,27.7,24,14.5,11,6.6,35,21.1
"Cornwall School District","=""0310011""","ELA","N",39,39,100.0,39,"*","*","*","*","*","*","*","*","*","*"
,,,"Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
,,"Math","N",40,40,100.0,40,"*","*","*","*","*","*","*","*","*","*"
,,,"Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","ELA","N",562,555,98.8,555,19,3.4,78,14.1,227,40.9,231,41.6,458,82.5
,,,"Y",190,190,100.0,190,49,25.8,53,27.9,62,32.6,26,13.7,88,46.3
,,"Math","N",562,552,98.2,552,24,4.3,122,22.1,207,37.5,199,36.1,406,73.6
,,,"Y",190,187,98.4,187,64,34.2,59,31.6,44,23.5,20,10.7,64,34.2
"Cromwell School District","=""0330011""","ELA","N",664,663,99.8,663,56,8.4,151,22.8,263,39.7,193,29.1,456,68.8
,,,"Y",251,250,99.6,250,95,38.0,68,27.2,60,24.0,27,10.8,87,34.8
,,"Math","N",664,663,99.8,663,69,10.4,202,30.5,212,32.0,180,27.1,392,59.1
,,,"Y",250,245,98.0,245,124,50.6,67,27.3,33,13.5,21,8.6,54,22.0
"Danbury School District","=""0340011""","ELA","N",1900,1884,99.2,1882,170,9.0,478,25.4,762,40.5,472,25.1,1234,65.6
,,,"Y",3354,3346,99.8,3344,1224,36.6,1029,30.8,821,24.6,270,8.1,1091,32.6
,,"Math","N",1900,1880,98.9,1880,292,15.5,587,31.2,550,29.3,451,24.0,1001,53.2
,,,"Y",3353,3339,99.6,3338,1341,40.2,1131,33.9,626,18.8,240,7.2,866,25.9
"Darien School District","=""0350011""","ELA","N",1922,1903,99.0,1903,31,1.6,153,8.0,655,34.4,1064,55.9,1719,90.3
,,,"Y",343,324,94.5,324,60,18.5,96,29.6,112,34.6,56,17.3,168,51.9
,,"Math","N",1922,1901,98.9,1901,26,1.4,220,11.6,516,27.1,1139,59.9,1655,87.1
,,,"Y",343,324,94.5,324,79,24.4,100,30.9,90,27.8,55,17.0,145,44.8
"Deep River School District","=""0360011""","ELA","N",115,115,100.0,115,"*","*","*","*",34,29.6,58,50.4,92,80.0
,,,"Y",61,61,100.0,61,"*","*",16,26.2,22,36.1,"*","*","*","*"
,,"Math","N",115,115,100.0,115,"*","*",35,30.4,35,30.4,"*","*","*","*"
,,,"Y",61,61,100.0,61,"*","*",20,32.8,22,36.1,"*","*","*","*"
"Derby School District","=""0370011""","ELA","N",240,240,100.0,240,40,16.7,74,30.8,86,35.8,40,16.7,126,52.5
,,,"Y",447,443,99.1,443,210,47.4,105,23.7,85,19.2,43,9.7,128,28.9
,,"Math","N",240,240,100.0,240,64,26.7,85,35.4,63,26.3,28,11.7,91,37.9
,,,"Y",447,442,98.9,442,245,55.4,122,27.6,53,12.0,22,5.0,75,17.0
"East Granby School District","=""0400011""","ELA","N",317,311,98.1,311,21,6.8,33,10.6,131,42.1,126,40.5,257,82.6
,,,"Y",96,96,100.0,96,30,31.3,29,30.2,23,24.0,14,14.6,37,38.5
,,"Math","N",317,311,98.1,311,9,2.9,59,19.0,116,37.3,127,40.8,243,78.1
,,,"Y",96,92,95.8,92,31,33.7,30,32.6,23,25.0,8,8.7,31,33.7
"East Haddam School District","=""0410011""","ELA","N",349,342,98.0,342,24,7.0,46,13.5,125,36.5,147,43.0,272,79.5
,,,"Y",124,120,96.8,120,31,25.8,33,27.5,34,28.3,22,18.3,56,46.7
,,"Math","N",349,342,98.0,342,29,8.5,91,26.6,107,31.3,115,33.6,222,64.9
,,,"Y",124,120,96.8,120,40,33.3,40,33.3,22,18.3,18,15.0,40,33.3
"East Hampton School District","=""0420011""","ELA","N",723,701,97.0,701,66,9.4,138,19.7,278,39.7,219,31.2,497,70.9
,,,"Y",182,176,96.7,175,63,36.0,51,29.1,44,25.1,17,9.7,61,34.9
,,"Math","N",724,702,97.0,702,86,12.3,221,31.5,238,33.9,157,22.4,395,56.3
,,,"Y",182,176,96.7,176,73,41.5,58,33.0,35,19.9,10,5.7,45,25.6
"East Hartford School District","=""0430011""","ELA","N",1070,1065,99.5,1064,263,24.7,320,30.1,330,31.0,151,14.2,481,45.2
,,,"Y",1931,1910,98.9,1901,1003,52.8,480,25.2,312,16.4,106,5.6,418,22.0
,,"Math","N",1071,1045,97.6,1042,400,38.4,375,36.0,192,18.4,75,7.2,267,25.6
,,,"Y",1925,1859,96.6,1848,1151,62.3,471,25.5,181,9.8,45,2.4,226,12.2
"East Haven School District","=""0440011""","ELA","N",537,536,99.8,536,83,15.5,119,22.2,213,39.7,121,22.6,334,62.3
,,,"Y",726,715,98.5,715,290,40.6,176,24.6,192,26.9,57,8.0,249,34.8
,,"Math","N",537,536,99.8,536,113,21.1,167,31.2,157,29.3,99,18.5,256,47.8
,,,"Y",726,712,98.1,712,349,49.0,212,29.8,109,15.3,42,5.9,151,21.2
"East Lyme School District","=""0450011""","ELA","N",895,887,99.1,887,36,4.1,119,13.4,341,38.4,391,44.1,732,82.5
,,,"Y",318,308,96.9,308,81,26.3,76,24.7,102,33.1,49,15.9,151,49.0
,,"Math","N",895,887,99.1,887,55,6.2,168,18.9,264,29.8,400,45.1,664,74.9
,,,"Y",318,308,96.9,308,92,29.9,91,29.5,75,24.4,50,16.2,125,40.6
"East Windsor School District","=""0470011""","ELA","N",208,208,100.0,208,30,14.4,50,24.0,81,38.9,47,22.6,128,61.5
,,,"Y",257,255,99.2,254,100,39.4,81,31.9,56,22.0,17,6.7,73,28.7
,,"Math","N",208,208,100.0,208,48,23.1,75,36.1,57,27.4,28,13.5,85,40.9
,,,"Y",255,252,98.8,252,125,49.6,83,32.9,36,14.3,8,3.2,44,17.5
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELA","Y",55,54,98.2,53,48,90.6,"*","*","*","*",0,0.0,"*","*"
,,"Math","Y",55,54,98.2,54,51,94.4,"*","*","*","*",0,0.0,"*","*"
"Eastford School District","=""0390011""","ELA","N",56,56,100.0,56,"*","*","*","*",28,50.0,"*","*","*","*"
,,,"Y",33,33,100.0,33,"*","*","*","*",14,42.4,"*","*","*","*"
,,"Math","N",56,56,100.0,56,"*","*",16,28.6,18,32.1,"*","*","*","*"
,,,"Y",33,33,100.0,33,15,45.5,8,24.2,"*","*","*","*",10,30.3
"Easton School District","=""0460011""","ELA","N",520,514,98.8,514,8,1.6,41,8.0,193,37.5,272,52.9,465,90.5
,,,"Y",92,86,93.5,86,21,24.4,21,24.4,27,31.4,17,19.8,44,51.2
,,"Math","N",520,512,98.5,512,8,1.6,85,16.6,146,28.5,273,53.3,419,81.8
,,,"Y",92,86,93.5,86,32,37.2,22,25.6,19,22.1,13,15.1,32,37.2
"EdAdvance","=""2420014""","ELA","Y",9,7,"*",7,"*","*","*","*","*","*","*","*","*","*"
,,"Math","Y",9,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","ELA","N",1002,995,99.3,995,51,5.1,153,15.4,388,39.0,403,40.5,791,79.5
,,,"Y",255,253,99.2,253,113,44.7,61,24.1,60,23.7,19,7.5,79,31.2
,,"Math","N",1002,994,99.2,994,59,5.9,214,21.5,349,35.1,372,37.4,721,72.5
,,,"Y",255,253,99.2,253,108,42.7,92,36.4,38,15.0,15,5.9,53,20.9
"Elm City College Preparatory School District","=""2890013""","ELA","N",77,77,100.0,77,8,10.4,14,18.2,36,46.8,19,24.7,55,71.4
,,,"Y",303,302,99.7,302,68,22.5,75,24.8,95,31.5,64,21.2,159,52.6
,,"Math","N",77,77,100.0,77,10,13.0,20,26.0,28,36.4,19,24.7,47,61.0
,,,"Y",302,301,99.7,301,69,22.9,102,33.9,76,25.2,54,17.9,130,43.2
"Enfield School District","=""0490011""","ELA","N",1214,1212,99.8,1212,138,11.4,320,26.4,472,38.9,282,23.3,754,62.2
,,,"Y",1023,1012,98.9,1012,376,37.2,269,26.6,266,26.3,101,10.0,367,36.3
,,"Math","N",1214,1212,99.8,1212,183,15.1,429,35.4,388,32.0,212,17.5,600,49.5
,,,"Y",1024,1015,99.1,1015,395,38.9,360,35.5,188,18.5,72,7.1,260,25.6
"Essex School District","=""0500011""","ELA","N",163,157,96.3,157,"*","*","*","*",49,31.2,82,52.2,131,83.4
,,,"Y",46,44,95.7,44,"*","*",11,25.0,10,22.7,"*","*","*","*"
,,"Math","N",163,157,96.3,157,"*","*",33,21.0,55,35.0,"*","*","*","*"
,,,"Y",46,44,95.7,44,"*","*",11,25.0,8,18.2,"*","*","*","*"
"Fairfield School District","=""0510011""","ELA","N",3826,3799,99.3,3799,137,3.6,512,13.5,1502,39.5,1648,43.4,3150,82.9
,,,"Y",912,893,97.9,891,264,29.6,282,31.6,242,27.2,103,11.6,345,38.7
,,"Math","N",3826,3796,99.2,3795,154,4.1,735,19.4,1234,32.5,1672,44.1,2906,76.6
,,,"Y",912,892,97.8,891,309,34.7,305,34.2,168,18.9,109,12.2,277,31.1
"Farmington School District","=""0520011""","ELA","N",1568,1565,99.8,1565,39,2.5,158,10.1,532,34.0,836,53.4,1368,87.4
,,,"Y",371,370,99.7,369,114,30.9,96,26.0,92,24.9,67,18.2,159,43.1
,,"Math","N",1568,1565,99.8,1564,44,2.8,233,14.9,462,29.5,825,52.7,1287,82.3
,,,"Y",372,370,99.5,370,120,32.4,111,30.0,88,23.8,51,13.8,139,37.6
"Franklin School District","=""0530011""","ELA","N",74,74,100.0,74,"*","*","*","*",28,37.8,"*","*","*","*"
,,,"Y",27,27,100.0,27,"*","*","*","*",9,33.3,"*","*","*","*"
,,"Math","N",74,74,100.0,74,"*","*",28,37.8,"*","*",14,18.9,"*","*"
,,,"Y",27,27,100.0,27,12,44.4,"*","*","*","*",0,0.0,"*","*"
"Glastonbury School District","=""0540011""","ELA","N",2287,2281,99.7,2280,70,3.1,263,11.5,761,33.4,1186,52.0,1947,85.4
,,,"Y",497,490,98.6,490,157,32.0,144,29.4,124,25.3,65,13.3,189,38.6
,,"Math","N",2287,2280,99.7,2280,69,3.0,333,14.6,650,28.5,1228,53.9,1878,82.4
,,,"Y",497,490,98.6,490,168,34.3,160,32.7,98,20.0,64,13.1,162,33.1
"Granby School District","=""0560011""","ELA","N",643,638,99.2,638,27,4.2,89,13.9,256,40.1,266,41.7,522,81.8
,,,"Y",175,173,98.9,173,45,26.0,54,31.2,50,28.9,24,13.9,74,42.8
,,"Math","N",643,636,98.9,636,40,6.3,140,22.0,204,32.1,252,39.6,456,71.7
,,,"Y",175,173,98.9,173,58,33.5,65,37.6,38,22.0,12,6.9,50,28.9
"Great Oaks Charter School District","=""2940013""","ELA","N",50,50,100.0,50,18,36.0,17,34.0,"*","*","*","*",15,30.0
,,,"Y",250,247,98.8,247,152,61.5,59,23.9,"*","*","*","*",36,14.6
,,"Math","N",50,50,100.0,50,27,54.0,12,24.0,"*","*","*","*",11,22.0
,,,"Y",250,243,97.2,243,153,63.0,61,25.1,"*","*","*","*",29,11.9
"Greenwich School District","=""0570011""","ELA","N",3033,3030,99.9,3030,66,2.2,337,11.1,1004,33.1,1623,53.6,2627,86.7
,,,"Y",1046,1044,99.8,1044,298,28.5,293,28.1,307,29.4,146,14.0,453,43.4
,,"Math","N",3032,3028,99.9,3028,109,3.6,423,14.0,778,25.7,1718,56.7,2496,82.4
,,,"Y",1046,1043,99.7,1043,311,29.8,349,33.5,224,21.5,159,15.2,383,36.7
"Griswold School District","=""0580011""","ELA","N",452,449,99.3,449,28,6.2,102,22.7,174,38.8,145,32.3,319,71.0
,,,"Y",352,346,98.3,346,107,30.9,110,31.8,95,27.5,34,9.8,129,37.3
,,"Math","N",452,449,99.3,449,27,6.0,115,25.6,137,30.5,170,37.9,307,68.4
,,,"Y",349,343,98.3,343,106,30.9,102,29.7,99,28.9,36,10.5,135,39.4
"Groton School District","=""0590011""","ELA","N",968,968,100.0,968,65,6.7,178,18.4,381,39.4,344,35.5,725,74.9
,,,"Y",978,970,99.2,970,351,36.2,264,27.2,263,27.1,92,9.5,355,36.6
,,"Math","N",965,965,100.0,965,84,8.7,263,27.3,312,32.3,306,31.7,618,64.0
,,,"Y",977,968,99.1,968,374,38.6,321,33.2,187,19.3,86,8.9,273,28.2
"Guilford School District","=""0600011""","ELA","N",1300,1291,99.3,1291,39,3.0,146,11.3,473,36.6,633,49.0,1106,85.7
,,,"Y",281,281,100.0,280,82,29.3,77,27.5,72,25.7,49,17.5,121,43.2
,,"Math","N",1300,1291,99.3,1291,32,2.5,186,14.4,392,30.4,681,52.7,1073,83.1
,,,"Y",281,280,99.6,280,85,30.4,81,28.9,65,23.2,49,17.5,114,40.7
"Hamden School District","=""0620011""","ELA","N",1168,1156,99.0,1156,125,10.8,220,19.0,396,34.3,415,35.9,811,70.2
,,,"Y",1261,1230,97.5,1230,524,42.6,345,28.0,260,21.1,101,8.2,361,29.3
,,"Math","N",1167,1151,98.6,1151,123,10.7,300,26.1,353,30.7,375,32.6,728,63.2
,,,"Y",1259,1222,97.1,1222,554,45.3,379,31.0,202,16.5,87,7.1,289,23.6
"Hampton School District","=""0630011""","ELA","N",33,33,100.0,33,"*","*",7,21.2,11,33.3,"*","*","*","*"
,,,"Y",21,21,100.0,21,"*","*",7,33.3,7,33.3,"*","*","*","*"
,,"Math","N",33,32,97.0,32,"*","*","*","*","*","*","*","*","*","*"
