"Student Counts by District and English Learner Status"
"All Districts"
"2021-22"

"",,"English Learner Status",,
"East Hampton School District","=""0420011""","*","*",1786
"East Hartford School District","=""0430011""",5403,923,6326
"East Haven School District","=""0440011""",2573,296,2869
"East Lyme School District","=""0450011""",2565,79,2644
"East Windsor School District","=""0470011""",959,72,1031
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",410,7,417
"Eastford School District","=""0390011""","*","*",144
"Easton School District","=""0460011""",870,25,895
"EdAdvance","=""2420014""","*","*",254
"Ellington School District","=""0480011""",2582,39,2621
"Elm City College Preparatory School District","=""2890013""",711,65,776
"Elm City Montessori School District","=""2910013""",274,8,282
"Enfield School District","=""0490011""",4725,170,4895
"Essex School District","=""0500011""",290,11,301
"Explorations District","=""2720013""",89,0,89
"Fairfield School District","=""0510011""",9157,221,9378
"Farmington School District","=""0520011""",3932,184,4116
"Franklin School District","=""0530011""",180,0,180
"Glastonbury School District","=""0540011""",5552,148,5700
"Goodwin University Educational Services (GUES)","=""2310018""",920,145,1065
"Granby School District","=""0560011""",1757,8,1765
"Great Oaks Charter School District","=""2940013""",575,75,650
"Greenwich School District","=""0570011""",8254,376,8630
"Griswold School District","=""0580011""",1694,25,1719
"Groton School District","=""0590011""",3945,168,4113
"Guilford School District","=""0600011""",3090,46,3136
"Hamden School District","=""0620011""",5111,351,5462
"Hampton School District","=""0630011""",74,0,74
"Hartford School District","=""0640011""",13374,3809,17183
"Hartland School District","=""0650011""","*","*",140
"Hebron School District","=""0670011""",673,6,679
"Highville Charter School District","=""2860013""","*","*",501
"Integrated Day Charter School District","=""2640013""",329,24,353
"Interdistrict School for Arts and Comm District","=""2650013""",222,57,279
"Jumoke Academy District","=""2610013""",678,8,686
"Kent School District","=""0680011""","*","*",212
"Killingly School District","=""0690011""",2323,64,2387
"Learn","=""2450014""",1320,93,1413
"Lebanon School District","=""0710011""",928,8,936
"Ledyard School District","=""0720011""",2417,33,2450
"Lisbon School District","=""0730011""",419,10,429
"Litchfield School District","=""0740011""","*","*",842
"Madison School District","=""0760011""",2424,37,2461
"Manchester School District","=""0770011""",5725,474,6199
"Mansfield School District","=""0780011""",951,47,998
"Marlborough School District","=""0790011""","*","*",448
"Meriden School District","=""0800011""",7067,1454,8521
"Middletown School District","=""0830011""",4247,183,4430
"Milford School District","=""0840011""",5281,135,5416
"Monroe School District","=""0850011""",3302,43,3345
"Montville School District","=""0860011""",1910,89,1999
"Naugatuck School District","=""0880011""",3949,362,4311
"New Beginnings Inc Family Academy District","=""2800013""",473,11,484
"New Britain School District","=""0890011""",8063,1675,9738
"New Canaan School District","=""0900011""",4116,21,4137
"New Fairfield School District","=""0910011""",2050,82,2132
"New Hartford School District","=""0920011""",422,8,430
"New Haven School District","=""0930011""",15653,3767,19420
"New London School District","=""0950011""",2328,794,3122
"New Milford School District","=""0960011""",3474,220,3694
"Newington School District","=""0940011""",3618,304,3922
"Newtown School District","=""0970011""",4009,42,4051
"Norfolk School District","=""0980011""","*","*",70
"North Branford School District","=""0990011""",1565,20,1585
"North Canaan School District","=""1000011""",225,9,234
"North Haven School District","=""1010011""",3020,140,3160
"North Stonington School District","=""1020011""",773,0,773
"Norwalk School District","=""1030011""",9401,2057,11458
"Norwich Free Academy District","=""9010022""",1875,204,2079
"Norwich School District","=""1040011""",2666,621,3287
"Odyssey Community School District","=""2630013""",287,41,328
"Old Saybrook School District","=""1060011""",1011,77,1088
"Orange School District","=""1070011""",1194,64,1258
"Oxford School District","=""1080011""",1663,40,1703
"Park City Prep Charter School District","=""2830013""",321,40,361
"Plainfield School District","=""1090011""",1958,33,1991
"Plainville School District","=""1100011""",2131,164,2295
"Plymouth School District","=""1110011""",1285,23,1308
"Pomfret School District","=""1120011""","*","*",361
"Portland School District","=""1130011""",1197,42,1239
"Preston School District","=""1140011""",421,6,427
"Putnam School District","=""1160011""",1094,44,1138
"Redding School District","=""1170011""",821,11,832
"Regional School District 01","=""2010012""",338,8,346
"Regional School District 04","=""2040012""",807,9,816
"Regional School District 05","=""2050012""",2127,18,2145
"Regional School District 06","=""2060012""",873,14,887
"Regional School District 07","=""2070012""","*","*",911
"Regional School District 08","=""2080012""","*","*",1221
"Regional School District 09","=""2090012""","*","*",822
"Regional School District 10","=""2100012""",2142,33,2175
"Regional School District 11","=""2110012""","*","*",209
"Regional School District 12","=""2120012""",754,9,763
"Regional School District 13","=""2130012""",1351,15,1366
"Regional School District 14","=""2140012""",1569,25,1594
"Regional School District 15","=""2150012""",3494,45,3539
"Regional School District 16","=""2160012""",1934,39,1973
"Regional School District 17","=""2170012""",1777,11,1788
"Regional School District 18","=""2180012""",1268,29,1297
"Regional School District 19","=""2190012""",1128,10,1138
"Ridgefield School District","=""1180011""",4516,62,4578
"Rocky Hill School District","=""1190011""",2352,185,2537
"Salem School District","=""1210011""","*","*",390
"Salisbury School District","=""1220011""",296,9,305
"Scotland School District","=""1230011""","*","*",101
"Seymour School District","=""1240011""",1964,108,2072
"Sharon School District","=""1250011""",90,6,96
"Shelton School District","=""1260011""",4127,296,4423
"Sherman School District","=""1270011""","*","*",263
"Side By Side Charter School District","=""2700013""",204,32,236
"Simsbury School District","=""1280011""",4015,74,4089
"Somers School District","=""1290011""",1340,7,1347
"South Windsor School District","=""1320011""",4415,363,4778
"Southington School District","=""1310011""",6120,146,6266
"Sprague School District","=""1330011""",274,11,285
"Stafford School District","=""1340011""",1375,11,1386
"Stamford Charter School for Excellence District","=""2960013""",454,52,506
"Stamford School District","=""1350011""",13889,2190,16079
"Sterling School District","=""1360011""",335,0,335
"Stonington School District","=""1370011""",1820,11,1831
"Stratford School District","=""1380011""",6357,503,6860
"Suffield School District","=""1390011""",2004,47,2051
"The Bridge Academy District","=""2690013""",271,8,279
"The Gilbert School District","=""9020022""",426,12,438
"The Woodstock Academy District","=""9030022""","*","*",1060
"Thomaston School District","=""1400011""",821,23,844
"Thompson School District","=""1410011""","*","*",961
"Tolland School District","=""1420011""",2211,22,2233
"Torrington School District","=""1430011""",3451,435,3886
"Trumbull School District","=""1440011""",6600,296,6896
"Unified School District #1","=""3360015""","*","*",156
"Unified School District #2","=""3470015""","*","*",78
"Union School District","=""1450011""","*",0,"*"
"Vernon School District","=""1460011""",3060,123,3183
"Voluntown School District","=""1470011""",248,0,248
"Wallingford School District","=""1480011""",5004,338,5342
"Waterbury School District","=""1510011""",15472,3188,18660
"Waterford School District","=""1520011""",2261,87,2348
"Watertown School District","=""1530011""",2478,126,2604
"West Hartford School District","=""1550011""",8615,585,9200
"West Haven School District","=""1560011""",4868,971,5839
"Westbrook School District","=""1540011""",556,79,635
"Weston School District","=""1570011""",2219,20,2239
"Westport School District","=""1580011""",5275,61,5336
"Wethersfield School District","=""1590011""",3277,345,3622
"Willington School District","=""1600011""",376,11,387
"Wilton School District","=""1610011""",3730,28,3758
"Winchester School District","=""1620011""",559,19,578
"Windham School District","=""1630011""",2212,994,3206
"Windsor Locks School District","=""1650011""",1422,101,1523
"Windsor School District","=""1640011""",3179,109,3288
"Wolcott School District","=""1660011""",2071,89,2160
"Woodbridge School District","=""1670011""",820,27,847
"Woodstock School District","=""1690011""",788,6,794
"Total","=""""",468344,45271,513615

