"Student Counts by District and English Learner Status"
"All Districts"
"2018-19"

"",,"English Learner Status",,
"Park City Prep Charter School District","=""2830013""",324,36,360
"Plainfield School District","=""1090011""",2164,41,2205
"Plainville School District","=""1100011""",2183,170,2353
"Plymouth School District","=""1110011""",1405,24,1429
"Pomfret School District","=""1120011""","*","*",381
"Portland School District","=""1130011""",1292,31,1323
"Preston School District","=""1140011""",439,7,446
"Putnam School District","=""1160011""",1171,44,1215
"Redding School District","=""1170011""",849,9,858
"Regional School District 01","=""2010012""",384,7,391
"Regional School District 04","=""2040012""",889,8,897
"Regional School District 05","=""2050012""",2174,12,2186
"Regional School District 06","=""2060012""",904,8,912
"Regional School District 07","=""2070012""","*","*",1075
"Regional School District 08","=""2080012""","*","*",1456
"Regional School District 09","=""2090012""","*","*",889
"Regional School District 10","=""2100012""",2244,29,2273
"Regional School District 11","=""2110012""","*","*",232
"Regional School District 12","=""2120012""",678,7,685
"Regional School District 13","=""2130012""",1606,11,1617
"Regional School District 14","=""2140012""",1639,17,1656
"Regional School District 15","=""2150012""",3589,39,3628
"Regional School District 16","=""2160012""",2102,32,2134
"Regional School District 17","=""2170012""",2013,13,2026
"Regional School District 18","=""2180012""",1240,23,1263
"Regional School District 19","=""2190012""",1139,11,1150
"Ridgefield School District","=""1180011""",4794,66,4860
"Rocky Hill School District","=""1190011""",2512,236,2748
"Salem School District","=""1210011""","*","*",418
"Salisbury School District","=""1220011""",278,9,287
"Scotland School District","=""1230011""",105,0,105
"Seymour School District","=""1240011""",2111,67,2178
"Sharon School District","=""1250011""","*","*",115
"Shelton School District","=""1260011""",4480,233,4713
"Sherman School District","=""1270011""","*","*",279
"Side By Side Charter School District","=""2700013""",214,22,236
"Simsbury School District","=""1280011""",4013,67,4080
"Somers School District","=""1290011""",1372,7,1379
"South Windsor School District","=""1320011""",4112,258,4370
"Southington School District","=""1310011""",6265,120,6385
"Sprague School District","=""1330011""","*","*",320
"Stafford School District","=""1340011""","*","*",1511
"Stamford Academy District","=""2820013""",143,9,152
"Stamford Charter School for Excellence District","=""2960013""",327,12,339
"Stamford School District","=""1350011""",14003,2050,16053
"Sterling School District","=""1360011""",368,0,368
"Stonington School District","=""1370011""",2033,17,2050
"Stratford School District","=""1380011""",6414,402,6816
"Suffield School District","=""1390011""",2120,28,2148
"The Bridge Academy District","=""2690013""",273,8,281
"The Gilbert School District","=""9020022""",495,16,511
"The Woodstock Academy District","=""9030022""",1098,0,1098
"Thomaston School District","=""1400011""",839,14,853
"Thompson School District","=""1410011""","*","*",994
"Tolland School District","=""1420011""",2377,15,2392
"Torrington School District","=""1430011""",3542,370,3912
"Trailblazers Academy District","=""2780013""",113,14,127
"Trumbull School District","=""1440011""",6553,191,6744
"Unified School District #1","=""3360015""","*","*",156
"Unified School District #2","=""3470015""","*","*",109
"Union School District","=""1450011""","*",0,"*"
"Vernon School District","=""1460011""",3035,102,3137
"Voluntown School District","=""1470011""",268,0,268
"Wallingford School District","=""1480011""",5450,320,5770
"Waterbury School District","=""1510011""",16027,2820,18847
"Waterford School District","=""1520011""",2457,62,2519
"Watertown School District","=""1530011""",2633,121,2754
"West Hartford School District","=""1550011""",9064,590,9654
"West Haven School District","=""1560011""",5061,855,5916
"Westbrook School District","=""1540011""",597,81,678
"Weston School District","=""1570011""",2306,16,2322
"Westport School District","=""1580011""",5475,64,5539
"Wethersfield School District","=""1590011""",3283,337,3620
"Willington School District","=""1600011""","*","*",430
"Wilton School District","=""1610011""",3934,21,3955
"Winchester School District","=""1620011""",516,38,554
"Windham School District","=""1630011""",2459,918,3377
"Windsor Locks School District","=""1650011""",1484,86,1570
"Windsor School District","=""1640011""",3210,87,3297
"Wolcott School District","=""1660011""",2180,64,2244
"Woodbridge School District","=""1670011""",827,20,847
"Woodstock School District","=""1690011""","*","*",841
"Total","=""""",490171,40441,530612

