"Student Counts by District and English Learner Status"
"All Districts"
"2008-09"

"",,"English Learner Status",,
"North Canaan School District","=""1000011""",329,9,338
"North Haven School District","=""1010011""",3773,63,3836
"North Stonington School District","=""1020011""",795,0,795
"Norwalk School District","=""1030011""",9563,1279,10842
"Norwich Free Academy District","=""9010022""",2411,77,2488
"Norwich School District","=""1040011""",3607,397,4004
"Odyssey Community School District","=""2630013""",178,0,178
"Old Saybrook School District","=""1060011""",1580,48,1628
"Orange School District","=""1070011""",1314,6,1320
"Oxford School District","=""1080011""",1984,43,2027
"Park City Prep Charter School District","=""2830013""","*","*",224
"Plainfield School District","=""1090011""",2698,22,2720
"Plainville School District","=""1100011""",2442,100,2542
"Plymouth School District","=""1110011""",1849,15,1864
"Pomfret School District","=""1120011""",545,0,545
"Portland School District","=""1130011""",1425,7,1432
"Preston School District","=""1140011""",485,9,494
"Putnam School District","=""1160011""",1225,29,1254
"Redding School District","=""1170011""",1298,6,1304
"Regional School District 01","=""2010012""",563,0,563
"Regional School District 04","=""2040012""","*","*",959
"Regional School District 05","=""2050012""","*","*",2504
"Regional School District 06","=""2060012""",1067,17,1084
"Regional School District 07","=""2070012""",1197,0,1197
"Regional School District 08","=""2080012""","*","*",1759
"Regional School District 09","=""2090012""","*","*",967
"Regional School District 10","=""2100012""",2837,25,2862
"Regional School District 11","=""2110012""",318,0,318
"Regional School District 12","=""2120012""",1007,7,1014
"Regional School District 13","=""2130012""",2132,11,2143
"Regional School District 14","=""2140012""",2122,20,2142
"Regional School District 15","=""2150012""",4533,26,4559
"Regional School District 16","=""2160012""",2584,34,2618
"Regional School District 17","=""2170012""","*","*",2547
"Regional School District 18","=""2180012""","*","*",1470
"Regional School District 19","=""2190012""",1170,11,1181
"Ridgefield School District","=""1180011""",5519,32,5551
"Rocky Hill School District","=""1190011""",2536,89,2625
"Salem School District","=""1210011""",523,0,523
"Salisbury School District","=""1220011""",319,0,319
"Scotland School District","=""1230011""",190,0,190
"Seymour School District","=""1240011""",2533,49,2582
"Sharon School District","=""1250011""",196,0,196
"Shelton School District","=""1260011""",5433,137,5570
"Sherman School District","=""1270011""","*","*",460
"Side By Side Charter School District","=""2700013""",220,9,229
"Simsbury School District","=""1280011""",4894,56,4950
"Somers School District","=""1290011""",1717,12,1729
"South Windsor School District","=""1320011""",4721,118,4839
"Southington School District","=""1310011""",6762,104,6866
"Sprague School District","=""1330011""","*","*",355
"Stafford School District","=""1340011""",1903,15,1918
"Stamford Academy District","=""2820013""",131,0,131
"Stamford School District","=""1350011""",12838,2118,14956
"Sterling School District","=""1360011""",513,0,513
"Stonington School District","=""1370011""",2516,10,2526
"Stratford School District","=""1380011""",7027,340,7367
"Suffield School District","=""1390011""","*","*",2579
"The Bridge Academy District","=""2690013""","*","*",262
"The Gilbert School District","=""9020022""",387,13,400
"The Woodstock Academy District","=""9030022""",1184,0,1184
"Thomaston School District","=""1400011""","*","*",1229
"Thompson School District","=""1410011""","*","*",1406
"Tolland School District","=""1420011""",3139,20,3159
"Torrington School District","=""1430011""",4472,286,4758
"Trailblazers Academy District","=""2780013""",150,0,150
"Trumbull School District","=""1440011""",6840,116,6956
"Unified School District #1","=""3360015""",1018,0,1018
"Unified School District #2","=""3470015""","*","*",336
"Union School District","=""1450011""",79,0,79
"Vernon School District","=""1460011""",3540,66,3606
"Voluntown School District","=""1470011""",309,0,309
"Wallingford School District","=""1480011""",6577,251,6828
"Waterbury School District","=""1510011""",16338,2099,18437
"Waterford School District","=""1520011""",2870,30,2900
"Watertown School District","=""1530011""",3278,68,3346
"West Hartford School District","=""1550011""",9450,679,10129
"West Haven School District","=""1560011""",5815,498,6313
"Westbrook School District","=""1540011""",957,13,970
"Weston School District","=""1570011""","*","*",2586
"Westport School District","=""1580011""",5701,81,5782
"Wethersfield School District","=""1590011""",3665,167,3832
"Willington School District","=""1600011""",568,0,568
"Wilton School District","=""1610011""",4366,30,4396
"Winchester School District","=""1620011""",970,34,1004
"Windham School District","=""1630011""",2783,740,3523
"Windsor Locks School District","=""1650011""",1779,79,1858
"Windsor School District","=""1640011""",3900,104,4004
"Wolcott School District","=""1660011""",2823,42,2865
"Woodbridge School District","=""1670011""",742,14,756
"Woodstock School District","=""1690011""",919,11,930
"Total","=""""",541400,29648,571048

